query,top_rank_agg,top_borda,top_zaremba,rank_agg_score,rank_agg_runner_up,rank_agg_margin,confidence,confidence_tier,zaremba_sum_at_winner,zaremba_sum,zaremba_sum_max,methods_agreeing_on_own_top,n_methods,reciprocal_support_for_rank_agg,agg_methods_concordant,conf_gsi,conf_samap,conf_saturn,conf_cca,top_gsi,top_samap,top_saturn,top_cca,nrecip_gsi,nrecip_samap,nrecip_saturn,nrecip_cca,n_clusters_sharing_winner
GABA-3,0209 Pvalb Gaba_5,0209 Pvalb Gaba_5,0209 Pvalb Gaba_5,0.8352,0206 Pvalb Gaba_2,0.0201,0.4176,moderate,1.6705,1.6705,4,2,4,4,True,0.7783,0.3881,0.8854,0.0615,0206 Pvalb Gaba_2,0206 Pvalb Gaba_2,0209 Pvalb Gaba_5,0204 Pvalb chandelier Gaba_1,5,5,5,5,1
GABA-4-1,0212 Pvalb Gaba_8,0212 Pvalb Gaba_8,0208 Pvalb Gaba_4,0.8742,0208 Pvalb Gaba_4,0.0041,0.3186,moderate,1.2744,1.3357,4,1,4,4,False,0.8243,0.3897,0.0049,0.0578,0206 Pvalb Gaba_2,0208 Pvalb Gaba_4,0227 Sst Gaba_14,0212 Pvalb Gaba_8,5,5,5,5,1
GABA-4-2,0208 Pvalb Gaba_4,0208 Pvalb Gaba_4,0205 Pvalb Gaba_1,0.7984,0205 Pvalb Gaba_1,0.032,0.259,moderate,1.0359,1.3765,4,1,4,3,False,0.7721,0.2528,0.007,0.0074,0207 Pvalb Gaba_3,0208 Pvalb Gaba_4,0205 Pvalb Gaba_1,0243 Sst Chodl Gaba_6,5,5,5,5,1
GABA-5-1,0174 Vip Gaba_2,0174 Vip Gaba_2,0179 Vip Gaba_7,0.9253,0175 Vip Gaba_3,0.1138,0.3794,moderate,1.5177,1.5776,4,2,4,4,False,0.6424,0.6877,0.1747,0.1001,0175 Vip Gaba_3,0174 Vip Gaba_2,0179 Vip Gaba_7,0174 Vip Gaba_2,5,5,5,5,1
GABA-5-2,0185 Sncg Gaba_1,0185 Sncg Gaba_1,Glut-GABA [neurotransmitter],0.7906,0187 Sncg Gaba_3,0.1144,0.3503,moderate,1.401,1.4202,4,1,4,3,False,0.6166,0.7443,0.0016,0.0394,0175 Vip Gaba_3,0185 Sncg Gaba_1,Glut-GABA [neurotransmitter],0187 Sncg Gaba_3,5,5,4,5,1
GABA-6,0199 Lamp5 Gaba_1,0199 Lamp5 Gaba_1,0199 Lamp5 Gaba_1,0.8621,0203 Lamp5 Lhx6 Gaba_1,0.0469,0.5244,high,2.0977,2.0977,4,2,4,3,True,0.6645,0.645,1.0,0.2883,0203 Lamp5 Lhx6 Gaba_1,0203 Lamp5 Lhx6 Gaba_1,0199 Lamp5 Gaba_1,0199 Lamp5 Gaba_1,4,5,1,5,1
GABA-7,0236 STR Lhx8 Gaba_1,0230 Sst Gaba_17,0236 STR Lhx8 Gaba_1,0.6068,0230 Sst Gaba_17,0.0513,0.302,moderate,1.2082,1.2082,4,2,4,2,False,0.6084,0.4535,0.0,0.1462,0219 Sst Gaba_6,0236 STR Lhx8 Gaba_1,0239 Sst Chodl Gaba_2,0236 STR Lhx8 Gaba_1,1,5,5,5,1
GABA-8,0249 NDB-SI-MA-STRv Lhx8 Gaba_6,0249 NDB-SI-MA-STRv Lhx8 Gaba_6,0249 NDB-SI-MA-STRv Lhx8 Gaba_6,0.9374,0255 NDB-SI-MA-STRv Lhx8 Gaba_12,0.0174,0.6609,high,2.6435,2.6435,4,3,4,4,True,0.6994,0.8799,0.9712,0.5785,0255 NDB-SI-MA-STRv Lhx8 Gaba_12,0249 NDB-SI-MA-STRv Lhx8 Gaba_6,0249 NDB-SI-MA-STRv Lhx8 Gaba_6,0249 NDB-SI-MA-STRv Lhx8 Gaba_6,5,5,5,5,1
GABA-Im,0215 Sst Gaba_2,0215 Sst Gaba_2,0239 Sst Chodl Gaba_2,0.6707,0241 Sst Chodl Gaba_4,0.0153,0.1891,low,0.7562,1.1202,4,1,4,2,False,0.7215,0.0234,0.0003,0.0112,0215 Sst Gaba_2,0239 Sst Chodl Gaba_2,0258 GPe-SI Sox6 Cyp26b1 Gaba_2,0167 OB-STR-CTX Inh IMN_2,5,5,5,5,2
Glut-CACNA1H-1,0098 SUB-ProS Glut_3,0071 CA1-ProS Glut_3,0098 SUB-ProS Glut_3,0.7222,0071 CA1-ProS Glut_3,0.0446,0.352,moderate,1.408,1.408,4,1,4,2,False,0.7179,0.6624,0.0,0.0277,0064 LA-BLA-BMA-PA Glut_5,0098 SUB-ProS Glut_3,0071 CA1-ProS Glut_3,0097 SUB-ProS Glut_2,5,5,3,5,1
Glut-CACNA1H-2,0097 SUB-ProS Glut_2,0095 L5 ET CTX Glut_6,0097 SUB-ProS Glut_2,0.7908,0071 CA1-ProS Glut_3,0.2019,0.3399,moderate,1.3596,1.3596,4,1,4,3,False,0.7424,0.59,0.0,0.0273,0064 LA-BLA-BMA-PA Glut_5,0097 SUB-ProS Glut_2,0069 CA1-ProS Glut_1,0063 LA-BLA-BMA-PA Glut_4,5,5,5,5,1
Glut-CACNA1H-3,0090 L5 ET CTX Glut_1,0095 L5 ET CTX Glut_6,0095 L5 ET CTX Glut_6,0.711,0095 L5 ET CTX Glut_6,0.0083,0.228,low,0.9121,1.1044,4,1,4,3,False,0.7559,0.151,0.0041,0.0031,0090 L5 ET CTX Glut_1,0097 SUB-ProS Glut_2,0095 L5 ET CTX Glut_6,0106 L6b/CT ENT Glut_1,5,5,5,5,1
Glut-CACNA1H-4,0060 LA-BLA-BMA-PA Glut_1,0060 LA-BLA-BMA-PA Glut_1,0060 LA-BLA-BMA-PA Glut_1,0.7327,0063 LA-BLA-BMA-PA Glut_4,0.0449,0.2174,low,0.8694,0.8694,4,1,4,2,True,0.675,0.1444,0.0,0.05,0064 LA-BLA-BMA-PA Glut_5,0060 LA-BLA-BMA-PA Glut_1,0537 SI-MA-LPO-LHA Skor1 Glut_8,0010 L5/6 IT TPE-ENT Glut_4,4,5,5,5,1
Glut-CACNA1H-RA,0129 NP PPP Glut_1,0095 L5 ET CTX Glut_6,0096 SUB-ProS Glut_1,0.6206,0120 CT SUB Glut_1,0.0493,0.2639,moderate,1.0557,1.1527,4,1,4,2,False,0.6286,0.3987,0.0,0.0284,0117 L6 CT CTX Glut_4,0129 NP PPP Glut_1,0096 SUB-ProS Glut_1,0132 OB Eomes Ms4a15 Glut_3,2,5,1,5,1
Glut-DACH2-1,0032 L2/3 IT CTX Glut_4,0061 LA-BLA-BMA-PA Glut_2,0039 L2/3 IT PIR-ENTl Glut_1,0.7197,0039 L2/3 IT PIR-ENTl Glut_1,0.0396,0.333,moderate,1.3321,1.4269,4,1,4,3,False,0.6888,0.6163,0.0,0.027,0029 L2/3 IT CTX Glut_1,0058 COAp Grxcr2 Glut_1,0065 LA-BLA-BMA-PA Glut_6,0032 L2/3 IT CTX Glut_4,5,5,4,5,1
Glut-DACH2-2,0065 LA-BLA-BMA-PA Glut_6,0371 CEA-BST Six3 Cyp26b1 Gaba_5,0371 CEA-BST Six3 Cyp26b1 Gaba_5,0.6265,0083 L2 IT PPP-APr Glut_4,0.0139,0.2423,low,0.969,1.0946,4,2,4,2,False,0.6104,0.3332,0.0,0.0254,0083 L2 IT PPP-APr Glut_4,0065 LA-BLA-BMA-PA Glut_6,0371 CEA-BST Six3 Cyp26b1 Gaba_5,0065 LA-BLA-BMA-PA Glut_6,3,5,5,5,1
Glut-DACH2-3,0056 MEA Slc17a7 Glut_2,0062 LA-BLA-BMA-PA Glut_3,0062 LA-BLA-BMA-PA Glut_3,0.7216,0042 L2/3 IT PIR-ENTl Glut_4,0.0683,0.2033,low,0.8131,1.2249,4,2,4,3,False,0.6237,0.154,0.0015,0.0346,0007 L5/6 IT TPE-ENT Glut_1,0056 MEA Slc17a7 Glut_2,0062 LA-BLA-BMA-PA Glut_3,0056 MEA Slc17a7 Glut_2,4,5,3,5,1
Glut-DACH2-4,0007 L5/6 IT TPE-ENT Glut_1,0007 L5/6 IT TPE-ENT Glut_1,0007 L5/6 IT TPE-ENT Glut_1,0.8114,0008 L5/6 IT TPE-ENT Glut_2,0.0875,0.2641,moderate,1.0562,1.0562,4,1,4,3,True,0.8247,0.2025,0.0,0.0291,0008 L5/6 IT TPE-ENT Glut_2,0007 L5/6 IT TPE-ENT Glut_1,0063 LA-BLA-BMA-PA Glut_4,0021 L5 IT CTX Glut_4,5,5,5,5,1
Glut-DACH2-5,0029 L2/3 IT CTX Glut_1,0029 L2/3 IT CTX Glut_1,0368 CEA-BST Six3 Cyp26b1 Gaba_2,0.6119,0030 L2/3 IT CTX Glut_2,0.0315,0.1813,low,0.7252,0.979,4,1,4,1,False,0.6658,0.0528,0.0,0.0066,0081 L2 IT PPP-APr Glut_2,0062 LA-BLA-BMA-PA Glut_3,0368 CEA-BST Six3 Cyp26b1 Gaba_2,0086 L2/3 IT PPP Glut_3,2,5,1,5,2
Glut-DACH2-6,0026 L4/5 IT CTX Glut_4,0008 L5/6 IT TPE-ENT Glut_2,0023 L4/5 IT CTX Glut_1,0.7909,0019 L5 IT CTX Glut_2,0.1147,0.2668,moderate,1.0674,1.1759,4,1,4,3,False,0.6898,0.3527,0.0,0.0249,0026 L4/5 IT CTX Glut_4,0023 L4/5 IT CTX Glut_1,0064 LA-BLA-BMA-PA Glut_5,0019 L5 IT CTX Glut_2,2,5,3,5,2
Glut-DACH2-7,0029 L2/3 IT CTX Glut_1,0029 L2/3 IT CTX Glut_1,0029 L2/3 IT CTX Glut_1,0.8969,0030 L2/3 IT CTX Glut_2,0.1838,0.3777,moderate,1.5108,1.5108,4,3,4,3,True,0.7001,0.3516,0.898,0.01,0029 L2/3 IT CTX Glut_1,0029 L2/3 IT CTX Glut_1,0029 L2/3 IT CTX Glut_1,0262 OT D3 Folh1 Gaba_1,1,5,5,5,2
Glut-DACH2-8,0026 L4/5 IT CTX Glut_4,0026 L4/5 IT CTX Glut_4,0026 L4/5 IT CTX Glut_4,0.8844,0027 L4/5 IT CTX Glut_5,0.1662,0.3235,moderate,1.2938,1.2938,4,2,4,3,True,0.7194,0.08,0.9268,0.0311,0026 L4/5 IT CTX Glut_4,0036 L2/3 IT ENT Glut_4,0026 L4/5 IT CTX Glut_4,0089 L4 RSP-ACA Glut_1,5,5,5,5,2
Glut-DACH2-HVCra,0119 L6 CT CTX Glut_6,0116 L6 CT CTX Glut_3,0119 L6 CT CTX Glut_6,0.5932,0115 L6 CT CTX Glut_2,0.1362,0.2871,moderate,1.1486,1.1486,4,1,4,2,False,0.5449,0.5161,0.0,0.0876,0081 L2 IT PPP-APr Glut_2,0119 L6 CT CTX Glut_6,0507 MEA-COA-BMA Ccdc42 Glut_3,0049 IT AON-TT-DP Glut_4,0,5,2,5,1
Glut-DACH2-HVCra-Int,0083 L2 IT PPP-APr Glut_4,0371 CEA-BST Six3 Cyp26b1 Gaba_5,0276 STR D2 Gaba_3,0.5466,0080 L2 IT PPP-APr Glut_1,0.0755,0.1874,low,0.7497,1.0639,4,1,4,1,False,0.6926,0.0532,0.0,0.0039,0028 L4/5 IT CTX Glut_6,0013 L6 IT CTX Glut_1,0276 STR D2 Gaba_3,0371 CEA-BST Six3 Cyp26b1 Gaba_5,4,5,5,5,1
Glut-DACH2-HVCx,0020 L5 IT CTX Glut_3,0020 L5 IT CTX Glut_3,0117 L6 CT CTX Glut_4,0.5661,0126 L5 NP CTX Glut_5,0.039,0.1847,low,0.739,0.8818,4,1,4,1,False,0.7157,0.0103,0.0,0.013,0017 L6 IT CTX Glut_5,0117 L6 CT CTX Glut_4,0540 MEA-BST Otp Zic2 Glut_2,0049 IT AON-TT-DP Glut_4,5,5,4,5,1
Glut-DACH2-LMANco,0120 CT SUB Glut_1,0089 L4 RSP-ACA Glut_1,0128 NP SUB Glut_2,0.5794,0088 L2/3 IT RSP Glut_2,0.0917,0.18,low,0.72,1.1105,4,2,4,2,False,0.6566,0.0,0.0,0.0634,0120 CT SUB Glut_1,0088 L2/3 IT RSP Glut_2,0128 NP SUB Glut_2,0120 CT SUB Glut_1,1,5,2,5,1
Glut-DACH2-LMANsh,0085 L2/3 IT PPP Glut_2,0085 L2/3 IT PPP Glut_2,0289 STR-PAL Chst9 Gaba_5,0.6996,0086 L2/3 IT PPP Glut_3,0.069,0.2224,low,0.8896,1.0349,4,1,4,2,False,0.6966,0.1785,0.0,0.0145,0081 L2 IT PPP-APr Glut_2,0086 L2/3 IT PPP Glut_3,0289 STR-PAL Chst9 Gaba_5,0084 L2/3 IT PPP Glut_1,4,5,2,5,1
Glut-GABA,0286 STR-PAL Chst9 Gaba_2,0286 STR-PAL Chst9 Gaba_2,0276 STR D2 Gaba_3,0.6151,0289 STR-PAL Chst9 Gaba_5,0.0498,0.1945,low,0.778,0.9855,4,1,4,1,False,0.6507,0.1051,0.0,0.0221,0376 CEA-AAA-BST Six3 Sp9 Gaba_4,0276 STR D2 Gaba_3,0370 CEA-BST Six3 Cyp26b1 Gaba_4,0286 STR-PAL Chst9 Gaba_2,2,5,5,5,2
Glut-Im,0031 L2/3 IT CTX Glut_3,0031 L2/3 IT CTX Glut_3,0153 OB-in Frmd7 Gaba_4,0.7571,0032 L2/3 IT CTX Glut_4,0.111,0.2055,low,0.8219,0.968,4,2,4,2,False,0.7095,0.0706,0.0,0.0418,0031 L2/3 IT CTX Glut_3,0371 CEA-BST Six3 Cyp26b1 Gaba_5,0153 OB-in Frmd7 Gaba_4,0031 L2/3 IT CTX Glut_3,5,5,3,5,1
Glut-NB,0142 DG-PIR Ex IMN_3,0142 DG-PIR Ex IMN_3,0142 DG-PIR Ex IMN_3,1.0,0141 DG-PIR Ex IMN_2,0.2129,0.5868,high,2.3471,2.3471,4,4,4,4,True,0.7641,0.7616,0.9929,0.325,0142 DG-PIR Ex IMN_3,0142 DG-PIR Ex IMN_3,0142 DG-PIR Ex IMN_3,0142 DG-PIR Ex IMN_3,5,5,3,5,1
Glut-NSC,0166 OB-STR-CTX Inh IMN_1,0166 OB-STR-CTX Inh IMN_1,0166 OB-STR-CTX Inh IMN_1,0.9551,0168 OB-STR-CTX Inh IMN_3,0.3348,0.4927,moderate,1.9707,1.9707,4,3,4,4,True,0.9229,0.5703,0.8454,0.0549,0166 OB-STR-CTX Inh IMN_1,0166 OB-STR-CTX Inh IMN_1,0166 OB-STR-CTX Inh IMN_1,0588 PVH-SO-PVa Otp Glut_4,3,5,5,5,1
Glut-SATB2-1,0003 IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,0.6503,0013 L6 IT CTX Glut_1,0.003,0.3317,moderate,1.3267,1.3267,4,2,4,2,True,0.6339,0.3606,0.6546,0.0049,0029 L2/3 IT CTX Glut_1,0003 IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,0114 L6 CT CTX Glut_1,5,5,2,5,1
Micro,1195 BAM NN_1,1195 BAM NN_1,1195 BAM NN_1,0.9513,1197 DC NN_1,0.0328,0.6463,high,2.5853,2.5853,4,2,4,4,True,1.0,0.9337,0.9049,0.1991,1195 BAM NN_1,1194 Microglia NN_1,1195 BAM NN_1,1197 DC NN_1,5,5,3,4,1
OPC,1179 OPC NN_1,1179 OPC NN_1,1179 OPC NN_1,1.0,1180 OPC NN_2,0.0852,0.7267,high,2.9067,2.9067,4,4,4,4,True,0.8843,0.9606,0.9969,0.5634,1179 OPC NN_1,1179 OPC NN_1,1179 OPC NN_1,1179 OPC NN_1,3,5,2,4,1
Oligo-1,1182 NFOL NN_2,1182 NFOL NN_2,1184 MOL NN_4,0.8652,1184 MOL NN_4,0.0051,0.3489,moderate,1.3956,2.4021,4,3,4,4,False,0.8299,0.0272,0.9993,0.0388,1184 MOL NN_4,1184 MOL NN_4,1182 NFOL NN_2,1184 MOL NN_4,5,4,2,4,1
Oligo-2,1184 MOL NN_4,1183 MFOL NN_3,1184 MOL NN_4,0.8601,1183 MFOL NN_3,0.0169,0.4719,moderate,1.8875,1.8875,4,3,4,3,False,0.9298,0.6833,0.0,0.2744,1184 MOL NN_4,1184 MOL NN_4,1178 CHOR NN_1,1184 MOL NN_4,5,5,5,5,1
Oligo-3,1169 Astroependymal NN_1,1169 Astroependymal NN_1,1166 Astro-OLF NN_1,0.8225,1160 Astro-NT NN_2,0.1277,0.2423,low,0.9692,1.0617,4,1,4,2,False,0.9268,0.0006,0.0097,0.037,1164 Astro-TE NN_4,Glut-GABA [neurotransmitter],1166 Astro-OLF NN_1,1185 OEC NN_1,5,3,5,5,1
