,bf_Glut-CACNA1H-1,bf_Glut-CACNA1H-2,bf_Glut-CACNA1H-3,bf_Glut-CACNA1H-4,bf_Glut-CACNA1H-RA,bf_Glut-DACH2-1,bf_Glut-DACH2-2,bf_Glut-DACH2-3,bf_Glut-DACH2-4,bf_Glut-DACH2-5,bf_Glut-DACH2-6,bf_Glut-DACH2-7,bf_Glut-DACH2-8,bf_Glut-DACH2-HVCra,bf_Glut-DACH2-HVCra-Int,bf_Glut-DACH2-HVCx,bf_Glut-DACH2-LMANco,bf_Glut-DACH2-LMANsh,bf_Glut-SATB2-1,gg_Ex_BCL6,gg_Ex_CACNA1H_CPA6,gg_Ex_CACNA1H_KIT,gg_Ex_CACNA1H_LHX9,gg_Ex_CACNA1H_MCTP2,gg_Ex_CACNA1H_PROX1,gg_Ex_DACH2_ADAMTS5,gg_Ex_DACH2_CEMIP,gg_Ex_DACH2_GRIK4,gg_Ex_DACH2_ITGA9,gg_Ex_DACH2_LHX2,gg_Ex_DACH2_LUZP2,gg_Ex_DACH2_MGAT4C,gg_Ex_DACH2_NR4A3,gg_Ex_DACH2_RORB,gg_Ex_DACH2_SLIT2,gg_Ex_DACH2_TAC1,gg_Ex_DACH2_ZMAT4,gg_Ex_KIAA1217,gg_Ex_KIAA1217_BCL6,gg_Ex_SATB2_FOXP2,gg_Ex_SATB2_OVOA,gg_Ex_SATB2_SOX6,gg_Ex_SATB2_ZNF385B,gg_Ex_TSHZ2_NR4A2
bf_Glut-DACH2-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013379002328326817,0.0,0.00013112631241898211,0.0,0.00020603377739667814,0.0009029245930076508,0.02988262252394504,0.4959844747999386,0.00040336362509938605,0.06273903550278834,0.00015239427876413117,2.8288763890120315e-05,0.0014546284093212686,0.003558725553299182,0.028807481568750674,0.00802436907862116,0.06521636250485169,0.48535580691040103,0.0008741391864188248,0.0007339947555671294,0.0001204396428902806,0.0003014826579267863,0.0029649002692355144,1.0930168290760649e-05,0.0
bf_Glut-DACH2-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001387772873545285,0.0,9.066604720045892e-05,0.0,0.000567520290664219,0.000775969338215934,0.3485978241908823,0.000528767657167905,0.021483341924339892,0.014300464516635105,0.003254924285689069,0.00016672607554603459,0.27116094939083446,0.038530132264986264,0.0003807912179916409,0.000494204918582271,0.0005873615893352134,0.025289574901501514,1.255582694366352e-05,0.0,0.0033208585263698187,0.03836236672643405,0.008099683284967416,3.247694894065255e-05,0.0
bf_Glut-DACH2-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024856620616897423,0.0,0.0,0.0,0.0010199914286708512,0.00012490784991326764,0.015651078925014564,0.0753238433407189,0.0003396805471633426,0.15605580716537207,0.0001268127770486857,0.0,0.0004051247056229376,0.0014435075052168084,0.22567657890007814,0.0021026675801755863,0.3662442331123013,0.851807762916611,0.0017223739639659502,2.882261132961842e-05,0.0005523447592319156,6.900780771643761e-05,0.0021194777801783857,0.00037657826519222465,0.0
bf_Glut-DACH2-HVCra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008951018999914281,0.0,0.0,0.0005418561701817688,0.0008068667793677007,0.0,0.0036688237601570986,0.00023084046683719553,0.005478676533981247,0.002557030723685378,0.0007358723686040851,0.0023218978304725543,0.032332598280375144,0.0030460348527429843,0.0005257968936656301,0.0,0.0006921303904405321,0.0002445030798246365,0.00030672847960171114,0.004049758884190224,0.02085107586542476,0.05685761991643097,0.34282610280195924,0.3432023876219812,0.0
bf_Glut-DACH2-HVCra-Int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001730278141986212,0.0,0.0,0.0,0.0017667756738230158,0.00018456338325844866,0.02925777910985322,5.8699941281106534e-05,0.05454171919332027,0.00588205118445455,0.017612039995420596,0.00686431471160899,0.43377735505257586,0.020168488352928775,0.00011024780045021536,3.013115321504134e-05,0.00032393709035788404,0.0005621575273307239,3.516996962955914e-05,0.0,0.0029275759841388893,0.008021536700104083,0.03333043591123354,0.00178735687313685,0.0
bf_Glut-DACH2-HVCx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034389719434424703,0.0,0.0,0.0,0.0,0.0,0.005230270530736573,0.002425816576835187,0.00019116540483261492,0.01816611115832585,7.548088149524339e-05,0.00014812819362692225,0.006330179016320321,0.0,0.0,0.0018164257114828628,0.0031223707031269635,0.0018460823684035895,0.13001733749939598,0.06835413098665048,0.09759410235955242,0.0009756491414709999,0.37017007538154306,0.0778950781204297,0.0
bf_Glut-DACH2-LMANco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008048908039637135,0.0,0.0,0.0,0.0001463060066634193,0.0,0.010522051182776071,0.00738286749748113,0.00020558869986836474,0.0016282999398773063,0.0001812057982542165,0.0,0.005308276071260659,0.002663599755101955,0.1293801038455612,0.0012138563156535171,0.0023634629698880616,0.46907767764102476,0.03886053443910308,0.01364881164317891,0.000400945122158967,0.0024264480199207503,0.09877553045750745,0.004032580315440409,0.0
bf_Glut-DACH2-LMANsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001845027423118369,0.0,0.0,0.0,0.10444245286079767,0.0012527867494348925,0.39605433391465616,0.0003946670704099353,0.030242474756247962,0.018140543284233583,0.15027805509022577,0.0003847079893703223,0.058693178428930626,0.025094058046944766,0.0455729984060647,0.0,0.00011034942982494798,0.019575169743745704,0.0,0.0,0.00042511394913987614,0.013649381869816147,0.002100996322802717,0.0,0.0
bf_Glut-SATB2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81747993997893e-05,0.0,0.0019983129980660494,0.0,0.0006934112674352434,0.0,0.00019216737402868474,0.0004633130390374376,0.00013666091021356696,0.0,0.0008573346627920358,0.0,0.0004395876220299095,0.0006714719257843013,0.6677754653683581,0.07140473085131374,0.6757195503258234,0.4536286152675886,0.0
gg_Ex_BCL6,0.025165134443685316,0.07928532525900396,0.009002239335106618,0.01139727341246594,0.027837588110832628,0.034823796287168175,0.0002639716701671147,0.25171167370733016,0.0005989523554151171,0.00048527214618857657,0.0013379002328326817,0.0001387772873545285,0.0024856620616897423,0.008951018999914281,0.001730278141986212,0.0034389719434424703,0.0008048908039637135,0.0001845027423118369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_CACNA1H_CPA6,0.5283647532677875,0.19210122912392663,0.15923928375950933,0.0,0.049911715367945815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_CACNA1H_KIT,0.35644817388637684,0.4114519215632346,0.07780797414603188,0.023208873812799076,0.011271267294880307,0.0,0.0,0.0,4.029954937450299e-05,0.0,0.00013112631241898211,9.066604720045892e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_CACNA1H_LHX9,0.5156287233154047,0.3255415146021603,0.27042274394648846,0.6271134115885801,0.017322721520203588,0.00010551332192773428,0.0,4.851725125500182e-05,0.0,0.0,0.0,0.0,0.0,0.0005418561701817688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_CACNA1H_MCTP2,0.18374791639233368,0.16014038803159758,0.010072718109397527,0.03668553939526081,0.0030151714709566067,0.03674609596236677,0.002604955701767723,0.021165621419737837,0.0001848944376196139,0.007644586404397665,0.00020603377739667814,0.000567520290664219,0.0010199914286708512,0.0008068667793677007,0.0017667756738230158,0.0,0.0001463060066634193,0.10444245286079767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_CACNA1H_PROX1,0.1444513901462004,0.40916875740878983,0.010172025281312436,0.0326486242255213,0.0100621722472608,0.009141014329762897,5.891528618955209e-05,0.0020786115882586303,0.0007596329907324565,0.00017507284676943996,0.0009029245930076508,0.000775969338215934,0.00012490784991326764,0.0,0.00018456338325844866,0.0,0.0,0.0012527867494348925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_DACH2_ADAMTS5,0.0002959424424181229,0.0007714108168439277,0.0003668235391749918,0.0002372385289573831,0.00011677250361748811,0.24713717420609926,0.18254060482905304,0.004665252756358191,0.025801685565873415,0.5412269001783913,0.02988262252394504,0.3485978241908823,0.015651078925014564,0.0036688237601570986,0.02925777910985322,0.005230270530736573,0.010522051182776071,0.39605433391465616,4.81747993997893e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
