soup_batch,celltype,gene,var_depth,var_library,var_individual,var_residual,ss_total,F_individual,df_individual,df_residual,n_genes,used_depth,p_perm,padj_perm
batch1,GABA-1-1,LOC110475291,0.027315215721477642,0.017216509934283898,0.8994518830431281,0.05601639130111047,3.90132074003188,24.085411309563348,2,3,8433,TRUE,0.01101384794533868,0.3259432829254791
batch1,GABA-1-1,LOC116184187,1.2092739614505773e-4,0.05735171136734568,0.8749706127560383,0.067556748480471,2.421297898064541,19.427458376174755,2,3,8433,TRUE,0.015109652295381725,0.3624991402842635
batch1,GABA-1-1,ZNF365,0.011073353009030158,0.042249695749030924,0.8732516002091631,0.07342535103277574,37.309427100814105,17.839579680443602,2,3,8433,TRUE,0.01701881413775848,0.37181258969874936
batch1,GABA-1-1,ST6GAL1,0.012798601122784026,0.11359832753570814,0.8732336225934709,3.6944874803690854e-4,2.191228373650212,3545.418521107967,2,3,8433,TRUE,1.4229777707155918e-5,0.05999985770222293
batch1,GABA-1-1,HADHB,0.013163693957877289,0.046025815802545854,0.8714127249183309,0.06939776532124604,23.99964331755387,18.835175474696783,2,3,8433,TRUE,0.015778451847618054,0.3685863834652716
batch1,GABA-1-1,DUSP4,0.008867849700864018,0.016696401338727816,0.8695485339320637,0.10488721502834446,29.921588887423322,12.435479391321607,2,3,8433,TRUE,0.02868723185762633,0.4406546926327192
batch1,GABA-1-1,SYT9,0.02557097698348322,0.0248803669477361,0.869317261797637,0.08023139427114367,22.05342966766282,16.252688919871463,2,3,8433,TRUE,0.0196584379024359,0.39377578819772435
batch1,GABA-1-1,PPP4R1,0.06659166450737626,0.06225221497823106,0.8653773213821326,0.005778799132260085,1.6653905758172607,224.62555841866163,2,3,8433,TRUE,4.624677754825673e-4,0.15999962053926114
batch1,GABA-1-1,LOC116183786,0.011448130425073482,0.11490688881248193,0.8652038172012764,0.008441163561168204,52.49945519189109,153.74725491307817,2,3,8433,TRUE,7.660363665685602e-4,0.17842062948292609
batch1,GABA-1-1,TERT,1.140188447065667e-4,0.00880494046921701,0.8535420851024215,0.13753895558365495,33.599923455887094,9.308730913511342,2,3,8433,TRUE,0.04296444215713943,0.4754700765468914
batch1,GABA-1-1,CNTNAP2,8.426527978913782e-4,0.04349129775883878,0.8525320044024844,0.10313404504078541,0.3161998985220543,12.399377975507631,2,3,8433,TRUE,0.02882241474584431,0.44192622463946374
batch1,GABA-1-1,BICD2,0.052487317294926755,0.08728140561138262,0.8491127350935568,0.011118542000133928,3.0320917678679553,114.55360807424148,2,3,8433,TRUE,0.0011929296977832378,0.20958283627929258
batch1,GABA-1-1,LOC110474726,0.042696845344242396,0.016761771327168225,0.8486729107504914,0.0918684725780979,2.3850026743694492,13.856868742903556,2,3,8433,TRUE,0.02456771121140469,0.4245481734544585
batch1,GABA-1-1,LFNG,4.1293520539328505e-5,0.004614812587460511,0.8486146050011311,0.14672928889086906,2.7679396056955348,8.675308911559172,2,3,8433,TRUE,0.047043645099857465,0.4849866248497531
batch1,GABA-1-1,SLC7A3,0.0038306880952766304,0.10400288317521299,0.8444958351794023,0.0476705935501081,24.13601946523141,26.572854634956204,2,3,8433,TRUE,0.009638302766980276,0.31382164955190994
batch1,GABA-1-1,LOC110483656,0.0012886829906744543,0.031050543394521964,0.8415146305074955,0.12614614310730807,18.550000141500274,10.006425203880179,2,3,8433,TRUE,0.03892792854754287,0.4689350580698558
batch1,GABA-1-1,LOC110482184,0.0010591474478819115,0.1415403191801867,0.8411447977968215,0.016255735575109898,1.9572919622445573,77.61673969568753,2,3,8433,TRUE,0.002143953174544825,0.24131521716201065
batch1,GABA-1-1,SCARF2,0.01836985054434733,0.02973970805234685,0.8404524028067238,0.111438038596582,26.133564831612254,11.312821188228927,2,3,8433,TRUE,0.03265259657868711,0.4477387755253145
batch1,GABA-1-1,ZMYM2,0.05906426256643637,0.03366196705856804,0.8365497655817018,0.0707240047932938,0.5337822361317919,17.742556463538076,2,3,8433,TRUE,0.017251233840308692,0.3739836888825789
batch1,GABA-1-1,ABHD6,0.010191185458661843,0.06627688699807714,0.8336781659612484,0.08985376158201261,1.165807567318806,13.91724983934571,2,3,8433,TRUE,0.02450367721172249,0.4245481734544585
batch1,GABA-2-1,BEND2,0,1.881281931383954e-5,0.9998575576832307,1.2362949745553425e-4,13.220490293429489,8087.532330565761,2,2,11393,FALSE,1.8958976636572217e-4,0.4319992416409345
