soup_library,celltype,repeat_id,n_genes,median_var_between_birds,median_F,F_ratio,p_global,n_sig
nr_run1,Glut-DACH2-5,1,5523,0.24135894246366163,0.954439283503058,1.2007933456789002,0.007984031936127744,0
nr_run1,Glut-DACH2-6,1,7835,0.2650993996326495,1.0821847179066222,1.357804296805753,0.007984031936127744,0
nr_run1,Glut-DACH2-7,1,6254,0.23011896364684012,0.8967059303231939,1.1169783318823134,0.013972055888223553,0
ra_run1,Astro-1,1,4852,0.24565451412515388,0.976957642824932,1.2374675586435404,0.005988023952095809,0
ra_run1,Glut-CACNA1H-RA,1,9012,0.26818109628735187,1.0993748390854807,1.3988402219299465,0.005988023952095809,0
ra_run1,Oligo-1,1,3834,0.24956997956821061,0.997707886826347,1.2426307033959816,0.001996007984031936,0
arco_run1,GABA-2-1,2,7351,0.23032125129762224,0.8977300660279126,1.1347771394996855,0.02594810379241517,0
arco_run1,GABA-4-1,2,7295,0.22044591478929612,0.8483538947642574,1.0667835114558637,0.021956087824351298,0
arco_run1,Glut-CACNA1H-1,2,8269,0.2704355999344207,1.112042747330236,1.419142466710439,0.003992015968063872,0
arco_run1,Glut-CACNA1H-2,2,8440,0.25381208892069285,1.020435088392214,1.2911964701617231,0.007984031936127744,0
hvc_run1,Astro-2,2,5180,0.23696633059443217,0.9316746571252155,1.1629617294423356,0.007984031936127744,0
hvc_run1,GABA-1-1,2,5871,0.2355504008556195,0.9243921422128896,1.1712113147568213,0.001996007984031936,0
hvc_run1,Glut-DACH2-2,2,5965,0.2455527423367376,0.9764211076753765,1.2308238307265353,0.005988023952095809,0
hvc_run1,Glut-DACH2-HVCra,2,7164,0.2408022757460459,0.9515397697127286,1.2107627959829084,0.003992015968063872,0
hvc_run1,Glut-DACH2-HVCra-Pre,2,6515,0.24700530492499143,0.9840918131583369,1.2287799794585281,0.003992015968063872,0
hvc_run1,Glut-DACH2-HVCx,2,9430,0.2581417710913301,1.0438995413926448,1.3343936600002364,0.003992015968063872,0
hvc_run1,Glut-NB,2,7912,0.22194654482959347,0.8557762097884973,1.0847578129986106,0.029940119760479042,0
hvc_run1,Glut-NSC,2,7101,0.22751832186786766,0.883587255110085,1.1313837523522188,0.021956087824351298,0
lman_run1,Astro-3,2,5111,0.24665511620031857,0.9822398273533861,1.2431264890525007,0.003992015968063872,0
lman_run1,Glut-DACH2-LMANco,2,9008,0.24714354590954557,0.9848233828316892,1.2430833555192609,0.001996007984031936,0
lman_run1,Glut-DACH2-LMANsh,2,6092,0.2317166416174278,0.9048092971167508,1.1400208205229563,0.003992015968063872,0
nc_run1,Astro-2,2,6326,0.2616758087209645,1.0632557381061616,1.3254651668022999,0.001996007984031936,0
nc_run1,GABA-1-1,2,5926,0.2709745862016387,1.1150829143954106,1.4464406120610838,0.001996007984031936,0
nc_run1,GABA-1-2,2,5238,0.239858098430611,0.946631537737334,1.2028170436416572,0.005988023952095809,0
nc_run1,Glut-DACH2-1,2,7430,0.22891825325548437,0.8906380714274942,1.1256136575693392,0.001996007984031936,0
nc_run1,Glut-DACH2-2,2,6679,0.2378809993815515,0.9363931322608983,1.173314354304233,0.013972055888223553,0
nc_run1,Glut-DACH2-3,2,8803,0.24196034786028958,0.9575766142733194,1.209835072974504,0.005988023952095809,0
nr_run1,Glut-DACH2-5,2,5559,0.25221990397223026,1.0118746352518473,1.287306840569541,0.005988023952095809,0
nr_run1,Glut-DACH2-6,2,8142,0.25606709247569104,1.0326217197297902,1.3057953503920592,0.007984031936127744,0
nr_run1,Glut-DACH2-7,2,6319,0.23757626241416466,0.9348197755480474,1.1687356774445021,0.005988023952095809,0
