gene,n_combinations
FOXS1,1
FRMD5,1
FRMPD4,1
FRY,1
FSIP1,1
FTO,1
FUNDC2,1
FUT10,1
FUT9,1
GABARAPL1,1
GABBR2,1
GABPA,1
GABRA4,1
GABRG1,1
GALNT14,1
GALNT7,1
GALR2,1
GAN,1
GAS2,1
GAS6,1
GAS7,1
GBE1,1
GFRA1,1
GFRA2,1
GHR,1
GIPC2,1
GK5,1
GLB1,1
GLIS1,1
GNAO1,1
GNG2,1
GNPNAT1,1
GOPC,1
GOT1,1
GPALPP1,1
GPBP1,1
GPC5,1
GPC6,1
GPD1L,1
GPLD1,1
GPM6A,1
GPR18,1
GPR63,1
GRB2,1
GRIA2,1
GRIA4,1
GRID2,1
GRIK1,1
GRIK2,1
GRIK3,1
GRIN2A,1
GRIN2B,1
GRIP2,1
GRK5,1
GRM2,1
GRM3,1
GRM7,1
GRSF1,1
GSG1L,1
GSR,1
GTF2F1,1
GTPBP6,1
GTSE1,1
GUCY1A1,1
GUCY1B1,1
GUF1,1
H6PD,1
HACL1,1
HBS1L,1
HCN4,1
HDAC4,1
HDAC9,1
HDDC2,1
HECTD1,1
HECTD2,1
HELZ,1
HERC3,1
HHAT,1
HHLA2,1
HIF1AN,1
HIP1,1
HIVEP1,1
HIVEP2,1
HMGCLL1,1
HMGCS1,1
HNF1A,1
HNRNPA2B1,1
HNRNPC,1
HNRNPK,1
HNRNPR,1
HPCAL1,1
HPSE2,1
HRH2,1
HS2ST1,1
HS6ST1,1
HS6ST3,1
HSD17B7,1
HSP90AA1,1
HSP90B1,1
HTATSF1,1
HTR1B,1
HTR1D,1
HTR1E,1
HTR1F,1
IAH1,1
IBSP,1
IFNAR1,1
IFT57,1
IFT80,1
IGF2BP3,1
IGFBP5,1
IGSF21,1
IGSF3,1
IL1RAP,1
IMMP2L,1
IMPG1,1
ING3,1
INSYN2B,1
INTS4,1
IPO9,1
IQCG,1
IQSEC1,1
IQUB,1
IRS2,1
ITGA11,1
ITGA2,1
ITGA8,1
ITGA9,1
ITGB8,1
ITIH5,1
ITM2C,1
ITPR1,1
ITSN1,1
IWS1,1
JAG2,1
JAKMIP1,1
JAKMIP3,1
JARID2,1
JCAD,1
JMJD1C,1
JPH1,1
JPT1,1
KANK1,1
KANSL1L,1
KAT14,1
KAT6B,1
KAT7,1
KATNBL1,1
KAZN,1
KCNA2,1
KCNA5,1
KCNB1,1
KCNB2,1
KCNE1,1
KCNH8,1
KCNIP4,1
KCNK2,1
KCNK9,1
KCNQ5,1
KCTD3,1
KCTD8,1
KDM6A,1
KDM7A,1
KDSR,1
KHDRBS3,1
KHSRP,1
KIAA0319,1
KIAA0930,1
KIAA1217,1
KIAA1324L,1
KIF25,1
KIF3B,1
KIF7,1
KIFAP3,1
KLHDC3,1
KLHDC4,1
KLHDC7A,1
KLHDC8B,1
KLHL1,1
KLHL12,1
KLHL13,1
KLHL14,1
KLHL17,1
KLHL41,1
KLHL8,1
KMT2C,1
KPNA5,1
KPNB1,1
LAMA2,1
LAMB3,1
LAMP5,1
LANCL2,1
LARGE1,1
LARGE2,1
LDB3,1
LDLRAD3,1
LEKR1,1
LEMD2,1
LEPROT,1
LFNG,1
LHFPL3,1
LHFPL4,1
LIG4,1
LIMCH1,1
LIMS2,1
LIN28B,1
LINGO2,1
LINGO3,1
LINS1,1
LIPA,1
LMF1,1
LMNB2,1
LMO1,1
LMO3,1
LMO4,1
LMO7,1
LMOD1,1
LMTK2,1
LOC110467639,1
LOC110467667,1
LOC110467859,1
LOC110467866,1
LOC110467888,1
LOC110467891,1
LOC110467957,1
LOC110468060,1
LOC110468063,1
LOC110468065,1
LOC110468107,1
LOC110468135,1
LOC110468139,1
LOC110468239,1
LOC110468292,1
LOC110468312,1
LOC110468323,1
LOC110468500,1
LOC110468609,1
LOC110468610,1
LOC110468619,1
LOC110468636,1
LOC110468696,1
LOC110468709,1
LOC110468714,1
LOC110468760,1
LOC110468846,1
LOC110468874,1
LOC110468875,1
LOC110469084,1
LOC110469115,1
LOC110469127,1
LOC110469381,1
LOC110469457,1
LOC110469499,1
LOC110469602,1
LOC110469629,1
LOC110469653,1
LOC110469679,1
LOC110469696,1
LOC110469803,1
LOC110469851,1
LOC110469856,1
LOC110469881,1
LOC110469903,1
LOC110469940,1
LOC110469952,1
LOC110470011,1
LOC110470021,1
LOC110470105,1
LOC110470149,1
LOC110470153,1
LOC110470183,1
LOC110470184,1
LOC110470270,1
LOC110470334,1
LOC110470362,1
LOC110470373,1
LOC110470380,1
LOC110470497,1
LOC110470605,1
LOC110470757,1
LOC110470816,1
LOC110470850,1
LOC110470876,1
LOC110470947,1
LOC110470966,1
LOC110471003,1
LOC110471174,1
LOC110471177,1
LOC110471224,1
LOC110471240,1
LOC110471252,1
LOC110471328,1
LOC110471347,1
LOC110471375,1
LOC110471404,1
LOC110471476,1
LOC110471496,1
LOC110471518,1
LOC110471577,1
LOC110471624,1
LOC110471630,1
LOC110471663,1
LOC110471980,1
LOC110471984,1
LOC110472113,1
LOC110472234,1
LOC110472277,1
LOC110472322,1
LOC110472485,1
LOC110472734,1
LOC110472888,1
LOC110472934,1
LOC110472947,1
LOC110473097,1
LOC110473120,1
LOC110473193,1
LOC110473194,1
LOC110473236,1
LOC110473256,1
LOC110473268,1
LOC110473279,1
LOC110473311,1
LOC110473331,1
LOC110473521,1
LOC110473557,1
LOC110473701,1
LOC110473754,1
LOC110473772,1
LOC110473775,1
LOC110473844,1
LOC110474003,1
LOC110474114,1
LOC110474173,1
LOC110474204,1
LOC110474383,1
LOC110474418,1
LOC110474476,1
LOC110474503,1
LOC110474508,1
LOC110474551,1
LOC110474635,1
LOC110474663,1
LOC110474685,1
LOC110474743,1
LOC110474826,1
LOC110474848,1
LOC110474861,1
LOC110474913,1
LOC110474988,1
LOC110474989,1
LOC110474992,1
LOC110475064,1
LOC110475096,1
LOC110475118,1
LOC110475163,1
LOC110475291,1
LOC110475294,1
LOC110475296,1
LOC110475308,1
LOC110475535,1
LOC110475560,1
LOC110475681,1
LOC110475713,1
LOC110475760,1
LOC110475831,1
LOC110475846,1
LOC110475876,1
LOC110475946,1
LOC110475973,1
LOC110475975,1
LOC110476092,1
LOC110476295,1
LOC110476528,1
LOC110476601,1
LOC110476602,1
LOC110476773,1
LOC110476778,1
LOC110476786,1
LOC110476867,1
LOC110476977,1
LOC110477177,1
LOC110477204,1
LOC110477271,1
LOC110477349,1
LOC110477357,1
LOC110477408,1
LOC110477417,1
LOC110477470,1
LOC110477512,1
LOC110477604,1
LOC110477797,1
LOC110477894,1
LOC110478067,1
LOC110478224,1
LOC110478227,1
LOC110478299,1
LOC110478302,1
LOC110478339,1
LOC110478438,1
LOC110478441,1
LOC110478553,1
LOC110478589,1
LOC110478889,1
LOC110479021,1
LOC110479075,1
LOC110479078,1
LOC110479132,1
LOC110479139,1
LOC110479140,1
LOC110479188,1
LOC110479289,1
LOC110479303,1
LOC110479305,1
LOC110479386,1
LOC110479460,1
LOC110479472,1
LOC110479572,1
LOC110479573,1
LOC110479603,1
LOC110479605,1
LOC110479712,1
LOC110479717,1
LOC110479734,1
LOC110479805,1
LOC110479822,1
LOC110479881,1
LOC110479895,1
LOC110480029,1
LOC110480104,1
LOC110480175,1
LOC110480294,1
LOC110480303,1
LOC110480370,1
LOC110480379,1
LOC110480474,1
LOC110480537,1
LOC110480605,1
LOC110480694,1
LOC110480718,1
LOC110480789,1
LOC110481017,1
LOC110481030,1
LOC110481082,1
LOC110481109,1
LOC110481110,1
LOC110481176,1
LOC110481191,1
LOC110481214,1
LOC110481230,1
LOC110481267,1
LOC110481399,1
LOC110481537,1
LOC110481538,1
LOC110481553,1
LOC110481696,1
LOC110481732,1
LOC110481853,1
LOC110481900,1
LOC110482034,1
LOC110482089,1
LOC110482105,1
LOC110482110,1
LOC110482152,1
LOC110482153,1
LOC110482171,1
LOC110482258,1
LOC110482360,1
LOC110482366,1
LOC110482372,1
LOC110482420,1
LOC110482502,1
LOC110482565,1
LOC110482633,1
LOC110482638,1
LOC110482703,1
LOC110482785,1
LOC110482799,1
LOC110482801,1
LOC110482821,1
LOC110482922,1
LOC110482945,1
LOC110483085,1
LOC110483184,1
LOC110483230,1
LOC110483369,1
LOC110483426,1
LOC110483430,1
LOC110483456,1
LOC110483535,1
LOC110483545,1
LOC110483671,1
LOC110483683,1
LOC110483715,1
LOC110483748,1
LOC110483838,1
LOC110483890,1
LOC110483899,1
LOC110483912,1
LOC110484000,1
LOC110484011,1
LOC110484036,1
LOC110484093,1
LOC110484122,1
LOC110484132,1
LOC110484146,1
LOC110484220,1
LOC110484223,1
LOC110484333,1
LOC110484356,1
LOC110484500,1
LOC110484528,1
LOC110484542,1
LOC110484562,1
LOC110484566,1
LOC110484735,1
LOC110484737,1
LOC110484766,1
LOC110484795,1
LOC110484798,1
LOC110484836,1
LOC110484889,1
LOC110485016,1
LOC116183124,1
LOC116183128,1
LOC116183141,1
LOC116183143,1
LOC116183180,1
LOC116183186,1
LOC116183201,1
LOC116183224,1
LOC116183235,1
LOC116183241,1
LOC116183244,1
LOC116183262,1
LOC116183275,1
LOC116183353,1
LOC116183356,1
LOC116183377,1
LOC116183382,1
LOC116183412,1
LOC116183441,1
LOC116183463,1
LOC116183499,1
LOC116183507,1
LOC116183510,1
LOC116183531,1
LOC116183532,1
LOC116183537,1
LOC116183539,1
LOC116183543,1
LOC116183548,1
LOC116183557,1
LOC116183569,1
LOC116183603,1
LOC116183607,1
LOC116183634,1
LOC116183636,1
LOC116183645,1
LOC116183674,1
LOC116183706,1
LOC116183714,1
LOC116183716,1
LOC116183741,1
LOC116183750,1
LOC116183758,1
LOC116183759,1
LOC116183760,1
LOC116183763,1
LOC116183854,1
LOC116183857,1
LOC116183860,1
LOC116183864,1
LOC116183884,1
LOC116183903,1
LOC116183905,1
LOC116183910,1
LOC116183965,1
LOC116184016,1
LOC116184036,1
LOC116184039,1
LOC116184042,1
LOC116184075,1
LOC116184076,1
LOC116184080,1
LOC116184105,1
LOC116184106,1
LOC116184115,1
LOC116184130,1
LOC116184134,1
LOC116184219,1
LOC116184268,1
LOC116184311,1
LOC116184377,1
LOC116184379,1
LOC116184398,1
LOC116184533,1
LOC116184561,1
LOC116184565,1
LOC116184593,1
LOC116184622,1
LOC116184623,1
LOC116184661,1
LOC116184685,1
LOC116184747,1
LOC116184772,1
LOC116184812,1
LOC116184831,1
LOXHD1,1
LPCAT1,1
LPCAT2,1
LPIN2,1
LPL,1
LPP,1
LRCH1,1
LRFN2,1
LRIF1,1
LRIG2,1
LRP8,1
LRRC57,1
LRRC7,1
LRRC75A,1
LRRC8A,1
LRRN2,1
LRTM2,1
LTBP1,1
LUC7L,1
LYST,1
LZTS1,1
LZTS3,1
MAB21L1,1
MAGI2,1
MAMDC4,1
MAML2,1
MAN1C1,1
MANEA,1
MAP1B,1
MAP2K2,1
MAP2K6,1
MAP4K5,1
MAP6D1,1
MAP7,1
MAP9,1
MAPK10,1
MAPK12,1
MAPK8,1
MAPRE2,1
MARCHF8,1
MAT2A,1
MBD5,1
MBNL3,1
MBOAT2,1
MCC,1
MCU,1
MDGA2,1
MDN1,1
ME1,1
MED26,1
MEGF11,1
MEIS1,1
MEIS2,1
MET,1
METTL5,1
MEX3B,1
MFAP3,1
MFSD6,1
MGAT4C,1
MGAT5,1
MIB2,1
MICU1,1
MID1,1
MIPOL1,1
MKKS,1
MMP15,1
MN1,1
MOB2,1
MORC2,1
MOSPD2,1
MPHOSPH8,1
MPPED1,1
MRAP2,1
MRPL23,1
MRPL4,1
MRPS18A,1
MRTFA,1
MSI1,1
MSRA,1
MSRB3,1
MSTN,1
MTERF3,1
MTPN,1
MTR,1
MTSS1,1
MUC6,1
MXD4,1
MXRA8,1
MYH10,1
MYH15,1
MYO16,1
MYO1B,1
MYO1E,1
MYO5B,1
MYO6,1
MYO7A,1
MYO7B,1
MYOD1,1
MYPN,1
MYRIP,1
NAA35,1
NAALADL2,1
NABP1,1
NAGLU,1
NANS,1
NARF,1
NAV2,1
NCAM2,1
NCAPH,1
NCEH1,1
NCOA5,1
NCOR2,1
NDNF,1
NDRG1,1
NECAP2,1
NEDD1,1
NEFM,1
NEIL3,1
NEK3,1
NEK6,1
NEK7,1
NETO1,1
NEURL1,1
NEXMIF,1
NEXN,1
NFATC1,1
NFE2L3,1
NFIL3,1
NFS1,1
NFX1,1
NFYB,1
NIN,1
NIPA1,1
NKAIN2,1
NKAIN4,1
NLGN1,1
NLRC3,1
NME6,1
NOA1,1
NONO,1
NOS2,1
NOTCH2,1
NPHP3,1
NPLOC4,1
NPRL3,1
NPTXR,1
NPVF,1
NR1H3,1
NR4A3,1
NRG2,1
NRN1,1
NRP1,1
NRP2,1
NRXN1,1
NRXN3,1
NSF,1
NSFL1C,1
NSG1,1
NSUN3,1
NT5C2,1
NTNG1,1
NTNG2,1
NTRK3,1
NUDC,1
NUDT21,1
NUP107,1
NUP205,1
NUP43,1
NUP93,1
NYAP2,1
OBSCN,1
OLA1,1
OPA1,1
OPN4,1
ORC4,1
OSBP2,1
OSBPL3,1
OSBPL5,1
OSBPL6,1
OSTF1,1
OTUD7A,1
OTULIN,1
OXR1,1
OXSR1,1
P2RY1,1
P3H2,1
PABPC4,1
PACC1,1
PACRG,1
PACSIN3,1
PAIP2B,1
PAK5,1
PAPPA,1
PAPPA2,1
PARD3,1
PARK7,1
PARN,1
PARP9,1
PARVA,1
PASD1,1
PAXBP1,1
PBX1,1
PBX3,1
PCCA,1
PCDH11X,1
PCDH17,1
PCDH7,1
PCGF3,1
PCNP,1
