soup_batch,soup_library,celltype,mean_prop,sd_prop,cv_prop,min_prop,max_prop,fold_range,n_individuals
batch1,hvc_run1,Oligo-2,0.023208624543936116,0.008321451374437,0.35854995881740886,0.015684612123781264,0.03214638971315529,2.0494826379402817,3
batch1,hvc_run1,Oligo-3,0.0011321434911939364,4.3832488485788003e-4,0.3871637193229201,6.41025641025641e-4,0.001483679525222552,2.31249257093652,3
batch1,nc_run1,Astro-1,0.0015472395316944781,6.36765020729957e-4,0.4115490896439261,8.382229673093043e-4,0.002070393374741201,2.4682277004196522,3
batch1,nc_run1,Astro-2,0.05546310593049529,0.00991636915874362,0.17879217170366402,0.045548654244306416,0.06538139145012574,1.4354091712627732,3
batch1,nc_run1,Astro-3,0.001782172112856158,0.0021647152104224254,1.2146499178203352,0,0.004191114836546521,4192.1148365465215,3
batch1,nc_run1,Endo,0.006306465355695275,0.00838148761805184,1.3290309460722944,5.777007510109763e-4,0.01592623637887678,27.522404888972897,3
batch1,nc_run1,Epen,0,0,NA,0,0,1,3
batch1,nc_run1,GABA-1-1,0.06250609891400495,0.0011459298458168432,0.018333088542182067,0.06142167011732229,0.06370494551550712,1.0371731706521972,3
batch1,nc_run1,GABA-1-2,0.042663912304639874,0.006608863375768662,0.15490523533281128,0.03870595031773541,0.050293378038558254,1.2993629729468383,3
batch1,nc_run1,GABA-2-1,0.011896833987025162,0.002062964162646054,0.17340446751597519,0.010398613518197574,0.014249790444258172,1.3703192353563607,3
batch1,nc_run1,GABA-2-2,0.020371938542592553,0.00818815222338582,0.401932894420748,0.01097631426920855,0.025984911986588432,2.3672376821240433,3
batch1,nc_run1,GABA-2-3,0.0092203707637293,0.0031553253344129965,0.3422124137160818,0.00586756077116513,0.012131715771230503,2.0674090708652066,3
batch1,nc_run1,GABA-3,0.03783873448631002,0.0018339910506115448,0.048468614912982336,0.03581744656268053,0.039396479463537304,1.0999214997946278,3
batch1,nc_run1,GABA-4-1,0.004174632895167109,7.974187371263663e-4,0.1910152957519983,0.003450655624568668,0.005029337803855826,1.4573695498618684,3
batch1,nc_run1,GABA-4-2,0,0,NA,0,0,1,3
batch1,nc_run1,GABA-5-1,0.007271409351163636,0.0025073812438408767,0.3448274086562907,0.005199306759098787,0.010058675607711651,1.9344388848043632,3
batch1,nc_run1,GABA-5-2,0.014212043794126704,0.002509719038048355,0.17659100087248014,0.01173512154233026,0.016753321779318313,1.427585912338095,3
batch1,nc_run1,GABA-6,0.006961523187400118,2.71469969015798e-4,0.03899577171661801,0.006705783738474434,0.007246376811594203,1.080603921969122,3
batch1,nc_run1,GABA-7,0.0067195923229312685,0.001081661165600171,0.16097124849507552,0.00586756077116513,0.007936507936507936,1.3525476255623816,3
batch1,nc_run1,GABA-8,0.005918846146922884,0.0026397331325226994,0.4459877933970383,0.003352891869237217,0.00862663906142167,2.5724261239775363,3
batch1,nc_run1,GABA-Im,0.009532260232458428,0.0059927089451346114,0.628676599147887,0.004043905257076834,0.01592623637887678,3.9376043112532755,3
batch1,nc_run1,Glut-CACNA1H-1,0,0,NA,0,0,1,3
batch1,nc_run1,Glut-CACNA1H-2,0,0,NA,0,0,1,3
batch1,nc_run1,Glut-CACNA1H-3,0,0,NA,0,0,1,3
batch1,nc_run1,Glut-CACNA1H-4,0,0,NA,0,0,1,3
batch1,nc_run1,Glut-CACNA1H-RA,0,0,NA,0,0,1,3
batch1,nc_run1,Glut-DACH2-1,0.31101758091448095,0.06953006456745928,0.2235567017241306,0.24224643755238895,0.38128249566724437,1.5739423273973214,3
batch1,nc_run1,Glut-DACH2-2,0.08899028883739889,0.03372039907263835,0.37892223424795857,0.05037957211870255,0.11265164644714037,2.23603348889563,3
batch1,nc_run1,Glut-DACH2-3,0.10744017064218869,0.05088588877612776,0.4736206995202437,0.0635470826112074,0.16321601104209799,2.5684018200938277,3
batch1,nc_run1,Glut-DACH2-4,0.033826484087794775,0.004895507699711828,0.14472410691592444,0.028499580888516344,0.038128249566724434,1.3378411379007276,3
batch1,nc_run1,Glut-DACH2-5,0.023497966359058646,0.005062194791999155,0.21543118730560445,0.02035886818495514,0.02933780385582565,1.4410114834390462,3
batch1,nc_run1,Glut-DACH2-6,0,0,NA,0,0,1,3
batch1,nc_run1,Glut-DACH2-7,0.0012890147080037205,3.408658326725913e-4,0.2644390560915209,0.0010351966873706005,0.0016764459346186086,1.6188489647416353,3
batch1,nc_run1,Glut-DACH2-8,3.075887711559477e-4,2.906680612732004e-4,0.9449891820850361,0,5.777007510109763e-4,578.7007510109763,3
batch1,nc_run1,Glut-DACH2-HVCra,0,0,NA,0,0,1,3
batch1,nc_run1,Glut-DACH2-HVCra-Pre,0.0038551569678468905,8.500184528591464e-4,0.2204886752857388,0.0028885037550548816,0.004485852311939268,1.5528106873334198,3
batch1,nc_run1,Glut-DACH2-HVCx,1.1502185415228893e-4,1.9922369537254167e-4,1.7320508075688772,0,3.450655624568668e-4,346.06556245686687,3
batch1,nc_run1,Glut-DACH2-LMANco,0,0,NA,0,0,1,3
batch1,nc_run1,Glut-DACH2-LMANsh,0,0,NA,0,0,1,3
batch1,nc_run1,Glut-GABA,0.012674099938346966,0.0010869367184398325,0.08576046612597546,0.01173512154233026,0.01386481802426343,1.181465101077192,3
batch1,nc_run1,Glut-Im,0.052507498059354916,0.008367375221258619,0.1593558164169252,0.04679376083188908,0.062111801242236024,1.3273452014292209,3
batch1,nc_run1,Glut-NB,0.02150663928233496,0.007810162288118812,0.3631512197507257,0.015020219526285385,0.030176026823134954,2.0089598431291598,3
batch1,nc_run1,Glut-NSC,0,0,NA,0,0,1,3
batch1,nc_run1,Glut-SATB2-1,5.588153115395362e-4,9.678965116339074e-4,1.7320508075688774,0,0.0016764459346186086,1677.4459346186086,3
batch1,nc_run1,Micro,0.006163556473798768,0.0064547137380905305,1.0472385165171227,0.0010351966873706005,0.013411567476948869,12.944036243721172,3
batch1,nc_run1,OPC,0.026892447735012457,0.012445386649344041,0.4627837068598574,0.01559792027729636,0.040234702430846606,2.579390221604514,3
batch1,nc_run1,Oligo-1,2.3004370830457787e-4,3.9844739074508333e-4,1.7320508075688772,0,6.901311249137336e-4,691.1311249137336,3
batch1,nc_run1,Oligo-2,0.004625424635861525,5.183850531976237e-4,0.11207296497245167,0.004191114836546521,0.005199306759098787,1.240497210086644,3
batch1,nc_run1,Oligo-3,1.1502185415228893e-4,1.9922369537254167e-4,1.7320508075688772,0,3.450655624568668e-4,346.06556245686687,3
batch1,ra_run1,Astro-1,0.16988750684685844,0.016008846810461216,0.09423204276516965,0.15428571428571428,0.18627450980392157,1.207333441938294,3
batch1,ra_run1,Astro-2,0.016771460149821935,0.01161900159889748,0.6927841401466074,0.006784968684759917,0.029523809523809525,4.350861445929896,3
batch1,ra_run1,Astro-3,0,0,NA,0,0,1,3
batch1,ra_run1,Endo,0.0036243028874737094,0.0010814014466891157,0.2983750200422398,0.0026096033402922755,0.004761904761904762,1.8244459770634942,3
batch1,ra_run1,Epen,0,0,NA,0,0,1,3
batch1,ra_run1,GABA-1-1,0.025107902590402898,0.005586509607463894,0.2225000510237462,0.018907563025210083,0.029749478079331943,1.5733865148645478,3
batch1,ra_run1,GABA-1-2,0.013102557654933929,0.0035011308168488467,0.26720972416636934,0.010960334029227558,0.017142857142857144,1.5640301716145464,3
batch1,ra_run1,GABA-2-1,0.0402749074577639,0.005908067047340095,0.14669349776994164,0.0350140056022409,0.04666666666666667,1.3327904955034484,3
batch1,ra_run1,GABA-2-2,0.002413914765627893,0.001649032353074431,0.6831361142304022,9.523809523809524e-4,0.004201680672268907,4.408186110466363,3
batch1,ra_run1,GABA-2-3,0.009008925769333482,0.004399906636335525,0.4883941492017698,0.005714285714285714,0.014005602240896359,2.4507265150167346,3
batch1,ra_run1,GABA-3,0.010791350639072609,0.008414986694572427,0.7797899425215598,0.0035014005602240898,0.02,5.710654637035662,3
batch1,ra_run1,GABA-4-1,0.034488010931582096,0.009937026169879973,0.28812987184425376,0.028011204481792718,0.04592901878914405,1.6396431355125047,3
batch1,ra_run1,GABA-4-2,0.021993142420503344,0.008959371670978572,0.40737114777313954,0.012380952380952381,0.03011204481792717,2.4320110344028776,3
batch1,ra_run1,GABA-5-1,0.023883226220202766,0.0036109420563311292,0.15119155272568,0.02,0.027139874739039668,1.3569758881575755,3
batch1,ra_run1,GABA-5-2,0.011390443442512704,0.0029422510108791117,0.2583087327309584,0.008403361344537815,0.014285714285714285,1.6999167099115207,3
batch1,ra_run1,GABA-6,0.018667060421941915,0.00385551820842933,0.2065412615206098,0.01619047619047619,0.023109243697478993,1.4273092475084153,3
batch1,ra_run1,GABA-7,8.988341335142268e-4,1.7792983175830303e-4,0.1979562470137175,7.002801120448179e-4,0.0010438413361169101,1.4899058424319547,3
batch1,ra_run1,GABA-8,0.00571198555970753,0.002808838536159528,0.49174468436564966,0.0035014005602240898,0.008872651356993737,2.5335912339010087,3
batch1,ra_run1,GABA-Im,0.006068704447680255,0.0014977015138690724,0.2467909793236948,0.004761904761904762,0.007703081232492998,1.6175173801736928,3
batch1,ra_run1,Glut-CACNA1H-1,0.06357753957532908,0.014178102054737698,0.22300488740900307,0.05375782881002088,0.07983193277310924,1.4850199407288434,3
batch1,ra_run1,Glut-CACNA1H-2,0.03160098555775825,0.03086663232700892,0.9767616984790831,0.0056022408963585435,0.06571428571428571,11.728085036820927,3
batch1,ra_run1,Glut-CACNA1H-3,0.004312770341261069,0.003739472564723933,0.8670697182615336,0.0015657620041753654,0.008571428571428572,5.471429961017278,3
batch1,ra_run1,Glut-CACNA1H-4,0.01553853831024407,0.019593196864198508,1.2609420830324387,0.0028011204481792717,0.038100208768267224,13.597277302274486,3
batch1,ra_run1,Glut-CACNA1H-RA,0.27783514519238456,0.03055246424967046,0.10996616079119388,0.24269311064718163,0.2980952380952381,1.2282796533476565,3
batch1,ra_run1,Glut-DACH2-1,0.0015657620041753652,0.0027119793437926053,1.7320508075688774,0,0.004697286012526096,4698.286012526096,3
batch1,ra_run1,Glut-DACH2-2,0.0013597812124153767,0.001299816119357088,0.9559009254497841,5.219206680584551e-4,0.002857142857142857,5.465729376799766,3
batch1,ra_run1,Glut-DACH2-3,7.248605774947418e-4,2.162802893378231e-4,0.2983750200422398,5.219206680584551e-4,9.523809523809524e-4,1.8231846829094505,3
batch1,ra_run1,Glut-DACH2-4,1.7397355601948502e-4,3.0133103819917836e-4,1.7320508075688774,0,5.219206680584551e-4,522.9206680584551,3
batch1,ra_run1,Glut-DACH2-5,0,0,NA,0,0,1,3
batch1,ra_run1,Glut-DACH2-6,0,0,NA,0,0,1,3
batch1,ra_run1,Glut-DACH2-7,0,0,NA,0,0,1,3
batch1,ra_run1,Glut-DACH2-8,0,0,NA,0,0,1,3
batch1,ra_run1,Glut-DACH2-HVCra,0,0,NA,0,0,1,3
batch1,ra_run1,Glut-DACH2-HVCra-Pre,3.4794711203897004e-4,6.026620763983567e-4,1.7320508075688774,0,0.0010438413361169101,1044.84133611691,3
batch1,ra_run1,Glut-DACH2-HVCx,0,0,NA,0,0,1,3
batch1,ra_run1,Glut-DACH2-LMANco,0,0,NA,0,0,1,3
batch1,ra_run1,Glut-DACH2-LMANsh,0,0,NA,0,0,1,3
batch1,ra_run1,Glut-GABA,1.7397355601948502e-4,3.0133103819917836e-4,1.7320508075688774,0,5.219206680584551e-4,522.9206680584551,3
batch1,ra_run1,Glut-Im,6.654074294992875e-4,5.780713934047585e-4,0.868748029819492,0,0.0010438413361169101,1044.84133611691,3
batch1,ra_run1,Glut-NB,2.3342670401493932e-4,4.043069111972169e-4,1.7320508075688772,0,7.002801120448179e-4,701.280112044818,3
batch1,ra_run1,Glut-NSC,0,0,NA,0,0,1,3
batch1,ra_run1,Glut-SATB2-1,0,0,NA,0,0,1,3
batch1,ra_run1,Micro,0.004236163498106271,4.448845144845633e-4,0.1050206194079723,0.0038095238095238095,0.004697286012526096,1.2329764219773311,3
batch1,ra_run1,OPC,0.06132861216859743,0.009293082190391398,0.15152930845465645,0.05523809523809524,0.0720250521920668,1.303896305354302,3
batch1,ra_run1,Oligo-1,0.10513788257126093,0.01864544449790565,0.17734278113569615,0.0838095238095238,0.11834733893557423,1.4120940134504412,3
batch1,ra_run1,Oligo-2,0.0059513185928511975,0.0032826645366225587,0.5515860872522836,0.002857142857142857,0.009394572025052192,3.2872996538894053,3
batch1,ra_run1,Oligo-3,0.011151675701595878,0.0048759577592580785,0.4372399170969702,0.005714285714285714,0.015135699373695199,2.648458910087394,3
batch2,lman_run1,Astro-1,1.6079755587715066e-4,2.785095365121205e-4,1.7320508075688774,0,4.82392667631452e-4,483.39266763145207,3
batch2,lman_run1,Astro-2,0.005683022302849955,0.004921122754751626,0.8659340914927875,9.610764055742432e-4,0.01078167115902965,11.207707721086559,3
