soup_batch,soup_library,celltype,n_cells,prop_of_library,home_library,rel_density,resident
batch2,nr_run1,GABA-1-1,524,0.08679807851581911,nr_run1,1,TRUE
batch2,nr_run1,GABA-1-2,123,0.02037435812489647,nr_run1,1,TRUE
batch2,nr_run1,GABA-2-1,32,0.005300646016233228,nr_run1,1,TRUE
batch2,nr_run1,GABA-2-2,125,0.02070564850091105,nr_run1,1,TRUE
batch2,nr_run1,GABA-2-3,91,0.015073712108663243,lman_run1,0.4612555905250952,FALSE
batch2,nr_run1,GABA-3,261,0.043233394069902266,nr_run1,1,TRUE
batch2,nr_run1,GABA-4-1,33,0.005466291204240517,nr_run1,1,TRUE
batch2,nr_run1,GABA-4-2,15,0.0024846778201093257,lman_run1,0.03849678040270651,FALSE
batch2,nr_run1,GABA-5-1,46,0.007619678648335266,nr_run1,1,TRUE
batch2,nr_run1,GABA-5-2,68,0.01126387278449561,nr_run1,1,TRUE
batch2,nr_run1,GABA-6,50,0.008282259400364419,lman_run1,0.5132904053694202,TRUE
batch2,nr_run1,GABA-7,52,0.008613549776378996,lman_run1,0.8606518307173789,TRUE
batch2,nr_run1,GABA-8,47,0.0077853238363425545,nr_run1,1,TRUE
batch2,nr_run1,GABA-Im,48,0.007950969024349842,nr_run1,1,TRUE
batch2,nr_run1,Glut-DACH2-1,167,0.02766274639721716,nr_run1,1,TRUE
batch2,nr_run1,Glut-DACH2-2,6,9.938711280437303e-4,nr_run1,1,TRUE
batch2,nr_run1,Glut-DACH2-3,1,1.6564518800728838e-4,nr_run1,1,TRUE
batch2,nr_run1,Glut-DACH2-4,3,4.969355640218651e-4,nr_run1,1,TRUE
batch2,nr_run1,Glut-DACH2-5,953,0.15785986417094583,nr_run1,1,TRUE
batch2,nr_run1,Glut-DACH2-6,709,0.11744243829716747,nr_run1,1,TRUE
batch2,nr_run1,Glut-DACH2-7,804,0.13317873115785986,nr_run1,1,TRUE
batch2,nr_run1,Glut-DACH2-8,320,0.053006460162332285,lman_run1,0.7414846541565111,TRUE
batch2,nr_run1,Glut-DACH2-LMANco,5,8.28225940036442e-4,lman_run1,0.005972009134636848,FALSE
batch2,nr_run1,Glut-DACH2-LMANsh,36,0.005963226768262382,lman_run1,0.025700667480116745,FALSE
batch2,nr_run1,Glut-GABA,101,0.016730163988736127,nr_run1,1,TRUE
batch2,nr_run1,Glut-Im,520,0.08613549776378997,nr_run1,1,TRUE
batch2,nr_run1,Glut-NB,34,0.005631936392247805,lman_run1,0.8355745629225834,TRUE
batch2,nr_run1,Glut-SATB2-1,375,0.06211694550273315,nr_run1,1,TRUE
batch2,nr_run1,Micro,7,0.0011595163160510187,nr_run1,1,TRUE
batch2,nr_run1,OPC,91,0.015073712108663243,nr_run1,1,TRUE
batch2,nr_run1,Oligo-2,22,0.0036441941361603446,lman_run1,0.9912208050356137,TRUE
batch2,nr_run1,Oligo-3,2,3.3129037601457677e-4,lman_run1,0.13516647341394733,FALSE
