region,reduction,soup_batch,celltype_hybrid,n_cells,n_birds,bird_var_ratio
arco,dims30nn30mindist0.5,batch1,Glut-CACNA1H-RA,1218,3,0.7770627263624005
arco,dims30nn40mindist0.3,batch1,Glut-CACNA1H-1,1168,3,0.11980578164896749
arco,dims30nn40mindist0.3,batch1,Glut-CACNA1H-2,857,3,0.025396209630605293
arco,dims30nn40mindist0.3,batch1,Glut-CACNA1H-3,406,3,0.14012337622785176
arco,dims30nn40mindist0.3,batch1,Glut-CACNA1H-4,267,3,0.05805011190177645
arco,dims30nn40mindist0.3,batch1,Glut-CACNA1H-RA,1218,3,0.8236840037747082
arco,dims30nn40mindist0.4,batch1,Glut-CACNA1H-1,1168,3,0.16290925934979972
arco,dims30nn40mindist0.4,batch1,Glut-CACNA1H-2,857,3,0.028245130983982847
arco,dims30nn40mindist0.4,batch1,Glut-CACNA1H-3,406,3,0.13267480591090974
arco,dims30nn40mindist0.4,batch1,Glut-CACNA1H-4,267,3,0.06255086385403641
arco,dims30nn40mindist0.4,batch1,Glut-CACNA1H-RA,1218,3,0.8187921327771547
arco,dims30nn40mindist0.5,batch1,Glut-CACNA1H-1,1168,3,0.1665901132838301
arco,dims30nn40mindist0.5,batch1,Glut-CACNA1H-2,857,3,0.028181114562740528
arco,dims30nn40mindist0.5,batch1,Glut-CACNA1H-3,406,3,0.13279965692654871
arco,dims30nn40mindist0.5,batch1,Glut-CACNA1H-4,267,3,0.06266632380101056
arco,dims30nn40mindist0.5,batch1,Glut-CACNA1H-RA,1218,3,0.780640237262289
arco,dims30nn50mindist0.3,batch1,Glut-CACNA1H-1,1168,3,0.13124272971931428
arco,dims30nn50mindist0.3,batch1,Glut-CACNA1H-2,857,3,0.026403319859034546
arco,dims30nn50mindist0.3,batch1,Glut-CACNA1H-3,406,3,0.13088568241306686
arco,dims30nn50mindist0.3,batch1,Glut-CACNA1H-4,267,3,0.06685071180462732
arco,dims30nn50mindist0.3,batch1,Glut-CACNA1H-RA,1218,3,0.798050199831176
arco,dims30nn50mindist0.4,batch1,Glut-CACNA1H-1,1168,3,0.14384901809373574
arco,dims30nn50mindist0.4,batch1,Glut-CACNA1H-2,857,3,0.0265204123499716
arco,dims30nn50mindist0.4,batch1,Glut-CACNA1H-3,406,3,0.12322502485928921
arco,dims30nn50mindist0.4,batch1,Glut-CACNA1H-4,267,3,0.06412610829388887
arco,dims30nn50mindist0.4,batch1,Glut-CACNA1H-RA,1218,3,0.7987239992048382
arco,dims30nn50mindist0.5,batch1,Glut-CACNA1H-1,1168,3,0.18388773959085747
arco,dims30nn50mindist0.5,batch1,Glut-CACNA1H-2,857,3,0.026619821015663625
arco,dims30nn50mindist0.5,batch1,Glut-CACNA1H-3,406,3,0.12587115102688518
arco,dims30nn50mindist0.5,batch1,Glut-CACNA1H-4,267,3,0.06276027662763006
arco,dims30nn50mindist0.5,batch1,Glut-CACNA1H-RA,1218,3,0.7691952984971284
nido,dims10nn30mindist0.3,batch1,Glut-DACH2-1,2345,3,0.007922473264967977
nido,dims10nn30mindist0.3,batch1,Glut-DACH2-2,959,3,0.009229094433144236
nido,dims10nn30mindist0.3,batch1,Glut-DACH2-3,724,3,0.00815504820093782
nido,dims10nn30mindist0.3,batch1,Glut-DACH2-4,260,3,0.0036363672666739344
nido,dims10nn30mindist0.3,batch1,Glut-DACH2-5,149,3,0.008227701294948653
nido,dims10nn30mindist0.3,batch1,Glut-DACH2-HVCra,3017,3,0.004832426845741367
nido,dims10nn30mindist0.3,batch1,Glut-DACH2-HVCra-Int,692,3,0.012294476042261082
nido,dims10nn30mindist0.3,batch1,Glut-DACH2-HVCx,342,3,0.009689363201665802
nido,dims10nn30mindist0.3,batch1,Glut-Im,432,3,0.004634077951934934
nido,dims10nn30mindist0.3,batch1,Glut-NB,556,3,0.017035542448829544
nido,dims10nn30mindist0.3,batch2,Glut-DACH2-1,216,3,0.06023760438938419
nido,dims10nn30mindist0.3,batch2,Glut-DACH2-5,1032,3,0.056707420400869735
nido,dims10nn30mindist0.3,batch2,Glut-DACH2-6,903,3,0.06386119459770001
nido,dims10nn30mindist0.3,batch2,Glut-DACH2-7,829,3,0.009423667731857877
nido,dims10nn30mindist0.3,batch2,Glut-DACH2-8,670,3,0.06257037763236328
nido,dims10nn30mindist0.3,batch2,Glut-DACH2-LMANco,684,3,0.015531848095047596
nido,dims10nn30mindist0.3,batch2,Glut-DACH2-LMANsh,1172,3,0.009651577676572987
nido,dims10nn30mindist0.3,batch2,Glut-Im,668,3,0.004594965570051346
nido,dims10nn30mindist0.3,batch2,Glut-NB,67,3,0.011402814059106703
nido,dims10nn30mindist0.4,batch1,Glut-DACH2-1,2345,3,0.009154934862909636
nido,dims10nn30mindist0.4,batch1,Glut-DACH2-2,959,3,0.010024104495682806
nido,dims10nn30mindist0.4,batch1,Glut-DACH2-3,724,3,0.008292815374738693
nido,dims10nn30mindist0.4,batch1,Glut-DACH2-4,260,3,0.003881125891187831
nido,dims10nn30mindist0.4,batch1,Glut-DACH2-5,149,3,0.011567427821108422
nido,dims10nn30mindist0.4,batch1,Glut-DACH2-HVCra,3017,3,0.004768152878807386
nido,dims10nn30mindist0.4,batch1,Glut-DACH2-HVCra-Int,692,3,0.011698555095576824
nido,dims10nn30mindist0.4,batch1,Glut-DACH2-HVCx,342,3,0.009372134607580684
nido,dims10nn30mindist0.4,batch1,Glut-Im,432,3,0.006079185624675687
nido,dims10nn30mindist0.4,batch1,Glut-NB,556,3,0.01580429538704442
nido,dims10nn30mindist0.4,batch2,Glut-DACH2-1,216,3,0.05778285266803951
nido,dims10nn30mindist0.4,batch2,Glut-DACH2-5,1032,3,0.05556362312068741
nido,dims10nn30mindist0.4,batch2,Glut-DACH2-6,903,3,0.057229383744497486
nido,dims10nn30mindist0.4,batch2,Glut-DACH2-7,829,3,0.009964164136953668
nido,dims10nn30mindist0.4,batch2,Glut-DACH2-8,670,3,0.06409397549381013
nido,dims10nn30mindist0.4,batch2,Glut-DACH2-LMANco,684,3,0.015122906877237385
nido,dims10nn30mindist0.4,batch2,Glut-DACH2-LMANsh,1172,3,0.01002487014168929
nido,dims10nn30mindist0.4,batch2,Glut-Im,668,3,0.007692616214828085
nido,dims10nn30mindist0.4,batch2,Glut-NB,67,3,0.018607653522471512
nido,dims10nn30mindist0.5,batch1,Glut-DACH2-1,2345,3,0.00876060003122936
nido,dims10nn30mindist0.5,batch1,Glut-DACH2-2,959,3,0.010655732118501016
nido,dims10nn30mindist0.5,batch1,Glut-DACH2-3,724,3,0.009617390367468004
nido,dims10nn30mindist0.5,batch1,Glut-DACH2-4,260,3,0.00416692572626709
nido,dims10nn30mindist0.5,batch1,Glut-DACH2-5,149,3,0.012433599528524741
nido,dims10nn30mindist0.5,batch1,Glut-DACH2-HVCra,3017,3,0.005139290577297784
nido,dims10nn30mindist0.5,batch1,Glut-DACH2-HVCra-Int,692,3,0.010784886706547758
nido,dims10nn30mindist0.5,batch1,Glut-DACH2-HVCx,342,3,0.009066622123239498
nido,dims10nn30mindist0.5,batch1,Glut-Im,432,3,0.004675677464293315
nido,dims10nn30mindist0.5,batch1,Glut-NB,556,3,0.01546481105935471
nido,dims10nn30mindist0.5,batch2,Glut-DACH2-1,216,3,0.055249142713925115
nido,dims10nn30mindist0.5,batch2,Glut-DACH2-5,1032,3,0.05567820278909752
nido,dims10nn30mindist0.5,batch2,Glut-DACH2-6,903,3,0.05750249046370559
nido,dims10nn30mindist0.5,batch2,Glut-DACH2-7,829,3,0.009738998413485245
nido,dims10nn30mindist0.5,batch2,Glut-DACH2-8,670,3,0.060770567369828
