filter_set,section_id,class,n_subtypes_avail,draws_usable,obs,null,delta
singlet_only_gte400,OR52YW26_1_7,GABA,13,24,0.09313154706695669,0.021523778424424187,0.07160776864253249
singlet_only_gte400,OR52YW26_1_7,Astro,3,50,0.1640335664546573,0.03660543842563043,0.12742812802902687
singlet_only_gte400,OR52YW26_1_7,Oligo/OPC,3,0,NA,NA,NA
singlet_only_gte400,OR52YW26_2_2,Glut,15,48,0.195947381337171,0.018548409706704114,0.1768466361467525
singlet_only_gte400,OR52YW26_2_2,GABA,13,30,0.09084301326505606,0.016099331011013785,0.07434816288190116
singlet_only_gte400,OR52YW26_2_2,Oligo/OPC,3,0,NA,NA,NA
singlet_only_gte400,OR52YW26_2_4,Glut,16,43,0.20831616639928552,0.013370423715673964,0.19431173570318044
singlet_only_gte400,OR52YW26_2_4,GABA,13,32,0.08299980452160512,0.015691504888635393,0.06700971352489242
singlet_only_gte400,OR52YW26_2_4,Astro,3,50,0.16220483479902525,0.07367178066284014,0.08853305413618512
singlet_only_gte400,OR52YW26_2_4,Oligo/OPC,4,11,0.008920338320253945,0.027138279452259037,-0.018217941132005092
singlet_only_gte400,OR52YW26_2_7,Glut,15,50,0.21544129573803997,0.013870742424286207,0.20157055331375376
singlet_only_gte400,OR52YW26_2_7,GABA,13,27,0.09738076066881056,0.010774385884374222,0.08660637478443634
singlet_only_gte400,OR52YW26_2_7,Astro,3,50,0.15358163840034256,0.058492730172971026,0.09508890822737154
singlet_only_gte400,OR52YW26_2_7,Oligo/OPC,3,0,NA,NA,NA
singlet_only_gte400,OR69PU4_1_4,Glut,12,50,0.18403346425103667,0.012928699291709122,0.17110476495932755
singlet_only_gte400,OR69PU4_1_4,GABA,13,30,0.08010559589874833,0.018172976724261044,0.062333894475033534
singlet_only_gte400,OR69PU4_1_4,Astro,3,50,0.1538487646246964,0.028469247505300537,0.12537951711939588
singlet_only_gte400,OR69PU4_1_7,Glut,14,50,0.20739727425867513,0.014230645084360692,0.19316662917431443
singlet_only_gte400,OR69PU4_1_7,GABA,13,33,0.08338084456178801,0.01313239484980265,0.07000723595627792
singlet_only_gte400,OR69PU4_1_7,Astro,3,50,0.15519335027564896,0.03563454756902935,0.1195588027066196
singlet_only_gte400,OR69PU4_1_7,Oligo/OPC,4,0,NA,NA,NA
singlet_only_gte400,OR69PU4_2_2,Glut,14,47,0.19014821582694924,0.015240968161880416,0.17489989304300915
singlet_only_gte400,OR69PU4_2_2,GABA,13,31,0.1001380075913312,0.016799607207600032,0.08333840038373115
singlet_only_gte400,OR69PU4_2_2,Astro,3,50,0.1556199479466886,0.01671159950641196,0.13890834844027664
singlet_only_gte400,OR69PU4_2_2,Oligo/OPC,3,0,NA,NA,NA
singlet_only_gte400,OR69PU4_2_4,Glut,16,46,0.2246204500684454,0.013635300446765976,0.21063414053487214
singlet_only_gte400,OR69PU4_2_4,GABA,13,36,0.09877524478158071,0.012823135928695814,0.0859521088528849
singlet_only_gte400,OR69PU4_2_4,Astro,3,50,0.16129391466030435,0.02748349937617461,0.13381041528412974
singlet_only_gte400,OR69PU4_2_4,Oligo/OPC,4,0,NA,NA,NA
singlet_only_gte400,OR69PU4_2_7,Glut,16,48,0.21481139989495687,0.015150889042192129,0.1995891895620172
singlet_only_gte400,OR69PU4_2_7,GABA,13,35,0.0987290520089066,0.013947409632815547,0.08456123538577466
singlet_only_gte400,OR69PU4_2_7,Astro,3,50,0.15934514712741576,0.0138563588408557,0.14548878828656006
singlet_only_gte400,OR69PU4_2_7,Oligo/OPC,4,32,0.08255435904951368,0.033336628217148334,0.049217730832365345
