file,roi_type,section_id,x,y
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,4542.73828125,7357.45068359375
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3851.361328125,6916.81396484375
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3852.6005859375,6777.3818359375
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3853.501708984375,6625.185546875
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3853.1845703125,6516.2578125
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3828.3681640625,6476.62060546875
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3607.154296875,6475.2900390625
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3400.8779296875,6476.43212890625
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3111.327392578125,6478.72900390625
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,2983.343017578125,6481.0751953125
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,2872.294677734375,6483.4775390625
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,2868.76025390625,6495.63232421875
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,2867.142333984375,6541.60205078125
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,2865.1376953125,7289.2099609375
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,2870.70751953125,7426.013671875
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,2913.23779296875,7437.2197265625
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,2977.302001953125,7451.68212890625
HVC&Surround_1.7_1mm_Selection_cells_stats.csv,box,OR52YW26_1_7,3186.458984375,7456.38427734375
