region,threshold_label,song_cluster,sister,clade,au,song_nonsong
NIDO,none,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.9813161080488841,TRUE
NIDO,0.5,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.5955330190457128,TRUE
NIDO,0.25,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.7179108561539949,TRUE
NIDO,0.1,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.649712245874003,TRUE
NIDO,0.05,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.8809433854362788,TRUE
NIDO,0.01,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.9776237850376047,TRUE
NIDO,0.001,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.9713793020408725,TRUE
NIDO,none,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.9135559919213097,TRUE
NIDO,0.5,Glut-LMAN-2,Glut-HVC-2,Glut-HVC-2|Glut-LMAN-2,0.6548710527610239,FALSE
NIDO,0.25,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.5154092002314511,TRUE
NIDO,0.1,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.656305955684835,TRUE
NIDO,0.05,Glut-LMAN-2,Glut-HVC-1,Glut-HVC-1|Glut-LMAN-2,0.589286580972171,FALSE
NIDO,0.01,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.5589974817878527,TRUE
NIDO,0.001,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.9179515388881154,TRUE
