region,clade,n_tips,au_published,threshold_label,au_at_threshold,recovered
ALL,Glut-NC-1|Glut-NC-2|Glut-Nido-1,3,0.9131949813604635,0.001,0.9258868214472519,TRUE
ALL,Glut-Arco-1|Glut-RA,2,0.8403295813021179,none,NA,FALSE
ALL,Glut-Arco-2|Glut-Arco-3,2,0.8017113235702584,none,NA,FALSE
ALL,Glut-Arco-4|Glut-Nido-3,2,0.9933000894542762,none,0.9815078502157315,TRUE
ALL,Glut-Arco-5|Glut-Nido-2,2,0.7135510640983203,none,NA,FALSE
ALL,Glut-LMAN-1|Glut-NR-1,2,0.8729103229814517,none,0.8384770635985765,TRUE
ALL,Glut-NC-2|Glut-Nido-1,2,0.9014068369932464,none,0.9657374914085088,TRUE
ALL,Glut-NC-3|Glut-NC-4,2,0.7951341593709544,none,0.9360106478057877,TRUE
ALL,Glut-NR-2|Glut-NR-4,2,0.9994546372195029,none,1,TRUE
ALL,Glut-Arco-1|Glut-RA,2,0.8403295813021179,0.5,0.8892978609554997,TRUE
ALL,Glut-Arco-2|Glut-Arco-3,2,0.8017113235702584,0.5,0.7638864739895466,TRUE
ALL,Glut-Arco-4|Glut-Nido-3,2,0.9933000894542762,0.5,0.9798927286412983,TRUE
ALL,Glut-Arco-5|Glut-Nido-2,2,0.7135510640983203,0.5,0.7161987335667398,TRUE
ALL,Glut-LMAN-1|Glut-NR-1,2,0.8729103229814517,0.5,0.8264490021223958,TRUE
ALL,Glut-NC-2|Glut-Nido-1,2,0.9014068369932464,0.5,0.7867173565152796,TRUE
ALL,Glut-NC-3|Glut-NC-4,2,0.7951341593709544,0.5,0.7731584002013467,TRUE
ALL,Glut-NR-2|Glut-NR-4,2,0.9994546372195029,0.5,0.9907225889551118,TRUE
ALL,Glut-Arco-1|Glut-RA,2,0.8403295813021179,0.25,0.8261068213720583,TRUE
ALL,Glut-Arco-2|Glut-Arco-3,2,0.8017113235702584,0.25,0.7914658746414609,TRUE
ALL,Glut-Arco-4|Glut-Nido-3,2,0.9933000894542762,0.25,0.9836295035552536,TRUE
ALL,Glut-Arco-5|Glut-Nido-2,2,0.7135510640983203,0.25,0.7285727922565413,TRUE
ALL,Glut-LMAN-1|Glut-NR-1,2,0.8729103229814517,0.25,0.8645220609102306,TRUE
ALL,Glut-NC-2|Glut-Nido-1,2,0.9014068369932464,0.25,0.8488416435095362,TRUE
ALL,Glut-NC-3|Glut-NC-4,2,0.7951341593709544,0.25,0.8133196074366487,TRUE
ALL,Glut-NR-2|Glut-NR-4,2,0.9994546372195029,0.25,0.9972601258643944,TRUE
ALL,Glut-Arco-1|Glut-RA,2,0.8403295813021179,0.1,0.8403295813021179,TRUE
ALL,Glut-Arco-2|Glut-Arco-3,2,0.8017113235702584,0.1,0.8017113235702584,TRUE
ALL,Glut-Arco-4|Glut-Nido-3,2,0.9933000894542762,0.1,0.9933000894542762,TRUE
ALL,Glut-Arco-5|Glut-Nido-2,2,0.7135510640983203,0.1,0.7135510640983203,TRUE
ALL,Glut-LMAN-1|Glut-NR-1,2,0.8729103229814517,0.1,0.8729103229814517,TRUE
ALL,Glut-NC-2|Glut-Nido-1,2,0.9014068369932464,0.1,0.9014068369932464,TRUE
ALL,Glut-NC-3|Glut-NC-4,2,0.7951341593709544,0.1,0.7951341593709544,TRUE
ALL,Glut-NR-2|Glut-NR-4,2,0.9994546372195029,0.1,0.9994546372195029,TRUE
ALL,Glut-Arco-1|Glut-RA,2,0.8403295813021179,0.05,0.7716889315906285,TRUE
ALL,Glut-Arco-2|Glut-Arco-3,2,0.8017113235702584,0.05,0.9066671628227536,TRUE
ALL,Glut-Arco-4|Glut-Nido-3,2,0.9933000894542762,0.05,0.997101077707635,TRUE
ALL,Glut-Arco-5|Glut-Nido-2,2,0.7135510640983203,0.05,NA,FALSE
ALL,Glut-LMAN-1|Glut-NR-1,2,0.8729103229814517,0.05,0.917869924610231,TRUE
ALL,Glut-NC-2|Glut-Nido-1,2,0.9014068369932464,0.05,0.922574499535508,TRUE
ALL,Glut-NC-3|Glut-NC-4,2,0.7951341593709544,0.05,0.9303986440994606,TRUE
ALL,Glut-NR-2|Glut-NR-4,2,0.9994546372195029,0.05,1,TRUE
ALL,Glut-Arco-1|Glut-RA,2,0.8403295813021179,0.01,0.621070092219798,TRUE
ALL,Glut-Arco-2|Glut-Arco-3,2,0.8017113235702584,0.01,0.6786435529494529,TRUE
ALL,Glut-Arco-4|Glut-Nido-3,2,0.9933000894542762,0.01,0.9943048998662525,TRUE
ALL,Glut-Arco-5|Glut-Nido-2,2,0.7135510640983203,0.01,NA,FALSE
ALL,Glut-LMAN-1|Glut-NR-1,2,0.8729103229814517,0.01,0.997907640438897,TRUE
ALL,Glut-NC-2|Glut-Nido-1,2,0.9014068369932464,0.01,0.9936352988764354,TRUE
ALL,Glut-NC-3|Glut-NC-4,2,0.7951341593709544,0.01,0.7557759551687113,TRUE
ALL,Glut-NR-2|Glut-NR-4,2,0.9994546372195029,0.01,1,TRUE
ALL,Glut-Arco-1|Glut-RA,2,0.8403295813021179,0.001,NA,FALSE
ALL,Glut-Arco-2|Glut-Arco-3,2,0.8017113235702584,0.001,NA,FALSE
ALL,Glut-Arco-4|Glut-Nido-3,2,0.9933000894542762,0.001,0.9976636389504133,TRUE
ALL,Glut-Arco-5|Glut-Nido-2,2,0.7135510640983203,0.001,NA,FALSE
ALL,Glut-LMAN-1|Glut-NR-1,2,0.8729103229814517,0.001,0.9910969204616823,TRUE
ALL,Glut-NC-2|Glut-Nido-1,2,0.9014068369932464,0.001,0.8747069823710205,TRUE
ALL,Glut-NC-3|Glut-NC-4,2,0.7951341593709544,0.001,0.7665158671365624,TRUE
ALL,Glut-NR-2|Glut-NR-4,2,0.9994546372195029,0.001,1,TRUE
ARCO,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1,none,1,TRUE
ARCO,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1,0.5,1,TRUE
ARCO,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1,0.25,1,TRUE
ARCO,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1,0.1,1,TRUE
ARCO,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1,0.05,1,TRUE
ARCO,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1,0.01,1,TRUE
ARCO,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-RA,6,1,0.001,1,TRUE
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,0.9966960488037293,none,1,TRUE
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,0.9966960488037293,0.5,0.9878198619998609,TRUE
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,0.9966960488037293,0.25,0.9940591367214977,TRUE
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,0.9966960488037293,0.1,0.9966960488037293,TRUE
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,0.9966960488037293,0.05,0.8083146906825133,TRUE
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,0.9966960488037293,0.01,NA,FALSE
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5,4,0.9966960488037293,0.001,0.9004363679270324,TRUE
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-5,3,0.8232750445887026,none,NA,FALSE
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-5,3,0.8232750445887026,0.5,NA,FALSE
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-5,3,0.8232750445887026,0.25,NA,FALSE
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-5,3,0.8232750445887026,0.1,0.8232750445887026,TRUE
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-5,3,0.8232750445887026,0.05,NA,FALSE
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-5,3,0.8232750445887026,0.01,NA,FALSE
ARCO,Glut-Arco-2|Glut-Arco-3|Glut-Arco-5,3,0.8232750445887026,0.001,NA,FALSE
ARCO,Glut-Arco-1|Glut-RA,2,0.9855426364417696,none,1,TRUE
ARCO,Glut-Arco-2|Glut-Arco-3,2,0.7488440770315051,none,NA,FALSE
ARCO,Glut-Arco-1|Glut-RA,2,0.9855426364417696,0.5,0.9863835187217002,TRUE
ARCO,Glut-Arco-2|Glut-Arco-3,2,0.7488440770315051,0.5,0.6998400702749868,TRUE
ARCO,Glut-Arco-1|Glut-RA,2,0.9855426364417696,0.25,0.9884760691044374,TRUE
ARCO,Glut-Arco-2|Glut-Arco-3,2,0.7488440770315051,0.25,0.714290556669998,TRUE
ARCO,Glut-Arco-1|Glut-RA,2,0.9855426364417696,0.1,0.9855426364417696,TRUE
ARCO,Glut-Arco-2|Glut-Arco-3,2,0.7488440770315051,0.1,0.7488440770315051,TRUE
ARCO,Glut-Arco-1|Glut-RA,2,0.9855426364417696,0.05,0.7772451884341536,TRUE
ARCO,Glut-Arco-2|Glut-Arco-3,2,0.7488440770315051,0.05,NA,FALSE
ARCO,Glut-Arco-1|Glut-RA,2,0.9855426364417696,0.01,NA,FALSE
ARCO,Glut-Arco-2|Glut-Arco-3,2,0.7488440770315051,0.01,NA,FALSE
ARCO,Glut-Arco-1|Glut-RA,2,0.9855426364417696,0.001,0.8998642538287062,TRUE
ARCO,Glut-Arco-2|Glut-Arco-3,2,0.7488440770315051,0.001,NA,FALSE
NIDO,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5,16,1,none,1,TRUE
