region,threshold_label,clade,n_tips,au,bp
NIDO,0.001,Glut-NC-2|Glut-Nido-1|Glut-Nido-3,3,0.8669922625774695,0.6571413146523842
NIDO,0.001,Glut-Nido-2|Glut-NR-5,2,0.777827970419448,0.5859681920057584
NIDO,0.001,Glut-HVC-1|Glut-HVC-2,2,0.938422451231266,0.7586359029618283
NIDO,0.001,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.9179515388881154,0.8880513188177508
NIDO,0.001,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.6886838494937324,0.5846092059377114
NIDO,0.001,Glut-NC-1|Glut-NC-3|Glut-NC-4,3,0.8530410038600239,0.25612214651074533
NIDO,0.001,Glut-NC-2|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,5,0.8611767330665174,0.23055740942687847
NIDO,0.001,Glut-HVC-1|Glut-HVC-2|Glut-NC-1|Glut-NC-3|Glut-NC-4,5,0.9451658153428315,0.14275274254393566
NIDO,0.001,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-2|Glut-NC-1|Glut-NC-3|Glut-NC-4|Glut-NR-2|Glut-NR-4,8,0.8867168964903133,0.17633164118562306
NIDO,0.001,Glut-LMAN-1|Glut-NC-2|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-3|Glut-NR-5,8,0.8660117652613487,0.1829060297578925
NIDO,0.001,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5,16,1,1
ALL,none,Glut-Arco-4|Glut-Nido-3,2,0.9815078502157315,0.9921546458982807
ALL,none,Glut-NC-2|Glut-Nido-1,2,0.9657374914085088,0.9851841581285362
ALL,none,Glut-LMAN-1|Glut-NR-1,2,0.8384770635985765,0.726773882237808
ALL,none,Glut-NR-2|Glut-NR-4,2,1,1
ALL,none,Glut-Arco-1|Glut-Arco-2,2,0.6207625500165767,0.5877343167178585
ALL,none,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3,3,0.977432728657105,0.9574219828432199
ALL,none,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.8590987132831097,0.5722761109780132
ALL,none,Glut-NC-1|Glut-NC-2|Glut-Nido-1,3,0.8573678180489102,0.5331160578434412
ALL,none,Glut-NC-3|Glut-NC-4,2,0.9360106478057877,0.8859267578820228
ALL,none,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.9944126193789727,0.9944296624663235
ALL,none,Glut-Nido-2|Glut-NR-5,2,0.8081608469590785,0.6226634438718216
ALL,none,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-5,4,0.9095292608203025,0.769331372141952
ALL,none,Glut-HVC-1|Glut-HVC-2,2,0.7581908010584211,0.34231309954143774
ALL,none,Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-NR-1|Glut-NR-3,6,0.8641769602484013,0.8271363678023138
ALL,none,Glut-HVC-1|Glut-HVC-2|Glut-RA,3,0.8348725258134574,0.2574857193322611
ALL,none,Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,4,0.8182589935966902,0.21140710904014484
ALL,none,Glut-Arco-4|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,6,0.8304709364687368,0.18839508586766127
ALL,none,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-2|Glut-NR-2|Glut-NR-4|Glut-RA,6,0.7999978164282333,0.2228924766613617
ALL,none,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,10,0.8262661358743976,0.15877592019658662
ALL,none,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-1|Glut-HVC-2|Glut-LMAN-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-2|Glut-NR-4|Glut-NR-5|Glut-RA,16,0.8769579333638328,0.8249052624198883
ALL,none,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5|Glut-RA,22,1,1
ALL,0.5,Glut-Arco-4|Glut-Nido-3,2,0.9798927286412983,0.9819351427976825
ALL,0.5,Glut-NR-2|Glut-NR-4,2,0.9907225889551118,0.9972187297358409
ALL,0.5,Glut-NC-2|Glut-Nido-1,2,0.7867173565152796,0.8084403935373689
ALL,0.5,Glut-LMAN-1|Glut-NR-1,2,0.8264490021223958,0.7326221341211233
ALL,0.5,Glut-Arco-2|Glut-Arco-3,2,0.7638864739895466,0.5871893434038837
ALL,0.5,Glut-Arco-1|Glut-RA,2,0.8892978609554997,0.8752466845147123
ALL,0.5,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.892877085019134,0.7057476824653954
ALL,0.5,Glut-NC-3|Glut-NC-4,2,0.7731584002013467,0.6915445073814438
ALL,0.5,Glut-NC-1|Glut-NC-2|Glut-Nido-1,3,0.900197195268896,0.6980283471749433
ALL,0.5,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Nido-3,4,0.8766823305703232,0.5502204655672062
ALL,0.5,Glut-Arco-5|Glut-Nido-2,2,0.7161987335667398,0.4457388267081723
ALL,0.5,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.9046097778057364,0.8829838991053434
ALL,0.5,Glut-Arco-1|Glut-HVC-1|Glut-RA,3,0.9266984422113078,0.793935297945163
ALL,0.5,Glut-Arco-5|Glut-Nido-2|Glut-NR-5,3,0.818221440332519,0.29325007582160834
ALL,0.5,Glut-HVC-2|Glut-NC-3|Glut-NC-4,3,0.6887422468362435,0.20342657685393956
ALL,0.5,Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-NR-1|Glut-NR-3,6,0.9331775437609137,0.795166591207189
ALL,0.5,Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,6,0.9299265405203081,0.34843067689932017
ALL,0.5,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,10,0.9400411855843311,0.4770657986842531
ALL,0.5,Glut-Arco-1|Glut-HVC-1|Glut-LMAN-2|Glut-NR-2|Glut-NR-4|Glut-RA,6,0.9298151300097541,0.4976445603729185
ALL,0.5,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-1|Glut-HVC-2|Glut-LMAN-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-2|Glut-NR-4|Glut-NR-5|Glut-RA,16,0.9512872567751942,0.7787352587034695
ALL,0.5,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5|Glut-RA,22,1,1
ALL,0.25,Glut-Arco-4|Glut-Nido-3,2,0.9836295035552536,0.9838801852992773
ALL,0.25,Glut-NR-2|Glut-NR-4,2,0.9972601258643944,0.9966674075154421
ALL,0.25,Glut-NC-2|Glut-Nido-1,2,0.8488416435095362,0.8450885593153608
ALL,0.25,Glut-LMAN-1|Glut-NR-1,2,0.8645220609102306,0.7642122928323273
ALL,0.25,Glut-Arco-2|Glut-Arco-3,2,0.7914658746414609,0.5907666599375833
ALL,0.25,Glut-Arco-1|Glut-RA,2,0.8261068213720583,0.8584103678174553
ALL,0.25,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.9196860548696916,0.71384828652382315
ALL,0.25,Glut-NC-3|Glut-NC-4,2,0.8133196074366487,0.7000753158830786
ALL,0.25,Glut-NC-1|Glut-NC-2|Glut-Nido-1,3,0.9236109646768255,0.7183803954483475
ALL,0.25,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Nido-3,4,0.8589321010752875,0.5430365284247491
ALL,0.25,Glut-Arco-5|Glut-Nido-2,2,0.7285727922565413,0.4503029961570465
ALL,0.25,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.8180982683506888,0.8548483776240091
ALL,0.25,Glut-HVC-2|Glut-NR-5,2,0.6522279734224248,0.27914537629627106
ALL,0.25,Glut-Arco-1|Glut-HVC-1|Glut-RA,3,0.9408214983230773,0.7591541637709556
ALL,0.25,Glut-Arco-5|Glut-HVC-2|Glut-Nido-2|Glut-NR-5,4,0.8440520930246044,0.2666446962488884
ALL,0.25,Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-NR-1|Glut-NR-3,6,0.9680277586591584,0.8091625888076049
ALL,0.25,Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,6,0.90220972468711,0.3419691961084226
ALL,0.25,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,10,0.9289553997825404,0.4269601115038028
ALL,0.25,Glut-Arco-1|Glut-HVC-1|Glut-LMAN-2|Glut-NR-2|Glut-NR-4|Glut-RA,6,0.9171570509305647,0.4231622188232976
