mouse_label,n_cells,Class,Subclass,neurotransmitter,region,roi,region_spread,roi_spread,description
0234 STR Prox1 Lhx6 Gaba_2,250,08 CNU-MGE GABA,054 STR Prox1 Lhx6 Gaba,GABA,STR,STRv,STR 84%; PAL 11%; CTXsp 4%,STRv 35%; STRd 25%; sAMY 23%,08 CNU-MGE GABA / 054 STR Prox1 Lhx6 Gaba; NT GABA; STRv
0233 STR Prox1 Lhx6 Gaba_1,250,08 CNU-MGE GABA,054 STR Prox1 Lhx6 Gaba,GABA,STR,sAMY,STR 72%; CTXsp 12%; PAL 12%,sAMY 72%; CTXsp 12%; PAL 12%,08 CNU-MGE GABA / 054 STR Prox1 Lhx6 Gaba; NT GABA; sAMY
0231 Sst Gaba_18,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,CTXsp,CTXsp,CTXsp 37%; OLF 22%; HPF 21%,CTXsp 37%; OLF 22%; ENT 18%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; CTXsp
0262 OT D3 Folh1 Gaba_1,250,09 CNU-LGE GABA,060 OT D3 Folh1 Gaba,GABA,STR,STRv,STR 60%; PAL 39%; CTXsp 1%,STRv 60%; PAL 39%; CTXsp 1%,09 CNU-LGE GABA / 060 OT D3 Folh1 Gaba; NT GABA; STRv
0261 PAL-STR Gaba-Chol_3,250,08 CNU-MGE GABA,058 PAL-STR Gaba-Chol,GABA,PAL,PAL,PAL 81%; STR 19%,PAL 81%; sAMY 14%; LSX 5%,08 CNU-MGE GABA / 058 PAL-STR Gaba-Chol; NT GABA; PAL
0260 PAL-STR Gaba-Chol_2,250,08 CNU-MGE GABA,058 PAL-STR Gaba-Chol,Chol,PAL,PAL,PAL 52%; STR 48%,PAL 52%; STRv 20%; sAMY 20%,08 CNU-MGE GABA / 058 PAL-STR Gaba-Chol; NT Chol; PAL
0259 PAL-STR Gaba-Chol_1,250,08 CNU-MGE GABA,058 PAL-STR Gaba-Chol,Chol,PAL,PAL,PAL 85%; STR 15%,PAL 85%; sAMY 15%,08 CNU-MGE GABA / 058 PAL-STR Gaba-Chol; NT Chol; PAL
0258 GPe-SI Sox6 Cyp26b1 Gaba_2,250,09 CNU-LGE GABA,059 GPe-SI Sox6 Cyp26b1 Gaba,GABA,PAL,PAL,PAL 79%; STR 20%; OLF 1%,PAL 79%; sAMY 18%; STRv 2%,09 CNU-LGE GABA / 059 GPe-SI Sox6 Cyp26b1 Gaba; NT GABA; PAL
0257 GPe-SI Sox6 Cyp26b1 Gaba_1,250,09 CNU-LGE GABA,059 GPe-SI Sox6 Cyp26b1 Gaba,GABA,PAL,PAL,PAL 97%; STR 3%,PAL 97%; sAMY 2%; STRd 1%,09 CNU-LGE GABA / 059 GPe-SI Sox6 Cyp26b1 Gaba; NT GABA; PAL
0253 NDB-SI-MA-STRv Lhx8 Gaba_10,250,08 CNU-MGE GABA,057 NDB-SI-MA-STRv Lhx8 Gaba,GABA,STR,sAMY,STR 51%; PAL 46%; OLF 2%,sAMY 50%; PAL 46%; OLF 2%,08 CNU-MGE GABA / 057 NDB-SI-MA-STRv Lhx8 Gaba; NT GABA; sAMY
0236 STR Lhx8 Gaba_1,250,08 CNU-MGE GABA,055 STR Lhx8 Gaba,GABA,PAL,PAL,PAL 53%; STR 47%,PAL 53%; STRv 26%; STRd 16%,08 CNU-MGE GABA / 055 STR Lhx8 Gaba; NT GABA; PAL
0372 CEA-BST Six3 Cyp26b1 Gaba_6,250,11 CNU-HYa GABA,079 CEA-BST Six3 Cyp26b1 Gaba,GABA,STR,sAMY,STR 94%; PAL 5%; CTXsp 1%,sAMY 94%; PAL 5%; CTXsp 1%,11 CNU-HYa GABA / 079 CEA-BST Six3 Cyp26b1 Gaba; NT GABA; sAMY
0371 CEA-BST Six3 Cyp26b1 Gaba_5,250,11 CNU-HYa GABA,079 CEA-BST Six3 Cyp26b1 Gaba,GABA,STR,sAMY,STR 90%; PAL 9%; CTXsp 2%,sAMY 87%; PAL 9%; STRd 3%,11 CNU-HYa GABA / 079 CEA-BST Six3 Cyp26b1 Gaba; NT GABA; sAMY
0370 CEA-BST Six3 Cyp26b1 Gaba_4,250,11 CNU-HYa GABA,079 CEA-BST Six3 Cyp26b1 Gaba,GABA,STR,sAMY,STR 97%; PAL 2%; CTXsp 1%,sAMY 97%; PAL 2%; CTXsp 1%,11 CNU-HYa GABA / 079 CEA-BST Six3 Cyp26b1 Gaba; NT GABA; sAMY
0369 CEA-BST Six3 Cyp26b1 Gaba_3,250,11 CNU-HYa GABA,079 CEA-BST Six3 Cyp26b1 Gaba,GABA,STR,sAMY,STR 76%; PAL 23%; CTXsp 1%,sAMY 76%; PAL 23%; CTXsp 1%,11 CNU-HYa GABA / 079 CEA-BST Six3 Cyp26b1 Gaba; NT GABA; sAMY
0368 CEA-BST Six3 Cyp26b1 Gaba_2,250,11 CNU-HYa GABA,079 CEA-BST Six3 Cyp26b1 Gaba,GABA,STR,sAMY,STR 86%; PAL 14%; CTXsp 0%,sAMY 86%; PAL 14%; CTXsp 0%,11 CNU-HYa GABA / 079 CEA-BST Six3 Cyp26b1 Gaba; NT GABA; sAMY
0367 CEA-BST Six3 Cyp26b1 Gaba_1,250,11 CNU-HYa GABA,079 CEA-BST Six3 Cyp26b1 Gaba,GABA,PAL,PAL,PAL 56%; STR 44%; CTXsp 0%,PAL 56%; sAMY 43%; STRv 1%,11 CNU-HYa GABA / 079 CEA-BST Six3 Cyp26b1 Gaba; NT GABA; PAL
0264 OT D3 Folh1 Gaba_3,250,09 CNU-LGE GABA,060 OT D3 Folh1 Gaba,GABA,STR,STRv,STR 76%; PAL 21%; OLF 3%,STRv 76%; PAL 21%; OLF 3%,09 CNU-LGE GABA / 060 OT D3 Folh1 Gaba; NT GABA; STRv
0294 IA Mgp Gaba_5,250,09 CNU-LGE GABA,065 IA Mgp Gaba,GABA,STR,sAMY,STR 58%; CTXsp 30%; PAL 9%,sAMY 58%; CTXsp 30%; PAL 9%,09 CNU-LGE GABA / 065 IA Mgp Gaba; NT GABA; sAMY
0290 IA Mgp Gaba_1,250,09 CNU-LGE GABA,065 IA Mgp Gaba,GABA,CTXsp,CTXsp,CTXsp 49%; PAL 21%; STR 17%,CTXsp 49%; PAL 21%; OLF 13%,09 CNU-LGE GABA / 065 IA Mgp Gaba; NT GABA; CTXsp
0289 STR-PAL Chst9 Gaba_5,250,09 CNU-LGE GABA,064 STR-PAL Chst9 Gaba,GABA,CTXsp,CTXsp,CTXsp 57%; STR 39%; PAL 3%,CTXsp 57%; sAMY 38%; PAL 3%,09 CNU-LGE GABA / 064 STR-PAL Chst9 Gaba; NT GABA; CTXsp
0277 STR D2 Gaba_4,250,09 CNU-LGE GABA,062 STR D2 Gaba,GABA,STR,STRd,STR 98%; PAL 2%,STRd 95%; PAL 2%; STRv 2%,09 CNU-LGE GABA / 062 STR D2 Gaba; NT GABA; STRd
0287 STR-PAL Chst9 Gaba_3,250,09 CNU-LGE GABA,064 STR-PAL Chst9 Gaba,GABA,PAL,PAL,PAL 56%; STR 33%; CTXsp 11%,PAL 56%; STRv 19%; sAMY 13%,09 CNU-LGE GABA / 064 STR-PAL Chst9 Gaba; NT GABA; PAL
0286 STR-PAL Chst9 Gaba_2,250,09 CNU-LGE GABA,064 STR-PAL Chst9 Gaba,GABA,STR,CTXsp,STR 45%; CTXsp 41%; PAL 13%,CTXsp 41%; sAMY 38%; PAL 13%,09 CNU-LGE GABA / 064 STR-PAL Chst9 Gaba; NT GABA; CTXsp
0285 STR-PAL Chst9 Gaba_1,250,09 CNU-LGE GABA,064 STR-PAL Chst9 Gaba,GABA,PAL,PAL,PAL 54%; STR 40%; CTXsp 4%,PAL 54%; STRv 15%; STRd 13%,09 CNU-LGE GABA / 064 STR-PAL Chst9 Gaba; NT GABA; PAL
0284 STR D1 Sema5a Gaba_4,250,09 CNU-LGE GABA,063 STR D1 Sema5a Gaba,GABA,PAL,PAL,PAL 57%; STR 34%; CTXsp 9%,PAL 57%; STRv 21%; CTXsp 9%,09 CNU-LGE GABA / 063 STR D1 Sema5a Gaba; NT GABA; PAL
0283 STR D1 Sema5a Gaba_3,250,09 CNU-LGE GABA,063 STR D1 Sema5a Gaba,GABA,PAL,PAL,PAL 73%; STR 22%; OLF 4%,PAL 73%; STRv 18%; OLF 4%,09 CNU-LGE GABA / 063 STR D1 Sema5a Gaba; NT GABA; PAL
0282 STR D1 Sema5a Gaba_2,250,09 CNU-LGE GABA,063 STR D1 Sema5a Gaba,GABA,STR,STRv,STR 80%; PAL 19%; OLF 2%,STRv 76%; PAL 19%; STRd 3%,09 CNU-LGE GABA / 063 STR D1 Sema5a Gaba; NT GABA; STRv
0281 STR D1 Sema5a Gaba_1,250,09 CNU-LGE GABA,063 STR D1 Sema5a Gaba,GABA,STR,STRd,STR 84%; PAL 12%; CTXsp 2%,STRd 81%; PAL 12%; CTXsp 2%,09 CNU-LGE GABA / 063 STR D1 Sema5a Gaba; NT GABA; STRd
0279 STR D2 Gaba_6,250,09 CNU-LGE GABA,062 STR D2 Gaba,GABA,STR,STRv,STR 94%; PAL 6%; OLF 0%,STRv 52%; STRd 42%; PAL 6%,09 CNU-LGE GABA / 062 STR D2 Gaba; NT GABA; STRv
0248 NDB-SI-MA-STRv Lhx8 Gaba_5,250,08 CNU-MGE GABA,057 NDB-SI-MA-STRv Lhx8 Gaba,GABA,PAL,PAL,PAL 89%; STR 11%,PAL 89%; sAMY 8%; LSX 3%,08 CNU-MGE GABA / 057 NDB-SI-MA-STRv Lhx8 Gaba; NT GABA; PAL
0247 NDB-SI-MA-STRv Lhx8 Gaba_4,250,08 CNU-MGE GABA,057 NDB-SI-MA-STRv Lhx8 Gaba,GABA,PAL,PAL,PAL 96%; STR 4%,PAL 96%; sAMY 4%; STRv 1%,08 CNU-MGE GABA / 057 NDB-SI-MA-STRv Lhx8 Gaba; NT GABA; PAL
0278 STR D2 Gaba_5,250,09 CNU-LGE GABA,062 STR D2 Gaba,GABA,STR,STRv,STR 85%; PAL 15%,STRv 63%; sAMY 19%; PAL 15%,09 CNU-LGE GABA / 062 STR D2 Gaba; NT GABA; STRv
0288 STR-PAL Chst9 Gaba_4,250,09 CNU-LGE GABA,064 STR-PAL Chst9 Gaba,GABA,STR,sAMY,STR 54%; CTXsp 38%; PAL 8%,sAMY 51%; CTXsp 38%; PAL 8%,09 CNU-LGE GABA / 064 STR-PAL Chst9 Gaba; NT GABA; sAMY
0229 Sst Gaba_16,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,Isocortex-1,MOp,Isocortex-1 74%; HPF 24%; CTXsp 2%,MOp 21%; RHP 20%; MO-FRP 9%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; MOp
0228 Sst Gaba_15,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,HPF,ENT,HPF 89%; Isocortex-1 10%; CTXsp 1%,ENT 48%; RHP 40%; RSP 8%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; ENT
0227 Sst Gaba_14,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,Isocortex-1,CTXsp,Isocortex-1 43%; CTXsp 40%; HPF 13%,CTXsp 40%; MOp 12%; AI 8%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; CTXsp
0226 Sst Gaba_13,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,Isocortex-1,MOp,Isocortex-1 55%; Isocortex-2 19%; CTXsp 16%,MOp 30%; AI 16%; CTXsp 16%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; MOp
0225 Sst Gaba_12,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,HPF,ENT,HPF 59%; Isocortex-1 33%; CTXsp 7%,ENT 35%; RHP 23%; PL-ILA-ORB 10%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; ENT
0224 Sst Gaba_11,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,Isocortex-1,AI,Isocortex-1 92%; HPF 5%; OLF 2%,AI 31%; PL-ILA-ORB 12%; SS-GU-VISC 8%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; AI
0223 Sst Gaba_10,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,Isocortex-1,MOp,Isocortex-1 69%; Isocortex-2 29%; HPF 2%,MOp 33%; AUD-TEa-PERI-ECT 10%; AI 10%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; MOp
0222 Sst Gaba_9,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,Isocortex-1,MOp,Isocortex-1 99%; HPF 0%; CTXsp 0%,MOp 33%; MO-FRP 11%; PL-ILA-ORB 10%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; MOp
0184 Vip Gaba_12,250,06 CTX-CGE GABA,046 Vip Gaba,GABA,Isocortex-1,MOp,Isocortex-1 59%; Isocortex-2 34%; HPF 4%,MOp 48%; ACA 8%; SS-GU-VISC 8%,06 CTX-CGE GABA / 046 Vip Gaba; NT GABA; MOp
0183 Vip Gaba_11,250,06 CTX-CGE GABA,046 Vip Gaba,GABA,Isocortex-1,MOp,Isocortex-1 64%; Isocortex-2 32%; HPF 2%,MOp 55%; VIS-PTLp 7%; ACA 7%,06 CTX-CGE GABA / 046 Vip Gaba; NT GABA; MOp
0251 NDB-SI-MA-STRv Lhx8 Gaba_8,250,08 CNU-MGE GABA,057 NDB-SI-MA-STRv Lhx8 Gaba,GABA,PAL,PAL,PAL 80%; STR 20%; CTXsp 0%,PAL 80%; sAMY 19%; LSX 0%,08 CNU-MGE GABA / 057 NDB-SI-MA-STRv Lhx8 Gaba; NT GABA; PAL
0212 Pvalb Gaba_8,250,07 CTX-MGE GABA,052 Pvalb Gaba,GABA,HPF,ENT,HPF 45%; Isocortex-2 35%; Isocortex-1 19%,ENT 29%; RHP 15%; ACA 9%,07 CTX-MGE GABA / 052 Pvalb Gaba; NT GABA; ENT
0209 Pvalb Gaba_5,250,07 CTX-MGE GABA,052 Pvalb Gaba,GABA,HPF,ENT,HPF 34%; OLF 26%; CTXsp 22%,ENT 32%; OLF 26%; CTXsp 22%,07 CTX-MGE GABA / 052 Pvalb Gaba; NT GABA; ENT
0208 Pvalb Gaba_4,250,07 CTX-MGE GABA,052 Pvalb Gaba,GABA,Isocortex-1,CTXsp,Isocortex-1 56%; HPF 16%; CTXsp 15%,CTXsp 15%; AI 13%; PL-ILA-ORB 12%,07 CTX-MGE GABA / 052 Pvalb Gaba; NT GABA; CTXsp
0207 Pvalb Gaba_3,250,07 CTX-MGE GABA,052 Pvalb Gaba,GABA,Isocortex-2,AI,Isocortex-2 56%; Isocortex-1 41%; HPF 2%,AI 17%; MOp 14%; PL-ILA-ORB 10%,07 CTX-MGE GABA / 052 Pvalb Gaba; NT GABA; AI
0206 Pvalb Gaba_2,250,07 CTX-MGE GABA,052 Pvalb Gaba,GABA,CTXsp,CTXsp,CTXsp 41%; HPF 34%; OLF 9%,CTXsp 41%; HIP 23%; OLF 9%,07 CTX-MGE GABA / 052 Pvalb Gaba; NT GABA; CTXsp
0205 Pvalb Gaba_1,250,07 CTX-MGE GABA,052 Pvalb Gaba,GABA,Isocortex-1,MOp,Isocortex-1 86%; HPF 11%; CTXsp 2%,MOp 26%; ACA 14%; PL-ILA-ORB 10%,07 CTX-MGE GABA / 052 Pvalb Gaba; NT GABA; MOp
0204 Pvalb chandelier Gaba_1,250,07 CTX-MGE GABA,051 Pvalb chandelier Gaba,GABA,HPF,CTXsp,HPF 30%; CTXsp 23%; Isocortex-1 17%,CTXsp 23%; HIP 12%; ENT 11%,07 CTX-MGE GABA / 051 Pvalb chandelier Gaba; NT GABA; CTXsp
0203 Lamp5 Lhx6 Gaba_1,250,07 CTX-MGE GABA,050 Lamp5 Lhx6 Gaba,GABA,HPF,HIP,HPF 72%; Isocortex-1 9%; CTXsp 8%,HIP 63%; CTXsp 8%; AI 6%,07 CTX-MGE GABA / 050 Lamp5 Lhx6 Gaba; NT GABA; HIP
0202 Lamp5 Gaba_4,250,06 CTX-CGE GABA,049 Lamp5 Gaba,GABA,Isocortex-1,AI,Isocortex-1 86%; HPF 6%; CTXsp 5%,AI 28%; MOp 24%; MO-FRP 10%,06 CTX-CGE GABA / 049 Lamp5 Gaba; NT GABA; AI
0201 Lamp5 Gaba_3,250,06 CTX-CGE GABA,049 Lamp5 Gaba,GABA,Isocortex-1,MOp,Isocortex-1 94%; HPF 4%; STR 1%,MOp 47%; MO-FRP 8%; ACA 7%,06 CTX-CGE GABA / 049 Lamp5 Gaba; NT GABA; MOp
0200 Lamp5 Gaba_2,250,06 CTX-CGE GABA,049 Lamp5 Gaba,GABA,Isocortex-1,MOp,Isocortex-1 67%; HPF 20%; Isocortex-2 11%,MOp 34%; HIP 15%; SS-GU-VISC 9%,06 CTX-CGE GABA / 049 Lamp5 Gaba; NT GABA; MOp
0214 Sst Gaba_1,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,Isocortex-1,MOp,Isocortex-1 98%; HPF 1%; CTXsp 1%,MOp 37%; SS-GU-VISC 10%; ACA 10%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; MOp
0249 NDB-SI-MA-STRv Lhx8 Gaba_6,250,08 CNU-MGE GABA,057 NDB-SI-MA-STRv Lhx8 Gaba,GABA,STR,sAMY,STR 70%; PAL 29%; CTXsp 1%,sAMY 70%; PAL 29%; CTXsp 1%,08 CNU-MGE GABA / 057 NDB-SI-MA-STRv Lhx8 Gaba; NT GABA; sAMY
0221 Sst Gaba_8,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,Isocortex-1,AI,Isocortex-1 72%; Isocortex-2 23%; HPF 3%,AI 17%; MOp 16%; PL-ILA-ORB 10%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; AI
0220 Sst Gaba_7,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,Isocortex-1,MOp,Isocortex-1 74%; Isocortex-2 23%; HPF 2%,MOp 21%; RSP 14%; PL-ILA-ORB 12%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; MOp
0219 Sst Gaba_6,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,HPF,HIP,HPF 93%; STR 4%; CTXsp 2%,HIP 90%; sAMY 3%; CTXsp 2%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; HIP
0218 Sst Gaba_5,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,Isocortex-1,MOp,Isocortex-1 86%; CTXsp 11%; OLF 2%,MOp 29%; AI 14%; ACA 12%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; MOp
0217 Sst Gaba_4,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,Isocortex-1,MOp,Isocortex-1 68%; Isocortex-2 31%; HPF 0%,MOp 28%; AI 17%; PL-ILA-ORB 11%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; MOp
0216 Sst Gaba_3,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,HPF,HIP,HPF 88%; Isocortex-1 9%; CTXsp 2%,HIP 44%; RHP 41%; ACA 3%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; HIP
0215 Sst Gaba_2,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,CTXsp,CTXsp,CTXsp 46%; HPF 20%; OLF 14%,CTXsp 46%; ENT 17%; OLF 14%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; CTXsp
0246 NDB-SI-MA-STRv Lhx8 Gaba_3,250,08 CNU-MGE GABA,057 NDB-SI-MA-STRv Lhx8 Gaba,GABA,PAL,PAL,PAL 97%; STR 3%,PAL 97%; sAMY 2%; LSX 1%,08 CNU-MGE GABA / 057 NDB-SI-MA-STRv Lhx8 Gaba; NT GABA; PAL
0245 NDB-SI-MA-STRv Lhx8 Gaba_2,250,08 CNU-MGE GABA,057 NDB-SI-MA-STRv Lhx8 Gaba,GABA,PAL,PAL,PAL 77%; STR 22%; OLF 1%,PAL 77%; sAMY 19%; LSX 3%,08 CNU-MGE GABA / 057 NDB-SI-MA-STRv Lhx8 Gaba; NT GABA; PAL
0230 Sst Gaba_17,250,07 CTX-MGE GABA,053 Sst Gaba,GABA,CTXsp,CTXsp,CTXsp 60%; STR 18%; OLF 11%,CTXsp 60%; sAMY 17%; OLF 11%,07 CTX-MGE GABA / 053 Sst Gaba; NT GABA; CTXsp
0242 Sst Chodl Gaba_5,250,08 CNU-MGE GABA,056 Sst Chodl Gaba,GABA,PAL,PAL,PAL 44%; STR 33%; CTXsp 15%,PAL 44%; sAMY 32%; CTXsp 15%,08 CNU-MGE GABA / 056 Sst Chodl Gaba; NT GABA; PAL
0241 Sst Chodl Gaba_4,250,08 CNU-MGE GABA,056 Sst Chodl Gaba,GABA,Isocortex-1,MOp,Isocortex-1 56%; CTXsp 15%; Isocortex-2 7%,MOp 19%; CTXsp 15%; AI 10%,08 CNU-MGE GABA / 056 Sst Chodl Gaba; NT GABA; MOp
0240 Sst Chodl Gaba_3,250,08 CNU-MGE GABA,056 Sst Chodl Gaba,GABA,PAL,PAL,PAL 68%; STR 30%; CTXsp 2%,PAL 68%; STRv 14%; sAMY 14%,08 CNU-MGE GABA / 056 Sst Chodl Gaba; NT GABA; PAL
0239 Sst Chodl Gaba_2,250,08 CNU-MGE GABA,056 Sst Chodl Gaba,GABA,STR,PAL,STR 60%; PAL 31%; CTXsp 5%,PAL 31%; STRv 28%; STRd 21%,08 CNU-MGE GABA / 056 Sst Chodl Gaba; NT GABA; PAL
0238 Sst Chodl Gaba_1,250,08 CNU-MGE GABA,056 Sst Chodl Gaba,GABA,STR,sAMY,STR 52%; PAL 47%; CTXsp 1%,sAMY 48%; PAL 47%; STRv 4%,08 CNU-MGE GABA / 056 Sst Chodl Gaba; NT GABA; sAMY
0237 STR Lhx8 Gaba_2,250,08 CNU-MGE GABA,055 STR Lhx8 Gaba,GABA,PAL,PAL,PAL 52%; STR 47%; CTXsp 1%,PAL 52%; STRv 28%; sAMY 13%,08 CNU-MGE GABA / 055 STR Lhx8 Gaba; NT GABA; PAL
0199 Lamp5 Gaba_1,250,06 CTX-CGE GABA,049 Lamp5 Gaba,GABA,Isocortex-2,MOp,Isocortex-2 47%; Isocortex-1 22%; HPF 16%,MOp 33%; AI 7%; HIP 6%,06 CTX-CGE GABA / 049 Lamp5 Gaba; NT GABA; MOp
0531 SI-MA-LPO-LHA Skor1 Glut_2,250,13 CNU-HYa Glut,119 SI-MA-LPO-LHA Skor1 Glut,Glut,PAL,PAL,PAL 53%; STR 46%; OLF 0%,PAL 53%; sAMY 45%; STRv 1%,13 CNU-HYa Glut / 119 SI-MA-LPO-LHA Skor1 Glut; NT Glut; PAL
0530 SI-MA-LPO-LHA Skor1 Glut_1,250,13 CNU-HYa Glut,119 SI-MA-LPO-LHA Skor1 Glut,Glut,PAL,PAL,PAL 69%; STR 31%,PAL 69%; sAMY 31%,13 CNU-HYa Glut / 119 SI-MA-LPO-LHA Skor1 Glut; NT Glut; PAL
0528 ADP-MPO Trp73 Glut_2,250,13 CNU-HYa Glut,118 ADP-MPO Trp73 Glut,Glut,PAL,PAL,PAL 80%; STR 19%; OLF 1%,PAL 80%; sAMY 18%; LSX 1%,13 CNU-HYa Glut / 118 ADP-MPO Trp73 Glut; NT Glut; PAL
0518 MS-SF Bsx Glut_1,250,13 CNU-HYa Glut,115 MS-SF Bsx Glut,Glut,STR,LSX,STR 58%; PAL 42%,LSX 58%; PAL 42%,13 CNU-HYa Glut / 115 MS-SF Bsx Glut; NT Glut; LSX
0244 NDB-SI-MA-STRv Lhx8 Gaba_1,250,08 CNU-MGE GABA,057 NDB-SI-MA-STRv Lhx8 Gaba,GABA,PAL,PAL,PAL 79%; STR 21%,PAL 79%; sAMY 20%; LSX 2%,08 CNU-MGE GABA / 057 NDB-SI-MA-STRv Lhx8 Gaba; NT GABA; PAL
1168 Astro-OLF NN_3,250,30 Astro-Epen,320 Astro-OLF NN,nan,OLF,OLF,OLF 98%; STR 2%,OLF 98%; LSX 1%; STRv 0%,30 Astro-Epen / 320 Astro-OLF NN; NT none; OLF
