region,threshold_label,clade,n_tips,au,bp
NIDO,0.1,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,12,1,1
NIDO,0.05,Glut-DACH2-2|Glut-DACH2-5,2,0.95645590977411,0.9516638031064546
NIDO,0.05,Glut-DACH2-6|Glut-DACH2-8,2,0.7071907018351871,0.6855507626916711
NIDO,0.05,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,0.9911631894466186,0.9906071232212263
NIDO,0.05,Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,3,0.7036132548336173,0.5457993414859966
NIDO,0.05,Glut-DACH2-1|Glut-DACH2-HVCra,2,0.6923904551154326,0.6182687689704057
NIDO,0.05,Glut-DACH2-4|Glut-DACH2-HVCx,2,0.8459779218202383,0.8216968593559406
NIDO,0.05,Glut-DACH2-3|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,4,0.8047127982136555,0.686991228119202
NIDO,0.05,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,0.7528621438518033,0.5957467599474562
NIDO,0.05,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,6,0.8524297324843502,0.9129911068492054
NIDO,0.05,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,0.8643704046767877,0.9080210491969092
NIDO,0.05,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,12,1,1
NIDO,0.01,Glut-DACH2-2|Glut-DACH2-5,2,0.8647915486938819,0.8642175163645738
NIDO,0.01,Glut-DACH2-6|Glut-DACH2-8,2,0.962141150834554,0.9613706712142951
NIDO,0.01,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,0.9686055500594213,0.9870446371669185
NIDO,0.01,Glut-DACH2-3|Glut-DACH2-6|Glut-DACH2-8,3,0.6576352484134919,0.5972613682243111
NIDO,0.01,Glut-DACH2-1|Glut-DACH2-HVCra,2,0.9282997831915525,0.8831194132884369
NIDO,0.01,Glut-DACH2-4|Glut-DACH2-HVCx,2,0.7815788306104989,0.6776641827635205
NIDO,0.01,Glut-DACH2-3|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,4,0.782760943038449,0.6281606216123753
NIDO,0.01,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,0.9553231009635783,0.8753750129065833
NIDO,0.01,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,6,0.9877672691008766,0.9775708324682335
NIDO,0.01,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,0.989614373404514,0.9758469594825695
NIDO,0.01,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,12,1,1
NIDO,0.001,Glut-DACH2-2|Glut-DACH2-5,2,0.8721664292243947,0.8676199880479554
NIDO,0.001,Glut-DACH2-6|Glut-DACH2-8,2,0.9872663730142383,0.9938259099205828
NIDO,0.001,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,0.9719316201823649,0.991910779728732
NIDO,0.001,Glut-DACH2-3|Glut-DACH2-6|Glut-DACH2-8,3,0.7159072758619098,0.6308326201590218
NIDO,0.001,Glut-DACH2-1|Glut-DACH2-HVCra,2,0.9503312248375007,0.9161436623907205
NIDO,0.001,Glut-DACH2-3|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,4,0.7888571085042043,0.5838674809143934
NIDO,0.001,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,0.9570436553770306,0.912178342913198
NIDO,0.001,Glut-DACH2-4|Glut-DACH2-HVCx,2,0.7792543614148382,0.5882978028240846
NIDO,0.001,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,6,0.9847110635434473,0.9745190946402236
NIDO,0.001,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,0.986511254096616,0.9740929256317802
NIDO,0.001,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,12,1,1
ALL,none,Glut-DACH2-5|Glut-DACH2-LMANsh,2,0.6445849450137597,0.6259798137673344
ALL,none,Glut-CACNA1H-1|Glut-CACNA1H-2,2,0.9999888763187218,0.9997343834180008
ALL,none,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,0.9947763444587049,0.9989177891437075
ALL,none,Glut-DACH2-6|Glut-DACH2-8,2,1,1
ALL,none,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3,3,0.9941857785529147,0.9862512701497219
ALL,none,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,0.9946785564636637,0.9988668357213112
ALL,none,Glut-DACH2-1|Glut-DACH2-HVCra,2,0.9997098539785918,0.9979495029507254
ALL,none,Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,3,0.8187896064553624,0.8703680180417529
ALL,none,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4,4,0.9575460430601898,0.8759213176444121
ALL,none,Glut-DACH2-3|Glut-DACH2-4,2,0.9011199139600452,0.6871430434473003
ALL,none,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-HVCx,3,0.9414765362662502,0.7131733429299343
ALL,none,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA,5,0.902422605289295,0.56847007625908
ALL,none,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,6,0.9623908920358439,0.7888807637964343
ALL,none,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,0.6093865620725406,0.7628526195615108
