,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_SATB2,Ex_Pre_KCNH7,Ex_TSHZ2_NR4A2,Ex_CACNA1H_MCTP2,Ex_SATB2_FOXP2,Ex_SATB2_ZNF385B,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_DACH2_ITGA9,Ex_DACH2_GRIK4,Ex_DACH2_TAC1,Ex_DACH2_LHX2,Ex_DACH2_ADAMTS5,Ex_DACH2_ZMAT4,Ex_DACH2_NR4A3,Ex_DACH2_MGAT4C,Ex_DACH2_CEMIP,Ex_DACH2_LUZP2,Inh_MGE_like_ST18,Inh_OB_CPA6,Inh_OB_FGFRL1,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_CGE_like_CACNA1B,Inh_CGE_like_MAN1A1,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_ABI3BP,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP1_DGKH,Microglia,T-cells,Astrocytes,OPCs,COPs+NFOLs,Oligodendrocytes,Vascular,Ex_BCL6,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Inh_MGE_like_ST18_PVALB,Inh_LGE_like_FOXP1_SGCG,Inh_MGE_like_LHX8,Ex_TCF7L2,Inh_LGE_like_CHODL,Inh_CGE_like_CACNA2D3,Ex_CACNA1H_LHX9,Ex_CACNA1H_PROX1,Inh_LGE_like_STK31,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT
Astro-2,-0.0859,-0.17054,0.0679,0.12824,-0.1645,-0.18438,-0.14318,-0.10592,-0.1698,-0.14613,-0.23553,-0.17235,-0.14698,-0.13267,-0.15158,-0.1402,-0.13939,-0.15665,-0.18517,-0.08583,0.00679,0.0596,0.06644,0.14242,0.00873,0.06393,0.06748,-0.03471,-0.02258,0.01332,0.00229,-0.04543,0.3018,0.20531,0.60854,0.28782,0.26237,0.26515,0.35542,-0.16003,-0.0061,-0.20037,-0.00127,-0.02845,0.02714,-0.02297,-0.00125,0.03166,-0.12426,-0.0951,-0.01091,-0.02282,-0.11962
GABA-6,0.00431,-0.06457,0.07192,0.06933,-0.06806,-0.02741,-0.0547,0.03259,-0.05152,-0.00942,-0.09014,-0.05686,-0.03254,0.03583,-0.03714,-0.07263,-0.05429,-0.00279,-0.09404,0.06059,0.27672,0.13899,0.1123,0.10614,0.44087,0.2894,0.28821,0.26392,0.34022,0.30754,0.094,0.05162,0.06511,0.04644,-0.03204,0.03566,0.02146,0.02792,-0.0216,0.06303,0.02921,-0.0539,0.25421,0.07031,0.17546,0.10349,0.13661,0.27322,-0.02051,0.05614,0.08134,0.04815,0.03019
Oligo-3,-0.12551,-0.21627,0.05833,0.109,-0.19755,-0.21726,-0.183,-0.11798,-0.20169,-0.17164,-0.28214,-0.20137,-0.16555,-0.12885,-0.16655,-0.18664,-0.15333,-0.17037,-0.22985,-0.08515,-0.00915,0.05541,0.05878,0.13191,0.00368,0.04152,0.04029,-0.05467,-0.02527,-0.01256,-0.02037,-0.05612,0.33237,0.24864,0.50035,0.299,0.41637,0.49635,0.38071,-0.18839,0.0066,-0.24664,-0.00297,-0.02938,0.00807,-0.03536,-0.00506,0.01285,-0.17761,-0.10892,-0.02724,-0.06506,-0.13717
GABA-3,0.03958,-0.04749,0.03121,0.03248,-0.04316,-0.05439,-0.04878,-0.00365,-0.09684,-0.02456,-0.08981,-0.08642,-0.05032,-0.0462,-0.06683,-0.04899,-0.10105,-0.07458,-0.08155,-0.03002,0.34276,0.05737,0.06253,0.05885,0.35348,0.23138,0.23589,0.37388,0.53016,0.3925,0.05752,0.03468,0.03928,0.0498,-0.10204,-0.01429,-0.02637,-0.00401,-0.06719,0.02781,0.06487,-0.07847,0.35561,0.03391,0.22859,0.1418,0.17416,0.28224,-0.03797,-0.0212,0.04752,0.03894,-0.01139
Glut-Nido-1,0.08568,0.11655,-6e-05,-0.03171,0.15406,0.31785,0.26947,0.20762,0.42988,0.2805,0.40006,0.42061,0.29735,0.45919,0.45466,0.29519,0.42287,0.51826,0.30329,0.37421,-0.15713,0.00334,0.0124,-0.07291,-0.07178,-0.11067,-0.10562,-0.10971,-0.08004,-0.12642,0.04807,0.18916,-0.09371,-0.05534,-0.18139,-0.16866,-0.16293,-0.14669,-0.18631,0.21819,0.08844,0.37994,-0.08909,0.15311,-0.07795,-0.05917,-0.05877,-0.11309,0.1768,0.22877,0.04297,0.05192,0.16554
GABA-5-2,-0.0109,-0.08437,0.12394,0.12341,-0.11498,-0.09786,-0.1246,-0.02344,-0.14653,-0.07877,-0.15326,-0.1327,-0.06728,-0.08507,-0.13597,-0.11819,-0.13843,-0.13338,-0.11522,-0.04598,0.27267,0.16266,0.13056,0.1852,0.23883,0.41267,0.3941,0.24047,0.18597,0.27863,0.12784,0.00104,0.02101,0.01312,-0.05005,0.10016,0.0268,0.00783,-0.05047,0.00271,-0.01252,-0.11113,0.13448,0.04233,0.15321,0.12795,0.1633,0.3639,-0.06876,0.00273,0.09277,0.03712,-0.0179
Glut-Arco-2,0.22194,0.28659,0.07717,0.0399,0.35133,0.36865,0.26219,0.206,0.26585,0.21758,0.27949,0.23268,0.19272,0.22227,0.16842,0.17239,0.21771,0.20631,0.24365,0.19621,-0.08845,0.03419,0.03868,-0.02565,-0.05815,-0.07286,-0.06818,-0.03426,-0.05595,-0.06977,0.06785,0.09056,-0.07817,-0.05945,-0.20914,-0.12156,-0.15374,-0.15288,-0.16144,0.26248,0.03088,0.26314,-0.0826,0.10058,-0.02572,0.02343,0.00576,-0.06937,0.3656,0.27205,0.07416,0.25771,0.37757
Glut-Nido-2,0.11553,0.10563,0.02482,-0.02615,0.10706,0.23312,0.27123,0.23084,0.35155,0.2836,0.30206,0.31825,0.26434,0.34005,0.36191,0.24685,0.33636,0.40092,0.2483,0.25344,-0.09908,0.06611,0.04099,0.00582,-0.04728,-0.07922,-0.0653,-0.0506,-0.05671,-0.07366,0.19121,0.27746,-0.11508,-0.04395,-0.23298,-0.15882,-0.16381,-0.17186,-0.20248,0.17208,0.09708,0.27331,-0.05299,0.19893,-0.02196,-0.00759,0.0082,-0.06493,0.14019,0.15798,0.11533,0.06652,0.11856
Micro,-0.11272,-0.19703,0.07131,0.1526,-0.18029,-0.24576,-0.14141,-0.10507,-0.18212,-0.14237,-0.26897,-0.22474,-0.18356,-0.15168,-0.17686,-0.17933,-0.13461,-0.17709,-0.22286,-0.08565,0.00099,0.08595,0.06787,0.18821,-0.0065,0.02097,0.03375,-0.0311,-0.04188,0.00145,0.02212,-0.05753,0.5773,0.3741,0.43507,0.25924,0.31669,0.37422,0.45714,-0.18971,0.01005,-0.26351,-0.0115,-0.02644,-0.00325,-0.0717,-0.00746,0.00238,-0.17331,-0.1541,-0.01236,-0.06915,-0.15858
Oligo-1,-0.09222,-0.16511,0.08001,0.12471,-0.12208,-0.15549,-0.10754,-0.04946,-0.11096,-0.08743,-0.18685,-0.13967,-0.11382,-0.04731,-0.07775,-0.14473,-0.07378,-0.0878,-0.16498,-0.02612,0.00836,0.07353,0.06427,0.13057,0.01335,0.03671,0.03796,-0.01164,0.01662,0.0312,0.01416,-0.00185,0.32564,0.24596,0.21045,0.2467,0.45656,0.61445,0.29807,-0.1422,0.04467,-0.18049,0.0192,0.0076,0.01247,-0.02913,0.01916,0.02629,-0.13767,-0.0827,0.0032,-0.05797,-0.09452
