,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_SATB2,Ex_Pre_KCNH7,Ex_TSHZ2_NR4A2,Ex_CACNA1H_MCTP2,Ex_SATB2_FOXP2,Ex_SATB2_ZNF385B,Ex_SATB2_SOX6,Ex_SATB2_OVOA,Ex_DACH2_ITGA9,Ex_DACH2_GRIK4,Ex_DACH2_ZMAT4,Ex_DACH2_TAC1,Ex_DACH2_ADAMTS5,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_LHX2,Ex_DACH2_CEMIP,Ex_DACH2_LUZP2,Inh_MGE_like_ST18,Inh_OB_CPA6,Inh_OB_FGFRL1,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_CGE_like_CACNA1B,Inh_CGE_like_MAN1A1,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_ABI3BP,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP1_DGKH,Microglia,T-cells,Astrocytes,OPCs,Oligodendrocytes,COPs+NFOLs,Vascular,Ex_BCL6,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Inh_MGE_like_ST18_PVALB,Inh_LGE_like_FOXP1_SGCG,Inh_MGE_like_LHX8,Ex_TCF7L2,Inh_LGE_like_CHODL,Inh_CGE_like_CACNA2D3,Ex_CACNA1H_LHX9,Ex_CACNA1H_PROX1,Inh_LGE_like_STK31,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT
Glut-CACNA1H-RA,0.28389,0.2935,-0.00369,-0.01518,0.3991,0.3037,0.27678,0.217,0.23483,0.22593,0.27806,0.17991,0.20043,0.17743,0.16529,0.17659,0.20455,0.15872,0.24342,0.14061,-0.01269,-0.01644,-0.01193,-0.12753,0.01213,-0.00938,-0.02137,0.00487,0.03901,-0.04728,0.03349,0.10144,-0.1695,-0.04663,-0.23051,-0.15564,-0.15694,-0.16474,-0.21368,0.21678,0.14497,0.21204,0.08065,0.07119,0.08397,0.10793,0.02559,0.02327,0.33422,0.19275,0.071,0.30174,0.32842
OPC,-0.16471,-0.22382,0.08231,0.1193,-0.25771,-0.25398,-0.22782,-0.17204,-0.22987,-0.31247,-0.35975,-0.28603,-0.27784,-0.25882,-0.30198,-0.29854,-0.3027,-0.25635,-0.30522,-0.19347,0.00943,0.00065,0.00983,0.1558,-0.00593,0.05659,0.07512,-0.03871,-0.0648,0.02699,-0.0425,-0.15212,0.12772,0.03552,0.35455,0.58884,0.25025,0.43952,0.23344,-0.2454,-0.11212,-0.26558,-0.03834,-0.10662,-0.00518,-0.01489,-0.01962,0.05636,-0.15851,-0.0888,-0.07095,-0.03386,-0.13975
Glut-CACNA1H-2,0.27252,0.36855,0.09681,0.04367,0.48494,0.47606,0.31881,0.23593,0.29924,0.36392,0.38267,0.3141,0.23312,0.24846,0.24429,0.29402,0.32064,0.31179,0.31779,0.27341,-0.06614,0.02408,0.00496,-0.08802,-0.05885,-0.08023,-0.06498,-0.02797,-0.05556,-0.07718,0.0812,0.12607,-0.17719,-0.08542,-0.32023,-0.20811,-0.22271,-0.22193,-0.29707,0.34161,0.05391,0.34448,-0.07559,0.11846,0.01049,0.07182,0.023,-0.03893,0.47109,0.32693,0.10817,0.32852,0.47088
Astro-2,-0.1273,-0.20805,0.02028,0.06654,-0.20889,-0.24695,-0.20957,-0.17546,-0.22252,-0.26029,-0.30425,-0.2442,-0.22004,-0.2289,-0.24515,-0.24264,-0.25063,-0.21738,-0.27133,-0.15217,-0.07766,-0.00749,-0.00307,0.10145,-0.04979,0.0018,-0.01178,-0.10961,-0.10598,-0.06341,-0.06097,-0.12582,0.27529,0.12692,0.65909,0.318,0.21783,0.23454,0.39856,-0.25798,-0.06103,-0.25629,-0.05002,-0.10456,-0.05781,-0.07197,-0.07203,-0.06752,-0.15996,-0.11275,-0.07951,-0.06395,-0.17577
GABA-6,0.00038,-0.07974,0.03192,0.00732,-0.07241,-0.11365,-0.12819,-0.04576,-0.08551,-0.12917,-0.13935,-0.10636,-0.11369,-0.07784,-0.08883,-0.07218,-0.08359,-0.0488,-0.13122,-0.01297,0.34257,0.12638,0.09851,0.08736,0.51418,0.35082,0.36007,0.33319,0.38246,0.35983,0.09879,0.0379,-0.09782,-0.04081,-0.08117,0.02348,-0.02065,0.00981,-0.11217,0.0151,0.01867,-0.11062,0.31964,0.05879,0.20029,0.08845,0.16804,0.32461,-0.0767,0.00574,0.06604,0.0064,-0.04505
Oligo-3,-0.18743,-0.26795,0.0013,0.05183,-0.26838,-0.27534,-0.24125,-0.20259,-0.2612,-0.27183,-0.33315,-0.26065,-0.24903,-0.25026,-0.24296,-0.24828,-0.26204,-0.21698,-0.30255,-0.15649,-0.07981,-0.02479,-0.0353,0.08981,-0.06111,-0.01741,-0.036,-0.11894,-0.10645,-0.0749,-0.0883,-0.13724,0.31871,0.16232,0.57225,0.34838,0.45037,0.41093,0.42773,-0.29984,-0.05127,-0.29649,-0.03923,-0.11113,-0.07251,-0.1086,-0.09544,-0.07927,-0.21049,-0.12943,-0.12125,-0.11655,-0.20647
GABA-3,0.06399,-0.01762,-0.01604,-0.01608,-0.00499,-0.04031,-0.06656,-0.0474,-0.03763,-0.11387,-0.08109,-0.0919,-0.03163,-0.04477,-0.05801,-0.08362,-0.08031,-0.05915,-0.06521,-0.05315,0.42847,0.06826,0.06596,0.02441,0.39904,0.27841,0.28728,0.48039,0.61937,0.46862,0.09217,0.05397,-0.0909,-0.02381,-0.20604,-0.0621,-0.06822,-0.06809,-0.19101,0.05746,0.0679,-0.07349,0.43592,0.05714,0.27385,0.15568,0.21299,0.32827,-0.03527,-0.01279,0.06031,0.0369,0.02487
Glut-DACH2-1,0.18675,0.22351,0.04308,-0.00519,0.26282,0.42193,0.3808,0.28521,0.39745,0.55956,0.56101,0.5854,0.41282,0.40614,0.55871,0.61605,0.59673,0.5499,0.43436,0.45464,-0.14387,0.00793,0.01222,-0.1122,-0.08751,-0.14083,-0.12162,-0.10738,-0.08141,-0.12957,0.08751,0.23075,-0.15135,-0.04033,-0.27382,-0.24784,-0.18163,-0.22434,-0.30716,0.36102,0.13885,0.49987,-0.09533,0.19766,-0.06266,-0.06479,-0.03773,-0.1163,0.27305,0.25578,0.08326,0.10583,0.24662
GABA-5-2,-0.02509,-0.10828,0.06812,0.07615,-0.1007,-0.1447,-0.17151,-0.06013,-0.13649,-0.2109,-0.18552,-0.16965,-0.14383,-0.11164,-0.17708,-0.17646,-0.17509,-0.15738,-0.13581,-0.11149,0.37127,0.17777,0.14189,0.19534,0.29514,0.47652,0.46729,0.31259,0.24491,0.32427,0.16199,0.03239,-0.14236,-0.06638,-0.13272,0.07043,-0.0386,0.02543,-0.15613,-0.02965,-0.02342,-0.13781,0.19652,0.03931,0.20158,0.1824,0.23083,0.43336,-0.09117,-0.03557,0.10214,0.01398,-0.03966
Glut-GABA,0.17161,0.19641,0.02967,-0.03464,0.17309,0.27639,0.3333,0.27241,0.34574,0.4066,0.39676,0.39799,0.31341,0.32457,0.4177,0.42459,0.43321,0.35457,0.33525,0.25713,-0.06868,0.08092,0.06157,0.00059,-0.05431,-0.09028,-0.06272,-0.03599,-0.05829,-0.06428,0.24792,0.33677,-0.24372,-0.07594,-0.36038,-0.24468,-0.24594,-0.2447,-0.34725,0.26352,0.08009,0.3341,-0.05806,0.24949,0.02563,0.02244,0.0589,-0.03994,0.17058,0.13044,0.16779,0.05666,0.14612
Micro,-0.171,-0.22881,-0.01872,0.04092,-0.2178,-0.26483,-0.22931,-0.16123,-0.22335,-0.26026,-0.33767,-0.28366,-0.25455,-0.267,-0.26535,-0.2615,-0.2642,-0.22469,-0.31468,-0.15089,-0.12794,-0.01988,-0.02891,0.08632,-0.11234,-0.07086,-0.09757,-0.13174,-0.13532,-0.08835,-0.10131,-0.16677,0.53425,0.26567,0.48793,0.26416,0.30919,0.279,0.48123,-0.28453,-0.06349,-0.30611,-0.09152,-0.12866,-0.12656,-0.16488,-0.12885,-0.13554,-0.17435,-0.14564,-0.11469,-0.1076,-0.19825
Oligo-2,-0.14244,-0.20816,-0.0153,0.05831,-0.17276,-0.24932,-0.17795,-0.13825,-0.18872,-0.19621,-0.25958,-0.21088,-0.1992,-0.20185,-0.17527,-0.19984,-0.19172,-0.1757,-0.23748,-0.1321,-0.03601,0.00055,-0.00681,0.0943,-0.03288,-0.01075,-0.02568,-0.07065,-0.05676,-0.03028,-0.04705,-0.09682,0.31662,0.19547,0.25558,0.24631,0.56188,0.42991,0.33987,-0.25352,0.0106,-0.26062,-0.00068,-0.0667,-0.0712,-0.12444,-0.08556,-0.05505,-0.19114,-0.15923,-0.09841,-0.12061,-0.18956
GABA-1-2,0.06897,-0.02471,0.106,0.0777,0.00907,-0.00058,0.04107,0.06095,0.06755,0.01421,-0.01143,0.01161,-0.04263,0.01685,-0.00501,0.03583,0.04001,0.01761,-0.00998,0.03985,0.09164,0.23549,0.17072,0.24526,0.0774,0.12079,0.1158,0.12125,0.04642,0.10791,0.45022,0.29993,-0.13206,0.00799,-0.17828,-0.03214,-0.09149,-0.03606,-0.16793,0.03825,-0.04811,0.01475,0.0356,0.22204,0.11399,0.10327,0.1655,0.15019,0.06185,0.0087,0.22544,0.03298,0.03796
GABA-2-3,0.0188,-0.02532,-0.01844,-0.03911,0.00155,-0.02137,-0.08206,-0.02871,-0.06756,-0.12514,-0.09004,-0.09281,-0.06759,-0.05763,-0.1133,-0.09154,-0.09676,-0.06068,-0.07152,-0.04814,0.42893,0.06383,0.07191,0.04374,0.32317,0.26438,0.29516,0.55977,0.4687,0.46829,0.09493,0.04409,-0.17704,-0.05622,-0.25757,-0.09487,-0.13226,-0.08442,-0.22106,0.03812,0.00864,-0.04134,0.34035,0.06664,0.29286,0.19762,0.24061,0.32739,-0.01886,-0.00802,0.07955,0.04085,0.04182
Glut-CACNA1H-3,0.292,0.3569,0.06508,0.03381,0.50975,0.37551,0.33042,0.23805,0.29771,0.31797,0.38048,0.27232,0.27847,0.24627,0.25361,0.26435,0.31905,0.2406,0.33453,0.19503,-0.05884,0.01175,-0.0188,-0.08718,-0.02745,-0.07612,-0.05653,-0.0254,-0.02141,-0.0674,0.08261,0.09399,-0.12965,-0.04075,-0.26777,-0.16569,-0.16772,-0.18859,-0.25035,0.29166,0.11762,0.29702,-0.02532,0.08838,0.04144,0.05685,0.0348,-0.031,0.40564,0.2505,0.10321,0.31997,0.38917
Endo,-0.18016,-0.21803,0.00618,0.04544,-0.2251,-0.29756,-0.26888,-0.2176,-0.27206,-0.31728,-0.37313,-0.32267,-0.29863,-0.27704,-0.31746,-0.3136,-0.31412,-0.27123,-0.33969,-0.19536,-0.0886,-0.03753,-0.04815,0.11693,-0.10384,-0.0221,-0.04654,-0.1155,-0.13313,-0.0579,-0.12552,-0.15388,0.31658,0.18217,0.41708,0.27435,0.25528,0.25929,0.6329,-0.30193,-0.10778,-0.33394,-0.11356,-0.13768,-0.11939,-0.0849,-0.14113,-0.09037,-0.19727,-0.16051,-0.12059,-0.09463,-0.22756
GABA-7,0.08009,-0.01637,0.06008,0.03586,-0.03366,-0.07582,-0.05808,-0.00244,-0.03341,-0.10781,-0.05889,-0.1077,-0.00145,0.0133,-0.061,-0.08177,-0.07285,-0.07277,-0.03449,-0.06248,0.50659,0.08367,0.0974,0.11137,0.34336,0.30663,0.35051,0.41767,0.4065,0.40082,0.13522,0.05347,-0.16497,-0.04447,-0.20803,-0.03071,-0.09093,-0.04608,-0.18553,0.06715,0.06669,-0.0401,0.3477,0.07014,0.26208,0.20606,0.29027,0.33793,-0.05991,-0.00646,0.08931,0.03232,0.0005
GABA-2-2,0.00648,-0.02459,0.06158,0.03113,-0.0173,-0.0631,-0.10129,-0.05705,-0.0825,-0.14477,-0.10826,-0.12544,-0.09421,-0.06257,-0.1406,-0.11638,-0.13495,-0.09168,-0.09204,-0.08743,0.43221,0.08585,0.10165,0.13442,0.34748,0.29457,0.31535,0.55315,0.49496,0.54801,0.11835,0.02867,-0.17289,-0.05667,-0.24702,-0.05417,-0.12222,-0.07221,-0.19362,0.02865,-0.02101,-0.06949,0.30356,0.05504,0.27946,0.18438,0.23603,0.37161,-0.06668,-0.03694,0.09707,-0.01007,0.00958
