,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_SATB2,Ex_Pre_KCNH7,Ex_TSHZ2_NR4A2,Ex_CACNA1H_MCTP2,Ex_SATB2_FOXP2,Ex_SATB2_ZNF385B,Ex_SATB2_SOX6,Ex_SATB2_OVOA,Ex_DACH2_ITGA9,Ex_DACH2_GRIK4,Ex_DACH2_ZMAT4,Ex_DACH2_TAC1,Ex_DACH2_ADAMTS5,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_LHX2,Ex_DACH2_CEMIP,Ex_DACH2_LUZP2,Inh_MGE_like_ST18,Inh_OB_CPA6,Inh_OB_FGFRL1,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_CGE_like_CACNA1B,Inh_CGE_like_MAN1A1,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_ABI3BP,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP1_DGKH,Microglia,T-cells,Astrocytes,OPCs,Oligodendrocytes,COPs+NFOLs,Vascular,Ex_BCL6,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Inh_MGE_like_ST18_PVALB,Inh_LGE_like_FOXP1_SGCG,Inh_MGE_like_LHX8,Ex_TCF7L2,Inh_LGE_like_CHODL,Inh_CGE_like_CACNA2D3,Ex_CACNA1H_LHX9,Ex_CACNA1H_PROX1,Inh_LGE_like_STK31,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT
Glut-DACH2-3,0.16992,0.23906,0.03692,0.00635,0.20946,0.26762,0.26141,0.19341,0.2727,0.30225,0.41556,0.27733,0.3942,0.33518,0.31171,0.28885,0.32464,0.26084,0.39762,0.21781,-0.04169,-0.04249,-0.01095,-0.07426,-0.03856,-0.08211,-0.0739,-0.03719,-0.03602,-0.05908,0.03155,0.11336,-0.15517,0.01564,-0.24419,-0.1756,-0.18896,-0.15431,-0.24572,0.28484,0.15541,0.40824,-0.05031,0.07917,-0.01753,0.05181,0.0213,-0.01819,0.21083,0.166,0.09373,0.11141,0.19501
Glut-NB,0.05158,0.06864,0.27695,0.32011,0.08705,0.12042,0.09107,0.07255,0.04132,0.07596,0.10257,0.18352,0.06498,0.10265,0.04695,0.05879,0.04915,0.07124,0.12398,0.10692,-0.03352,0.05481,0.05314,0.13502,-0.04833,-0.00149,0.01512,-0.0199,-0.05343,-9e-05,0.01625,0.07326,-0.1064,-0.0213,-0.11718,-0.02967,-0.05864,0.01114,-0.12348,0.13967,-0.00037,0.12029,-0.04556,0.08049,0.05279,0.04151,0.0307,0.04086,0.12812,0.10309,0.07972,0.06881,0.12506
Epen,-0.07142,-0.08142,0.04636,0.11587,-0.11903,-0.06427,-0.09743,-0.06492,-0.0865,-0.10361,-0.17514,-0.11253,-0.1656,-0.10827,-0.15002,-0.12207,-0.16884,-0.09732,-0.13468,-0.05106,-0.0827,0.03038,0.02021,0.04832,-0.04008,-0.02473,-0.03838,-0.0451,-0.06618,-0.03876,-0.04671,-0.08043,0.14129,-0.00902,0.40808,0.18114,0.14593,0.13876,0.21027,-0.09372,-0.04018,-0.10176,-0.06482,-0.02325,-0.05644,-0.03601,-0.03337,-0.04031,-0.01019,0.05424,-0.03933,0.02581,-0.00849
Glut-DACH2-HVCra,0.1588,0.15871,-0.01681,-0.06,0.1723,0.20767,0.20983,0.17965,0.22317,0.23382,0.2688,0.19596,0.22642,0.23467,0.24113,0.23204,0.25084,0.20865,0.21563,0.17311,-0.03102,-0.01647,-0.00816,-0.09617,0.00887,-0.02398,-0.01918,-0.03354,0.0143,-0.06489,0.01085,0.1251,-0.05633,0.05555,-0.11624,-0.08301,-0.08456,-0.07399,-0.14777,0.14557,0.13584,0.22129,0.00542,0.123,0.00315,-0.00809,0.03408,-0.00947,0.15315,0.11243,0.03002,0.10701,0.1512
Glut-NSC,-0.10033,-0.10892,0.0687,0.1612,-0.13628,-0.07449,-0.12551,-0.06599,-0.12949,-0.12835,-0.20178,-0.13245,-0.19162,-0.13411,-0.18505,-0.15615,-0.21156,-0.11543,-0.1749,-0.06155,-0.09593,0.00474,0.01457,0.07105,-0.05519,-0.02678,-0.05442,-0.06081,-0.1042,-0.0407,-0.07239,-0.11236,0.15082,-0.00894,0.35777,0.17477,0.12086,0.11351,0.24497,-0.10448,-0.06918,-0.12599,-0.07182,-0.04826,-0.03954,-0.01387,-0.04329,-0.05652,-0.03161,0.04588,-0.05356,0.01191,-0.01571
Glut-DACH2-HVCx,0.25066,0.29409,0.01312,-0.05877,0.26723,0.25596,0.27671,0.20611,0.25827,0.24961,0.3136,0.19566,0.24909,0.25408,0.20998,0.22502,0.21824,0.19733,0.24216,0.15803,-0.04065,-0.02097,-0.00948,-0.08777,-0.00507,-0.05886,-0.04916,-0.02532,0.00631,-0.06303,0.02076,0.11498,-0.09683,0.05159,-0.18792,-0.13004,-0.13971,-0.13544,-0.19355,0.19533,0.14233,0.24971,0.02025,0.11177,-0.03261,0.04376,0.05694,-0.00216,0.21869,0.1646,0.08655,0.18015,0.23257
Glut-DACH2-5,0.10396,0.07502,-0.0147,-0.02416,0.12821,0.22703,0.2371,0.17093,0.22312,0.32786,0.3523,0.33255,0.28736,0.26621,0.39848,0.40035,0.40261,0.35861,0.26181,0.2795,-0.05737,-0.00894,0.00259,-0.06207,-0.061,-0.08576,-0.05017,-0.07486,-0.01582,-0.08278,0.06842,0.14323,-0.08353,0.04963,-0.15245,-0.1266,-0.07784,-0.10326,-0.18647,0.17575,0.11285,0.27199,-0.01389,0.14012,-0.01823,-0.04466,-0.01568,-0.0719,0.11583,0.13275,0.06747,0.06472,0.09071
Astro-3,-0.06428,-0.15344,-0.00356,0.06632,-0.14176,-0.13183,-0.10787,-0.08664,-0.12521,-0.14955,-0.21112,-0.1482,-0.14872,-0.16541,-0.13528,-0.14938,-0.15076,-0.13412,-0.18482,-0.0914,-0.08561,4e-05,0.00101,0.0086,-0.00518,0.03183,-0.00158,-0.05594,-0.05173,-0.05311,-0.03464,-0.09716,0.21106,0.03738,0.52955,0.24021,0.20468,0.14502,0.26566,-0.18133,0.00147,-0.16497,-0.0102,-0.0708,-0.03175,-0.08284,-0.055,-0.06039,-0.09516,-0.02668,-0.07511,0.01932,-0.10198
Glut-DACH2-7,0.16563,0.16603,0.00083,-0.02177,0.20134,0.24861,0.30946,0.20745,0.27131,0.33781,0.4078,0.34531,0.33493,0.31394,0.37765,0.37661,0.39508,0.30398,0.32057,0.23138,-0.06078,-0.00135,0.02724,-0.06967,-0.04843,-0.07263,-0.03402,-0.07257,-0.03023,-0.0655,0.04814,0.14803,-0.14951,0.03079,-0.20702,-0.14261,-0.16214,-0.13164,-0.2292,0.22951,0.10192,0.32192,-0.03628,0.12942,-0.02701,-0.01488,-0.003,-0.03137,0.14309,0.13441,0.0896,0.07837,0.14343
Glut-SATB2-1,0.19167,0.21759,0.01484,-0.02516,0.20391,0.25657,0.32615,0.25816,0.32553,0.29733,0.31158,0.25796,0.24711,0.24667,0.26173,0.27429,0.28921,0.24198,0.26554,0.19467,-0.04364,0.059,0.06468,-0.02529,-0.055,-0.0506,-0.02402,-0.05336,-0.03367,-0.04133,0.07205,0.15527,-0.17046,0.01745,-0.24174,-0.14266,-0.20344,-0.15294,-0.22124,0.22924,0.0697,0.26826,-0.04645,0.13161,-0.01412,0.04302,0.01665,-0.01775,0.16871,0.16325,0.10118,0.1031,0.1927
Glut-DACH2-6,0.21011,0.25991,0.0094,-0.03027,0.22858,0.22506,0.25626,0.19501,0.25181,0.23641,0.37902,0.20592,0.3742,0.32038,0.27155,0.23105,0.27427,0.17791,0.39165,0.13077,-0.01671,-0.03332,-0.00133,-0.07154,0.00345,-0.06228,-0.0495,-0.01003,0.01619,-0.02647,-0.00931,0.07795,-0.15873,0.02741,-0.23431,-0.15974,-0.1817,-0.14689,-0.21301,0.24065,0.14393,0.29698,-0.02041,0.05293,-0.00443,0.05194,0.01143,-0.00991,0.14798,0.12094,0.08167,0.11318,0.15898
Glut-DACH2-8,0.19883,0.22655,0.00791,-0.01581,0.24365,0.24517,0.29683,0.20304,0.2746,0.2804,0.4112,0.27085,0.41233,0.33883,0.33045,0.27612,0.31692,0.24309,0.4012,0.1598,-0.04125,-0.03795,0.0047,-0.08499,-0.00406,-0.09888,-0.04667,-0.02645,0.00702,-0.04765,0.02373,0.09319,-0.13562,0.02752,-0.23044,-0.14548,-0.14492,-0.13005,-0.20988,0.22871,0.17335,0.31944,-0.00211,0.07212,0.01001,0.04955,0.01759,-0.03043,0.14679,0.11302,0.09402,0.08915,0.13398
Glut-DACH2-LMANsh,0.1211,0.1133,-0.00992,-0.03013,0.15602,0.21484,0.24562,0.18477,0.22776,0.28666,0.3384,0.28306,0.31368,0.2732,0.3503,0.31567,0.3537,0.28654,0.2912,0.20827,-0.03681,-0.01161,0.01601,-0.06639,-0.03027,-0.07149,-0.02261,-0.05641,0.00239,-0.07817,0.0416,0.13751,-0.09484,0.0581,-0.1623,-0.11193,-0.09847,-0.11509,-0.18957,0.17183,0.13678,0.24358,0.00454,0.1228,-0.00662,-0.00936,0.00747,-0.04028,0.11081,0.11599,0.09654,0.0823,0.09592
Glut-DACH2-LMANco,0.15916,0.16857,-0.03036,-0.04387,0.1991,0.16864,0.22463,0.17129,0.20982,0.18793,0.28579,0.15305,0.31932,0.25315,0.22898,0.18713,0.1917,0.17646,0.30083,0.12013,0.00351,-0.05222,-0.00882,-0.06978,0.04068,-0.04362,-0.00186,0.00892,0.04813,-0.03078,0.01428,0.08304,-0.09833,0.00581,-0.16552,-0.09546,-0.10235,-0.09315,-0.17051,0.15582,0.19069,0.21104,0.07861,0.08796,0.04001,0.08034,0.04817,-0.00339,0.12644,0.10134,0.06334,0.10012,0.12819
