,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
Glut-CACNA1H-RA,0.1579,0.2047,0.4824,0.5632,0.5817,0.5985,0.5435,0.4739,0.4663,0.5147,0.4718,0.5401,0.4222,0.4019,0.4614,0.4657,0.4695,0.4637,0.475,0.4993,1.1614,0.6286,0.3436,0.362,0.5848,0.4786,0.5333,0.5397,0.6347,0.6752,0.3124,0.3163,0.3127,0.4563,0.4061,0.3742,0.2977,0.3388,0.4058,0.2731,0.375,0.3346,0.3158,0.4373,0.3515,0.348,0.2874,0.1992,0.2289,0.2004
Glut-DACH2-1,0.1142,0.1382,0.6357,0.36,0.4922,0.508,0.7966,0.5472,1.1733,0.6477,1.1014,1.0853,1.2889,1.2944,2.3012,1.6314,0.4052,0.8803,0.6508,0.6408,0.422,0.4734,0.2978,0.3297,0.624,1.1119,0.6378,0.5523,0.2234,0.5011,0.186,0.1769,0.1882,0.5287,0.481,0.3772,0.2524,0.2354,0.2031,0.1668,0.2114,0.1917,0.1314,0.2133,0.3367,0.3396,0.2558,0.1302,0.167,0.1367
Glut-DACH2-2,0.1305,0.1686,0.511,0.3708,0.4596,0.4792,0.6259,0.4994,1.0009,0.6042,0.7618,0.7184,1.4369,0.7824,1.6499,0.8972,0.4297,0.6521,0.5921,0.6047,0.4429,0.4521,0.2694,0.3007,0.6296,0.7921,0.6366,0.5483,0.245,0.496,0.221,0.2007,0.2189,0.5278,0.4797,0.3988,0.2535,0.254,0.2502,0.1909,0.2486,0.2054,0.1727,0.2406,0.3322,0.3184,0.26,0.1576,0.209,0.1497
Glut-DACH2-3,0.1052,0.1471,0.8168,0.3601,0.4456,0.4859,0.6643,0.4662,0.7133,0.8933,0.6274,0.996,0.6704,0.5816,0.722,0.678,0.571,2.4784,0.845,1.2198,0.5011,0.5603,0.3628,0.3725,0.5976,0.6851,0.596,0.5358,0.3267,0.4944,0.2135,0.2035,0.2327,0.4163,0.3689,0.3571,0.2732,0.2726,0.253,0.1974,0.2372,0.234,0.2085,0.2575,0.2905,0.3108,0.2766,0.1618,0.1592,0.1692
Glut-DACH2-4,0.0909,0.1361,0.5912,0.4154,0.5056,0.5001,0.6264,0.4687,0.7512,0.7128,0.6405,1.9658,0.6255,0.5297,0.7728,0.7496,0.5129,0.8693,0.6676,0.8399,0.6138,0.6554,0.3216,0.3585,0.7311,0.7201,0.7074,0.5982,0.2786,0.6041,0.1969,0.1921,0.2232,0.4263,0.3819,0.3662,0.2592,0.2864,0.2632,0.2081,0.2588,0.2535,0.2175,0.2901,0.3033,0.3152,0.2979,0.1403,0.1721,0.178
Glut-DACH2-5,0.1238,0.1608,0.4944,0.3519,0.4269,0.456,0.6144,0.5043,2.0372,0.6011,0.7234,0.6998,1.0581,0.6567,1.1531,0.8044,0.4625,0.6548,0.6137,0.6196,0.3946,0.4006,0.2608,0.2945,0.5821,0.7576,0.5908,0.5086,0.2669,0.4615,0.2181,0.2152,0.2237,0.4928,0.4429,0.358,0.2291,0.2543,0.2831,0.1901,0.2585,0.2134,0.1882,0.2598,0.3061,0.2952,0.207,0.1495,0.1973,0.1286
Glut-DACH2-6,0.0503,0.1074,0.5608,0.4158,0.4894,0.4961,0.6227,0.4659,0.7702,2.4772,0.5801,0.8436,0.5365,0.4759,0.6107,0.6065,0.485,0.7085,0.73,1.2943,0.5542,0.5983,0.2524,0.2897,0.5983,0.595,0.581,0.5531,0.3368,0.5612,0.2209,0.2391,0.2293,0.3781,0.3211,0.2951,0.1716,0.2992,0.3091,0.2039,0.2672,0.2471,0.2229,0.2844,0.2359,0.2399,0.1653,0.1047,0.093,0.0889
Glut-DACH2-7,0.0753,0.1087,0.539,0.3855,0.4927,0.5017,0.6438,0.5271,1.247,0.6744,0.7664,0.8202,0.7089,0.6131,1.3884,0.7985,0.4166,0.7166,0.6763,0.681,0.4481,0.4845,0.2362,0.2995,0.6183,1.3091,0.6243,0.5493,0.2553,0.5033,0.1804,0.1924,0.1883,0.4722,0.4193,0.3283,0.1762,0.223,0.2364,0.1492,0.2013,0.178,0.1408,0.2155,0.2629,0.267,0.1401,0.1152,0.0998,0.0615
Glut-DACH2-8,0.0795,0.133,0.5621,0.399,0.4508,0.481,0.6663,0.4405,0.7305,1.0058,0.6365,0.8955,0.5724,0.4743,0.6351,0.6417,0.5913,0.7012,1.0534,2.6628,0.5613,0.5746,0.2746,0.313,0.6579,0.6519,0.6137,0.5663,0.3629,0.5779,0.218,0.2207,0.2353,0.3986,0.3464,0.3165,0.198,0.288,0.312,0.1968,0.2833,0.2468,0.221,0.3223,0.2542,0.2674,0.211,0.1284,0.1505,0.1157
Glut-DACH2-HVCra,0.1517,0.2003,0.4731,0.4441,0.4968,0.4819,0.5429,0.494,0.6345,0.5708,0.585,0.624,0.5963,0.5492,0.8124,0.6107,0.4892,0.5637,0.7859,0.5849,0.4947,0.4915,0.3213,0.3515,0.5866,0.644,1.5916,0.807,0.331,0.5151,0.2994,0.2902,0.2945,0.5036,0.454,0.3813,0.291,0.3318,0.3211,0.2316,0.3203,0.2688,0.2304,0.3247,0.3194,0.3158,0.2722,0.2005,0.2105,0.1787
Glut-DACH2-HVCra-Int,0.0902,0.1411,0.5122,0.414,0.5111,0.5179,0.6279,0.5239,0.7707,0.6155,0.7155,0.7275,0.7275,0.6884,1.6896,0.76,0.4177,0.6524,0.6108,0.5996,0.4645,0.497,0.2547,0.3029,0.6338,1.2312,0.6918,0.5815,0.2617,0.5258,0.2227,0.2197,0.221,0.5212,0.4673,0.3811,0.2249,0.2437,0.2524,0.18,0.24,0.1973,0.1674,0.2414,0.3082,0.3065,0.2048,0.1447,0.1464,0.1088
Glut-DACH2-HVCx,0.1187,0.17,0.5348,0.4793,0.5339,0.5052,0.5813,0.4788,0.6034,0.642,0.5464,0.7716,0.535,0.4681,0.6117,0.5775,0.5106,0.5965,0.6412,0.6408,1.0971,1.4989,0.335,0.3731,0.6834,0.6232,1.1283,0.6024,0.3504,0.5973,0.2497,0.2613,0.2818,0.4466,0.4001,0.3823,0.2908,0.3286,0.3255,0.2362,0.3169,0.2979,0.2444,0.3471,0.3133,0.314,0.3107,0.1659,0.1958,0.1859
Glut-DACH2-LMANco,0.122,0.1951,0.5012,0.4429,0.4452,0.4753,0.5493,0.4322,0.5868,0.7401,0.5141,0.638,0.4884,0.4257,0.5411,0.5188,1.425,0.5762,0.6156,1.1948,0.5621,0.5307,0.3038,0.32,0.5878,0.5331,0.5735,0.5545,0.6397,0.5565,0.2986,0.2961,0.3137,0.4199,0.359,0.3384,0.2458,0.3659,0.4075,0.2667,0.3865,0.3486,0.3353,0.4525,0.2772,0.2929,0.2667,0.1789,0.22,0.1794
Glut-DACH2-LMANsh,0.1164,0.1695,0.5043,0.3735,0.4195,0.4563,0.5943,0.4749,1.8207,0.6361,0.6678,0.7846,0.7203,0.5887,0.7637,0.7451,0.5242,0.6297,0.624,1.1008,0.4245,0.4186,0.2699,0.2995,0.6021,0.7619,0.594,0.5211,0.316,0.4739,0.2343,0.2291,0.2449,0.4715,0.4147,0.3552,0.2387,0.2662,0.2954,0.1988,0.2699,0.2275,0.2086,0.2807,0.3021,0.2944,0.2321,0.1543,0.2007,0.1409
Glut-GABA,0.0505,0.1247,0.5083,0.3605,0.4144,0.4517,0.5475,0.4528,0.8672,0.5858,0.7376,0.6757,0.6799,0.578,1.0698,0.7343,0.4237,0.6381,0.6021,0.602,0.456,0.4446,0.3038,0.3418,0.6312,0.7203,0.6558,0.649,0.284,0.4446,0.2238,0.2222,0.2321,1.2854,1.1144,0.7058,0.3343,0.2556,0.3489,0.2151,0.2405,0.2457,0.2021,0.2593,0.4096,0.3637,0.2123,0.1253,0.1299,0.1075
Glut-Im,0.1055,0.162,0.5656,0.3887,0.4958,0.5412,0.6441,0.5198,0.6948,0.6161,2.8497,0.7006,0.6728,0.6139,0.7299,0.8247,0.4023,0.67,0.5917,0.5919,0.4602,0.4792,0.4672,0.5496,0.6361,0.7476,0.5632,0.5408,0.2584,0.5173,0.1925,0.2086,0.2195,0.5332,0.4869,0.3496,0.3124,0.244,0.2452,0.1972,0.2225,0.2232,0.1582,0.2075,0.3448,0.3483,0.2412,0.1589,0.1596,0.1318
Glut-NB,0.2337,0.3506,0.4128,0.3913,0.4293,0.4631,0.4192,0.4199,0.3339,0.3687,0.8006,0.368,0.3723,0.4189,0.3724,0.3377,0.3118,0.4154,0.4032,0.3362,0.3765,0.3437,2.791,1.4151,0.3835,0.3622,0.3557,0.3965,0.3099,0.3512,0.3538,0.3705,0.3634,0.3462,0.3717,0.3246,0.6739,0.2932,0.3352,0.3638,0.2629,0.3161,0.2853,0.2617,0.3698,0.3805,0.3385,0.3553,0.3007,0.2608
Glut-NSC,1.3875,0.554,0.1776,0.2856,0.2135,0.2018,0.1293,0.2628,0.1038,0.0921,0.1246,0.0286,0.1693,0.2565,0.1243,0.0946,0.2228,0.1141,0.1135,0.0756,0.188,0.1296,0.6472,0.4944,0.1291,0.1136,0.1246,0.1898,0.3111,0.1281,0.3927,0.3802,0.3955,0.2266,0.2965,0.3213,0.6325,0.3136,0.3281,0.3605,0.2535,0.2942,0.312,0.2777,0.4358,0.3963,0.6637,0.5778,0.5601,1.5381
Glut-SATB2-1,0.0507,0.1131,0.5267,0.4408,0.5445,0.5167,0.6339,0.5332,0.6481,0.6158,0.6395,0.6649,0.605,0.5384,0.6854,0.6176,0.43,0.6302,0.6158,0.6087,0.5485,0.5634,0.2671,0.3668,2.2498,0.8362,1.8678,1.6995,0.2771,0.5341,0.2236,0.229,0.2275,0.4697,0.4132,0.3701,0.2125,0.2521,0.2481,0.1927,0.2409,0.2301,0.1857,0.2548,0.3026,0.2949,0.1527,0.1106,0.0832,0.0605
Micro,0.9147,0.6427,0.1127,0.2363,0.1354,0.122,0.0446,0.1395,0.1221,0.0717,0.068,0.0271,0.1448,0.2123,0.1182,0.1718,0.3219,0.0256,0.1088,0.1182,0.1944,0.1029,0.469,0.3793,0.1599,0.1185,0.1614,0.1953,0.2531,0.1164,0.327,0.3072,0.34,0.2444,0.2827,0.3344,0.5073,0.2945,0.3,0.3074,0.2587,0.2739,0.3024,0.2821,0.4003,0.3801,3.3441,0.5803,0.7161,0.8134
OPC,0.6343,1.3736,0.1403,0.2988,0.2102,0.189,0.1173,0.2296,0.0898,0.0506,0.0773,0.0037,0.1602,0.2135,0.1023,0.0863,0.2194,0.0828,0.1036,0.0726,0.1557,0.1183,0.4445,0.419,0.0915,0.074,0.1212,0.1733,0.3079,0.1043,0.3714,0.3982,0.3905,0.1981,0.2561,0.3125,0.4592,0.2938,0.3435,0.3487,0.2579,0.2826,0.3155,0.2617,0.3501,0.3532,0.4688,3.2822,0.5581,0.4784
Oligo-1,0.5363,0.9078,0.1506,0.2377,0.2025,0.153,0.135,0.2095,0.218,0.1245,0.1566,0.1058,0.2508,0.2718,0.2084,0.2262,0.356,0.1017,0.1771,0.1463,0.2079,0.1355,0.4357,0.3922,0.1905,0.191,0.2154,0.2494,0.2727,0.1805,0.3508,0.3335,0.3465,0.3053,0.3205,0.3234,0.4487,0.3175,0.317,0.3382,0.3193,0.2901,0.3155,0.3269,0.3855,0.3741,0.6611,0.5792,3.3887,0.6416
Oligo-2,0.5849,0.9016,0.1343,0.2099,0.1563,0.1112,0.0798,0.1504,0.1846,0.0992,0.1246,0.0786,0.1977,0.2244,0.1548,0.2098,0.3571,0.0478,0.1515,0.1279,0.2158,0.1352,0.4672,0.4049,0.1841,0.1714,0.2094,0.2315,0.2613,0.163,0.3661,0.3447,0.3603,0.2815,0.3137,0.3445,0.501,0.3304,0.3181,0.3532,0.3234,0.3054,0.3398,0.3412,0.8855,0.4063,0.7102,0.5888,2.7574,0.721
Oligo-3,1.55,0.765,0.128,0.2281,0.1485,0.1012,0.0553,0.171,0.1225,0.049,0.0838,0.0012,0.1546,0.2015,0.115,0.1441,0.3139,0.0265,0.1177,0.0971,0.174,0.0766,0.4273,0.3705,0.108,0.0908,0.1271,0.1731,0.3093,0.0974,0.3529,0.3165,0.3494,0.241,0.2761,0.2929,0.4555,0.3046,0.3115,0.2926,0.2765,0.247,0.2962,0.2975,0.3917,0.3916,0.8634,0.6334,1.5256,0.7761
