query,top_rank_agg,top_borda,top_zaremba,rank_agg_score,rank_agg_runner_up,rank_agg_margin,confidence,confidence_tier,zaremba_sum_at_winner,zaremba_sum,zaremba_sum_max,methods_agreeing_on_own_top,n_methods,reciprocal_support_for_rank_agg,agg_methods_concordant,conf_gsi,conf_samap,conf_saturn,conf_cca,top_gsi,top_samap,top_saturn,top_cca,nrecip_gsi,nrecip_samap,nrecip_saturn,nrecip_cca,n_clusters_sharing_winner
GABA-4-1,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,0.9854,Inh_MGE_like_SST_SLC24A2,0.1434,0.6555,high,2.6218,2.6218,4,3,4,4,True,0.849,0.9548,0.0013,0.8173,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_PVALB,3,4,3,4,2
GABA-4-2,Inh_MGE_like_ST18_PVALB,Inh_MGE_like_ST18_PVALB,Inh_MGE_like_SST_PVALB,0.9271,Inh_MGE_like_SST_PVALB,0.0792,0.3202,moderate,1.2809,2.0002,4,2,4,4,False,0.7291,0.1254,0.0309,0.411,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,Ex_CACNA1H_CPA6,Inh_MGE_like_ST18_PVALB,3,3,3,2,1
GABA-5-1,Inh_CGE_like_MAN1A1,Inh_CGE_like_MAN1A1,Inh_CGE_like_MAN1A1,1.0,Inh_CGE_like_CACNA1B,0.1514,0.7323,high,2.9292,2.9292,4,4,4,4,True,0.6967,0.9334,0.9609,0.8187,Inh_CGE_like_MAN1A1,Inh_CGE_like_MAN1A1,Inh_CGE_like_MAN1A1,Inh_CGE_like_MAN1A1,3,4,3,3,1
GABA-5-2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA1B,1.0,Inh_CGE_like_MAN1A1,0.102,0.6831,high,2.7324,2.7324,4,4,4,4,True,0.7552,0.9644,0.9636,0.531,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA1B,3,4,2,3,1
GABA-6,Inh_MGE_like_ANO1,Inh_MGE_like_ANO1,Inh_MGE_like_ANO1,1.0,Inh_MGE_like_ST18,0.5085,0.8208,high,3.2832,3.2832,4,4,4,4,True,0.7889,1.0,1.0,0.9943,Inh_MGE_like_ANO1,Inh_MGE_like_ANO1,Inh_MGE_like_ANO1,Inh_MGE_like_ANO1,3,1,1,1,1
GABA-7,Inh_MGE_like_ST18,Inh_MGE_like_ST18,Inh_MGE_like_ST18,1.0,Inh_MGE_like_SST_ABI3BP,0.2555,0.7846,high,3.1383,3.1383,4,4,4,4,True,0.7606,0.9002,0.9959,0.9795,Inh_MGE_like_ST18,Inh_MGE_like_ST18,Inh_MGE_like_ST18,Inh_MGE_like_ST18,2,2,2,2,2
GABA-8,Inh_MGE_like_LHX8,Inh_MGE_like_LHX8,Inh_MGE_like_LHX8,1.0,Ex_TCF7L2,0.4014,0.7584,high,3.0338,3.0338,4,4,4,4,True,0.7157,0.9378,1.0,0.8803,Inh_MGE_like_LHX8,Inh_MGE_like_LHX8,Inh_MGE_like_LHX8,Inh_MGE_like_LHX8,1,2,1,2,1
GABA-Im,Inh_MGE_like_ST18,Inh_MGE_like_ST18,Inh_MGE_like_ST18,0.8879,Inh_MGE_like_SST_SLC24A2,0.0389,0.3939,moderate,1.5755,1.5755,4,1,4,4,True,0.6981,0.3255,0.737,0.1834,Inh_MGE_like_SST_ABI3BP,Inh_LGE_like_Pre,Inh_MGE_like_ST18,Inh_MGE_like_SST_SLC24A2,4,5,5,5,2
Glut-CACNA1H-1,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,0.9042,Ex_TSHZ2_NR4A2,0.0141,0.4163,moderate,1.6651,1.6651,4,2,4,4,True,0.6475,0.8311,0.0019,0.1856,Ex_TSHZ2_NR4A2,Ex_CACNA1H_LHX9,Ex_CACNA1H_KIT,Ex_CACNA1H_KIT,4,5,4,4,2
Glut-CACNA1H-2,Ex_CACNA1H_KIT,Ex_CACNA1H_KIT,Ex_CACNA1H_KIT,0.9439,Ex_CACNA1H_MCTP2,0.1623,0.4361,moderate,1.7445,1.7445,4,2,4,4,True,0.6907,0.6434,0.0091,0.4059,Ex_TSHZ2_NR4A2,Ex_CACNA1H_KIT,Ex_CACNA1H_PROX1,Ex_CACNA1H_KIT,5,5,4,5,1
Glut-CACNA1H-3,Ex_TSHZ2_NR4A2,Ex_TSHZ2_NR4A2,Ex_CACNA1H_LHX9,0.8704,Ex_CACNA1H_LHX9,0.012,0.2256,low,0.9023,1.2609,4,1,4,4,False,0.7072,0.1105,0.0016,0.0838,Ex_TSHZ2_NR4A2,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_KIT,3,3,5,5,1
Glut-CACNA1H-4,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,0.9563,Ex_CACNA1H_KIT,0.1303,0.3747,moderate,1.4988,1.4988,4,2,4,4,True,0.7325,0.6697,0.0188,0.0873,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,Ex_DACH2_LUZP2,Ex_CACNA1H_KIT,5,5,5,5,2
Glut-CACNA1H-RA,Ex_KIAA1217,Ex_KIAA1217,Ex_KIAA1217,0.8879,Ex_TSHZ2_NR4A2,0.1318,0.2903,moderate,1.1614,1.1614,4,1,4,4,True,0.5862,0.0109,1.0,0.0643,Ex_TSHZ2_NR4A2,Ex_KIAA1217_BCL6,Ex_KIAA1217,Ex_TCF7L2,4,4,1,5,1
Glut-DACH2-1,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,1.0,Ex_DACH2_NR4A3,0.1662,0.5753,high,2.3012,2.3012,4,4,4,4,True,0.8723,0.751,0.9922,0.1817,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,5,5,2,5,5
Glut-DACH2-2,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,0.9625,Ex_DACH2_LHX2,0.1451,0.4125,moderate,1.6499,1.6499,4,3,4,4,True,0.8346,0.6594,0.0005,0.1557,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_DACH2_LHX2,Ex_DACH2_MGAT4C,5,4,5,5,5
Glut-DACH2-3,Ex_DACH2_SLIT2,Ex_DACH2_SLIT2,Ex_DACH2_SLIT2,0.9708,Ex_DACH2_ZMAT4,0.1557,0.6196,high,2.4784,2.4784,4,3,4,4,True,0.764,0.686,0.998,0.5295,Ex_DACH2_ITGA9,Ex_DACH2_SLIT2,Ex_DACH2_SLIT2,Ex_DACH2_SLIT2,4,5,4,5,1
Glut-DACH2-4,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,0.9708,Ex_DACH2_SLIT2,0.2804,0.4914,moderate,1.9658,1.9658,4,3,4,4,True,0.7868,0.5214,0.9876,0.1637,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,Ex_DACH2_SLIT2,4,2,5,4,1
Glut-DACH2-5,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,0.9417,Ex_DACH2_MGAT4C,0.1461,0.5093,high,2.0372,2.0372,4,2,4,4,True,0.7812,0.5761,1.0,0.1798,Ex_DACH2_MGAT4C,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,Ex_DACH2_LHX2,5,5,1,3,2
Glut-DACH2-6,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,1.0,Ex_DACH2_ZMAT4,0.2089,0.6193,high,2.4772,2.4772,4,4,4,4,True,0.7876,0.633,1.0,0.5566,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,Ex_DACH2_CEMIP,4,4,1,4,1
Glut-DACH2-7,Ex_DACH2_MGAT4C,Ex_SATB2_OVOA,Ex_DACH2_MGAT4C,0.8486,Ex_DACH2_ADAMTS5,0.0538,0.3471,moderate,1.3884,1.3884,4,2,4,3,False,0.7912,0.4768,0.0,0.1204,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_SATB2_OVOA,Ex_DACH2_ADAMTS5,5,4,2,5,5
Glut-DACH2-8,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,1.0,Ex_DACH2_CEMIP,0.1479,0.6657,high,2.6628,2.6628,4,4,4,4,True,0.8294,0.9009,0.9877,0.4387,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,4,4,5,4,1
Glut-DACH2-HVCra,Ex_SATB2_SOX6,Ex_SATB2_SOX6,Ex_SATB2_SOX6,0.8924,Ex_DACH2_MGAT4C,0.118,0.3979,moderate,1.5916,1.5916,4,2,4,3,True,0.6303,0.4261,1.0,0.0352,Ex_DACH2_MGAT4C,Ex_SATB2_SOX6,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,0,2,1,4,1
Glut-DACH2-HVCra-Int,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_MGAT4C,0.8778,Ex_DACH2_NR4A3,0.1173,0.4224,moderate,1.6896,1.6896,4,3,4,3,False,0.7863,0.6489,0.0,0.2545,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_SATB2_OVOA,Ex_DACH2_MGAT4C,4,1,2,4,5
Glut-DACH2-HVCx,Ex_KIAA1217_BCL6,Ex_KIAA1217_BCL6,Ex_KIAA1217_BCL6,0.8879,Ex_DACH2_ITGA9,0.0923,0.3747,moderate,1.4989,1.4989,4,1,4,4,True,0.6467,0.2197,0.9818,0.1416,Ex_DACH2_ITGA9,Ex_SATB2_SOX6,Ex_KIAA1217_BCL6,Ex_KIAA1217,3,4,2,5,1
Glut-DACH2-LMANco,Ex_DACH2_RORB,Ex_DACH2_RORB,Ex_DACH2_RORB,0.8959,Ex_DACH2_ZMAT4,0.0712,0.3562,moderate,1.425,1.425,4,2,4,4,True,0.627,0.0515,1.0,0.2464,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,Ex_DACH2_RORB,Ex_DACH2_RORB,3,3,1,4,1
Glut-DACH2-LMANsh,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,0.8778,Ex_SATB2_OVOA,0.1579,0.4552,moderate,1.8207,1.8207,4,3,4,3,True,0.7539,0.723,0.0,0.3437,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,Ex_DACH2_ZMAT4,Ex_DACH2_ADAMTS5,1,2,2,4,2
Glut-GABA,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Inh_LGE_like_FOXP1_DGKH,0.824,Ex_DACH2_ADAMTS5,0.0978,0.2675,moderate,1.0698,1.2854,4,2,4,1,False,0.7445,0.2423,0.0,0.0829,Ex_DACH2_MGAT4C,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP1_DGKH,Ex_DACH2_MGAT4C,0,3,2,5,5
Glut-Im,Ex_DACH2_GRIK4,Ex_DACH2_GRIK4,Ex_DACH2_GRIK4,1.0,Ex_DACH2_NR4A3,0.1908,0.7124,high,2.8497,2.8497,4,4,4,4,True,0.8424,0.8031,0.9824,0.7129,Ex_DACH2_GRIK4,Ex_DACH2_GRIK4,Ex_DACH2_GRIK4,Ex_DACH2_GRIK4,1,5,3,3,1
Glut-NB,Ex_Pre_KCNH7,Ex_Pre_KCNH7,Ex_Pre_KCNH7,1.0,Ex_Pre_SATB2,0.1267,0.6978,high,2.791,2.791,4,4,4,4,True,0.7737,0.9104,0.9897,0.6121,Ex_Pre_KCNH7,Ex_Pre_KCNH7,Ex_Pre_KCNH7,Ex_Pre_KCNH7,3,4,5,3,1
Glut-NSC,Astrocytes,Vascular,Vascular,0.8486,Vascular,0.0259,0.3469,moderate,1.3875,1.5381,4,2,4,1,False,0.7603,0.5922,0.0,0.035,Astrocytes,Astrocytes,Vascular,Vascular,1,4,2,3,6
Glut-SATB2-1,Ex_SATB2_FOXP2,Ex_SATB2_FOXP2,Ex_SATB2_FOXP2,0.917,Ex_SATB2_ZNF385B,0.0948,0.5624,high,2.2498,2.2498,4,2,4,4,True,0.6996,0.808,0.8633,0.3106,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_SATB2_FOXP2,Ex_SATB2_FOXP2,2,5,2,3,1
Micro,Microglia,Microglia,Microglia,1.0,Vascular,0.2562,0.836,high,3.3441,3.3441,4,4,4,4,True,0.9267,0.9757,0.9288,0.9774,Microglia,Microglia,Microglia,Microglia,5,1,3,2,1
OPC,OPCs,OPCs,OPCs,1.0,COPs+NFOLs,0.1662,0.8206,high,3.2822,3.2822,4,4,4,4,True,0.8527,0.9881,0.9999,0.9415,OPCs,OPCs,OPCs,OPCs,2,3,2,3,1
Oligo-1,Oligodendrocytes,Oligodendrocytes,Oligodendrocytes,1.0,COPs+NFOLs,0.4227,0.8472,high,3.3887,3.3887,4,4,4,4,True,0.9779,0.9951,1.0,0.9157,Oligodendrocytes,Oligodendrocytes,Oligodendrocytes,Oligodendrocytes,3,4,1,1,2
Oligo-2,Oligodendrocytes,Oligodendrocytes,Oligodendrocytes,0.8764,Vascular,0.1791,0.6894,high,2.7574,2.7574,4,3,4,3,True,1.0,0.9677,0.0,0.7897,Oligodendrocytes,Oligodendrocytes,Inh_OB_CPA6,Oligodendrocytes,4,4,4,3,2
Oligo-3,Astrocytes,Astrocytes,Astrocytes,0.9148,Oligodendrocytes,0.0695,0.3875,moderate,1.55,1.55,4,2,4,3,True,0.8539,0.1124,0.0869,0.5403,Oligodendrocytes,Oligodendrocytes,Microglia,Astrocytes,5,3,5,3,6
