query,top_rank_agg,top_borda,top_zaremba,rank_agg_score,rank_agg_runner_up,rank_agg_margin,confidence,confidence_tier,zaremba_sum_at_winner,zaremba_sum,zaremba_sum_max,methods_agreeing_on_own_top,n_methods,reciprocal_support_for_rank_agg,agg_methods_concordant,conf_gsi,conf_samap,conf_saturn,conf_cca,top_gsi,top_samap,top_saturn,top_cca,nrecip_gsi,nrecip_samap,nrecip_saturn,nrecip_cca,n_clusters_sharing_winner
GABA-3,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,1.0,Inh_MGE_like_SST_ABI3BP,0.2089,0.7966,high,3.1864,3.1864,4,4,4,4,True,0.8758,0.99,0.9998,0.8207,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,4,4,1,4,2
GABA-4-1,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,0.9625,Inh_MGE_like_SST_SLC24A2,0.1205,0.66,high,2.6398,2.6398,4,3,4,4,True,0.8616,0.9511,0.0038,0.8252,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_PVALB,5,4,5,4,2
GABA-4-2,Inh_MGE_like_ST18_PVALB,Inh_MGE_like_ST18_PVALB,Inh_MGE_like_SST_PVALB,0.9417,Inh_MGE_like_SST_PVALB,0.0938,0.4224,moderate,1.6897,1.9902,4,2,4,4,False,0.72,0.0783,0.9474,0.4177,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_PVALB,Inh_MGE_like_ST18_PVALB,Inh_MGE_like_ST18_PVALB,3,3,2,2,1
GABA-5-1,Inh_CGE_like_MAN1A1,Inh_CGE_like_MAN1A1,Inh_CGE_like_MAN1A1,1.0,Inh_CGE_like_CACNA1B,0.1514,0.7329,high,2.9316,2.9316,4,4,4,4,True,0.6933,0.9393,0.9556,0.8213,Inh_CGE_like_MAN1A1,Inh_CGE_like_MAN1A1,Inh_CGE_like_MAN1A1,Inh_CGE_like_MAN1A1,3,3,3,3,1
GABA-5-2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA1B,1.0,Inh_CGE_like_MAN1A1,0.102,0.6749,high,2.6995,2.6995,4,4,4,4,True,0.7506,0.9639,0.9491,0.5104,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA1B,3,4,3,3,1
GABA-6,Inh_MGE_like_ANO1,Inh_MGE_like_ANO1,Inh_MGE_like_ANO1,1.0,Inh_MGE_like_ST18,0.5072,0.82,high,3.28,3.28,4,4,4,4,True,0.7806,1.0,1.0,0.9993,Inh_MGE_like_ANO1,Inh_MGE_like_ANO1,Inh_MGE_like_ANO1,Inh_MGE_like_ANO1,3,1,1,1,1
GABA-7,Inh_MGE_like_ST18,Inh_MGE_like_ST18,Inh_MGE_like_ST18,1.0,Inh_MGE_like_SST_ABI3BP,0.2569,0.7854,high,3.1415,3.1415,4,4,4,4,True,0.7509,0.9088,0.995,0.9843,Inh_MGE_like_ST18,Inh_MGE_like_ST18,Inh_MGE_like_ST18,Inh_MGE_like_ST18,2,2,3,2,2
GABA-8,Inh_MGE_like_LHX8,Inh_MGE_like_LHX8,Inh_MGE_like_LHX8,0.9854,Inh_MGE_like_SST_SLC24A2,0.4774,0.62,high,2.4801,2.4801,4,3,4,4,True,0.71,0.9394,0.0043,0.8285,Inh_MGE_like_LHX8,Inh_MGE_like_LHX8,Ex_BCL6,Inh_MGE_like_LHX8,1,3,2,2,1
GABA-Pre,Inh_MGE_like_ST18,Inh_MGE_like_ST18,Inh_MGE_like_SST_SLC24A2,0.8733,Inh_MGE_like_SST_SLC24A2,0.0299,0.3085,moderate,1.2341,1.2413,4,1,4,4,False,0.6929,0.2841,0.1484,0.1829,Inh_MGE_like_SST_ABI3BP,Inh_LGE_like_Pre,Inh_MGE_like_LHX8,Inh_MGE_like_SST_SLC24A2,4,5,5,5,2
Glut-Arco-1,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,0.9563,Ex_TSHZ2_NR4A2,0.0767,0.4263,moderate,1.7052,1.7052,4,2,4,4,True,0.6678,0.8294,0.022,0.197,Ex_TSHZ2_NR4A2,Ex_CACNA1H_LHX9,Ex_CACNA1H_CPA6,Ex_CACNA1H_LHX9,4,5,4,4,3
Glut-Arco-2,Ex_CACNA1H_KIT,Ex_CACNA1H_KIT,Ex_CACNA1H_KIT,0.9854,Ex_CACNA1H_LHX9,0.1809,0.4385,moderate,1.7539,1.7539,4,3,4,4,True,0.7132,0.6373,0.0049,0.401,Ex_CACNA1H_KIT,Ex_CACNA1H_KIT,Ex_CACNA1H_PROX1,Ex_CACNA1H_KIT,5,5,4,5,1
Glut-Arco-3,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,0.9148,Ex_TSHZ2_NR4A2,0.0352,0.3189,moderate,1.2757,1.2757,4,2,4,4,True,0.6207,0.4912,0.0545,0.1365,Ex_TSHZ2_NR4A2,Ex_CACNA1H_LHX9,Ex_CACNA1H_KIT,Ex_CACNA1H_KIT,3,3,5,5,3
Glut-Arco-4,Ex_TSHZ2_NR4A2,Ex_TSHZ2_NR4A2,Ex_KIAA1217_BCL6,0.8355,Ex_KIAA1217_BCL6,0.1489,0.1906,low,0.7625,1.0062,4,1,4,4,False,0.6336,0.0347,0.1218,0.0334,Ex_TSHZ2_NR4A2,Ex_CACNA1H_LHX9,Ex_KIAA1217_BCL6,Ex_CACNA1H_KIT,1,4,5,4,1
Glut-Arco-5,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,0.9563,Ex_DACH2_LUZP2,0.2,0.3732,moderate,1.4928,1.4928,4,2,4,4,True,0.7417,0.6543,0.0211,0.0863,Ex_CACNA1H_LHX9,Ex_CACNA1H_LHX9,Ex_DACH2_LUZP2,Ex_CACNA1H_KIT,5,5,3,5,3
Glut-HVC-1,Ex_SATB2_SOX6,Ex_SATB2_SOX6,Ex_SATB2_SOX6,0.8924,Ex_DACH2_MGAT4C,0.118,0.3889,moderate,1.5557,1.5557,4,2,4,3,True,0.621,0.4088,1.0,0.0259,Ex_DACH2_MGAT4C,Ex_SATB2_SOX6,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,0,2,1,4,2
Glut-HVC-1a,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_MGAT4C,0.8764,Ex_DACH2_NR4A3,0.1754,0.4296,moderate,1.7184,1.7184,4,3,4,2,False,0.785,0.6385,0.0,0.2949,Ex_DACH2_MGAT4C,Ex_DACH2_MGAT4C,Ex_CACNA1H_MCTP2,Ex_DACH2_MGAT4C,3,1,3,4,5
Glut-HVC-2,Ex_DACH2_ITGA9,Ex_DACH2_ITGA9,Ex_DACH2_TAC1,0.8011,Ex_SATB2_SOX6,0.0063,0.1986,low,0.7942,1.1059,4,1,4,1,False,0.6656,0.0876,0.0777,0.0023,Ex_DACH2_ITGA9,Ex_SATB2_SOX6,Ex_DACH2_TAC1,Ex_KIAA1217,3,4,2,5,2
Glut-LMAN-1,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,0.8785,Ex_SATB2_OVOA,0.2038,0.4444,moderate,1.7775,1.7775,4,3,4,3,True,0.7398,0.7093,0.0,0.3284,Ex_DACH2_ADAMTS5,Ex_DACH2_ADAMTS5,Ex_DACH2_ZMAT4,Ex_DACH2_ADAMTS5,1,2,1,4,2
Glut-LMAN-2,Ex_DACH2_RORB,Ex_DACH2_RORB,Ex_DACH2_RORB,0.8667,Ex_DACH2_ZMAT4,0.0632,0.3373,moderate,1.3491,1.3491,4,2,4,4,True,0.6105,0.0474,1.0,0.1912,Ex_DACH2_ZMAT4,Ex_DACH2_ZMAT4,Ex_DACH2_RORB,Ex_TCF7L2,2,3,1,4,1
