,bf_Glut-CACNA1H-1,bf_Glut-CACNA1H-2,bf_Glut-CACNA1H-3,bf_Glut-CACNA1H-4,bf_Glut-CACNA1H-RA,bf_Glut-DACH2-1,bf_Glut-DACH2-2,bf_Glut-DACH2-3,bf_Glut-DACH2-4,bf_Glut-DACH2-5,bf_Glut-DACH2-6,bf_Glut-DACH2-7,bf_Glut-DACH2-8,bf_Glut-DACH2-HVCra,bf_Glut-DACH2-HVCra-Int,bf_Glut-DACH2-HVCx,bf_Glut-DACH2-LMANco,bf_Glut-DACH2-LMANsh,bf_Glut-SATB2-1,gg_Ex_BCL6,gg_Ex_CACNA1H_CPA6,gg_Ex_CACNA1H_KIT,gg_Ex_CACNA1H_LHX9,gg_Ex_CACNA1H_MCTP2,gg_Ex_CACNA1H_PROX1,gg_Ex_DACH2_ADAMTS5,gg_Ex_DACH2_CEMIP,gg_Ex_DACH2_GRIK4,gg_Ex_DACH2_ITGA9,gg_Ex_DACH2_LHX2,gg_Ex_DACH2_LUZP2,gg_Ex_DACH2_MGAT4C,gg_Ex_DACH2_NR4A3,gg_Ex_DACH2_RORB,gg_Ex_DACH2_SLIT2,gg_Ex_DACH2_TAC1,gg_Ex_DACH2_ZMAT4,gg_Ex_KIAA1217,gg_Ex_KIAA1217_BCL6,gg_Ex_SATB2_FOXP2,gg_Ex_SATB2_OVOA,gg_Ex_SATB2_SOX6,gg_Ex_SATB2_ZNF385B,gg_Ex_TSHZ2_NR4A2
bf_Glut-DACH2-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9857664506103327e-05,0.0,0.0,0.0,0.0011789786109897486,0.0,0.04734017264336821,0.6166264609433313,0.0004977905775679049,0.060980402242354625,2.7436267443228987e-05,0.0,0.0013958981727985168,0.0037022051956361163,0.0,0.002394726027038439,0.04392524762207748,0.4616819249430513,1.5866635562121263e-05,0.00018641509261329257,0.00017631425266684148,0.0006702374544845336,0.0035838976050032467,0.0,0.0
bf_Glut-DACH2-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.764683858315027e-05,0.0,0.0,0.0,0.0004918614587683145,0.0,0.29042194006862326,0.0012688037859981583,0.027200304677873634,0.008678496516983235,0.0008963431818528698,0.0,0.4058047274235916,0.030343575487162083,0.0,0.00010079932520563064,0.008684233405252288,0.025892011066722,0.0,0.0,0.00021751934058419995,0.03501196653693545,0.009342254825262993,0.0,0.0
bf_Glut-DACH2-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011359928167897285,0.0,0.0,0.0,0.005284831173048772,0.0,0.024090969405599384,0.07849476088016269,0.0009949964083602364,0.1735723014898129,0.0,0.0,0.0005951273780261995,0.002023512457582233,0.018292322082333782,0.001139324635214024,0.37342394798013556,0.9251609949226097,2.206447210675687e-05,6.506939029596523e-05,3.1203424197278655e-05,0.000538158980285592,0.0009007635599488995,0.0,0.0
bf_Glut-DACH2-HVCra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009810550549360013,0.0,0.0,0.0,0.0,0.0,0.0009130061093501046,5.18382991732555e-05,0.0032817540304070094,0.0019316292234836992,0.0004542114929251805,0.0032598276766114195,0.03842193988369776,0.001177475052496659,0.0035377818965036806,0.0,0.00040332626935803357,0.00013307599918101936,3.388913922742558e-05,0.00017534299256765867,0.015243567831444007,0.04295389042404793,0.4554154230470721,0.24649583191540528,0.0
bf_Glut-DACH2-HVCra-Int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013877824446243482,0.0,0.0,0.0,0.0,0.0,0.025542526556907502,1.2560080355400084e-05,0.01986244120941272,0.005861317882001373,0.001229171245244224,0.014796810957117693,0.5616852257631543,0.022247101414634596,9.411310478586897e-05,0.00016379662918041357,8.560792065486458e-05,8.220922397681393e-05,0.0,0.0,0.0019036608275585746,0.010053242148075304,0.05793932804279348,0.0022327548603405015,0.0
bf_Glut-DACH2-HVCx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.981014340268947e-05,0.0,0.0,0.0,6.382009191159206e-05,0.0,0.0013954864200209675,2.275398664579762e-05,4.3485326064641156e-05,0.03112360388066925,0.0001261759954768362,0.0,0.0016458504963609943,1.95484429306503e-05,0.0,0.0009062073259134158,0.005650907368134233,0.003460220179875692,0.19065633364527437,0.058730857038262016,0.0683639812044525,0.003029919460920744,0.3584289616298488,0.0012829065507116368,0.0
bf_Glut-DACH2-LMANco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009414012005267324,0.0,0.0,0.0,0.0,0.0,0.018449427664857288,0.022502041749840863,0.0,0.0010345741351315875,0.0,0.0,2.1624837483341667e-05,5.243061115908468e-05,0.416007759380374,0.0,0.002319687881218677,0.4833627369893123,0.00031513933509310537,5.29446130102966e-05,0.0,0.0,0.039133508130361615,0.0,0.0
bf_Glut-DACH2-LMANsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76594085997384,6.690811415752251e-05,0.009650950577066848,0.003287943119822991,0.0015567541042624498,2.658724920299171e-05,0.025878192893317654,0.040643523767082246,0.02898189293678056,0.0,0.0009476228943434515,0.014458975963192674,0.0,0.0,3.604933740071969e-05,0.033133472026465924,0.0009776537760070407,0.0,0.0
bf_Glut-SATB2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.509862089067491e-05,0.0,0.0,0.0,0.0,0.0,2.7889009764094993e-05,0.0,0.00024614356286253777,0.0,0.0005943396100666639,0.0,1.5160568226968785e-05,0.00014509642243173965,0.00016795880022298958,0.0,0.0,0.00015866797671478943,0.0,0.0,0.6392572443699989,0.10458975053479587,0.652014251242351,0.7869423828204937,0.0
gg_Ex_BCL6,0.012023909231489932,0.13611693045553053,0.003620207701385272,0.032160023471464454,0.006746928638644002,0.02864055362123017,0.0,0.13314127858808572,0.0005232137831380949,0.0,1.9857664506103327e-05,2.764683858315027e-05,0.00011359928167897285,0.0009810550549360013,0.00013877824446243482,9.981014340268947e-05,0.0009414012005267324,0.0,5.509862089067491e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
