,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TSHZ2_NR4A2
Glut-NC-1,0.3053,0.0557,0.0757,0.0794,0.2707,0.2453,0.4739,0.1253,0.761,0.4162,0.6354,0.6248,0.9661,0.7431,0.1459,0.3621,0.2586,0.1807,0.0781,0.0783,0.297,0.1524,0.1098,0.4795,0.218,0.0896,0.045
Glut-NC-2,0.1252,0.076,0.08,0.0842,0.2388,0.2008,0.6609,0.1042,0.6855,0.3745,0.8723,0.5986,0.776,0.6817,0.169,0.2099,0.1908,0.1995,0.1603,0.0653,0.2858,0.1407,0.2664,0.499,0.2779,0.1911,0.0687
Glut-NC-3,0.524,0.0697,0.0659,0.0624,0.2723,0.1099,0.2858,0.5298,0.1922,0.7309,0.2978,0.2993,0.2023,0.3604,0.4826,1.0,0.6017,0.8384,0.0979,0.1512,0.3482,0.19,0.0779,0.2036,0.1,0.1414,0.059
Glut-NC-4,0.313,0.0726,0.0561,0.0492,0.1933,0.0847,0.2928,0.2368,0.2192,1.0,0.1688,0.1068,0.3194,0.4814,0.1756,0.7011,0.4592,0.7262,0.4184,0.5628,0.236,0.094,0.3859,0.2671,0.5143,0.152,0.0826
Glut-NR-1,0.1101,0.0859,0.082,0.0902,0.2771,0.2269,0.9036,0.1224,0.6418,0.3682,0.7897,0.4619,0.7897,0.5609,0.2206,0.1989,0.2907,0.2534,0.0782,0.0713,0.3304,0.2455,0.1552,0.4974,0.1714,0.1369,0.0747
Glut-NR-2,0.3706,0.1123,0.0894,0.0719,0.262,0.1281,0.4253,1.0,0.2441,0.7229,0.0612,0.0646,0.2097,0.295,0.2326,0.38,0.5787,0.8814,0.2844,0.521,0.2101,0.0681,0.3082,0.1568,0.3568,0.1639,0.1267
Glut-NR-3,0.1586,0.0977,0.0783,0.0696,0.1793,0.1398,0.8241,0.2576,0.7082,0.4703,0.5274,0.2118,0.8844,0.6077,0.1375,0.2372,0.3761,0.3711,0.1489,0.0884,0.2129,0.1489,0.1595,0.696,0.3312,0.1243,0.0549
Glut-NR-4,0.2924,0.0923,0.0641,0.071,0.4083,0.0674,0.4276,0.8138,0.361,0.7581,0.083,0.0747,0.1356,0.2574,0.6738,0.4325,0.6304,1.0,0.2064,0.2049,0.2607,0.0875,0.2831,0.1576,0.213,0.1811,0.1029
Glut-NR-5,0.2061,0.1124,0.1079,0.0923,0.1172,0.1917,0.2521,0.1278,0.5285,0.1625,0.2648,0.1926,0.3276,0.2154,0.148,0.2035,0.2166,0.1839,0.3345,0.1223,0.3719,0.4304,0.841,0.5538,0.8523,0.8866,0.089
Glut-RA,0.4212,0.7662,0.655,0.4224,0.1518,0.2557,0.0749,0.1031,0.1971,0.302,0.1754,0.1772,0.167,0.1071,0.3915,0.0554,0.1835,0.0781,0.8218,0.5298,0.447,0.3027,0.3175,0.1543,0.2403,0.281,0.5357
