"","Glut-CACNA1H-1","Glut-DACH2-7","Glut-DACH2-3","Glut-DACH2-5","Glut-DACH2-8","Glut-CACNA1H-2","Glut-DACH2-1","Glut-CACNA1H-4","Glut-DACH2-6","Glut-DACH2-4","Glut-DACH2-HVCra-Int","Glut-DACH2-LMANsh","Glut-DACH2-2","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-DACH2-HVCx"
"Ex_DACH2_TAC1",0,0.00109834791564889,0.288366271006266,0,0.330195683732484,0,0.00326259182263609,0,0.013809483813356,0.00197847815646547,0,0,0,0,0,0
"Ex_DACH2_ZMAT4",0.000436699749912698,0,0.314497281646975,0,0.355869166090526,0,0.00450174043436347,0,0.0102609756824381,0.00538948259779426,0,0,0,0,0,0
"Ex_KIAA1217",0.181433026952278,0.00134883563796128,0.0413608180279851,0.000302201942413641,0.0465321378743391,0.10297355103559,0.00187774111439233,0.0308893328629519,0.0253977936887801,0.0226419364923799,0.000196785983132512,0,0,0,0,0.000274144724508242
"Ex_KIAA1217_BCL6",0.114814066907395,0.00241050409715183,0.00683604355783541,0,0.0312848270716329,0.20424650330322,0.00744035306096879,0.0582724927699249,0.0419631142587565,0.0431715847747427,0,0,0,0,0,0.000747893221360364
"Ex_Pre_KCNH7",0.00748972978849789,0.0171656735250516,0.109464064463033,0.0128548519626698,0.0326410076861659,0.0214625243249382,0.167474841949905,0.00274352673859678,0.002997372232193,0,0.000639571341371046,0,0,0,0.000314163455158836,0
"Ex_Pre_SATB2",0.0172022651577381,0.0334935928448536,0.0742293835891564,0.00900845885318078,0.0430858697490674,0.0578437887272115,0.118339649866748,0.0110010393962254,0.00126482628012081,0,0.000682832807311574,0,0,0,0.00199574237913255,0
"Ex_SATB2_FOXP2",0.0469830082605471,0.0130007692581063,0.00468929900388575,0.00303320607495339,0.155129549177465,0.014808083668652,0.0130310958610553,0.0013768733881087,0.0322128523496377,0.10198336733347,0.00425912600124729,0,0,0.000960227513394502,0.00818070138646078,0.000576200480639171
"Ex_SATB2_OVOA",0.00274342644122138,0.052298770317416,0.0304173251925747,0.0299571291763124,0.0286915335287687,0.0199333316328602,0.233986664193115,0.00617456560019067,0.0043817321247063,0.0129467301570632,0.00181265307022358,0.000301160500192653,0.000812657791235043,0.000301561560132828,0.00103956176388175,0
"Ex_SATB2_SOX6",0.0122373202462378,0.0165404606597711,0.0185693115082951,0.00355848522545013,0.137766007122789,0.0145717533623589,0.0396657789987698,0.00971180634271013,0.0453519392579182,0.0882766688705043,0.00140338814924841,0.000774045280156869,0.000249748766802482,0.000706852427100204,0.00492913176732822,0.000599326787613772
"Ex_SATB2_ZNF385B",0.0244949396400225,0.00831468744028963,0.0702154647847169,0.00473321694678616,0.0674992574174801,0.0399805982511486,0.0140785918928605,0.00743681503001084,0.0816622338553329,0.0413541355650273,0.000905826429550354,0,0,0.00111396779907435,0.00429728204346218,0.000528214964921915
"Ex_TSHZ2_NR4A2",0.544361236698841,0,0.00611210929440708,0,0.00701626304003071,0.0751274690487582,0.0132907676962521,0.0102142955131109,0,0,0,0,0,0,0,0
