"","Glut-CACNA1H-1","Glut-DACH2-HVCra-Pre","Glut-DACH2-4","Glut-DACH2-1","Glut-CACNA1H-3","Glut-DACH2-6","Glut-CACNA1H-RA","Glut-DACH2-5","Glut-DACH2-3","Glut-DACH2-2","Glut-DACH2-8","Glut-CACNA1H-4","Glut-DACH2-HVCx","Glut-DACH2-7","Glut-SATB2-1","Glut-DACH2-HVCra","Glut-CACNA1H-2","Glut-DACH2-LMANsh","Glut-DACH2-LMANco"
"Ex_DACH2_LHX2",0.0014862629631494,0.00316163317328242,0.00175990697263069,0.15771348136795,0,0.000809148336026879,0,0.0631436797611303,0.0138631558168911,0.307877112074709,0.000335267893287947,0.00184881633495238,0.0018829126179549,0.0131859682729443,0,0.000546075294116064,0.0211719224232573,0.00719319018231358,0
"Ex_DACH2_LUZP2",0.00060097138137441,0.101207839433033,0.000618924854888653,0.213917291680774,0,0,0,0.00181810247923451,0.0155261663216889,0.258370942719689,0.000289157503551186,0.0291261406583715,0,0.00169010837549047,0.000407437485389648,0,0.00878567434880221,0,0
"Ex_DACH2_MGAT4C",0.00168226849160447,0.030973308496252,0.00326908353089314,0.248427526333691,0,0.00111322157687871,0,0.0409360959081086,0.00194353722755699,0.191328528639637,0,0.0027519760325548,0.000438520994206162,0.107638978340435,0,0.00462643184792808,0.00104236539828757,0.000836011587916332,0
"Ex_DACH2_NR4A3",0.021574154284577,0.00180516127583505,0.00197364858579211,0.294020784330489,0.00363161178528489,0.00184929448273112,0.000581981122953833,0.038655254800797,0.00292784130808971,0.0143871360582658,0.000512260186876709,0.00146467895673704,0,0.150720167440889,0,0.000878568828765053,0.00561670587065426,0.00340298391322988,0
"Ex_DACH2_RORB",0,0,0.00101492800059135,0.00133856521909314,0.000306097693607342,0.00191209182482604,0,0.00202172387396783,0.271455876959561,0.000881867154572375,0.0791662611414542,0.000771980732978767,0,0.00193729977796905,0.00447789538029608,0,0.00313724270389469,0.0302410700393904,0.107767625076915
"Ex_DACH2_SLIT2",0.00116395148904438,0.00044706226173671,0.0406572368107104,0.0784879592990644,0,0.00378155308011024,0,0.00628507859796136,0.581619170867055,0.00739791108143332,0.00299410089425669,0.0971976484433296,0.00115292327370743,0.0013032040488579,0,0.000912686076727208,0.000492178183750892,0,0
"Ex_DACH2_TAC1",0,0,0.000975630354838005,0.00172553923925083,0.000489181533888644,0.00842031006477461,0,0,0.290351556507554,0.0014622483788661,0.362765473086929,0,0.000950054400230433,0.00938982389713114,0.00155650446525406,0.000607489389229578,0.00259796691749844,0.00163877929074948,0.0163042503199472
"Ex_DACH2_ZMAT4",0.000382442717990193,0,0.027485165217945,0.000706164378226298,0,0.0870224560390823,0.00027875600805575,0.000555111013696697,0.263585263653165,0,0.330629252978255,0.00085507299062636,0,0.00955091720548812,0,0.000398893962702531,0.000742485257090489,0.00623351376358185,0.00142631333397841
"Ex_KIAA1217",0.000654145833232068,0.0124946126527163,0.000604738688807558,0.000343002484070174,0.000798896729714173,0,0.193902728405003,0.000259369016093667,0.00232422457230737,0.102054757910318,0.0204040022978097,0.0158052769827473,0.105141910323544,0,0.0056448258275854,0.00192955522820247,0.00137372439257836,0,0.0881819842094059
"Ex_KIAA1217_BCL6",0.0540714237402715,0.00370197342457393,0.0290449968251683,0.00259764663362808,0.000862443738584648,0.00253230424685636,0.00177877743249387,0,0,0.0008006677565847,0.0315377588771399,0.032545146766952,0.0931591614912455,0,0.0442984691490344,0.162087928559823,0.0250693882024324,0,0.00419507668073763
"Ex_SATB2_FOXP2",0.000210276949792106,0.00177252210260775,0.0022352197712213,0.000163880768320847,0.000644325716189919,0,0,0,0.000348515404044255,0.00033807117209926,0.00289206361817312,0,0.00136136128889119,0.000276434709677281,0.833500214994528,0.00711693132420154,0.00347321086175905,0,0.000542583288650198
"Ex_SATB2_OVOA",0.00211252257307564,0.00266688917707847,0.00935377539737708,0.135871912780521,0.00326468140073676,0,0,0.0186045883616441,0.0012944974709206,0.0142889034786225,0.000324186021057119,0.000351765326200847,0.00285560222146296,0.108237772300208,0.153993059860621,0.0452267277389087,0.0506052905506682,0.00105583118339571,0.000278288008414643
"Ex_SATB2_SOX6",0,0,0.00568959744703292,0.00150555823220879,0,0.000301897808582118,0,0,0.00137715819037433,0.00161003016932198,0,0.000657309282548474,0.00221359310188112,0,0.849270897881357,0.0310108137443052,0.00726877400519806,0,0.00899361236874439
"Ex_SATB2_ZNF385B",0,0,0.000510662971337344,0.000451911014637011,0,0,0,0,0,0,0,0,0.000785356485863181,0,0.870378181350008,0.0193396613485588,0.000505787511071571,0,0.0010738363634183
"Ex_TSHZ2_NR4A2",0.400098481352104,0,0,0,0,0,0.00896620182228355,0,0.00895197232016664,0.00795759840596961,0,0.00579403311340146,0.0040687488578586,0,0.00503695982298764,0,0.191534726423541,0.00857090571660762,0
