"","Glut-CACNA1H-1","Glut-DACH2-7","Glut-CACNA1H-2","Glut-DACH2-3","Glut-DACH2-1","Glut-DACH2-4","Glut-DACH2-HVCx","Glut-DACH2-6","Glut-CACNA1H-4","Glut-DACH2-5","Glut-DACH2-8","Glut-DACH2-HVCra-Pre","Glut-DACH2-HVCra","Glut-CACNA1H-3","Glut-DACH2-LMANco"
"Ex_DACH2_LHX2",0.000409745103803695,0,0.00336478096303199,0.0275562573282565,0.504635928721859,0,0,0,0.000562355017524514,0.00204844360255702,0,0.000312250391914897,0,0,0
"Ex_DACH2_LUZP2",0,0,0.0347770392611992,0.0275513326837765,0.423047765222006,0,0,0,0.0298653515992531,0.00026530003550428,0,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.000912069016267805,0,0.0110220220212183,0.493784299426339,0.00349818110621173,0,0,0.000408352815720065,0.00184172509812882,0.00246664500767954,0,0.000294318144102996,0,0
"Ex_DACH2_NR4A3",0,0.000439438269191849,0,0.0197495864220552,0.579802011926985,0.000958467258500647,0.000234069805409528,0.00071659492184995,0.00130409500407805,0.00144789151682451,0.00435727404897285,0.000296360815225559,0,0,0
"Ex_DACH2_RORB",0,0,0,0.41989386294349,0.00470337451709732,0,0,0,0,0,0.083173450204135,0,0,0,0
"Ex_DACH2_SLIT2",0.000608384734238942,0.000513983521109971,0.00566475698481664,0.544505410676911,0.110439890125902,0.000637861258347782,0,0.00134375843524494,0.01020240895734,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0,0,0.335309436305459,0.00383246101006587,0.000885403689137347,0,0.00930836026222908,0,0.000361203185812435,0.171763887744789,0,0,0,0
"Ex_DACH2_ZMAT4",0,0,0,0.295495009861755,0.00614264739000475,0.00293427710276479,0,0.00922364015120597,0,0,0.236687003918686,0,0,0,0
"Ex_KIAA1217",0.194455483757933,0,0.0444263097635457,0.037715373839075,0.00338605360527033,0.0210282147769794,0.00177379998809788,0.0176307851191982,0.023715544783933,0.0002084571254359,0.0157789921716563,0.00102583434330279,0,0,0
"Ex_KIAA1217_BCL6",0.145221716132931,0,0.146641354525743,0.00337553875519513,0.00627237992067451,0.0182791081117486,0.00240860715715934,0.0165498415074712,0.0450773836397492,0,0.0300820119234338,0,0,0.000561294406368499,0
"Ex_Pre_KCNH7",0.00183929405825875,0,0.0169418977967097,0.077538734021835,0.211789226184944,0.000271989401638918,0,0.000178191520808546,0.00242964605014756,0.00243822816456161,0.00180117954480917,0,0,0,0
"Ex_Pre_SATB2",0.00315415678019835,0,0.0443316213457826,0.0639530719650205,0.155921097644328,0.000812730840486192,0,0,0.00489219896052392,0.00324650297203279,0.0093065619104675,0.00396862029262527,0.000941549749794245,0,0
"Ex_SATB2_FOXP2",0.071712178693192,0.000463284543665679,0.0020106412966557,0.00818689543192834,0.0215093777862762,0.088496046566867,0.0022987810688911,0.008761677819809,0.00154521579336105,0.000253102538602675,0.0804277175030447,0.0168820607744365,0.00495307378539164,0,0
"Ex_SATB2_OVOA",0.00545797373222294,0.00252050054512735,0.0140325473026575,0.0316816158392432,0.302550456522873,0.0151144547444391,0.000283992281598217,0.00162432517712641,0.00292243138820482,0.00109635618847792,0.00874318388661285,0.0047928112685147,0.00152209667004093,0,0
"Ex_SATB2_SOX6",0.0108892954769554,0.00382706730951065,0.00692615026023913,0.0262861070846953,0.0444326347021166,0.0875333642819523,0.00177321282345008,0.0205660949288283,0.009511599088918,0.0013707571697137,0.0788349544220373,0.00700197016382915,0.00293339956249905,0,0.000223443883853512
"Ex_SATB2_ZNF385B",0.0269701346948618,0.00130391486107855,0.0319916557330839,0.0687891077358803,0.0147125408360807,0.0411648861891135,0.000918471723420129,0.0386503121343936,0.00575317616013907,0.0020790275068084,0.0388683895208175,0.00747133615755387,0.00263689860268971,0.000233813427644963,0.000211126780197528
"Ex_TSHZ2_NR4A2",0.605942190329638,0,0.00812327501514455,0,0.0104677756529077,0,0,0,0.00867006103797997,0,0.00801550369063109,0,0,0,0
