"","Glut-CACNA1H-4","Glut-DACH2-HVCra","Glut-DACH2-HVCx","Glut-CACNA1H-2","Glut-DACH2-1","Glut-DACH2-7","Glut-DACH2-LMANco","Glut-DACH2-2","Glut-SATB2-1","Glut-DACH2-3","Glut-DACH2-HVCra-Int","Glut-DACH2-4","Glut-DACH2-6","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-5","Glut-DACH2-LMANsh","Glut-DACH2-8","Glut-CACNA1H-3"
"Ex_DACH2_LHX2",0.000686830006922494,0,0.000463426115760609,0.00113446401825685,0.20997330706615,0.00805808688019162,0,0.318494685912603,0.00134300949031676,0.00540834070789794,0,0.000473406201935648,0,0,0,0.0137386792605753,0,0,0
"Ex_DACH2_LUZP2",0.0243354107374502,0.000415419425766333,0,0.00319729187445813,0.284111317515,0,0,0.296990600702031,0.00149878944536411,0.0095799486459797,0,0.000559446937798987,0,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.0019331743889256,0.00035967224711026,0,0.278512104526602,0.125709526073444,0,0.147167180014929,0,0.00187754691886744,0,0.000704990632712201,0,0,0,0.015954037055398,0.000402775292786043,0.000368089741798373,0.00055454026762239
"Ex_DACH2_NR4A3",0.00119116216443509,0.000626586313470266,0,0.000875865210608473,0.400499298065439,0.185117146825231,0,0.0099987783132841,0,0.000556385922176203,0,0.000410880420104108,0.00133469212651469,0,0,0.0369304038517897,0,0,0
"Ex_DACH2_RORB",0,0.00160667008246056,0,0.000359829015918186,0.000327563860984776,0.00170226566604707,0.000577743196925917,0.000987840666775453,0.0160792421705278,0.59370070723142,0,0.00244413347871531,0,0,0,0.00129809288566185,0,0.0111980593841783,0
"Ex_DACH2_SLIT2",0.0791577477497529,0.000605983635611635,0.000512394235265931,0,0.120459587124867,0,0,0.00603195798927044,0,0.557306165022246,0,0.0090992219715641,0.00697342540879975,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.000940400399394659,0,0,0.00143231008662463,0.00833106316633682,0.000683635457879282,0.00053059343498454,0.00486359293886989,0.323954405196794,0.000370387616903953,0.000387414362767713,0.0019224695067748,0,0,0,0.000993194522413118,0.280073981472709,0
"Ex_DACH2_ZMAT4",0,0,0,0,0.00128063256333491,0.00778736466918312,0.000522910365943429,0,0.000870052824947388,0.277155766194252,0,0.00228043752466913,0.0450740850940055,0,0,0.00282398089509256,0.00155096097227559,0.349277647446141,0
"Ex_KIAA1217",0.00290897681229611,0.0683357900503507,0.0260356749562066,0.000482971962478539,0,0,0.0173590348280689,0,0.207256146294484,0.000369282563738214,0.00208356907362957,0.000369291996760692,0.000410885265262717,0,0.0316426293379729,0,0,0.0387293244912762,0.000317550374870125
"Ex_KIAA1217_BCL6",0.0107211167543926,0.158421746124633,0.00409714714212418,0.0181054361904068,0.00240910861286424,0,0.00484135722311571,0,0.205282598455111,0.00269703847978717,0,0.0223274952779679,0.00912765246022431,0.00754082129858028,0.00075098311646777,0,0,0.0112092882473562,0.00254310650982767
"Ex_Pre_SATB2",0.0105265069990841,0.00340625300422636,0.00210562032874978,0.0255118202614092,0.0163677080699424,0,0,0.0601302258012264,0.381539636438456,0.00773743746651986,0.0171478321948248,0.00407465250708462,0.000992982447021726,0,0,0,0,0,0
"Ex_SATB2_FOXP2",0,0.00217191858319262,0,0,0.000418772345726443,0,0,0,0.939020680522895,0,0.000417398102819351,0,0,0,0,0,0,0,0
"Ex_SATB2_OVOA",0,0.0171684289013306,0,0.00175487972561761,0.131566559102813,0.103554509327493,0,0.0362050868989765,0.198641741042753,0,0.000311742852806835,0.000712202630887483,0.000229264691957023,0,0,0.0237164275606162,0,0,0
"Ex_SATB2_SOX6",0,0.0177809551466375,0,0,0.00347200313001654,0,0.00156496148617263,0,0.917807464393821,0.000379216834559552,0,0.000734332238538908,0,0,0,0,0,0,0
"Ex_SATB2_ZNF385B",0,0.00313505261063223,0,0,0.000694935308360769,0,0,0,0.964414946076836,0,0,0.000287679476605351,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.0112444819391958,0,0.0020282024946375,0.0592625650285193,0,0.00171819599230102,0,0.01230761834751,0.0182645891280045,0.00557548571208086,0,0.00369247280697719,0,0.344209489537869,0,0,0.00282235639024395,0,0.00352429210010842
