"","Glut-CACNA1H-1","Glut-DACH2-6","Glut-DACH2-LMANco","Glut-SATB2-1","Glut-CACNA1H-3","Glut-DACH2-7","Glut-DACH2-1","Glut-CACNA1H-2","Glut-DACH2-8","Glut-DACH2-HVCx","Glut-DACH2-3","Glut-DACH2-5","Glut-DACH2-HVCra-Int","Glut-CACNA1H-4","Glut-DACH2-2","Glut-DACH2-4","Glut-DACH2-HVCra","Glut-CACNA1H-RA","Glut-DACH2-LMANsh"
"Ex_DACH2_LUZP2",0.000591876431550196,0.000953715794324054,0,0.000361196948326326,0,0.00188276555350322,0.24395383967202,0.00950400804006097,0.000574798847278913,0.00032568291975512,0.015729831978609,0.00147353694953302,0.0236591118462554,0.041400169111312,0.279225922765139,0.00103431558465062,0,0,0
"Ex_DACH2_MGAT4C",0.00135292229347567,0.00165736506823355,0,0,0,0.121767537229676,0.265421461017222,0.00099253852637159,0,0,0.000806614977139158,0.0389495516089131,0.0212177262193968,0.00221141962333296,0.184278560150046,0.00130234785129961,0.00393355070575255,0,0.000514455516689589
"Ex_DACH2_NR4A3",0.0133758023699544,0.00220146024793774,0,0,0.00397157558857817,0.173687739802861,0.302459244359941,0.00379149961879864,0,0,0.0025289669081819,0.0425229308107952,0.000762641300485416,0.00136108066001512,0.00824221309816448,0.000999508209759977,0.001380010473364,0.000887894756799394,0.00263619100693237
"Ex_DACH2_RORB",0,0.000845099405794294,0.0368106850741508,0.00525761358344969,0.00113806450624499,0.00159619768218827,0.000979921590747681,0.00253490449921115,0.012297043918472,0.000882283072011362,0.494100078722491,0.00144281005603518,0.000666999212966619,0.000412922901548711,0.000504483271572258,0.000442902161224068,0.00154749100977421,0,0.039589717522566
"Ex_DACH2_SLIT2",0.00218394235449426,0.00438048267460226,0,0,0,0,0.0852842888865203,0,0.00329416791644693,0.000728216000476051,0.564291092098211,0.0036248420772446,0.000825373705216189,0.103873334803466,0.00349587809621654,0.0437659468668133,0.00104165036163027,0,0
"Ex_DACH2_TAC1",0.000542080635588088,0.00135900388932746,0.014751631091089,0.00221125457180264,0,0.0118317000970179,0.000796162835139668,0.00114931650998408,0.396444929000619,0.00074368354931111,0.267550572099404,0,0,0.000627020093978431,0.00215458418566161,0.000540304751529194,0,0,0.00271082928047767
"Ex_DACH2_ZMAT4",0.00079698928351757,0.0750641372220917,0.0016971025913138,0,0,0.00795821919054531,0.000637352906696216,0.000590202655718455,0.336828059745998,0,0.271088870323803,0.000554717112470013,0.000230589692736616,0.000482503711985288,0,0.0303660183610411,0,0,0.00900457839477732
"Ex_KIAA1217",0.000302664071773211,0,0.0360450047981494,0.0207579424223414,0.0032621616677421,0,0.000720715791806006,0.00301961030935654,0.0347129008554345,0.14073381558364,0.00267175822050081,0.000266737128109835,0.0669863831856075,0.00119411825511211,0,0.000919840054960876,0.00584406250179744,0.18263604067721,0
"Ex_KIAA1217_BCL6",0.051314760049003,0.002317820487447,0.00255298650415113,0.0411662711899629,0,0.000858108930222573,0.00398861025653123,0.0270237423271284,0.0310938428093802,0.0779041838456176,0,0,0.00093600254431759,0.0347284690413408,0,0.0395747258653224,0.160090767459025,0.0100233052489904,0
"Ex_Pre_KCNH7",0,0.0469968676380499,0.00548507870486,0.0268855826026048,0.0214760073674887,0.000963349983724946,0.0662448566411578,0.101889145819945,0.0106124683129694,0.0725735746133359,0.0087130035670965,0.00289183957750774,0.00422299097077982,0.0161669466833637,0.0055801307052731,0.00323396124059197,0.066411965400221,0,0.0256412151633192
"Ex_Pre_SATB2",0,0.0058462451659296,0.000783472195742551,0.239696945886842,0.00652865080553949,0,0.0609558329596631,0.210957834942502,0.0030553038366602,0.00396378061799867,0.0019953071255888,0,0.00308282129057349,0.0106936628334435,0.0262939100975424,0.00123760849245412,0.0044921419010436,0.00208177871758868,0.000900555987469925
"Ex_SATB2_FOXP2",0,0,0,0.874330383643413,0.000294588048082013,0,0.000395518797795207,0.00238846187800749,0.00286018206135648,0,0.000495941022391456,0,0.00285911021516679,0,0,0.00126902625072125,0.00583469993100079,0,0
"Ex_SATB2_OVOA",0.00111920363419439,0.000313255278606777,0,0.167077425650377,0.00355941359777603,0.107486487389801,0.12259027020674,0.0287437001797128,0.000733592579789464,0.00338645829851035,0.00166283347812952,0.0230325948613483,0.00244106847672706,0,0.0170780464111153,0.0132653412964668,0.0480996405561913,0,0.000446165989733538
"Ex_SATB2_SOX6",0,0,0.0055023183800826,0.868376279329246,0.000903577303707952,0,0.000596242587185545,0.00596085126258413,0,0.00126201229975117,0.00114089351530672,0,0,0,0.000790982416565553,0.0065777135352895,0.0273179206433057,0,0
"Ex_SATB2_ZNF385B",0,0,0,0.91092361355132,0,0,0.000324936236716035,0,0,0.00158565425405239,0,0,0,0,0,0,0.0148153249644719,0,0
"Ex_TSHZ2_NR4A2",0.484489672865991,0,0,0.00763130250957528,0,0,0,0.160023938909281,0,0.00425593990277147,0.00888670711282427,0,0.00378485999035711,0,0.00509637618101635,0,0,0.00891157518392077,0.00408347878286152
