"","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-HVCx","Glut-SATB2-1","Glut-DACH2-1","Glut-CACNA1H-4","Glut-CACNA1H-3","Glut-DACH2-7","Glut-DACH2-4","Glut-DACH2-5","Glut-DACH2-2","Glut-DACH2-6","Glut-DACH2-3","Glut-CACNA1H-2","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-HVCra-Int","Glut-DACH2-LMANsh","Glut-DACH2-LMANco"
"Ex_DACH2_RORB",0.0601772891294281,0.00226791753381819,0,0.00677620874917817,0.0011912121324792,0,0,0.000927895594250495,0.00138378078615234,0.00440754211189435,0.000492543709425088,0,0.387770649892534,0.00149097416670387,0,0,0.000538399850530271,0.0402215505487659,0.0216972174551018
"Ex_DACH2_SLIT2",0.00286247343376459,0.000752023251795622,0.001411880651505,0,0.0945547554424702,0.104024390208916,0,0,0.0295211723191848,0.000549978155786552,0.00894989928785161,0.00556001505797193,0.571733930877802,0,0.000534409045491623,0,0,0,0
"Ex_DACH2_TAC1",0.419382833063325,0.000584349854142622,0,0.00207341748225521,0.00146913711059961,0.000553086053063108,0,0.0106394279469708,0.00186903195820689,0,0.00369430571069675,0.00138431182993479,0.231008730036375,0.000567863954154608,0.00053326585174578,0,0.000624685433635196,0.000678448997331779,0.0028367708489301
"Ex_DACH2_ZMAT4",0.366967494586413,0,0,0.00088895685905534,0.0013936202590268,0,0,0.015035785594155,0.0137615221424316,0.00112921192200176,0.00106154390563795,0.0585912590435116,0.265864524826535,0,0.000575961634705421,0,0,0.00502751515068266,0
"Ex_KIAA1217",0.0596009483325141,0.0069606897291169,0.105035429870226,0.0111121990996945,0,0.000804450883825703,0.000698868423542513,0,0.000889477005451626,0,0.0764349311155274,0,0,0.00199314184051794,0.00125177747462534,0.126113876656361,0.00953074512354465,0,0.0684902244595701
"Ex_KIAA1217_BCL6",0.0343998328493171,0.176862840564563,0.0431111428355732,0.0710245387951157,0.00222307046919533,0.0245806156284526,0,0,0.0361481592468021,0,0,0.00505454716328464,0,0.0276592170676951,0.0274618692669728,0.0099370316349218,0.00234050169758807,0,0.00477949711024153
"Ex_Pre_SATB2",0.000914923115327709,0.00451004700095167,0,0.198774377865739,0.0925012040655222,0.00833394703203873,0.013283093360013,0,0.000795291236699562,0,0.0305716942272098,0.00468381185377286,0.0012288551687572,0.176121643178734,0,0,0.00769328952266597,0.00272088672601038,0.00251937099997064
"Ex_SATB2_FOXP2",0.00118986722753978,0.00453894224954185,0,0.904266587888128,0.000468870657666483,0,0,0.000685628952709134,0.00106707577565563,0,0,0,0,0.000594825242241601,0,0,0.00324950742422258,0,0
"Ex_SATB2_OVOA",0,0.04216931223889,0.000843742890747791,0.200794825316177,0.120521924190756,0,0.000718366463023743,0.110806010032684,0.00252404942009779,0.0403424921479869,0.0302644662008378,0.00047216245668545,0.000920125680517386,0.0123883995773843,0.00134963421081143,0,0.00257532550843828,0.00144373747060433,0
"Ex_SATB2_SOX6",0.000668694016736345,0.0208287547571458,0.0012719376735091,0.896505391517199,0.0028477642651095,0,0,0,0.00478615871211422,0,0,0.000574982458030891,0,0,0,0,0.000458960403855976,0,0.0104065857362929
"Ex_SATB2_ZNF385B",0,0.00842607448674744,0,0.957621838993037,0.000843362978228797,0,0,0,0,0,0.000468374255583114,0,0,0,0,0,0,0,0.000797015884580533
"Ex_TSHZ2_NR4A2",0,0,0.00448460399741401,0.0157735712597803,0,0,0,0,0,0,0.015557715413722,0,0.00821216823519742,0.13874637883423,0.470862499823712,0.0068071845045191,0,0,0
