"","Glut-CACNA1H-1","Glut-DACH2-4","Glut-DACH2-2","Glut-CACNA1H-4","Glut-CACNA1H-2","Glut-DACH2-7","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-HVCx","Glut-DACH2-HVCra-Pre","Glut-DACH2-1","Glut-DACH2-3","Glut-SATB2-1","Glut-DACH2-6","Glut-CACNA1H-RA","Glut-DACH2-LMANsh","Glut-DACH2-5","Glut-DACH2-LMANco","Glut-CACNA1H-3"
"Ex_DACH2_MGAT4C",0.00149453667786358,0.00240460624355851,0.176214654658627,0.00192334642621623,0.000687953271804254,0.0917357734084719,0.000347322488223602,0.00329823963460424,0,0.0171271511466375,0.27286717584976,0.00227155949653364,0,0.0010110931391263,0,0.000515295098117167,0.0408557026860606,0,0
"Ex_DACH2_NR4A3",0.00396573879261678,0.000334022456609114,0.00914080866587215,0.00160590671428918,0.000769532259912237,0.174843736693906,0.000433701064019037,0.000956980000252149,0,0.000298138763172479,0.366554040832565,0.000375053654302824,0,0.00239702750048027,0,0.00126706417253142,0.0451589973263622,0,0
"Ex_DACH2_RORB",0,0.0021109948352726,0.00071746884365434,0,0.0019687624928042,0.00235010486185878,0.0243555253057513,0.00148757631939363,0,0.000536298450439762,0,0.502545183318341,0.00890244539063796,0.00128471178605817,0,0.00684940811032934,0.00209213476955553,0.00176863255134369,0
"Ex_DACH2_SLIT2",0,0.0195593109410903,0.0092626242797122,0.0917885187123071,0.000695188007883488,0,0.0021846990671106,0.000736823743528529,0.00109772578448197,0,0.0820664723836489,0.598079353983863,0,0.00254863596890043,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.000972423561454473,0.000936340996163299,0,0.000452909728654181,0.00631990154413503,0.390033400411137,0.000593581503533145,0,0,0.000460905457454875,0.270023681312904,0.0043744539579621,0.000626534763689575,0,0.00139666027566744,0.00047152923541861,0.000878614077424399,0
"Ex_DACH2_ZMAT4",0.000292293907025243,0.0169136661276728,0,0.00071207959953573,0,0.00736596753609216,0.33570617774987,0,0,0.00029284899463656,0.00115510811583624,0.276895822961982,0.000279217821245471,0.0690554053221236,0,0.00387579679670988,0.0013515738618929,0.000644080317085053,0
"Ex_KIAA1217",0.000517672499774368,0.000516132695477991,0.116014090981974,0.00202397955935997,0.00157647159627055,0,0.0333069359025573,0.0106892136525367,0.0678759725195524,0.000940074798880207,0,0.00544884139816051,0.0400374553613591,0.000409787911537252,0.0971335982563541,0,0,0.0521914475165195,0.000319232949735626
"Ex_KIAA1217_BCL6",0.0181358021911048,0.0407850713377438,0,0.0178987738549735,0.0281770642449576,0,0.0358145833104789,0.12001573834793,0.0621932167704662,0.0104746456992718,0.000669438880275422,0.00140797468073178,0.0803155366276167,0.00101782255865542,0,0,0,0.001160053416726,0
"Ex_SATB2_FOXP2",0,0.00231551225322779,0.00045663426787494,0,0.00309015746683096,0.000194318810368375,0.00347399801800685,0.00208815311783358,0,0,0,0,0.896520130860525,0,0,0,0,0,0.000432323038804361
"Ex_SATB2_OVOA",0,0.00899384184364465,0.0189012790434291,0,0.0445274815018194,0.105880177187108,0.000730374753615196,0.0156434918980241,0.000627457330484768,0.00082160478378257,0.12414470017254,0,0.162751606607345,0,0,0.000274484808883962,0.0234804007908204,0.000360636564905962,0.00558563273146121
"Ex_SATB2_SOX6",0,0.00768646470983651,0.000661721813492428,0,0.00346798240007263,0,0,0.0211998589885732,0.000447582012181783,0,0.00121471684865578,0,0.883700464234434,0,0,0,0,0.00161064242530148,0
"Ex_SATB2_ZNF385B",0,0,0,0,0,0,0,0.011738851902824,0,0,0.000677144399849822,0,0.961559518729964,0,0,0,0,0.000673804653660202,0
"Ex_TSHZ2_NR4A2",0.494669793067312,0,0.00790113422865524,0.0083642793124972,0.0832887278044481,0,0,0,0,0,0,0.00833528587123198,0.0137726251240746,0,0.00668874225076257,0.00284639671483316,0,0,0.0031928783990835
