"","Glut-CACNA1H-4","Glut-CACNA1H-3","Glut-DACH2-3","Glut-CACNA1H-2","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-4","Glut-DACH2-HVCra-Pre","Glut-DACH2-1","Glut-DACH2-2","Glut-DACH2-6","Glut-CACNA1H-1","Glut-DACH2-5","Glut-DACH2-7","Glut-DACH2-HVCx","Glut-CACNA1H-RA","Glut-DACH2-LMANco"
"Ex_DACH2_LHX2",0.000555336831266139,0,0.00736752659050641,0.0713366920298827,0,0.000627718093410127,0,0.00550387655950072,0.355258267683498,0.165038460810215,0,0,0.00100105087681299,0,0,0,0
"Ex_DACH2_LUZP2",0.0142265089428271,0,0.0156519958387774,0.250962319112461,0,0.000597807056742558,0,0,0.461822880803414,0.00330897607716966,0,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0,0,0.0017885462342886,0.0391282755596576,0.00202761431178669,0.00408415414378513,0.000365318683298497,0,0.610079488142079,0.0371030177318638,0,0,0.00070318677071594,0.00301532604776758,0,0,0
"Ex_DACH2_NR4A3",0.00185763730347291,0,0.0103215855855803,0.0218391134423233,0.00111527382790573,0.00501175819863542,0.000270799814283944,0,0.545643781532854,0.0191476630550528,0.000323268566005604,0,0.0122297803995309,0.0108217409274215,0,0,0
"Ex_DACH2_RORB",0,0,0.676781682406588,0,0.00222812900023325,0.00340172843977676,0,0.00141640657265849,0.0131838956494796,0,0,0,0,0,0,0,0
"Ex_DACH2_SLIT2",0.0959070176172487,0,0.601816173678221,0.00754955279272271,0,0.000823860709566564,0.00192790950118918,0,0.124833594980866,0.00588105028738597,0,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0,0.377467139761313,0.0133770293267951,0.211982283394591,0.00875855767870691,0,0.000366517936686522,0.000734199543756924,0,0,0,0,0,0,0,0
"Ex_DACH2_ZMAT4",0.000744547975285947,0,0.479725651046713,0.000462410367303536,0.228410231008197,0.000783911141297086,0.00189941257377543,0,0.00885071547575232,0.000589863122815804,0.00157783124943871,0,0,0,0,0,0
"Ex_KIAA1217",0.0104381920222307,0,0.00480835282938371,0.00550448277880544,0.0288933890326093,0.0642326874391832,0.0622300167103578,0.0138710937555159,0.000907769682514691,0,0.00174733456109942,0,0.000414186029308703,0,0.043535955725923,0.0712222931962862,0
"Ex_KIAA1217_BCL6",0.0353935655421024,0.000860005623757324,0.00621871492881799,0.0475474940375667,0.0165170163579312,0.265249584817302,0.0771906397225769,0,0.00231116772581835,0.00143762644441868,0,0.00151352939886654,0,0,0.00236840723588424,0.0119644806312252,0
"Ex_Pre_KCNH7",0.0240995255319349,0.00127922102792781,0.0295812715156466,0.0132854192572836,0.00198565689961241,0.00282239270048887,0.000660863336576981,0.0492861405794294,0.207726532255779,0.000688467278675301,0.000294460886694638,0,0,0.0059600451430768,0,0,0.0026283753357572
