"","Glut-DACH2-6","Glut-CACNA1H-2","Glut-DACH2-1","Glut-DACH2-3","Glut-DACH2-4","Glut-SATB2-1","Glut-DACH2-2","Glut-DACH2-HVCx","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-HVCra","Glut-CACNA1H-1","Glut-DACH2-5","Glut-DACH2-LMANsh","Glut-DACH2-8","Glut-DACH2-HVCra-Pre","Glut-CACNA1H-3","Glut-DACH2-LMANco","Glut-CACNA1H-RA"
"Ex_DACH2_LHX2",0.000777860010705557,0.00218681009957656,0.200371757692513,0.00414305851092825,0.00154691048768821,0,0.302722662844258,0,0.000789691923496493,0.00268948754473235,0,0,0.0165480373246167,0,0,0,0,0,0
"Ex_DACH2_LUZP2",0.000492998511863802,0.00419830500348823,0.257288355891447,0.0110373928751373,0.000605568173008857,0,0.311168531319269,0,0.0237275569931505,0,0.000343537793793537,0,0,0,0,0.00022386022587186,0,0,0
"Ex_DACH2_MGAT4C",0.000445379914441215,0.000375141623902405,0.319000517885875,0.00170015225206672,0.00131930401494109,0,0.156011885832926,0,0.000931468501427272,0.0605363307201177,0.00104477793219254,0,0.0178671409011252,0,0.00141521509496104,0.0016879691443324,0,0,0
"Ex_DACH2_NR4A3",0,0,0.447529037874243,0,0,0.000376098307974118,0.00765335158754044,0,0.00178190599265784,0.132282419135889,0.000441823441100095,0,0.0333090031218243,0,0.000545175122895703,0,0.000368835053127761,0,0
"Ex_DACH2_RORB",0,0.000530439036076952,0,0.687156196560301,0.00218903171405033,0.016150675282538,0.00198053581587595,0,0,0.000677276506173175,0.0011949700278425,0,0.00180135361882158,0,0.00483808656405204,0,0,0,0
"Ex_DACH2_SLIT2",0.010455394006711,0,0.105582846837922,0.559633626912211,0.0130252466470952,0,0.00442130725811481,0.000642217535344685,0.0786424905408929,0.000610753994076248,0,0,0,0,0,0,0,0,0
"Ex_DACH2_TAC1",0.00190075847356548,0,0.00111046608166602,0.344139685922753,0.000388861287316939,0.00590429383610104,0.000991281994797398,0,0,0.0034021065692992,0.000617343774089989,0,0,0,0.26841720301349,0.000365636564843923,0,0,0
"Ex_DACH2_ZMAT4",0.0395760224914413,0,0.00262211374607503,0.270300122652317,0.0100083378006401,0,0.00084108932809502,0,0,0.00661092437361147,0.000575075222172913,0,0.000812154864418369,0.000915700498266426,0.349700604459939,0,0,0,0
"Ex_KIAA1217",0.000692440331712568,0.000310053246190312,0,0.000334046537513992,0.00128077217819807,0.208995820098024,0.00891327464073307,0.0211936043120368,0.00366952532518569,0,0.0630858815840686,0,0,0,0.0622080487736604,0,0,0.00117487136658642,0.0192425468090747
"Ex_KIAA1217_BCL6",0.0109429540126367,0.031744569273698,0.00859255796682932,0.00325992192041969,0.0155482672143203,0.190688544507333,0.000999101427825055,0.0171444636886796,0.00476245651468832,0,0.111448995061023,0.00864202690124688,0,0,0.0131274487880152,0,0.00132479172269435,0,0
"Ex_SATB2_FOXP2",0,0.00117873202806899,0.000417961642952192,0,0.00172679260855808,0.918673192305939,0.000534373418412127,0,0.000544785897379381,0,0.000458943806159769,0,0,0,0,0,0,0,0
"Ex_SATB2_OVOA",0.000493381593898586,0.0067767874282499,0.134752028088137,0,0.00115046748377578,0.173522776048622,0.0341788335783559,0.000602413089021774,0,0.0804153927413711,0.00668110180554703,0.000246305228400982,0.0245841036152259,0,0.00019150721270038,0.000234454764630355,0.0004076937728028,0,0.000540470083330426
"Ex_SATB2_SOX6",0,0.000333683477602127,0.00657513416251322,0,0.00157582604804097,0.906778140110274,0.000541763689605188,0,0,0.000455036940536949,0.00910825471830103,0,0,0,0,0,0,0,0
"Ex_SATB2_ZNF385B",0,0,0.000832256393110062,0,0,0.959670440538298,0,0,0,0,0.00662990832904196,0,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.00195515993169,0.0751752396605086,0,0.00708079449684456,0.00357594806432142,0.0117510195127947,0.00551821098790339,0,0.0103323380274004,0.00190659890986468,0,0.341836687287233,0,0.0025241980414294,0,0,0.00343483569198141,0,0
