"","Glut-CACNA1H-1","Glut-DACH2-HVCx","Glut-DACH2-5","Glut-DACH2-4","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-DACH2-3","Glut-DACH2-6","Glut-DACH2-HVCra","Glut-DACH2-1","Glut-DACH2-8","Glut-DACH2-7","Glut-DACH2-HVCra-Pre","Glut-DACH2-2","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-CACNA1H-3"
"Ex_DACH2_LUZP2",0,0,0.0579651466922857,0,0.00816786287301142,0.111307131491979,0.0338514541818181,0,0.000276152525657333,0.364049415013036,0,0.0042638361745375,0.0039687029558134,0.00826472973263238,0,0,0
"Ex_DACH2_MGAT4C",0,0.000573069876541535,0.0737196487328311,0.00731710467497084,0,0.00104547552172879,0.00757153699065324,0.00155242217103864,0.00084008791304813,0.395394929944496,0.00349757414884871,0.0566681081480914,0.00976861543547815,0.0158605404821408,0,0,0
"Ex_DACH2_NR4A3",0.000681374753891731,0.000391442525185616,0.0471431428193946,0.00731249931127082,0,0.00195320823489391,0.0099097753813469,0.00514160011176426,0,0.522993331454518,0.00647162392092031,0.0225590861079465,0,0.00535599452269895,0.00309067873572271,0,0
"Ex_DACH2_RORB",0,0,0.0129035757971552,0,0.000798216327446802,0,0.636486247363841,0,0,0.000600516259649247,0.0981074443178212,0.00130517610599085,0,0,0,0,0
"Ex_DACH2_SLIT2",0,0.00136291886295445,0.00145028776352649,0.00759932406276599,0.00635964102068326,0.0376973390933419,0.625096745729192,0.00744979472960419,0,0.0894259232403952,0.00424897989110007,0.0069598564270831,0,0,0,0,0
"Ex_DACH2_TAC1",0,0,0.00165613138900635,0.00583469900896382,0,0,0.283637546391922,0.0539217595559451,0,0.00263135691957972,0.335522349555062,0.00534569759270833,0,0,0,0.0015590483554805,0
"Ex_DACH2_ZMAT4",0.000316670863654595,0,0,0.0081558646618887,0,0,0.321257020360383,0.0357073967306974,0,0.00331418132701761,0.366758600583515,0.00295122266793165,0,0,0.000402545107839314,0.00313672771438383,0
"Ex_KIAA1217",0.123742965273596,0.0767202484283051,0.00121151533944881,0.0312666626925171,0.157991759757139,0.0211294377930314,0.024558525620584,0.0189700971182461,0.00540876482825606,0,0.0413465318663467,0.00537665073762523,0.00301030739041874,0,0,0,0
"Ex_KIAA1217_BCL6",0.0644614000645006,0.0457355539118441,0.00182778709556503,0.0510816903161236,0.300146609818178,0.0345406674061605,0,0.0442064704752607,0.00240174830921289,0.00295358742779933,0.0137208706532188,0.00948242970621439,0.00147399234366259,0,0,0,0.000786374869797414
"Ex_Pre_KCNH7",0.000962139660125171,0,0.0947724453613454,0.000373135811764112,0.0402924444915821,0.00647157293307064,0.0708975066930281,0.00627259191338613,0.00143526947024601,0.0955960783298947,0.0191381765743002,0.0734326452747187,0.00927466781085806,0.000553339479671687,0,0,0.000246085380317991
"Ex_Pre_SATB2",0.00565369411440372,0.000840673371435421,0.0450354378613107,0.000953630939019733,0.106511755827588,0.0134498350055518,0.0417079497605577,0.00381437762094014,0.00705977752902402,0.068297767330524,0.0197465183909933,0.0879162587631385,0.0211360525844371,0,0,0,0.0020537137389461
"Ex_SATB2_FOXP2",0.0180012366722625,0.0596372488045424,0.00673334117466306,0.0922216550057236,0.0249012486082309,0.00449290538461296,0.00177129798120288,0.0309519627577924,0.026418450365778,0.0106535234689578,0.0911407001285679,0.0255167578935453,0.01512072600558,0,0.00121404209593501,0.00138482441478684,0.000588575588171598
"Ex_SATB2_OVOA",0.00240503645355329,0.00207315156774361,0.0710107014206073,0.0196357080105887,0.0250334530650684,0.00746399091098972,0.0249702938604888,0.00823536060457424,0.00763742074586181,0.205007443008411,0.0157485055044751,0.0624433770070144,0.0105855317520185,0.00207643348659826,0.000715891876442326,0,0
"Ex_SATB2_SOX6",0.00506287128525164,0.0300964674313382,0.0127098144586882,0.0706860959454208,0.0196650105240109,0.00889504835895876,0.00620741386230495,0.037524196116316,0.057434772796724,0.025242182330619,0.067149461381244,0.0277482690593837,0.0189328386160513,0.000204192756231285,0.003957402198607,0.000558442667389262,0
"Ex_SATB2_ZNF385B",0.0113806599867215,0.0182673921068351,0.00637803289487782,0.0449616869582596,0.0421609219352005,0.0104298735722366,0.0528452632629368,0.082666612610845,0.035504792505333,0.0109437829365364,0.0495306359118104,0.0167928491743875,0.0223534067978483,0.00135231812762638,0.000496036946975654,0.0024316885807998,0
"Ex_TSHZ2_NR4A2",0.412542870091883,0,0,0,0.211680817730955,0.00875785738672935,0.00691330768093543,0,0,0.00802437921647555,0.0044675806595822,0.0107205096663902,0,0,0,0,0.013380094431436
