"","Glut-DACH2-6","Glut-DACH2-HVCx","Glut-CACNA1H-4","Glut-DACH2-1","Glut-DACH2-4","Glut-CACNA1H-2","Glut-DACH2-2","Glut-DACH2-3","Glut-DACH2-8","Glut-DACH2-7","Glut-DACH2-HVCra-Pre","Glut-DACH2-5","Glut-DACH2-HVCra","Glut-CACNA1H-3","Glut-CACNA1H-1","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-CACNA1H-RA"
"Ex_DACH2_NR4A3",0.00348597905613007,0,0.00239064445158261,0.346627677673802,0.00200681061726228,0.0254107440549207,0.0436188701254236,0.0259799725328723,0,0.0568841693910237,0.00179875935047636,0.0252922824346981,0.0121966428691622,0.000372299456061796,0.00271030107333249,0.000399103457148707,0,0
"Ex_DACH2_RORB",0.00164720336075912,0,0,0.00445363126238109,0.0101525374066267,0,0,0.349185515064118,0.0380518526717552,0,0.00169460756252394,0.00206933467029298,0.00341914730035466,0,0,0.216057930760297,0.00414158236129033,0
"Ex_DACH2_SLIT2",0.00163275362288045,0,0.108841675018568,0.11564274398265,0.00446907103616278,0.0124780483188739,0.00222928306869119,0.59696839090651,0.000956545705861399,0.000564727602665105,0,0,0,0,0,0,0,0
"Ex_DACH2_TAC1",0.0454415834399834,0,0,0.000927728011417823,0,0.062257615166276,0.000928489388396169,0.26756937160076,0.25472382079996,0,0,0,0.00422493149444768,0,0,0,0,0
"Ex_DACH2_ZMAT4",0.0232244577818911,0,0.00109834215313816,0.00373208589129608,0.017756756372889,0.00168152843868099,0.000335343551099655,0.453723803874338,0.243145511940922,0.0019479526054842,0,0.000511190946415319,0.000478109099329251,0,0,0.00040627756358977,0.00045123417301544,0
"Ex_KIAA1217",0.000429483135625677,0.0344210359936756,0.041546399596796,0.131490684348588,0.00668221303387377,0.00498909348865991,0,0.00138310631751916,0.0191372410191695,0,0.00236170842513415,0.00411827696801027,0.0285677774270976,0.000227452094674987,0,0,0.0207735136320826,0.141341489718789
"Ex_KIAA1217_BCL6",0.031015880293671,0.021210115223072,0.0626284931599911,0.00104330133816344,0.0975777047741584,0.0358054391494161,0,0.00497026611013563,0.0141431322245209,0,0.00125196830163228,0,0.197376351404607,0.00127939410321677,0.0295428671123356,0,0.000927928213818851,0.0127265977797229
"Ex_Pre_KCNH7",0.00414553736538703,0.000998508802747035,0.0225263747788183,0.203892788026639,0.00476410942844831,0.0308777463068875,0.00218531177744171,0.055277100609745,0.0033601270002426,0.0264686340160564,0.0403660309391542,0.000683390009643092,0.0104088935727849,0.0107397716487391,0.000358333781948479,0,0.0245951412155736,0
"Ex_Pre_SATB2",0.0242083243766662,0.00106340104635598,0.0125885624569502,0.152560076557566,0.00565676366578099,0.104052081397697,0.0249856505578939,0.027850389911325,0.0220706873599998,0.0252628956903035,0.0427273246324296,0.00217446075434695,0.0134461193707697,0.00234600774967628,0,0,0.00654576272504866,0
"Ex_SATB2_FOXP2",0.0476498920919853,0.00393529201385534,0.00057001137798215,0.0142240975939235,0.0218942959742345,0.0294996959492584,0,0.00176008113323724,0.145840154080712,0.0313782791287078,0.0293538804574407,0.000259229285862145,0.151108736767861,0.000611420170190849,0,0.00104141425863777,0.000397197298175688,0
"Ex_SATB2_OVOA",0.00372851915959112,0.0019274036862389,0.00295382999065879,0.181812395908225,0.0210417267117511,0.14740467253892,0.00625088351993836,0.0121859004443204,0.000985101722364514,0.0429721660077351,0.000956465363948233,0.00450807139191149,0.137506996623335,0.000970332244613629,0,0,0,0
"Ex_SATB2_SOX6",0.0908034921370152,0.00897775251032223,0.00219644781036611,0.00726268423747634,0.0506376757040096,0.0486703352821956,0,0.00731232789695094,0.00148028150991009,0.00116489861147105,0.00360815516238375,0,0.382058452492715,0.000693305874698959,0.000298958602766306,0,0.000424380456825061,0.00023360226210353
"Ex_SATB2_ZNF385B",0.00535054222235978,0.000563733262885203,0,0.00123716118371985,0.0027005323124109,0.0676386597185889,0,0.000533858416258038,0.00685949336289179,0.000699239663952461,0.000862613257666125,0,0.707888653640724,0,0,0,0.000803433595492445,0
"Ex_TSHZ2_NR4A2",0,0,0.00869332101414515,0,0,0.0602877830530972,0.179380152248943,0,0,0,0.0035790575618397,0,0,0,0.367861475260171,0,0,0
