"","Glut-CACNA1H-1","Glut-DACH2-6","Glut-DACH2-4","Glut-CACNA1H-2","Glut-DACH2-8","Glut-CACNA1H-4","Glut-DACH2-HVCra","Glut-DACH2-1","Glut-DACH2-5","Glut-DACH2-LMANsh","Glut-CACNA1H-3","Glut-DACH2-HVCra-Int","Glut-DACH2-HVCx","Glut-DACH2-3","Glut-DACH2-7","Glut-DACH2-2","Glut-CACNA1H-RA","Glut-DACH2-LMANco"
"Ex_DACH2_MGAT4C",0.000418743460990888,0,0.00494054486810319,0.0018329803313694,0.00102209899930293,0.00209271773050022,0.000476714119110925,0.30655335186364,0.0768016766955569,0.000452460505953102,0,0.0164115264456924,0.000363096804779609,0.005045565165389,0.0580265783485032,0.0994970852561218,0,0
"Ex_DACH2_NR4A3",0.000810604374165245,0.00307323755011089,0.010563244808499,0.00272986066712215,0.000506844824747783,0.00248377108129008,0,0.378632711433654,0.0408312408610362,0.0154706171532903,0,0.000908125783857101,0,0.0136092711235427,0.0342773664719852,0.0445574469057806,0,0
"Ex_DACH2_RORB",0,0.000686167817708533,0,0,0.0273215262727315,0,0.000479331521267348,0.00173398163326105,0.00452231515724757,0.00717756363834763,0.00572576961419683,0.000947401270903135,0,0.426966749116897,0.000894434482703036,0.00717163550805624,0,0.129096925312792
"Ex_DACH2_SLIT2",0,0.00335201656611923,0.0168075469290092,0.00916290723441432,0.0022800377101224,0.0378017762293241,0,0.0609549997193836,0.000582210884074993,0,0.000532351052884911,0.00206272498402222,0,0.636210777232612,0.00546956088123546,0.00730792227665777,0,0
"Ex_DACH2_TAC1",0,0.0689006001375599,0.00399902938837981,0,0.286113502383208,0.000562964022675867,0.00029030596669288,0.00243075939612631,0.00248253492127796,0.0010157925191452,0,0.00149419134925202,0,0.247748388172023,0.0143332854139435,0.00144075953877832,0,0
"Ex_DACH2_ZMAT4",0,0.0513617913940626,0.015808395200159,0,0.30621935258459,0.00040189674383578,0,0.00284774763958625,0.000383355043717458,0.00395033055632208,0.000349113254128166,0.000741137971756032,0,0.314951582041838,0.00563666330369184,0.000858135130963418,0,0.00190312079898143
"Ex_KIAA1217",0.0055268679329672,0.0139333675316615,0.0109904615199534,0.0255823359011843,0.00795968600573593,0.000438527588558043,0.00160238401162446,0.000172048094236677,0,0,0.00564485319707257,0.0533526817198428,0.345743925143756,0.000372242952195701,0.00372219899064404,0.00189161638513937,0.000826989681646789,0
"Ex_KIAA1217_BCL6",0.0271318208830384,0.0118759515341005,0.0731784809534454,0.0981135689254187,0.00312268223206454,0.0103130480501811,0.00971603440641042,0.00353740240752306,0,0,0.00353864491156019,0.0117822924981491,0.311478608590255,0.000754938400693972,0.00272419313243201,0.00210425575193063,0,0
"Ex_Pre_KCNH7",0,0.00788981704178827,0.000434604903657365,0.0686794922534795,0.00213507085281775,0.00462461965009139,0.0170158138239419,0.105707291535236,0.00332044499970554,0.0292319817182017,0.0127390259772355,0.0144204192525949,0,0.0500058672791405,0.00688382211553636,0.0349724473830981,0.00196645570126152,0.00933241519096501
"Ex_Pre_SATB2",0.00144760289231511,0.00508496695946059,0,0.163349650897679,0,0.00690588562128924,0.0202376409889502,0.0624509633950354,0.00258503043634472,0.0179982239715433,0.0147584510057097,0.0139572048873196,0.000699941029412205,0.0224914673941579,0.0173215774376581,0.0346466142335023,0,0.00581029717057105
"Ex_SATB2_FOXP2",0.00679724287641244,0.0194286886123612,0.122470200141205,0.0191459773784743,0.0141491667514788,0.00329026415176574,0.0189091363310114,0.00440099033522635,0.000716991587967286,0.0026612469253299,0.00272311403506438,0.104139164986036,0.0550582064820309,0.000287379510470784,0.0158940609017914,0.00321493637301195,0.00107151726219107,0.00111893571198707
"Ex_SATB2_OVOA",0,0.00426617656324641,0.0113937847163342,0.039949743656468,0.00591361615676672,0.00509069558935433,0.00648382974113722,0.148000074691289,0.0456022089446585,0.00923377164934455,0.003493579888584,0.0228048719067628,0.0015370817733302,0.0226830571776144,0.0658624757538385,0.0384782695349658,0,0.000292279642346391
"Ex_SATB2_SOX6",0.00143616922319028,0.0280774052771439,0.100517261614967,0.0136372286081601,0.0148145219294345,0.00692024454647827,0.054034684260031,0.0082185566117936,0.00115162682565709,0.0010520116989402,0.00333471508199053,0.170889687972263,0.0118227041219647,0.00180449441775392,0.00865310026857795,0.00360220394865237,0,0.000383889228745652
"Ex_SATB2_ZNF385B",0.000558404038192018,0.0134426115958405,0.0425717494076975,0.0259313499786884,0.0139013512143812,0.00414625158484691,0.0884613888162873,0.0040643057545585,0.00120744182586381,0.0105429405161472,0.00061244381812562,0.0948779663837531,0.0203659759863123,0.00456272872480268,0.00365994764076729,0.012146177188077,0.00195001236422211,0.00165328237713851
"Ex_TSHZ2_NR4A2",0.406888825644953,0.00260019704922078,0,0.193859524103037,0,0.0130370222656823,0,0.00197346910834745,0,0,0.0108861613564631,0,0,0.00429512314861642,0,0.00525791937799849,0.00437360798954948,0
