"","Glut-SATB2-1","Glut-DACH2-6","Glut-CACNA1H-4","Glut-DACH2-HVCx","Glut-DACH2-3","Glut-DACH2-1","Glut-CACNA1H-2","Glut-DACH2-7","Glut-DACH2-HVCra","Glut-DACH2-2","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-DACH2-5","Glut-DACH2-4","Glut-DACH2-8","Glut-DACH2-LMANsh","Glut-CACNA1H-3"
"Ex_DACH2_LHX2",0,0.00106973062207688,0.000342664395538073,0.000631356625074242,0.0013985563869826,0.267465903638225,0.000553529782491442,0.00724685131077844,0,0.0799352812899581,0,0,0.0303776216345046,0,0,0,0
"Ex_DACH2_LUZP2",0.000909974419003773,0.00032991204066938,0.0138730689093289,0.000604952601614266,0.00428519867414038,0.433571246734225,0.000901226125183634,0,0,0.00487950150962406,0.000384363790730947,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0.000346221967137217,0.000273259080908738,0,0,0.000361061916384846,0.244586208006575,0,0.0723152099083891,0.000297877178197556,0.0550499005900921,0,0,0.0328331259775255,0,0,0,0
"Ex_DACH2_NR4A3",0.000446249575966601,0.000389720944803665,0.000603258652651907,0,0,0.25595828608954,0,0.217705685326166,0,0.00503240000074574,0,0,0.0240830766172799,0,0,0,0
"Ex_DACH2_RORB",0.0432452016870329,0.000778505750600759,0,0,0.284898673911287,0.00212740448464797,0,0,0,0.00039030051525372,0,0,0.00318212191456821,0,0.0584782156413289,0,0
"Ex_DACH2_SLIT2",0,0.0102444603738105,0.0306639347636184,0,0.421730106884601,0.109721965255998,0,0.00130276508933128,0.000549944323070628,0,0,0,0,0,0,0,0
"Ex_DACH2_TAC1",0.00861901072036044,0.0108744794007376,0,0,0.331351465050207,0.00308324474758867,0,0.00997658526398425,0,0,0,0,0.000860814056929473,0,0.0742838082631013,0,0
"Ex_DACH2_ZMAT4",0.000618921517850583,0.0286725322733582,0,0,0.182486218978403,0.00342547061098275,0,0.00736108696049265,0,0,0,0,0.00325575672367349,0.000249961813676126,0.221860857997849,0,0
"Ex_KIAA1217",0.620288699725191,0.000971149848629426,0.0022652888884684,0.0014968723509792,0.000958804344563604,0,0.000297925877070059,0,0.000345695169926409,0,0,0,0,0,0,0,0
"Ex_KIAA1217_BCL6",0.432749629966549,0.0100807606112806,0.00464712331225683,0.000829115733083108,0,0.0214944746210221,0.00601110256526422,0.0014098273517505,0.00226739510719119,0,0.00593902068194373,0,0,0,0.00262411367352416,0,0.000828391486163084
"Ex_Pre_KCNH7",0.0513462288371888,0.144910757119821,0.00367371656348371,0.0110950325470087,0.0131586165480848,0.084330956258759,0.00298966436146336,0,0.00221823119615674,0.00372231404934926,0,0,0.000845673651295266,0.000211291561499046,0.000578713613582054,0,0
"Ex_Pre_SATB2",0.330239082886481,0.00845977594506513,0.0058140046216754,0.00100122899065132,0.00131755027694581,0.0615695496858452,0.00378773984544792,0,0,0.00675560544473339,0,0,0,0,0.000559466245168278,0,0
"Ex_SATB2_FOXP2",0.8680514327657,0,0,0,0,0.000564891621638721,0,0,0,0.000544516017215103,0,0,0,0,0,0,0
"Ex_SATB2_OVOA",0.171197870694408,0.000866961784062773,0,0.000628102308915177,0.000185424241423822,0.121522898899966,0,0.0766582828785209,0,0.011146320904192,0,0,0.0251675646709722,0,0,0,0
"Ex_SATB2_SOX6",0.856666260189157,0,0,0,0,0.00794881010556354,0,0.000729587278390397,0,0,0,0,0,0,0,0,0
"Ex_SATB2_ZNF385B",0.924055533557982,0,0,0,0,0.000623098342692306,0,0,0,0,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.0269637219932349,0.00276321679303385,0.0074486161295861,0,0.00251892901241287,0.00308826139576132,0.00730125894782878,0.00377543952925596,0,0.00268004231075414,0.329826178102087,0,0,0,0,0,0.00299591741627191
