"","Glut-CACNA1H-1","Glut-DACH2-1","Glut-CACNA1H-4","Glut-DACH2-HVCx","Glut-DACH2-4","Glut-DACH2-6","Glut-DACH2-8","Glut-DACH2-5","Glut-CACNA1H-3","Glut-DACH2-7","Glut-DACH2-3","Glut-DACH2-2","Glut-CACNA1H-2","Glut-DACH2-HVCra-Pre","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-CACNA1H-RA","Glut-DACH2-HVCra"
"Ex_DACH2_LUZP2",0,0.297675910471039,0.071206527191175,0,0,0,0,0.0127698114848891,0,0.000255922734836475,0.0371645318475883,0.0975650858612739,0.0142266459866583,0.00384771941601564,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.344046922746607,0.00168515570983641,0,0.00523558726038685,0.000271100512769025,0.00196139355779585,0.0504910742826057,0.000784566567995113,0.0349549388450502,0.00540588323944338,0.0969291997639263,0.000293083617446286,0.00530106726413223,0.000232332544982993,0,0,0.000544681158166062
"Ex_DACH2_NR4A3",0,0.441691143062063,0.00221794957761812,0,0.00991220862386982,0.00135169481474396,0.000857500421311619,0.0392657464183115,0,0.0237745408962345,0.0151089514668801,0.0352230060649466,0.00142082275771036,0.000364509848732457,0.00745722514497943,0,0,0
"Ex_DACH2_RORB",0,0.000925798285989161,0,0,0,0,0.0174978854388495,0.00493731949537052,0.00112209992777142,0.0016354525626655,0.57581096637235,0.00876461634680848,0.000617939248513318,0.00369832714434701,0.00295539539595726,0.00675169442199823,0,0
"Ex_DACH2_SLIT2",0,0.0745524521332353,0.0270035164127568,0,0.0104595402970492,0.00332946948030667,0.00203638933009924,0.00198856480850053,0,0.00383014293810135,0.62612121170305,0.0033228020981151,0.00643917404114306,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.00130609938951454,0,0,0.00589245730629623,0.0317087208948887,0.286282201653027,0.00109559281916322,0.000732816902089086,0.00682559383244821,0.257377584606445,0.000945430082127499,0.000511735343961697,0.000440597135631762,0,0,0,0
"Ex_DACH2_ZMAT4",0,0.00279411191726683,0.000258278027002731,0,0.0136078939892203,0.0243103985482649,0.299052532114649,0.00104347666975335,0,0.00333442537833544,0.333857733132718,0.000820905341188191,0,0.000399101336081653,0.002441335827359,0.000304427491799268,0,0
"Ex_KIAA1217",0.0140135939928634,0.000273595115156657,0.00293655076241026,0.254443687656738,0.0313327989198057,0.017524880729322,0.016128557602987,0,0.00201893007745104,0.00220600011292503,0.0052710145144262,0.000346200776799818,0.0535969758255246,0.0203107336416397,0,0,0.000412188460342094,0.00259354921099877
"Ex_KIAA1217_BCL6",0.0267613253049818,0.00203585644833458,0.0116670149973858,0.186804230761993,0.0980683457622826,0.0110783493929359,0.00767323088902565,0,0.0035102160851656,0.00196604541582901,0,0.00243549811222808,0.123026993719307,0.0137644036154371,0,0,0,0.00216873934059386
"Ex_Pre_KCNH7",0,0.0733922206798406,0.00407637672042846,0,0,0.00174487507091972,0.00165222661928253,0.00263797174897404,0.0103651594242567,0.00930520248583362,0.0953174389931774,0.0658420415298599,0.0626607985296662,0.0134060328919012,0.00711626001991056,0.0150563173657833,0,0.00257102008179612
"Ex_Pre_SATB2",0.00119010624626951,0.0433800027341122,0.00165408473178771,0,0,0.00426805139116582,0.00631097008359386,0.00199424217808108,0.0132055414459628,0.0113804628099936,0.0567412520733732,0.0516168977551051,0.15015223829887,0.0189050500999146,0.00300831176917524,0.00763570281943491,0,0.00336260742013473
"Ex_SATB2_FOXP2",0.00529146391732955,0.00271429596356125,0.000461617876035202,0.0388962354130056,0.179689662524581,0.0167889117396717,0.0333501820245109,0.000613150390161392,0.00233891844363196,0.0109390315366497,0.00189272911148791,0.00606552395670023,0.0258287581004461,0.0584804674704768,0.00132372458414955,0.000809019820893629,0.000765262933759058,0.0101108743478074
"Ex_SATB2_OVOA",0,0.172329058715048,0.00271850645684176,0.00216479344579693,0.015421836889562,0.00513524503326695,0.00648881214871886,0.040678832729901,0.00558099067823171,0.0495292959753429,0.0212509918274145,0.0374946857425721,0.0304437588944655,0.0114389883057638,0.00441623354275262,0,0,0.00264315227298444
"Ex_SATB2_SOX6",0.00023290607065591,0.00960185106592065,0.00312230722529655,0.0135986099236361,0.138647784742372,0.0304418338486435,0.0219988258805991,0.00126253235795389,0.0031462895249015,0.00735370829421379,0.00538398089438864,0.00611634965265241,0.025892679794646,0.120860701469874,0.000510034015324454,0.000696065988734751,0,0.0164961814895485
"Ex_SATB2_ZNF385B",0.0028659915243439,0.00717266364297259,0.00147362086398509,0.026522956711427,0.0775168846531256,0.0220222665216002,0.0281498285919415,0.00136781986897284,0.00131024260493523,0.00554347284554416,0.0104451327466069,0.0051531787251517,0.0423096180031145,0.0568863363538259,0.00217918724371054,0.00275924592225778,0,0.0325694746961831
"Ex_TSHZ2_NR4A2",0.369253523637444,0,0.0114243869754284,0,0,0,0,0,0.0124904330449977,0.00714891890688425,0.0026467336475754,0.00985366727902241,0.180513794616871,0.00637687438287621,0,0,0,0
