"","Glut-DACH2-6","Glut-CACNA1H-2","Glut-DACH2-4","Glut-DACH2-7","Glut-DACH2-3","Glut-DACH2-LMANsh","Glut-DACH2-5","Glut-CACNA1H-3","Glut-DACH2-HVCx","Glut-DACH2-2","Glut-DACH2-1","Glut-DACH2-HVCra-Int","Glut-CACNA1H-4","Glut-CACNA1H-1","Glut-DACH2-LMANco","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-CACNA1H-RA"
"Ex_DACH2_SLIT2",0.00279146392147363,0.00888074846684865,0.011401526587482,0.00453469210491983,0.624858738613378,0,0.00219078944817992,0,0,0.00609434012849855,0.0701884644558453,0.000952022622360591,0.0329710788230104,0.000549687870985709,0,0.00115243698083862,0,0
"Ex_DACH2_TAC1",0.0601601544817539,0.000409151545703824,0.00339456861555413,0.0104584203546538,0.257167266880186,0,0.00167648278375088,0.000751084587761091,0,0.00194089144098278,0.0011753644937322,0.000726336942283428,0.00100568901244386,0,0.00124949453155216,0.284004678884207,0,0
"Ex_DACH2_ZMAT4",0.0370119396061272,0,0.0145463870577743,0.00265465897072875,0.329015420361548,0.00428197074311627,0.000367520637904115,0,0,0.000274759367085628,0.00391893847006741,0.000392870597614623,0.00036507076497943,0,0.00323543967616209,0.30594747726217,0,0
"Ex_KIAA1217",0.014138841145544,0.03963066001999,0.0219297874347655,0.00274485746434823,0.00211995181434044,0.000258387209814766,0,0.00356340821968194,0.327179998011498,0.000215006788074584,0,0.0373954757995378,0.00172742058746651,0.00831415296543466,0,0.0102899427049507,0.0022580420100338,0.000329763212707528
"Ex_KIAA1217_BCL6",0.00636732465651515,0.105821101866943,0.0816752414173573,0.00242262079529425,0.00102902183886616,0,0,0.00353423090739531,0.277693735076248,0.00174650001900037,0.00220132710674143,0.0114481647251345,0.0192400189541057,0.0223996740880303,0.00139944938562553,0.00795478210087034,0.00419959183883876,0
"Ex_Pre_KCNH7",0.0039949898571943,0.0615545840835043,0,0.00649524381945356,0.0413148288916802,0.017044648343952,0.00339210401232306,0.0124852502027597,0,0.0419337993301326,0.127672329870777,0.0177938705035217,0.00444509264524172,0,0.0115541462470334,0.00211317830018912,0.00972328327998831,0.000758436257467035
"Ex_Pre_SATB2",0.00663467263558721,0.148104616650768,0,0.00880237371290076,0.0150132047499523,0.0114007418394418,0.00227414928877546,0.0105132771014498,0,0.0455027716095778,0.0802236410160085,0.0170403191548132,0.00648115843778907,0.00165239571696588,0.00715496839724544,0.00105238300505378,0.00886900952927979,0
"Ex_SATB2_FOXP2",0.016011150009578,0.0184667861639738,0.140002063492907,0.0123539672135177,0.000545685543687502,0.00289189688072872,0.00105720578575821,0.00211238923298353,0.0601478923126281,0.00473335434023519,0.00362778976709177,0.0812692392011489,0.00425148227734036,0.00508219104254142,0.000313074632205729,0.0218481209035001,0.0114027422679261,0.000987480652241792
"Ex_SATB2_OVOA",0.00485968968451622,0.03849840732265,0.0139329456199651,0.061528414898218,0.0227336418291833,0.0055437356044182,0.0443930318774853,0.00316058152666942,0.00260096149827859,0.0416709425010708,0.14622439926804,0.0190854377716804,0.00552960973585495,0.000851671414666436,0,0.00511877170100204,0.00395542068539189,0
"Ex_SATB2_SOX6",0.0266960530363417,0.0161435205702335,0.110427880022035,0.00914578717973622,0.00273786771607826,0.00131316919079349,0.00143964152417484,0.00322321786410885,0.0125687051182431,0.00317381661721785,0.0110812555352228,0.158261527972577,0.00847717670410718,0,0,0.0187064092941698,0.0294543827546671,0
