"","Glut-DACH2-7","Glut-DACH2-HVCx","Glut-DACH2-5","Glut-CACNA1H-4","Glut-DACH2-HVCra-Pre","Glut-DACH2-HVCra","Glut-SATB2-1","Glut-CACNA1H-2","Glut-DACH2-6","Glut-DACH2-1","Glut-DACH2-2","Glut-DACH2-3","Glut-DACH2-4","Glut-CACNA1H-1","Glut-CACNA1H-RA","Glut-CACNA1H-3","Glut-DACH2-LMANsh","Glut-DACH2-8"
"Ex_DACH2_LHX2",0.0025427437601349,0.000951893757468951,0.00759084708278698,0.000867223379227389,0,0,0,0.000862549022422846,0.000651699920622238,0.178673634214878,0.342408107672186,0.0014785870308816,0,0,0,0,0,0
"Ex_DACH2_LUZP2",0,0.000953556819991193,0,0.0338798431729638,0,0.000373978991453925,0.000872865849101005,0.00204400254279247,0.000872558360767783,0.300163083061075,0.210252348358385,0.00762578940372272,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0.0401460791596572,0,0.0211902493491533,0.000464130857007623,0,0.00218871905825335,0,0,0.000659744627771232,0.351809606186503,0.141637121940363,0.000264207822311882,0,0,0,0,0,0
"Ex_DACH2_NR4A3",0.12759331427531,0,0.0304818101298371,0.00142567613620434,0,0.000895221988656102,0.000459019753379139,0,0.000382136058977664,0.424780199360163,0.0146946193448558,0,0,0,0,0.000398152284194383,0,0
"Ex_DACH2_RORB",0.000547402577842348,0,0.00206041219951351,0,0,0.001938963067508,0.0153060215700731,0,0,0.00124178486992982,0.00144576741725693,0.592745966893332,0,0,0,0,0,0.006164912749757
"Ex_DACH2_SLIT2",0,0.00045714697267757,0,0.0702799209806331,0,0.000741517528974438,0,0,0.0240642396714674,0.0901485644958847,0.00434562450902474,0.485868890959526,0.00803860614677377,0,0,0,0,0
"Ex_DACH2_TAC1",0.00368561098793789,0,0,0,0,0,0.0125300992122105,0,0.00326771778801741,0.00190667649615422,0.0015536662311599,0.230205892646908,0.000927596218068569,0,0,0,0.00142723743079576,0.288314311318046
"Ex_DACH2_ZMAT4",0.00268869231887093,0,0,0,0,0.000551555326916697,0.000603361034023075,0,0.0319787107589127,0.00349689433787048,0.00153539300434107,0.226212688727741,0.00173290971120243,0,0,0,0.000485505319437285,0.369440700188527
"Ex_KIAA1217",0,0.0227330577483122,0,0.00749764285086511,0,0.032080473658532,0.458496475763596,0.00243170878718078,0.0012857176664483,0,0,0.000630315312303915,0.000898597978933211,0.000360639393556253,0.00092225202892066,0,0,0.000850467264071151
"Ex_KIAA1217_BCL6",0,0.00607902424291096,0,0.0149671493205367,0,0.100767407026124,0.303472449064868,0.0183772388219862,0.00819129478850503,0.0103050737076262,0,0,0.0046092911698742,0.00585084039732266,0,0.00217996984436495,0,0.0076523325659047
"Ex_Pre_KCNH7",0,0.0437985497509654,0,0.0121164431645746,0,0.013651083146579,0.0880948401548592,0.00373424618147984,0.147794213350247,0.076764947732656,0.0117312101366932,0.00392707284027695,0.00423517465159374,0,0,0,0.000325244455241425,0.000325572819248852
"Ex_Pre_SATB2",0,0.00448099579015794,0,0.0115161573704087,0,0,0.43552154862411,0.0120173455388517,0.00864253321033569,0.0181437328776289,0.0508489603119872,0.00076703373082455,0.00395919866913298,0,0,0,0,0.000706385219014496
"Ex_SATB2_FOXP2",0,0,0,0.000544873738258844,0,0.00104067594727315,0.913590268024054,0,0,0.00060322650595367,0.000637841004726541,0,0,0,0,0,0,0
"Ex_SATB2_OVOA",0.0684892275069792,0.00136708192415258,0.01649433163017,0,0,0.00944086106099829,0.196615732638308,0,0.000817398503452678,0.0963335833601522,0.0893109512079036,0,0.00565349753515038,0,0,0,0,0
"Ex_SATB2_SOX6",0,0.000458719956793738,0,0,0,0.00844483499476323,0.911754468336015,0,0,0.00806543920798894,0,0,0.000324325149536156,0,0,0,0,0
"Ex_SATB2_ZNF385B",0,0,0,0,0,0,0.975006192214255,0,0,0.000580185737639998,0,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.00237272049993348,0.00574754296961651,0,0.0177311165831812,0,0,0.025427756541651,0.0287151993132437,0,0,0.0219218804403448,0.00447810619275424,0,0.314944055414557,0,0.00338915511404286,0,0
