"","Glut-CACNA1H-1","Glut-DACH2-8","Glut-CACNA1H-4","Glut-DACH2-6","Glut-DACH2-HVCx","Glut-DACH2-HVCra-Pre","Glut-CACNA1H-2","Glut-DACH2-7","Glut-DACH2-4","Glut-DACH2-3","Glut-DACH2-1","Glut-DACH2-5","Glut-DACH2-2","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-CACNA1H-RA"
"Ex_DACH2_LHX2",0.000343424033215612,0,0.00684409300089669,0.000371980873302603,0,0.000259064942852087,0.00215252268974716,0.00460496692092784,0,0.0327679278902363,0.43448253380106,0.0610557357208093,0.000963045565146239,0,0,0.000260228291775449,0
"Ex_DACH2_LUZP2",0,0.000331363620263442,0.12361137453673,0,0,0,0.00486710050558467,0.000527034359708753,0,0.0352561087608296,0.42628898855584,0.0014047132594724,0.000853857565316693,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.00629998301213673,0.00220410734524952,0.000589710611040703,0,0.00101475074381885,0,0.0339077570092159,0.00491260917609048,0.00809198575193289,0.450709569214551,0.0344837906974696,0.00527756396902025,0,0,0.000302153933612454,0
"Ex_DACH2_NR4A3",0,0.00558382547932816,0.00167091011936221,0.0026091035010967,0,0,0.000425521701457036,0.0156332133861961,0.00753965363250998,0.0127800090451543,0.583789290014113,0.0276161233685367,0.000448359094651755,0.000220991822092812,0,0,0
"Ex_DACH2_RORB",0,0.0541227191919053,0,0,0,0,0.000552290957905723,0,0,0.578509477338544,0.00265033357167932,0.000432875826297798,0,0,0,0,0
"Ex_DACH2_SLIT2",0.00106974307278392,0.00387089159257388,0.0275156189052238,0.00177584244473489,0,0,0.00283522938571154,0.00143557399917546,0.00909128634776487,0.604540145670835,0.0909806845893661,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.29226910989987,0,0.0146514966749752,0,0,0,0.0011299697036992,0.00507276760784461,0.303100234629194,0.0027940600196872,0,0,0,0,0,0
"Ex_DACH2_ZMAT4",0,0.340982043086231,0,0.0155447195882355,0,0,0,0,0.00689534654646175,0.317876876081524,0.00461222152543633,0,0,0,0.000374147170615708,0,0
"Ex_KIAA1217",0.126586513165492,0.0239608301024518,0.0282038167527156,0.00975195176988969,0.092497402041492,0,0.0867217411809724,0.00140164957047716,0.0209405349064791,0.0328833461615315,0.00173546221890684,0,0,0.000255424808575209,0,0,0.000532766776638377
"Ex_KIAA1217_BCL6",0.0759596219721529,0.0151802139909889,0.0438555573643818,0.0148660253202175,0.0647568106575105,0,0.198851568205439,0.00106079752692604,0.0635986240016688,0.00380427499827485,0.00700491153764408,0,0,0,0,0,0
"Ex_Pre_KCNH7",0.00430974372646833,0.0275042993223817,0.00645509606288511,0.0108108180549348,0,0.00199959393197028,0.0268245008422211,0.000274300580888806,0,0.147435337933078,0.178427244154991,0.00295066887378762,0,0,0,0.000336263251454409,0
"Ex_Pre_SATB2",0.00955571110629889,0.0405974786650644,0.0175030050354856,0.00443784556963462,0,0.00335848666124234,0.0766251881785751,0.000816000081180682,0,0.105859790577715,0.117663603679985,0.00245962828793762,0,0,0,0.000971380204125637,0
"Ex_SATB2_FOXP2",0.0356350006891615,0.10760184498894,0.0027683687664087,0.0156208878798944,0.0282487879200657,0.0133537895967126,0.0205587538114918,0.00551073158600727,0.134610189569079,0.0059349356754819,0.0143271271222717,0.000722203379224427,0,0,0.000437351603127359,0.0049964412180966,0.000245702560644399
"Ex_SATB2_OVOA",0.00161262531023721,0.0240097072755134,0.0115220652210708,0.00476339431961251,0.000785188938517586,0.00552874465594806,0.0221365688653441,0.0444294361313806,0.0172424893824073,0.0344431570070706,0.226015680475861,0.0318953771739809,0.000378297414810542,0,0,0.00155702007906241,0
"Ex_SATB2_SOX6",0.0105244999009321,0.116849683984724,0.0175392488373818,0.0212482909083342,0.013002137159819,0.00413094865903959,0.0146527021831954,0.0195901410587641,0.104410428520968,0.0163936484593115,0.0348845236390217,0.000588192324842902,0.000280285333225036,0.000553042572639186,0.000870798555268119,0.00522745714152322,0
"Ex_SATB2_ZNF385B",0.0224907885519957,0.0403986172791855,0.0122205731896393,0.0481362835324849,0.0339647329869607,0.00310885310791013,0.0374246026852941,0.00856885627636913,0.0643456023906849,0.0619814127663628,0.0120068076647218,0.00276246761752258,0.00037581367260162,0,0.0028881216739955,0.00293838201869014,0.000620144289893989
"Ex_TSHZ2_NR4A2",0.457462367453107,0.00909630896548,0.00671985416170437,0,0,0,0.125555038799175,0,0,0.0032411964398845,0.00989839874546209,0,0,0,0,0,0
