"","Glut-DACH2-HVCra","Glut-DACH2-4","Glut-DACH2-6","Glut-CACNA1H-2","Glut-DACH2-3","Glut-DACH2-2","Glut-CACNA1H-4","Glut-DACH2-1","Glut-CACNA1H-1","Glut-CACNA1H-3","Glut-DACH2-5","Glut-DACH2-8","Glut-DACH2-7","Glut-DACH2-LMANsh","Glut-DACH2-HVCra-Int","Glut-DACH2-HVCx"
"Ex_DACH2_LHX2",0,0,0.000861117385183169,0.000258092757849664,0.00279690229134324,0.0675260721791482,0.000241867143931319,0.386805124844345,0,0,0.034011117157142,0,0,0,0,0
"Ex_DACH2_LUZP2",0,0,0.00264262697595849,0,0.00970471184523113,0.00216456458218312,0.0087739369903728,0.613030950144593,0,0,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0.000432754658301634,0,0,0,0.000456873837439763,0.00596485491736978,0,0.599034386241601,0,0,0.0011664160855582,0.000686607912064442,0.00205778690951785,0,0,0
"Ex_DACH2_NR4A3",0,0,0.00248787307190229,0,0.000441187811734629,0.0039469279931495,0.00063746223079308,0.414620058423793,0,0,0.0122981829601948,0.00033873434475463,0.0496711029687912,0,0,0
"Ex_DACH2_RORB",0.000921183169852664,0,0.00147240503297381,0,0.43282172043361,0,0,0.00671216838238758,0,0,0.00102921538133432,0.022169161023711,0,0,0.000399214794060145,0
"Ex_DACH2_SLIT2",0,0,0.00589266235675325,0,0.489258735545978,0.00158804749172452,0.0210296527632563,0.135854172729434,0,0,0,0,0,0,0,0
"Ex_DACH2_TAC1",0.000455849136334295,0,0.00273741106680738,0,0.369029632797033,0,0,0.00460769285034954,0,0,0,0.103000827699929,0.00164856301151379,0,0,0
"Ex_DACH2_ZMAT4",0.000378868625872398,0,0.00558165550208083,0,0.225466657840911,0,0,0.00837746913980822,0,0,0.000297488698864236,0.253793766068366,0.000984623147401154,0,0,0
"Ex_KIAA1217",0.0667074048556281,0.00812287559077319,0.030435711022081,0.0028519950146763,0.0167542162007966,0,0.00262900469154902,0.000397446426205165,0.000964043818170411,0.0780379028661144,0.000228109882085769,0.000790631091566692,0,0,0.0290947875121799,0.000396652173667708
"Ex_KIAA1217_BCL6",0.0973063260757117,0.0246500823690602,0.077183065250488,0.0113657445900257,0.00186575368675123,0,0.00959392815461669,0.0106546778276801,0.00659439633858344,0.0065096370245694,0.000451637028753628,0.00777584090217032,0,0,0.0123500267968489,0
"Ex_Pre_KCNH7",0.00182240622864436,0,0.233129256851817,0.00203238834098462,0.0179742555762766,0,0.00217286583131872,0.145206006748799,0,0.000210370265280292,0,0.00491501456573832,0,0,0.000245649136499576,0.000432734337057098
"Ex_Pre_SATB2",0.00673964389275562,0.00117937535736948,0.0592508802966889,0.00145361776900837,0.0217009242751296,0.0110052218759479,0.005146607543402,0.205058841081663,0,0.00129533324104945,0,0.0085646066944483,0,0,0.00208078077084109,0
"Ex_SATB2_FOXP2",0.0470784358761799,0.0048422988723731,0.0332277986952224,0,0.00136813985497479,0,0,0.0281547844986079,0,0.000366561792609462,0,0.0178451291083875,0.0041706627477385,0,0.130156025504374,0
"Ex_SATB2_OVOA",0.00558766053681309,0.000705055128510741,0.00579283601705269,0.000322851011872554,0.000628066308754496,0,0,0.452654036031608,0,0,0.000301636207578788,0.00306772798673871,0.0165599393844799,0,0.00341401917157965,0.000463381005278245
"Ex_SATB2_SOX6",0.148055495511829,0.0104909464640232,0.0470214757052915,0.000527218775283224,0.000851377818659449,0,0,0.0522237251081778,0,0.000347240839721301,0,0.00863598154282208,0.00489824021694349,0,0.0111941167379428,0
"Ex_SATB2_ZNF385B",0.337103162001815,0.001064334672839,0.00822553834000548,0.00233594595090096,0,0,0,0.0146300016691196,0,0.000877306041635998,0,0.00400789595504505,0.00100330530174428,0,0.004895516023185,0
"Ex_TSHZ2_NR4A2",0,0,0.00528948501461518,0.0183775010809637,0.00445769381296981,0.0199854520796561,0.0252842504713655,0,0.196411422318005,0.023023505813825,0.00171105971037222,0,0,0,0.00204727855876253,0
