"","Glut-CACNA1H-1","Glut-DACH2-6","Glut-CACNA1H-2","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-3","Glut-DACH2-LMANco","Glut-DACH2-HVCra-Int","Glut-CACNA1H-4","Glut-DACH2-2","Glut-DACH2-7","Glut-DACH2-4","Glut-CACNA1H-3","Glut-SATB2-1","Glut-DACH2-HVCx","Glut-DACH2-5","Glut-DACH2-1","Glut-CACNA1H-RA","Glut-DACH2-LMANsh"
"Ex_DACH2_LHX2",0.00040026455166673,0,0.0141812143717089,0,0.000404761481933926,0.0067287904342459,0.000334934489398427,0.000647324946784968,0.00239869215510523,0.336099451797244,0.0060177244993109,0.00157503990516905,0,0,0.00201272372513651,0.0426466640187935,0.16183496293805,0,0.00385806161491588
"Ex_DACH2_LUZP2",0,0.000375863456324863,0.00659346241116069,0,0.000555103924636099,0.0129993403842428,0.000265441242653392,0.0546684960097433,0.0311621713553576,0.30855644655442,0.00174233210554657,0.000761045646347091,0,0.000634615276303243,0,0.000592460816994491,0.219867128167351,0,0
"Ex_DACH2_MGAT4C",0.000776747280854305,0.00158280943439439,0.00164805594090858,0,0.00497511696599515,0.00172090374943743,0.000272345407706377,0.0228606327710004,0.00186734590118383,0.179411480266586,0.0991431060900753,0.00244511206181664,0,0,0.000844643241746975,0.0445912564933483,0.268332276927614,0,0.000531097524442922
"Ex_DACH2_NR4A3",0.00825281519585887,0.00227212145894053,0.0014722221792169,0,0.00094657457604337,0.00205226308833978,0,0,0.00164146829505226,0.0106019548043201,0.170502750471158,0.000558683504585681,0.00150519161513555,0,0,0.0405987531060457,0.347948048152802,0,0.0017138486504662
"Ex_DACH2_RORB",0,0.00115672889306636,0.00302991157767889,0.0446913499639348,0.00135603809198133,0.441979308487072,0.0197262917300355,0,0,0.00142095142302797,0.00264349519046597,0.00191952729718421,0,0.00567776269509622,0,0.00238521222475442,0,0,0.0115419970364104
"Ex_DACH2_SLIT2",0.000648963721270169,0.0056321500634841,0,0.00223513608468555,0,0.588619151350576,0,0,0.101644026035543,0.0107057786737519,0,0.0317298526771046,0,0,0.00181548428014757,0.000783645279580529,0.0833525197160676,0,0
"Ex_DACH2_TAC1",0.000438295435915773,0.00392195085326252,0.00127915228937793,0.3901487494026,0.00176505117951722,0.282468436621076,0.00281688045628503,0,0,0.00104359320950321,0.0075586009210101,0.000601969942458469,0.000471712967423046,0.00217691656196011,0,0,0.00147950671678436,0,0.00137442238929664
"Ex_DACH2_ZMAT4",0.000474987723450366,0.0790432666782376,0.000479518398681192,0.33454702600289,0,0.278079096428086,0.00139488097474822,0,0.000957471425477174,0.000483392715318099,0.00670691667255109,0.0238284324035363,0,0.000258461200157351,0,0,0.000717782434026372,0,0.0057324443357996
"Ex_KIAA1217",0.000759863650638339,0,0.00463939500334821,0.0354412637114616,0.00718826323879258,0.00414108355665077,0.0593873863895817,0.0108992597150831,0.00202528528799525,0.152946863095094,0,0.000740244970528171,0.000356549554755994,0.016407515891888,0.0759895458583588,0.000355762233932047,0,0.120386440332271,0
"Ex_KIAA1217_BCL6",0.0345927490487895,0.00212242873388458,0.0309399816970834,0.0329555309783875,0.135801706371086,0,0.00232556928404868,0.00652855666030686,0.0276336891718209,0,0.000617438765297224,0.0394749446297378,0,0.0564868294360956,0.0996010087972874,0,0.00103128176794542,0,0
"Ex_SATB2_FOXP2",0,0,0.00366388844204527,0.00577241169048939,0.00365280600970035,0,0,0.00106023782622004,0,0.000496896248744046,0,0.00290044838612126,0.000939233423402331,0.87635691723418,0,0,0.000218906359220276,0,0
"Ex_SATB2_OVOA",0.000855983233080595,0,0.0499057753627228,0.000664998800814828,0.0307953546252707,0,0.000431819748852309,0.00116840391219857,0,0.0159896172618048,0.10906100527258,0.0107869071093538,0.00845225673385231,0.154112057396664,0.00152766917800237,0.0220730148911353,0.131502948269921,0,0.00127200925138092
"Ex_SATB2_SOX6",0,0,0.00466793856897117,0,0.0245054323938319,0.000365063565005253,0.00407455443092552,0,0,0.000728906528319867,0,0.00663656570314228,0.000592423904816026,0.874924999658208,0.000606466013206714,0,0.002614323190769,0,0
"Ex_SATB2_ZNF385B",0,0,0,0,0.0147574134418421,0,0.000773729227199364,0,0,0,0,0.000457935206276562,0,0.951961260898036,0,0,0.000580529447285817,0,0
"Ex_TSHZ2_NR4A2",0.512843244617138,0,0.113779916284017,0,0,0.00778121356566962,0,0,0,0.011629162851608,0,0,0.00350994302559958,0.0134479235115163,0.00344033860301016,0,0,0.00781003274926516,0
