"","Glut-CACNA1H-1","Glut-DACH2-LMANco","Glut-DACH2-2","Glut-CACNA1H-3","Glut-DACH2-4","Glut-CACNA1H-RA","Glut-DACH2-7","Glut-DACH2-5","Glut-CACNA1H-2","Glut-DACH2-3","Glut-DACH2-6","Glut-DACH2-HVCx","Glut-CACNA1H-4","Glut-DACH2-HVCra","Glut-DACH2-1","Glut-DACH2-8","Glut-DACH2-HVCra-Int","Glut-DACH2-LMANsh"
"Ex_DACH2_NR4A3",0.0176091720529034,0,0.0178357308341547,0.00167394867445735,0.000808541301327418,0.00106573000082952,0.13756325192789,0.0439931038646255,0.0103243025267693,0.00449755052704874,0.00292583501943101,0,0.00137137215040808,0.00166087303329083,0.266845595746052,0.000427110202103618,0.00076381832286099,0.00316294232868897
"Ex_DACH2_RORB",0,0.0155505409779683,0.000703278755383138,0.00310304947739107,0.000569012533415861,0,0.00159252208551597,0.0019220708122508,0.0035550045001621,0.235433764569661,0.00310933883046457,0.00122905390012857,0,0.00275317383698748,0.000824690495776915,0.0500709648483907,0.00103365080275122,0.196763249181558
"Ex_DACH2_SLIT2",0.00220710722968364,0,0.00812762670080352,0,0.0274737539580635,0,0.000705580328991287,0.00134187068800932,0.000939882998754698,0.58389286221276,0.00224467350846811,0.00141002822625148,0.104013170741191,0.000801684216929408,0.0805778913545075,0.00293129080158609,0,0
"Ex_DACH2_TAC1",0.000460854695105486,0.0173424522873304,0.00193978459824087,0.000571738147370779,0.0003175573758015,0.000421670961504061,0.0054189350102938,0.000563210573939618,0.00234278100208821,0.260770653590005,0.0167634801794243,0.000531973098766623,0.00084602703186439,0.0034758045042831,0.00684815006318237,0.340252293249199,0,0.00149158947201212
"Ex_DACH2_ZMAT4",0.000678537922787704,0.00175176994107644,0.00081216578215089,0,0.0306740849969581,0,0.00721694193133066,0.00103546814606541,0.00156821329439972,0.261034465659534,0.0884209044340598,0,0.000883732796129803,0,0.00142305027764582,0.330189591036224,0,0.00678705578163636
"Ex_KIAA1217",0,0.0352768329415806,0,0.00667484915763942,0.00105346902198751,0.237802734072684,0,0.000302434967322227,0.00167090555518363,0,0.000380009855418136,0.12168454486543,0.000994467548716715,0.0142679259959114,0.000290131450160782,0.0412116440216829,0.0619968080928933,0
"Ex_KIAA1217_BCL6",0.0503634288503358,0.0022114429665253,0,0.00127365329882392,0.0521573184341447,0.00925168683281007,0,0,0.0480626552859435,0,0.00306432045381148,0.0913943736025518,0.0322043978716794,0.199994189908891,0.00318142550089654,0.0208670589732711,0.00203513070244387,0
"Ex_Pre_KCNH7",0.000791680145261296,0.00539807087653431,0.00500457522781617,0.0169454894653444,0.000511771415062268,0.00136418140349956,0,0,0.117918873637229,0.0104058160611111,0.0458695838985419,0.0836581585294376,0.0106385751126637,0.0965572672591707,0.052045414712713,0.0133493076162129,0.00732994433021549,0.0274215993597958
"Ex_Pre_SATB2",0,0.00104304957772428,0.0305796486739342,0.0182675540884107,0.00137532430383254,0.00614753643036729,0,0,0.367671374075274,0,0.00390429612508282,0.00339556586850876,0.0144674814779842,0.0145406958998727,0.0569837569500857,0.00392591287150581,0.0226199481607691,0.00461251389840817
"Ex_SATB2_FOXP2",0,0.035989873837912,0.000432420223895287,0.00280277072757956,0.0215810666805842,0.000369809391587594,0.0170950674955584,0,0.0308459239480178,0,0.0169290390807916,0.0401977198794832,0,0.0830506015960037,0.00172222042000761,0.0667234307903618,0.11958538498835,0.000246691331220168
"Ex_SATB2_OVOA",0.0012370342192931,0.000503758110457515,0.0237844029455157,0.00559335163285676,0.0311171571302786,0,0.127958340790725,0.0245214721834225,0.0487329147164106,0.00722587269428008,0.000403348047886853,0.00647718185031405,0.000478067280085726,0.0526291646498361,0.161554430945317,0.000227676437725814,0.00795227097483998,0.00241432406174692
"Ex_SATB2_SOX6",0.000857063450135228,0.191414911758289,0.00143879170202349,0.00151454284683893,0.039516220815305,0,0.00743507215302487,0,0.0140090294416831,0.00213437999796872,0.0428754114348124,0.0239053810400953,0,0.207561894136124,0.0023683963023246,0.00053500885243318,0.0227354489884258,0
"Ex_SATB2_ZNF385B",0,0.00917718330813239,0,0.000289232880213625,0.00305969724281035,0,0.00370027497860333,0,0.00518986740514926,0.000342848060487671,0,0.010595357125791,0,0.818505384821094,0.000866643612818315,0.00539951661486609,0.00177618492349626,0
"Ex_TSHZ2_NR4A2",0.404638645022873,0,0.00868042607789383,0.00357599658058602,0,0.00848444471884475,0,0,0.181184261108942,0.00909090909090909,0,0.00413912028525818,0,0,0,0,0,0.00352575203234728
