"","Glut-DACH2-6","Glut-DACH2-4","Glut-DACH2-2","Glut-DACH2-LMANco","Glut-DACH2-7","Glut-CACNA1H-RA","Glut-DACH2-3","Glut-DACH2-5","Glut-CACNA1H-2","Glut-DACH2-1","Glut-DACH2-HVCx","Glut-CACNA1H-4","Glut-DACH2-HVCra-Int","Glut-DACH2-HVCra","Glut-DACH2-8","Glut-CACNA1H-1","Glut-CACNA1H-3","Glut-DACH2-LMANsh"
"Ex_DACH2_ZMAT4",0.0484325306100138,0.00683091381535862,0,0,0.00434735155766474,0,0.276398172387624,0.00104944252863006,0,0.00335203059540505,0,0.00069686448517676,0,0.000703300909283032,0.331555754659407,0,0,0.000838348383047036
"Ex_KIAA1217",0.000345464768011364,0.00536530523603696,0,0.000288422522183691,0,0.0296371321333669,0,0.0183320509944842,0.00117240486614588,0,0.0716167047330018,0.00701953784539385,0.0048827413417871,0.107661307324141,0.0952984164002859,0,0.00357004538876639,0
"Ex_KIAA1217_BCL6",0.0188183970763253,0.0542703474109468,0,0,0,0.000749546695859956,0,0,0.0387790442121665,0.00118909481611537,0.0190718225880242,0.0141721632076148,0,0.298582326501264,0.0131883628025395,0.00824828857050851,0.00270816349546865,0
"Ex_Pre_KCNH7",0.0817976245624598,0.00256143351201861,0.0040717418376705,0.00825713734330384,0.000223266549788316,0.00362136269711008,0.00490886172243062,0,0.133327301023639,0.0364881005373576,0.0496909787346993,0.0193835805165055,0.00208148302199274,0.0258057500287656,0.00488944400643495,0.000422021485299445,0.00679732384864941,0.000513483061997559
"Ex_Pre_SATB2",0.00684959451898626,0.00618411038834224,0.0274607816965355,0,0,0.0020908998076246,0,0,0.293690850316996,0.0255621322932463,0.00406497800480305,0.0133945060097805,0.00577164947950724,0.00724795574931986,0.00721676943076965,0,0.0127011856409369,0
"Ex_SATB2_FOXP2",0.00706397836283131,0.0615388792598198,0,0.0321175590572448,0.00315472032964687,0.000278753302042838,0,0,0.0202068729532689,0.00209672599930201,0.00583431431754038,0.000755135839180374,0.072998643549198,0.106771447758953,0.058999218723175,0,0.00758446555471082,0
"Ex_SATB2_OVOA",0.00167146047326144,0.0391461428265611,0.0287599019784657,0,0.119123695231975,0.00287468408906468,0,0.0116246933064894,0.0126272220776187,0.18124331455951,0.00118631658937946,0.000582526553111616,0.00590449820582227,0.0167804472832512,0.00167326128418873,0,0.00618880261940609,0
"Ex_SATB2_SOX6",0.0145638968315968,0.0327676985846734,0,0.124344271733542,0.00160562842125927,0.00389494510255535,0,0,0.00434842101263875,0.0105036804623033,0.0083370611841705,0.000486609504437613,0.0177071318474378,0.231747688233229,0.00252672560402217,0,0.000438373764412453,0
"Ex_SATB2_ZNF385B",0.0024604581129284,0.00392922562349359,0.000201063255501624,0.00447508416210489,0.000622206885116942,0.000282160557284205,0,0,0.0105285988831452,0.00294558441216112,0.000330915255373992,0,0.0015194825611626,0.737819491215457,0.00423948014444447,0,0.000260016741840341,0
"Ex_TSHZ2_NR4A2",0.00206624109101784,0.00315937017662062,0.0144020530861835,0,0.00256709676934212,0.00447553934025274,0.00578426789920788,0,0.0974441923502382,0,0.00417451660778325,0.00535526947302545,0,0,0,0.311583328792277,0.00396347361575119,0
