"","Glut-CACNA1H-1","Glut-DACH2-7","Glut-DACH2-6","Glut-CACNA1H-4","Glut-DACH2-4","Glut-DACH2-3","Glut-CACNA1H-2","Glut-DACH2-5","Glut-DACH2-1","Glut-DACH2-8","Glut-CACNA1H-3","Glut-DACH2-HVCra-Int","Glut-DACH2-LMANsh","Glut-DACH2-2","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-DACH2-HVCx"
"Ex_DACH2_MGAT4C",0,0.0245506373759835,0,0.000915833896715407,0.00452713919865828,0.00681917841274742,0,0.0341895298737191,0.460842708519757,0.00604314998122216,0,0.000299444630999503,0,0.000809781941238168,0,0.000891526179839889,0
"Ex_DACH2_NR4A3",0.000324201270040965,0.00537716502426687,0.00285254448061756,0.00158311872331843,0.00357321775206978,0.0170272721079247,0,0.0156958333629579,0.601541339488232,0.00548895011455124,0,0,0,0,0,0,0
"Ex_DACH2_RORB",0,0,0,0,0,0.59037414807821,0,0.00269955846739851,0.00287513321633893,0.0546444074294063,0,0,0,0,0.00120427816358518,0,0
"Ex_DACH2_SLIT2",0.00111401823031305,0,0.000609382668089562,0.0228897104999254,0.00762450922573242,0.590309913696459,0.00481558561122677,0.000625579830338744,0.110264141465113,0.00737353783220095,0,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.000607540712146573,0.0125502768866946,0,0.00276699329144473,0.307767824188332,0,0,0.0045862602419579,0.298078203435766,0,0,0,0,0,0,0
"Ex_DACH2_ZMAT4",0.000417860835005927,0.000391023301127944,0.0113293112301778,0,0.00480934664498566,0.33620694487943,0,0,0.00472892251125791,0.324844324285602,0,0,0,0,0.000423027618723536,0,0
"Ex_KIAA1217",0.175926205984189,0.000665951360175944,0.0200136356911845,0.0334485724298188,0.0306893968061999,0.0401687198315452,0.0912071864935897,0.000258186132050776,0.00309131306783392,0.040229205754042,0,0.000245120143371732,0,0,0.000320537153317006,0,0.00191020185977002
"Ex_KIAA1217_BCL6",0.104720453365205,0.00210741532746163,0.0310508134041011,0.0631166034310774,0.0581319284862175,0.00433037562596438,0.195081979555839,0.000574990566778154,0.00594078361555537,0.027769425769071,0,0,0,0,0,0,0.00201758799979176
"Ex_Pre_KCNH7",0.0052043087415586,0.0147139396510479,0.0024480888254825,0.00303821144131113,0,0.100527982825539,0.0243126583045737,0.0216959997911392,0.167972482635313,0.0296290641899504,0.000504760060313,0.00106286229134764,0,0,0,0.000314572388076034,0
"Ex_Pre_SATB2",0.0140879729646065,0.0314613045126546,0.00115846272673704,0.0100328167482889,0,0.0734559612440821,0.0587419081562616,0.0127335071995894,0.116996102671388,0.0381620786466278,0,0.00177905086594955,0,0,0,0.0017742561942365,0
"Ex_SATB2_FOXP2",0.0431044833393057,0.0108321182327401,0.026204304576513,0.00153606207502683,0.128446813077115,0.00397250735667064,0.0133856847155141,0.00339589913639157,0.0129039581538979,0.133326763694457,0,0.00758501372645574,0,0,0.00264459429876056,0.00517727778311377,0.000609952537209422
"Ex_SATB2_OVOA",0.00285281835047641,0.0306244851595363,0.00341336652775806,0.00619516195245322,0.0142785679431038,0.0306141774594719,0.0195422949711112,0.0306602454244786,0.250848676791005,0.0263257097897481,0,0.00333118963437007,0.000307144125115294,0.000455649805637942,0.000559376761206288,0.00145181632523429,0
"Ex_SATB2_SOX6",0.0118702904843893,0.00830447300599612,0.0379032753363391,0.00851087425155999,0.102776830154599,0.0174124525559585,0.0155991817212571,0.00671308027985885,0.0406055967384812,0.126618612583622,0,0.00447638105252023,0.00160604042046595,0.000199679334614063,0.00226188775571518,0.00238861898646439,0.000744705589265672
"Ex_SATB2_ZNF385B",0.0234272926793072,0.00472707792239851,0.0635404464142986,0.00815066005953662,0.0535468016044776,0.0696106502967964,0.0410780643577773,0.00524164782367805,0.0138012358061515,0.0580546934204266,0,0.00322932170776607,0,0,0.00384273808954885,0.00399991965075723,0.000563659630798979
"Ex_TSHZ2_NR4A2",0.523627962728865,0.00167592918867862,0,0.0103142165480692,0,0.00566415535995145,0.0749227137779304,0.00177938958619658,0.0114990897524123,0.00511112615846846,0.00362018417373667,0,0,0,0,0,0
