"","Glut-CACNA1H-1","Glut-DACH2-6","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-4","Glut-DACH2-3","Glut-DACH2-5","Glut-DACH2-1","Glut-DACH2-8","Glut-DACH2-HVCra-Pre","Glut-DACH2-LMANsh","Glut-DACH2-2","Glut-DACH2-LMANco","Glut-DACH2-HVCra","Glut-DACH2-HVCx","Glut-CACNA1H-3"
"Ex_DACH2_LHX2",0,0,0.002936290940813,0.000909133596591789,0.00400270453556824,0,0.0182975579988196,0.0448254154633383,0.457679625260931,0,0,0,0.0117245064207064,0,0.000346260113433581,0,0
"Ex_DACH2_LUZP2",0,0,0.0202457225244402,0.0613105986991832,0.0011461899455132,0,0.0286352757814895,0.00190817818613153,0.44832446398448,0,0,0,0.0037102665649839,0,0,0,0
"Ex_DACH2_MGAT4C",0,0,0.000504392372572946,0.00026995574881768,0.0274260882697976,0.0046343977262064,0.00563685473877713,0.0276079278074961,0.4376528118959,0.00350686932703545,0.000940995506657287,0.000278571365341434,0.0130311834946582,0,0.000424984284939876,0,0
"Ex_DACH2_NR4A3",0.000403097562004269,0.00433673557013369,0,0.00190820481441007,0.00959130599791988,0.00623732138720588,0.015221840535421,0.0182524499864682,0.566419916523634,0.00431896867388683,0,0,0.00181088995989095,0,0,0,0
"Ex_DACH2_RORB",0,0,0.000458766050138023,0,0,0,0.552106057622603,0.00202415524727146,0.00506480518356177,0.0647792784974941,0,0,0,0,0,0,0
"Ex_DACH2_SLIT2",0.000425802726854398,0.0016739986681298,0.00825852449776473,0.0161705773996143,0,0.00805424859525954,0.560980461754607,0,0.127730945738853,0.00407977355091375,0,0,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.0167832098481962,0,0,0.000633611907314409,0.00387787275487246,0.290570107688654,0,0.00615655411493783,0.27100037238883,0,0,0,0,0,0,0
"Ex_DACH2_ZMAT4",0.000346862479157726,0.0128871740218989,0,0,0.000704746540194609,0.00401189525138831,0.322634029212554,0,0.00656072351996784,0.320689992432414,0,0.000731339552751372,0,0,0,0,0
"Ex_KIAA1217",0.151114888347248,0.0232324081532599,0.104419075849802,0.0286117812035397,0.00117397817087346,0.0444181929477736,0.0312205975899939,0.000279782243324253,0.00393571815917672,0.0327192165837875,0,0.000584476264414251,0,0,0,0.000899025018691942,0
"Ex_KIAA1217_BCL6",0.103824605890869,0.0332995446383452,0.187854631310748,0.0587735339962204,0.00196821550965398,0.0592800109614021,0.00262227491089958,0,0.0108024009425273,0.021906175143759,0,0,0,0,0,0.00451407130149106,0
"Ex_Pre_KCNH7",0.00139344689509261,0.00119012252912427,0.024936481000824,0.00119275259684823,0.0157163901978457,0,0.066289813615006,0.00738594344777402,0.228873861388799,0.010149697050035,0.00114604862813899,0,0,0,0.000287945831036617,0,0.000214570744222572
"Ex_Pre_SATB2",0.00497523112174239,0.000976550176254399,0.0774913281152807,0.00334639668563374,0.036198416081689,0,0.0443428210071987,0.00649569004940335,0.156002848517039,0.0121623077250551,0.00498435413918299,0,0,0,0.00102024029407214,0,0
"Ex_SATB2_FOXP2",0.039046381192973,0.0286564434279307,0.0100608155307786,0.000757070829985433,0.0142469358561401,0.145260648624626,0.00375356181808291,0.00238234400469957,0.0148830466397396,0.0961858651458528,0.0130601005982925,0.00211749610072246,0,0.000317555150692144,0.00529985394261762,0.0019941821489637,0
"Ex_SATB2_OVOA",0.00179486064299332,0.00416109394695552,0.021307568544898,0.00422745683457352,0.0384016604874517,0.0247759841505238,0.0251018778664493,0.0307722312467085,0.232498439776166,0.0149722555496659,0.00308548845289749,0.000456199217182934,0.0027542824340034,0,0.000972695134024366,0,0.000214342015209993
"Ex_SATB2_SOX6",0.00964051395623463,0.0455219777097703,0.0189481368997234,0.00450386365669362,0.0145390429747956,0.100325922243641,0.0135635208767159,0.00427493406333208,0.0478550288021313,0.0858795834010525,0.00612701124543192,0.00860124938968952,0.000317386051255879,0.000426885260713004,0.00271394032711942,0.000808362438041231,0
"Ex_SATB2_ZNF385B",0.0211000692971633,0.0743271263524949,0.0465063207734394,0.00552313855274607,0.00500587577799752,0.0622545738166807,0.0469282211901796,0.00496387344877966,0.0202861990577044,0.0486364674205503,0.00806761675963143,0.000516740985397395,0,0.000991879834604987,0.00106260809745211,0,0
"Ex_TSHZ2_NR4A2",0.52019908298413,0,0.0775056082250949,0.00631788147551135,0.00219281593595179,0,0.00488294536689687,0,0.0126469931191861,0.0041634843416012,0,0,0,0,0,0,0
