"","Glut-CACNA1H-1","Glut-CACNA1H-3","Glut-DACH2-HVCx","Glut-DACH2-1","Glut-DACH2-8","Glut-CACNA1H-RA","Glut-SATB2-1","Glut-DACH2-3","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-DACH2-2","Glut-DACH2-HVCra-Int","Glut-DACH2-4","Glut-DACH2-6","Glut-DACH2-7","Glut-DACH2-HVCra","Glut-DACH2-5","Glut-DACH2-LMANco","Glut-DACH2-LMANsh"
"Ex_DACH2_LHX2",0.000527467345588821,0.00118858916745406,0.000550438693858591,0.159476157574753,0,0,0.00134267759978476,0.0147820736428359,0.00786512308808853,0.00431864148802738,0.339628917569281,0.000934361672147967,0.00181454695342161,0,0.00663637002221703,0,0.0550304925142802,0,0.00425676757096093
"Ex_DACH2_LUZP2",0.000328001385307965,0.000417408216637202,0,0.230690900246865,0,0,0.00115792897239588,0.0177126097797908,0.00702364734079458,0.0324715569180212,0.255534109686433,0.0896316522389878,0,0,0.00107865014942106,0.000918664515279132,0.00129522196416511,0,0
"Ex_DACH2_MGAT4C",0.00101868341301989,0.000786547525818147,0.000955614930392329,0.217819527244778,0,0,0.000363479198877795,0.00213263860138199,0,0,0.200866989032671,0.0196957394027073,0.00146848426067992,0,0.140925168546109,0.00452515285617056,0.0332576096743011,0,0.000782252752459525
"Ex_DACH2_NR4A3",0.0217852106275962,0.0019758850582059,0,0.280968365597725,0,0,0,0.00325384921403896,0.00614214913069668,0.00118164647573631,0.0129409797710468,0,0.00108649494801058,0.00283972456122467,0.181472841568808,0.00206424261768337,0.0352302173984573,0,0.00558951264502331
"Ex_DACH2_RORB",0,0.000322498384558062,0.000620234061358013,0,0.0568899206255711,0,0.00758801810156859,0.28816905266728,0.00167062932819438,0.00128186706019128,0.00058504501203019,0.00172298561426028,0.00165995989430856,0,0.00117470942038784,0.00133890987561939,0.00274304562838072,0.101695759801431,0.0493600185743996
"Ex_DACH2_SLIT2",0.00341034985109755,0,0.000987610835748269,0.0847131430922117,0.00248524625207535,0,0,0.572858773522442,0.00110903874368768,0.0946565419243629,0.00811139844396207,0.000637006380604736,0.038598447355068,0.00547843210229935,0.000874133396700516,0.000994697673260767,0.00478441003095448,0,0
"Ex_DACH2_TAC1",0.000629243765170194,0.000425768705610007,0.000660849437383736,0.0032745836260133,0.389446018895505,0,0.0020107725623877,0.220386622306361,0.000869456345561539,0.000890615513700783,0.00191969022688597,0,0.00148312591479198,0.00743820018075338,0.0164059529573151,0.00254801562994463,0,0.00567553624595888,0.00285028722887785
"Ex_DACH2_ZMAT4",0.000571855752645557,0,0,0.000932865640802272,0.348278755447035,0.00035712075585966,0.00122175953031733,0.260190881920733,0,0,0.000884309005289786,0,0.0203708920440863,0.0700128446023161,0.0126068251835133,0,0.00068795572952529,0,0.00727460601716706
"Ex_KIAA1217",0.00284085856586434,0,0.0772183823188098,0,0.0453319270416137,0.174987546615067,0.0044806148646073,0,0.00200175923528587,0.0035247199338063,0.0691111735403219,0.0651532806755765,0.00138098599856898,0,0,0.00316048892627702,0,0.0707190672779147,0
"Ex_KIAA1217_BCL6",0.0532877866173358,0.00102586366699778,0.0688214732232835,0.00271148552335545,0.0269342219662578,0.00296245542422237,0.0434539640760517,0,0.025556330260907,0.033179983859883,0.00086325206496476,0.00370301225958164,0.0290962234263842,0.00489883761502404,0,0.19757048790674,0,0.00551838636722587,0
"Ex_Pre_SATB2",0,0.0145941436744503,0.00187781073211563,0.079206074112211,0.00235845714640673,0,0.179373861596191,0,0.197032920038611,0.0185368282032259,0.02302159680075,0.0139609708764888,0.00129168599496731,0.0049617185074619,0,0.00511479731972249,0,0.00202548191347796,0
"Ex_SATB2_FOXP2",0,0,0,0.000531940056487782,0.0015367457307158,0,0.860263977480257,0,0.0016393226091645,0,0,0.00361804234525223,0.00256076483286559,0,0,0.00454009220685322,0,0,0
"Ex_SATB2_OVOA",0.00146949790892583,0.00176207710019026,0.00156921164224176,0.131968478244466,0.000321610776375072,0,0.180294564753471,0.00228098156552549,0.027159216019049,0.000364330642965139,0.0233644821186574,0.00178108329787867,0.00468716187856538,0.00039375777132409,0.101721512024125,0.0567898906422748,0.029324029164363,0,0.000675107505851249
"Ex_SATB2_SOX6",0,0,0.00163516912060782,0.00310320461525856,0.00106202020498766,0,0.874737513958293,0,0.00193768884307132,0,0.000432941104462016,0,0.00433112731804132,0.000397355081083813,0,0.0218652728260078,0,0.0123042062098094,0
"Ex_SATB2_ZNF385B",0,0,0.000825919256628889,0.000865727602436643,0,0,0.871679303539709,0,0.00173137932939693,0,0,0,0,0,0,0.0129304501347698,0,0.00185629172975564,0
"Ex_TSHZ2_NR4A2",0.422667530018517,0,0,0,0,0.00761708869642091,0.0111442614655163,0.00843261798806989,0.206737245741979,0,0.00633678325321254,0,0,0,0,0,0,0,0.00529103516880078
