"","Glut-CACNA1H-1","Glut-DACH2-2","Glut-DACH2-4","Glut-SATB2-1","Glut-DACH2-HVCra-Pre","Glut-DACH2-1","Glut-DACH2-3","Glut-CACNA1H-2","Glut-CACNA1H-4","Glut-DACH2-7","Glut-DACH2-6","Glut-CACNA1H-3","Glut-DACH2-HVCx","Glut-DACH2-HVCra","Glut-DACH2-5","Glut-CACNA1H-RA","Glut-DACH2-LMANsh","Glut-DACH2-8","Glut-DACH2-LMANco"
"Ex_DACH2_LHX2",0,0.375132911314444,0.00122504633521048,0.00135966808056466,0.000285473436535832,0.184677967476426,0.00909769880763651,0,0.00207804844681512,0.00506602850025452,0,0,0,0,0.0210967147630356,0,0.000786035644797421,0,0
"Ex_DACH2_LUZP2",0,0.305670028457615,0.000645126960710677,0.000967445657930782,0.00433113666948848,0.254128937661179,0.0133356954288239,0.00555312616352589,0.0294438454948404,0,0,0,0,0,0,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.181406841609824,0,0.000312843915519596,0.00840911275687251,0.265002356867771,0.00194864386526007,0,0.000638596963039812,0.109745324518311,0,0.000596609565934035,0.000642645791425944,0.00285493931135393,0.0297949415677343,0,0.00157101515525825,0.000397532216679307,0
"Ex_DACH2_NR4A3",0.00130007417609546,0.00767460521403386,0.000880223051398276,0,0,0.378759594806765,0.000635380542638788,0.000552184778858078,0.00176820291120893,0.188911811175594,0.00149410115207915,0.000448950134200982,0,0.000936581018633799,0.0398494598552166,0,0,0,0
"Ex_DACH2_RORB",0,0.00125617106697873,0.00175417069895288,0.0116585148373583,0,0.000899222103239147,0.532094225872234,0.000656303306884189,0,0.000946668213490322,0,0,0,0.00188215041084274,0.00246035147671881,0,0.00594943383100686,0.0211151473922908,0.000609678621503907
"Ex_DACH2_SLIT2",0,0.0100994993024928,0.018561680317241,0,0,0.0969945276874458,0.575089187678982,0,0.0868326533708805,0,0.00446168765981874,0,0,0.000858574490820943,0,0,0,0.000768679536731523,0
"Ex_DACH2_TAC1",0,0.00157165874293977,0.00156476775885846,0.00445933894994738,0,0.00100752465239876,0.2850221747445,0.000357491199191512,0.000356505591502912,0.0114156921298598,0.000579093693870016,0,0,0.00141654801919523,0,0,0.00184782425621125,0.332042200089099,0.00108660739066575
"Ex_DACH2_ZMAT4",0,0.000932547553328181,0.0114881184531582,0.000897309369305997,0,0.00235484111803518,0.274112829208553,0,0,0.0106524005902269,0.053752711689101,0,0,0,0.00170011731455714,0,0.00443515588218089,0.363573778920737,0.000574891718256199
"Ex_KIAA1217",0,0.00680360547735928,0.000652452026941183,0.110660091743502,0.00365899231855736,0,0,0.0003966152664507,0,0,0.00058847861861911,0.00167544527686512,0.0728174806425348,0.0332724818339085,0,0.0979464317838699,0,0.0702374272997143,0.0168818695587897
"Ex_KIAA1217_BCL6",0.0170778262820859,0.000814265399466025,0.0262061975269776,0.120721361898325,0.0010764150771907,0.00228062494914321,0.00295137737777388,0.0191002377347357,0.0077005704942133,0.00054417040645237,0.00286918640936566,0.00258838930816343,0.0298784045467702,0.176808431947532,0,0.00875198988299233,0,0.0187776437984401,0.00508357818494758
"Ex_Pre_SATB2",0,0.0403328164219087,0.000844206923471854,0.292087639206635,0.00556876385363149,0.0748654957864592,0.00216442759555907,0.058855263549526,0.0122570924389904,0,0.0041597627073652,0.00685363026786745,0.00116734828274051,0.00505133932831846,0.00160188920954187,0,0.00121609694738165,0.000603289756590211,0
"Ex_SATB2_FOXP2",0,0,0.00186321053280173,0.935958002062449,0.000299399369678104,0.000271171039461474,0,0,0,0,0,0,0,0.00424588143810354,0,0,0,0,0
"Ex_SATB2_OVOA",0.000893001943309548,0.0455645948060985,0.00336734508364574,0.188787897460521,0,0.0993836083928449,0.000430986713728017,0.00579595664539412,0.000492215769717435,0.105127419599795,0.000398573295512486,0,0,0.0368103877581874,0.0413483014853747,0,0,0,0
"Ex_SATB2_SOX6",0,0,0.00516766505852348,0.910141610839462,0.000311620604409879,0.0032268385118578,0,0,0,0,0,0,0,0.0206917358706821,0,0,0,0.000364372638933563,0.00326517821051551
"Ex_SATB2_ZNF385B",0,0,0.000962636490455594,0.970092750667672,0,0.000720401030819616,0,0,0,0,0,0,0,0.00374562977347158,0,0,0,0,0.000635577130513072
"Ex_TSHZ2_NR4A2",0.406331200597502,0.015015671942066,0.00434277661017978,0.0159857448900526,0,0,0.00590637293899656,0.0609938620891219,0.0130159326882329,0,0,0.00989197451173937,0,0,0,0,0.00481037450371874,0,0
