section_id,first_type,HVC,surround,log2_enrich
OR52YW26_1_7,Oligo-1,0.00980392156862745,0.0025284450063211127,1.9137903391547726
OR52YW26_1_7,Oligo-2,0.00392156862745098,0.006321112515802781,-0.6750649393436169
OR52YW26_1_7,Oligo-3,0.00784313725490196,0.004424778761061947,0.8118616794431853
OR52YW26_1_7,Epen,0,0.0018963337547408343,-4.319281031022053
OR52YW26_1_7,GABA-2-1,0,0.006321112515802781,-6.004751373851973
OR52YW26_1_7,GABA-5-1,0,0.0018963337547408343,-4.319281031022053
OR52YW26_1_7,GABA-7,0,0.006321112515802781,-6.004751373851973
OR52YW26_1_7,Glut-Arco-4,0,0.0012642225031605564,-3.7700070603837443
OR52YW26_1_7,Glut-NC-1,0,0.02465233881163085,-7.951421039513444
OR52YW26_1_7,Glut-NC-3,0,0.0037926675094816687,-5.282687217659563
OR52YW26_1_7,Glut-NC/Glut-Nido,0,0.015170670037926675,-7.254619555065116
OR52YW26_1_7,Glut-NR-1,0,0.012010113780025285,-6.9200686096465285
OR52YW26_1_7,Glut-NR-3,0,0.007585335018963337,-6.264036246106232
OR52YW26_1_7,Glut-NR-4,0,0.0012642225031605564,-3.7700070603837443
OR52YW26_1_7,Glut-Pre-1,0,0.015170670037926675,-7.254619555065116
OR52YW26_2_2,Astro-1,0.02727272727272727,6.180469715698393e-4,5.252517151996781
OR52YW26_2_2,Astro-2,0.29545454545454547,0.38504326328800986,-0.38197078215760727
OR52YW26_2_2,Astro-3,0.04242424242424243,0.07601977750309023,-0.8399858103541987
OR52YW26_2_2,Endo,0.2515151515151515,0.14956736711990112,0.7494591034623782
OR52YW26_2_2,Epen,0.006060606060606061,0.012978986402966625,-1.0861065482838257
OR52YW26_2_2,GABA-1-1,0.021212121212121213,0.03955500618046971,-0.8958288152339653
OR52YW26_2_2,GABA-2-2,0.0015151515151515152,0.004326328800988875,-1.4544411143239893
OR52YW26_2_2,GABA-2-3,0.004545454545454545,0.004326328800988875,0.0697091445756124
OR52YW26_2_2,GABA-3,0.006060606060606061,0.003708281829419036,0.6939320372944494
OR52YW26_2_2,GABA-4-1,0.004545454545454545,0.008034610630407911,-0.8082535243946792
OR52YW26_2_2,GABA-4-2,0.004545454545454545,0.0012360939431396785,1.7977983175823553
OR52YW26_2_2,GABA-5-1,0.004545454545454545,0.001854140914709518,1.2492852624288344
OR52YW26_2_2,GABA-5-2,0.0015151515151515152,0.006180469715698393,-1.9592029536556341
OR52YW26_2_2,GABA-6,0.004545454545454545,0.0030902348578491965,0.5421571315788799
