"","finch|Glut-CACNA1H-1","finch|Glut-CACNA1H-2","finch|Glut-CACNA1H-3","finch|Glut-CACNA1H-4","finch|Glut-CACNA1H-RA","finch|Glut-DACH2-1","finch|Glut-DACH2-2","finch|Glut-DACH2-3","finch|Glut-DACH2-4","finch|Glut-DACH2-5","finch|Glut-DACH2-6","finch|Glut-DACH2-7","finch|Glut-DACH2-8","finch|Glut-DACH2-HVCra","finch|Glut-DACH2-HVCra-Pre","finch|Glut-DACH2-HVCx","finch|Glut-DACH2-LMANco","finch|Glut-DACH2-LMANsh","finch|Glut-SATB2-1","chicken|Ex_BCL6","chicken|Ex_CACNA1H_CPA6","chicken|Ex_CACNA1H_KIT","chicken|Ex_CACNA1H_LHX9","chicken|Ex_CACNA1H_MCTP2","chicken|Ex_CACNA1H_PROX1","chicken|Ex_DACH2_ADAMTS5","chicken|Ex_DACH2_CEMIP","chicken|Ex_DACH2_GRIK4","chicken|Ex_DACH2_ITGA9","chicken|Ex_DACH2_LHX2","chicken|Ex_DACH2_LUZP2","chicken|Ex_DACH2_MGAT4C","chicken|Ex_DACH2_NR4A3","chicken|Ex_DACH2_RORB","chicken|Ex_DACH2_SLIT2","chicken|Ex_DACH2_TAC1","chicken|Ex_DACH2_ZMAT4","chicken|Ex_KIAA1217","chicken|Ex_KIAA1217_BCL6","chicken|Ex_SATB2_FOXP2","chicken|Ex_SATB2_OVOA","chicken|Ex_SATB2_SOX6","chicken|Ex_SATB2_ZNF385B","chicken|Ex_TSHZ2_NR4A2"
"chicken|Ex_DACH2_MGAT4C",NA,NA,NA,NA,NA,NA,0.44170228296243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693759872713537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_DACH2_NR4A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183497258533458,NA,NA,NA,NA,NA,NA,0.882068290561114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_DACH2_RORB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305586046021989,NA,NA,NA,0.804114868347403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.977440872482079,NA,NA,0.128983338725332,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_DACH2_SLIT2",NA,NA,NA,NA,NA,NA,NA,0.668584950240601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.926053865895749,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_DACH2_TAC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.931880931837791,NA,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_DACH2_ZMAT4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.661610591404912,NA,NA,NA,0.228688494225697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128983338725332,NA,NA,0.764592450067258,NA,NA,NA,NA,NA,NA,NA
"chicken|Ex_KIAA1217",NA,NA,NA,NA,0.676534058128897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.987694173166415,NA,NA,NA,NA,NA,NA
"chicken|Ex_KIAA1217_BCL6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.893337484433375,NA,NA,NA,NA,0.0708125778331257
"chicken|Ex_SATB2_FOXP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.910129690254344,NA,0.11193510908633,NA,NA
"chicken|Ex_SATB2_OVOA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.899295460268767,NA,NA,NA
"chicken|Ex_SATB2_SOX6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.689755778673791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11193510908633,NA,0.866000091572995,NA,NA
"chicken|Ex_SATB2_ZNF385B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.546075449224089,NA,NA,NA,NA,0.47709573408639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997843742130446,NA
"chicken|Ex_TSHZ2_NR4A2",0.601260871556489,NA,0.515794639304331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0708125778331257,NA,NA,NA,NA,0.965037359900374
