,bf_Glut-CACNA1H-1,bf_Glut-CACNA1H-2,bf_Glut-CACNA1H-3,bf_Glut-CACNA1H-4,bf_Glut-CACNA1H-RA,bf_Glut-DACH2-1,bf_Glut-DACH2-2,bf_Glut-DACH2-3,bf_Glut-DACH2-4,bf_Glut-DACH2-5,bf_Glut-DACH2-6,bf_Glut-DACH2-7,bf_Glut-DACH2-8,bf_Glut-DACH2-HVCra,bf_Glut-DACH2-HVCra-Pre,bf_Glut-DACH2-HVCx,bf_Glut-DACH2-LMANco,bf_Glut-DACH2-LMANsh,gg_Ex_BCL6,gg_Ex_CACNA1H_CPA6,gg_Ex_CACNA1H_KIT,gg_Ex_CACNA1H_LHX9,gg_Ex_CACNA1H_MCTP2,gg_Ex_CACNA1H_PROX1,gg_Ex_DACH2_ADAMTS5,gg_Ex_DACH2_CEMIP,gg_Ex_DACH2_GRIK4,gg_Ex_DACH2_ITGA9,gg_Ex_DACH2_LHX2,gg_Ex_DACH2_LUZP2,gg_Ex_DACH2_MGAT4C,gg_Ex_DACH2_NR4A3,gg_Ex_DACH2_RORB,gg_Ex_DACH2_SLIT2,gg_Ex_DACH2_TAC1,gg_Ex_DACH2_ZMAT4,gg_Ex_KIAA1217,gg_Ex_KIAA1217_BCL6,gg_Ex_Pre_KCNH7,gg_Ex_Pre_SATB2,gg_Ex_SATB2_FOXP2,gg_Ex_SATB2_OVOA,gg_Ex_SATB2_SOX6,gg_Ex_SATB2_ZNF385B,gg_Ex_TSHZ2_NR4A2
bf_Glut-DACH2-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010259911663113622,3.8569882320475304e-05,0.0,0.0,0.00028126279918286144,0.0012095405870997727,0.03018995397011239,0.5150800435498578,0.0001806929177418411,0.0707493164747042,7.136089532051743e-05,3.8890859452697726e-05,0.002251828250062679,0.004738198489224839,0.028131415498077676,0.008867264726803072,0.07755185150803878,0.5012548336244289,0.0007596990077717053,0.0012211776029751006,0.00016902107672505542,0.0,0.0005482109051558544,0.0004427474581301592,0.0038163318377076724,2.4909556369593332e-05,0.0
bf_Glut-DACH2-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021989140517061543,1.1264717276031968e-05,0.0,0.00015942488517282073,0.0003749451726201869,0.0011441016992333032,0.3210972848660884,0.0005731571500701665,0.017986840745073528,0.014678055499342108,0.0035849072947173716,0.0003539288221569907,0.29899610610951244,0.03759580680625131,0.0006431096437498444,0.00035735230740924386,0.0006865517252668599,0.024166013792395788,1.61842849898844e-05,3.690609002619974e-05,0.0011705274988157279,0.0004391242302677504,0.001966095476616862,0.040152763005828415,0.0035889718245367035,2.6861543113193124e-05,0.0
bf_Glut-DACH2-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001800093819935064,0.0,0.0,0.0,0.00349340836734224,0.001316557401877164,0.015526917532440765,0.07171740773372112,0.0004373011279720124,0.17754890012686536,5.07854508989153e-05,0.0,0.0004006195186505187,0.0016551648037663712,0.2406612985773975,0.0032732238966615194,0.3726894531309156,0.8344701666927629,0.0010761192039284604,0.0005851538266810241,0.00043317089474710624,0.0,0.0022252955558600103,0.00024392078725108784,0.0032827968896331516,0.00036625183430012394,0.0
bf_Glut-DACH2-HVCra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005187844699447446,0.0,0.0,0.00019903553295569327,0.0004242653712733916,0.0,0.002021437236427376,0.00010437466570428595,0.0036876252139754185,0.0030528825919660303,0.0007056735479591337,0.0012735518116778488,0.01577734575546292,0.002842088215917468,0.00040841667755151,4.1371314677795676e-05,0.0004394310822498533,0.00016807198397913176,0.000420241562628174,0.0027704637795611235,0.038212205056320746,0.009271767740922853,0.24241894355652419,0.0694339523024746,0.5608566975404548,0.7840957896001888,0.0
bf_Glut-DACH2-HVCra-Pre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001100032096035904,0.0,0.0,0.0,0.001376398284592563,0.00020955604259782233,0.026912811221085204,8.509763222395395e-05,0.049094151465439266,0.006258164207041729,0.015043463602131482,0.006847458244901983,0.4240855810254972,0.01925845459675686,5.1557143564527075e-05,1.618200224321567e-05,0.00021538791302901984,0.0006123506953238685,0.0,0.00016412475881965178,0.0019255336904653402,0.006424310111157755,0.006189208929434569,0.009120389662150787,0.05827787627284846,0.002164277607913839,0.0
bf_Glut-DACH2-HVCx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014989398914809213,0.0,0.0,0.0,0.0,0.0,0.0008236325468108345,0.00043037091915274476,8.388440967954343e-06,0.011882713094622714,1.3400933063128298e-05,8.323404721341564e-05,0.003217075539617606,0.0,0.0,0.0013085208966943387,0.0065795366845173885,0.000949388979451261,0.04377149375541734,0.04885203598815553,1.8520150108063287e-05,2.5433091166867338e-05,0.15765397639096376,0.0015810601968462659,0.41271788193848735,0.16270329775120057,0.0
bf_Glut-DACH2-LMANco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005877275824913447,0.0,0.0,0.0,0.0001952205031306654,0.00021736780824046267,0.0068545295674242775,0.005074359228942755,0.0002669056796449899,0.0017585470792409862,0.0,0.0,0.005413992793948053,0.002895954409154451,0.13462425304052264,0.001290658199739068,0.002448162500111188,0.4113928196740364,0.030887818840565406,0.017854937204747925,0.0003995983732720471,0.0003952831514017755,0.008633999729424146,0.0033141941109660344,0.15524444201733667,0.003674902865015469,0.0
bf_Glut-DACH2-LMANsh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019491498525148578,0.0,0.0,0.0,0.1061926972907539,0.0011196992067698172,0.3981066794552818,0.00034962216639556216,0.02586904490352233,0.01796828521171254,0.14030732711399346,0.00047669900543355315,0.06308358007588422,0.024990142908468144,0.038792751819426916,0.0,9.117501047631664e-05,0.017539454447403572,0.0,0.0,0.000288694878867579,0.0004822192977394377,0.0028264385718145286,0.019152002056888606,0.00396865050147707,1.834595912639005e-05,0.0
gg_Ex_BCL6,0.023096157540388608,0.07551070031326274,0.007671740261025071,0.010220759910665803,0.027156940446233034,0.0380042978771468,0.00028530470141048666,0.2961154804029408,0.0007859707355541261,0.0003887036110133869,0.0010259911663113622,0.00021989140517061543,0.001800093819935064,0.005187844699447446,0.001100032096035904,0.0014989398914809213,0.0005877275824913447,0.00019491498525148578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gg_Ex_CACNA1H_CPA6,0.5486514947587785,0.18670169654663335,0.18524215237881225,0.0,0.06832969395681912,0.0,0.0,0.0,0.0,0.0,3.8569882320475304e-05,1.1264717276031968e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
