"","Ex_BCL6","Ex_DACH2_ITGA9","Ex_TSHZ2_NR4A2","Ex_SATB2_OVOA","Ex_Pre_KCNH7","Ex_CACNA1H_MCTP2","Ex_DACH2_MGAT4C","Ex_CACNA1H_CPA6","Ex_CACNA1H_PROX1","Ex_SATB2_ZNF385B","Ex_DACH2_RORB","Ex_Pre_SATB2","Ex_DACH2_SLIT2","Ex_KIAA1217","Ex_DACH2_GRIK4","Ex_KIAA1217_BCL6","Ex_CACNA1H_KIT","Ex_DACH2_LUZP2","Ex_DACH2_ADAMTS5","Ex_SATB2_SOX6","Ex_SATB2_FOXP2","Ex_DACH2_NR4A3","Ex_CACNA1H_LHX9","Ex_DACH2_TAC1","Ex_DACH2_ZMAT4","Ex_DACH2_LHX2","Ex_DACH2_CEMIP"
"Glut-NC-1",0.00841082337581209,0.0051609477573854,0,0.00847684916898635,0.0159076749000953,0.00186139994502154,0.0957433766938305,0,0.00692955882339176,0.00343416736122474,0.00276816086810139,0.00101731085635412,0.0019179897646761,0.00193472603161181,0.139455472299728,0,0.000307336217228247,0.0998382321066638,0.0132476571434185,0.00246756110143214,0.00106531198208997,0.106827631851131,0,0.00608751381041432,0,0.0283594440559184,0
"Glut-NC-2",0.00272976231337657,0.00193756443461722,0,0.0114534757381006,0.00740136098580863,0.000297196240517398,0.0470008334067003,0.000620060588523324,0.00142064056601665,0.00895335248981165,0.00228789698786609,0,0.000799475291344257,0.00922333007811136,0.0780368551797363,0,0,0.106493626788141,0.0198485458702037,0.00220912612459302,0.00848914938511776,0.0657390297715733,0,0.000563378988198252,0,0.107028272378332,0
"Glut-NC-3",0.0175695172706948,0.0214797709987923,0,0.00151194359098706,0.016126497273452,0.00356346135165489,0,0,0.000543917484917051,0.00110238124372099,0.015461203092993,0,0.401096660431283,0.0012115772685197,0.00137742044929345,0,0,0.00598388162204568,0.000431386553080392,0,0,0.020610894699028,0,0.0324976593486546,0.051549806563518,0.00399094323550654,0.00688143238947203
"Glut-NC-4",0.0144678106431614,0.197752993185862,0,0.00955996730482733,0.01408323715013,0,0.00331664351769123,0,0,0.00186629438337859,0.00378787878787879,0,0.0372450689844664,0.0337775192941302,0.00565254221783426,0.016620630203105,0,0.00105611240895468,0.00412032481728088,0.00977861059774628,0.0240854851106049,0.0457673381182683,0,0.0134454973351183,0.020479034430924,0,0
"Glut-NR-1",0.0031146054719102,0.0017831489211716,0,0.00871301425323052,0.0277296206486689,0.00145043926837889,0.0599557453909597,0,0.00632052011351383,0.00403821176262568,0.00638119286514101,0.000296611706684495,0,0.00155533597539922,0.0290612144698979,0,0,0.00948773612658621,0.091791674991006,0,0.00139012890638898,0.0431756294763776,0,0.00806180321180504,0,0.188792633128355,0
"Glut-NR-2",0.0493115115048355,0.0298387462010481,0,0.0010463640788721,0.0085255861754693,0,0.000963867994373918,0,0.00284102333748656,0.00522086155336116,0.00221288048161644,0,0.00145798602402527,0.00649158797862585,0.00189195384390642,0.0169715379488298,0,0,0.00336060612717367,0.00493875505175456,0.0116476767686505,0.00621630076243044,0,0.0292951037759315,0.076539826733728,0,0.352532830777911
"Glut-NR-3",0.00639126686700793,0.0146995884084018,0,0.0362336449060379,0.0229431521727268,0,0.081257228330332,0,0.00174709153804,0.0032559654818983,0.00372965790084169,0.000307502564925907,0,0.00762475280313753,0.106926438103363,0.00230394088667478,0,0.00121117575932942,0.0819963993986951,0.00667945364968055,0.00355542839656214,0.060648469725885,0,0.0242922118131494,0.0018009180833133,0.00560470359804919,0.00148796197535016
"Glut-NR-4",0.00536997097674976,0.0175893887440249,0,0.000443602536364182,0.00971191595972532,0.013136117451983,0.00033328205323255,0,0,0.00773229883010445,0.0410930638290316,0.000462471508808416,0.000810075327559179,0.00690749079149857,0.0022515781443793,0,0,0,0.00521885046727534,0,0.00210276382009216,0,0,0.0162026515964494,0.458230905698616,0,0.0401485000319428
"Glut-NR-5",0.00185293131790306,0,0,0.00384612468582316,0.00503536431595459,0,0,0,0.000878287732351476,0.12795840805137,0,0.00227256273700868,0,0.00451426606938753,0.00351720090956437,0,0,0,0.000730365105749219,0.427224577639027,0.243052600970074,0,0,0,0,0,0
"Glut-RA",0.0299952501928467,0,0.00520874353319719,0.00246806077564555,0.018251175063546,0.00136909194804048,0,0.0598265437612292,0.0049950937413247,0.0338993951455042,0.0463883078854081,0.00481601544150538,0.000197565593580855,0.203986845216318,0,0.00583230096596183,0.0796800770172126,0.00646324063599785,0.00088737071340192,0.00165969948612296,0.0303561649837782,0,0.00228407765914933,0.00920491961117045,0,0.00164412578814155,0
