"","Glut-NC-1","Glut-HVC-1a","Glut-NC-3","Glut-HVC-1","Glut-NR-5","Glut-NR-2","Glut-NR-1","Glut-HVC-2","Glut-Arco-4","Glut-Arco-5","Glut-Arco-2","Glut-Arco-1","Glut-NC-2","Glut-NR-3","Glut-LMAN-1","Glut-LMAN-2","Glut-NR-4","Glut-NC-4","Glut-Arco-3"
"Ex_DACH2_LHX2",0.305043248721424,0.0223251832039562,0.0371338327097115,0.0605940777400326,0.00157300475437143,0,0.00584713904888317,0,0,0.00324464805164642,0.0280899678008261,0,0.109784632111963,0.0021127539004577,0.00199888288831802,0,0,0,0
"Ex_DACH2_LUZP2",0.367106303240636,0.000837817581391017,0.0526430734787191,0.00117383396659789,0.00606610450599792,0,0.000370104125277457,0,0,0.0153413237219686,0.245713725214266,0,0.010480436977712,0.000479825544497729,0,0,0,0,0
"Ex_DACH2_MGAT4C",0.556533295779132,0.00162881517829575,0.00733215331402756,0.0250318448087962,0.0029741573027646,0.0003388495146281,0.00176106571903383,0,0,0,0.0279950031501867,0,0.0195228336264669,0.0441481006145018,0,0,0.000325897485031488,0.000449333568877639,0
"Ex_DACH2_NR4A3",0.451007722130441,0.00171573328754846,0.024376025763698,0.0201498330034752,0.00107633075794236,0.00123891887449125,0.0178908886770345,0,0,0.00114454862046285,0.0206438520046176,0,0.00543097099028622,0.09651561479132,0.00235519670854568,0,0.000535969037512432,0.00297444114185244,0
"Ex_DACH2_RORB",0.00449270434776119,0,0.715012103761974,0.00308988165830563,0.00849738864407757,0.0031399965153852,0,0,0.00110990564190029,0,0,0,0,0.000855112276328952,0,0,0.00641629999288653,0,0
"Ex_DACH2_SLIT2",0.111070522213678,0,0.630749162302029,0.000869614432500486,0.000437530687429726,0.00052862821097089,0,0,0,0.0983550605771251,0.011942084037527,0,0.00278994711879738,0,0,0,0,0.00477096170341169,0
"Ex_DACH2_TAC1",0,0,0.448943730627635,0.000451120916122681,0.0162027673250324,0.0225801579743747,0,0,0,0,0.0027306955228027,0,0,0.000716530842478874,0,0,0.216548965830166,0,0
"Ex_DACH2_ZMAT4",0.00540483843726516,0,0.491091627441115,0.00073311027527571,0.00088862856833359,0.00365821100665937,0,0,0,0.00101371883319027,0,0,0,0.00455670582025266,0,0,0.26190176831009,0.00761755408338279,0
"Ex_KIAA1217",0.000823272794346178,0,0.0206950296152252,0.0407195396220414,0.437055961053863,0.000447344553653005,0,0,0,0.0087099820510518,0.0761471526595334,0,0,0,0,0.0182565410584351,0,0,0
"Ex_KIAA1217_BCL6",0.00124676714238491,0,0.0169757099351983,0.0948004873439184,0.420954499574195,0.00199056376850871,0,0.00419781679641529,0.000887284314285744,0.0221071996852944,0.0206665764907094,0.00174874353794908,0,0,0,0.00146312838398075,0.00514160038539929,0.0107067204661605,0
"Ex_Pre_KCNH7",0.158407235437281,0.0039373626349963,0.241746011162186,0.00425705588783271,0.116254663559448,0.0017769918706977,0,0,0.00256385699176831,0.0100178427374048,0.00722148507030814,0,0.000520449514313787,0.00104571916008042,0.000268796924509562,0,0.000385733709168828,0.000455097344197394,0.00098967923938988
"Ex_Pre_SATB2",0.077515867056578,0.00210338319596676,0.036720142330507,0.0012815492626876,0.581737043258088,0,0,0,0,0.0102498070750969,0.0108613459793115,0,0.0258350979725657,0,0,0,0,0,0
"Ex_SATB2_FOXP2",0.00196670215058103,0.000430286450991095,0.00154332736049153,0.00613335300619258,0.949103034673732,0,0,0,0,0,0,0,0,0.00155193561875265,0,0,0,0,0
"Ex_SATB2_OVOA",0.126864845426002,0,0.0162941870567463,0.120398827576751,0.328441113388026,0,0.000408749902554268,0,0.00160070734867587,0.000697212546046861,0.0456164395807324,0,0.000478829853054619,0.0304051475522539,0,0,0.000653280547605219,0.000482214549962883,0
"Ex_SATB2_SOX6",0.00238984074725099,0,0.00145050623525728,0.0134042678496931,0.915446571306603,0,0,0,0.000803937617506253,0.00106927356363112,0.00200098563788988,0,0,0,0,0,0,0.00457420630079341,0
"Ex_SATB2_ZNF385B",0,0,0,0.000683476664638066,0.984386349160439,0,0,0,0,0,0.00182903143152052,0,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.00744786140058085,0.00331090640222656,0.00572609200464118,0,0.00909090909090909,0,0,0,0.00708034836219687,0,0.0375837659951002,0.481271407931283,0.04643600900307,0,0,0,0,0,0
