"","Glut-CACNA1H-1","Glut-DACH2-5","Glut-DACH2-8","Glut-CACNA1H-2","Glut-DACH2-7","Glut-CACNA1H-4","Glut-DACH2-HVCra-Pre","Glut-DACH2-HVCx","Glut-DACH2-4","Glut-DACH2-1","Glut-DACH2-3","Glut-DACH2-6","Glut-CACNA1H-3","Glut-DACH2-2","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-DACH2-HVCra"
"Ex_DACH2_LUZP2",0,0.0441158157497861,0,0.0104381082516239,0.00233001101152385,0.110248524338458,0.000299199138293357,0,0,0.38354454323977,0.0331442624874492,0,0,0.00342913630234668,0,0,0
"Ex_DACH2_MGAT4C",0,0.0605644478936469,0.00361371165317699,0,0.0488696471378664,0.002436477644399,0.00221948175243834,0.000766273585267032,0.00731717501043373,0.425665990553968,0.0110326878410337,0.00173432086965147,0,0.00926873573627203,0,0,0.000510020997346625
"Ex_DACH2_NR4A3",0.000718968156622129,0.0382624222886852,0.00657348479524045,0,0.0171959562503537,0.0018785383235335,0,0,0.00703064637586208,0.545545629889362,0.0110036815822715,0.00668923020914274,0,0.00357186398529709,0.0012550894163621,0,0
"Ex_DACH2_RORB",0,0.00765717539536829,0.0927436011179942,0.000742950247068923,0.000576223058298738,0,0,0,0,0.00120498132283929,0.61284827833113,0,0,0,0,0.00271026354519067,0
"Ex_DACH2_SLIT2",0,0.000858619599803998,0.00520967714467625,0.00568620033894145,0.00335158640601007,0.0319158113787802,0,0.000515081652603864,0.00886992899074293,0.0928417841925728,0.61596055155097,0.0104194356311603,0,0,0,0,0
"Ex_DACH2_TAC1",0,0.00108573793918847,0.318400467982162,0,0.00253328885568064,0,0,0,0.00463193099170046,0.00282778947323105,0.298429781306955,0.0465053198611945,0,0,0,0.000917531721669204,0
"Ex_DACH2_ZMAT4",0,0.000322237637261268,0.359145226935297,0,0.000935139509013274,0,0,0,0.00721504553551562,0.00517121166312142,0.325520434309729,0.0304662539255394,0,0,0,0.00436233194305726,0
"Ex_KIAA1217",0.128295785817519,0.00103751486283072,0.0412187787988765,0.161900691783413,0.00543436231439402,0.0217867041717649,0.00153318875247845,0.0488418837573864,0.0333191389723322,0,0.0266992146803555,0.0220307158538818,0.000280931342359775,0,0,0.000354409432933355,0.000313397696667506
"Ex_KIAA1217_BCL6",0.0708307755279781,0,0.0191891574946489,0.321698060336647,0.00705208126724473,0.0310041666106148,0.00103917277207897,0.0237731670345958,0.0518234101151068,0.00302119656134278,0.00167118797453441,0.0460494213355011,0,0,0,0,0
"Ex_Pre_KCNH7",0.000563237037143845,0.0610064411411754,0.0291277287975453,0.0403366205394916,0.064595690949866,0.00630825339913975,0.00502188668652522,0,0.000340170621875668,0.115741892054342,0.0641629314681778,0.00858669204027287,0.000304667427181566,0.00025660803480425,0,0,0.000371166994199504
"Ex_Pre_SATB2",0.0059183139604262,0.0259880460241477,0.0247431155798387,0.113915951891555,0.0796410338219168,0.0162411921174065,0.0136496261207895,0.000715002363977005,0.000966009780334504,0.0762429661861983,0.0427971982390793,0.00451179858514919,0.00183264960792143,0,0,0,0.00340985377534653
"Ex_SATB2_FOXP2",0.0226234615106577,0.00392878240010605,0.0992014702142334,0.0320878011531657,0.025155383159187,0.00255514589097166,0.011664781995625,0.0283643320164014,0.110905917815867,0.0119986771570232,0.0024183944618698,0.0346202538407622,0.000512417750771123,0,0.000841114246999349,0.00064798480746211,0.0101941875927016
"Ex_SATB2_OVOA",0.00111886849249634,0.0607383207857633,0.0174209289235053,0.0279335705524469,0.0540845028162699,0.0066712996048856,0.00572956259625213,0.00148413460274319,0.0178840728392609,0.229776349924757,0.0278224331197447,0.00762462481183243,0,0.00168153338547101,0.000349630464580256,0,0.0032695679986493
"Ex_SATB2_SOX6",0.00641523355190398,0.00822535759168998,0.0900666895858106,0.0253706173493686,0.0222115285030129,0.00999353747303553,0.0101298429100213,0.0175166962833094,0.0754607134191197,0.0298582253206138,0.010760601829263,0.0469409155909673,0,0.00126720146121719,0.00346929689373745,0.000377277732153324,0.0286959656680884
"Ex_SATB2_ZNF385B",0.0133697390579935,0.00689557880156162,0.0494108068918757,0.050738600378127,0.00797560038233494,0.00862529745751792,0.0111412631900181,0.0140985374758088,0.048592442115491,0.0135052104012212,0.0518829885485758,0.106877721214216,0,0.000801444721134491,0,0.00213742267349839,0.0129669336030233
"Ex_TSHZ2_NR4A2",0.426354213644839,0,0.0076456502598831,0.188194175309392,0.00354983013159735,0.0114142699054928,0,0,0,0.0140657668013718,0.00678308089888796,0,0.0083172434315577,0,0,0,0
