"","Glut-Arco-1","Glut-NR-3","Glut-NC-4","Glut-Arco-4","Glut-Arco-2","Glut-NC-2","Glut-Arco-3","Glut-HVC-1a","Glut-NR-1","Glut-NC-3","Glut-HVC-2","Glut-Arco-5","Glut-NR-2","Glut-NR-5","Glut-NC-1","Glut-NR-4","Glut-LMAN-1","Glut-LMAN-2","Glut-HVC-1"
"Ex_DACH2_LUZP2",0.000445806401815749,0.000716287022185409,0,0.00225201053795787,0.0148621396699398,0.044526518370392,0,0.00283434473420655,0.00196853608136625,0.0136028296100913,0,0.092042830920412,0,0.0022373996626934,0.345089528220291,0,0,0,0
"Ex_DACH2_MGAT4C",0,0.0246616105448777,0.00278934840541634,0.000853899172319266,0,0.036501274649731,0,0.00730132506571787,0.0304365099199225,0.00240050994326209,0,0.00136028476020796,0.000392337365499909,0.00525852038972532,0.413318140913258,0.00118030131362698,0.00128065160709388,0,0
"Ex_DACH2_NR4A3",0.000343529893702705,0.0331527767116752,0.0076514090133756,0.000309963584050981,0.000771234240386675,0.0152846202652306,0,0.000248980853685562,0.0153911792120469,0.00716783909432203,0,0.00202994988476606,0.00136504194211105,0.00258120359348608,0.460815676979767,0.000560708250824841,0.00671126456794163,0,0
"Ex_DACH2_RORB",0,0.000999094225525563,0,0.00394179429273975,0,0.00775084277671659,0.00338677774572374,0,0.00355694656327872,0.53841573002982,0,0,0.000446071486478101,0.0120035164168033,0.000360625962587165,0.0298821930350236,0.000412032996763258,0.00470235243768329,0
"Ex_DACH2_SLIT2",0,0.00318719381695664,0.0122193053616064,0.000822318786250254,0.00245333351353707,0.0029730744323012,0,0.000531083996153273,0.00054265462919916,0.51585041710225,0,0.0583179814683471,0.00119717397272078,0.00183465157997146,0.080801054576661,0,0,0,0
"Ex_DACH2_TAC1",0,0.00693821734640473,0.00143715604403499,0.00465429947046419,0,0.000467227077999357,0,0.000719700619263409,0,0.269202137106166,0,0,0.0166562178226376,0.0365644406272129,0.0055351138413811,0.188115412129766,0,0,0
"Ex_DACH2_ZMAT4",0,0.00258014155340067,0.0131907278963098,0.00417880504601992,0,0.000788670599878395,0,0.000301099904479664,0.000654160161217285,0.282214732280934,0,0,0.0142289463304393,0.00134572643121192,0.00394520689134806,0.261438926034496,0.000994565935129914,0,0
"Ex_KIAA1217",0.000474679602540151,0,0.00212890050191625,0.00269805996918188,0.00208734711909981,0,0,0,0,0,0.0107574085750591,0,0,0.803436327637617,0,0,0,0,0
"Ex_KIAA1217_BCL6",0.0102696383375053,0.00113791435614517,0.0414271884586287,0.00182861770275972,0.0412351865041697,0.000692768554437132,0,0,0,0,0.0536569315873838,0.00133671476709913,0.00350227482651403,0.447299122771188,0.00124802900998978,0.00644806269969618,0,0,0
"Ex_Pre_KCNH7",0.000210164556145447,0.0225980463234124,0,0.0260749831476938,0.0219043319073064,0.0437999864967653,0.00927336925637745,0.0057809242110138,0.0125200503380177,0.0109262714135524,0,0.0100239393410314,0.00315719723414658,0.16378978269034,0.0742996361392614,0.00188975671392391,0,0.000447735477891823,0.00101845733314532
"Ex_Pre_SATB2",0,0.0067473253370122,0,0.0257646707080074,0.0280364489860726,0.01121663147671,0.00558843635212684,0.000699578448895517,0.00611647612981312,0.00526509854300276,0,0.00512347051588559,0,0.494976561552612,0.0158220651431859,0,0,0,0
"Ex_SATB2_FOXP2",0.00048348036470137,0.000404721011835126,0.00394659811232051,0.00276454238328636,0,0.000460846325268169,0.00127800142096824,0.000242486762955663,0,0,0,0.000588931711837691,0,0.872857305037456,0.000677358344003465,0,0,0,0
"Ex_SATB2_OVOA",0,0.0220841736204893,0.00332301898700289,0.0111998252663127,0.00396454136458636,0.0116789722311838,0.000389141299460366,0.00442861352335801,0.0237936171333433,0.00193815136772987,0,0.00255841169379015,0.000594265015748022,0.248357782158384,0.170169526684655,0.00134506424613654,0.00392984722779946,0,0.000317867457277197
"Ex_SATB2_SOX6",0,0.000374031234979715,0.00174198707852618,0.00813822091146112,0,0,0.000987533458264579,0,0,0,0,0,0,0.898129715521434,0.00291486668930878,0,0,0,0
"Ex_SATB2_ZNF385B",0,0,0,0.000882843162860931,0,0,0,0,0,0,0,0,0,0.975087448776244,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.456778742725175,0,0.00512011279173448,0,0.0960145792335016,0,0.0151643897979235,0,0,0,0.00323581452818678,0.00244785091529298,0,0.029825032056968,0.00717285201672128,0,0,0,0
