"","Glut-CACNA1H-1","Glut-DACH2-3","Glut-CACNA1H-4","Glut-CACNA1H-2","Glut-DACH2-HVCra-Pre","Glut-DACH2-7","Glut-DACH2-5","Glut-DACH2-6","Glut-DACH2-4","Glut-DACH2-2","Glut-DACH2-8","Glut-CACNA1H-3","Glut-DACH2-LMANco","Glut-DACH2-1","Glut-DACH2-HVCx","Glut-DACH2-HVCra","Glut-CACNA1H-RA","Glut-DACH2-LMANsh"
"Ex_DACH2_LHX2",0.000687758768104119,0.0201685518170568,0.00154139338046135,0.00860818810291053,0.00330745092304247,0.0104995904387707,0.0595060608977725,0,0,0.352142908608174,0,0.0012467124822075,0.00121948273505938,0.121787123208618,0.00317335195827019,0.0102240864976808,0.000856968718847654,0.00567926895619109
"Ex_DACH2_LUZP2",0.00163379747636969,0.0114962805622035,0.030761424736951,0.00704865858755254,0.158243994317004,0.00812944209986526,0.00194156784820739,0,0,0.262713204966015,0,0,0,0.138685974598566,0,0.00423890746935875,0,0
"Ex_DACH2_MGAT4C",0,0.00265131993959352,0,0.00162731702607351,0.0203631845116095,0.0676964340985009,0.0522616630020217,0,0.00230408996142133,0.209976638588425,0,0.0010575533520696,0.00322030090639129,0.219353119828698,0.00293354142540031,0.0346006795690837,0,0.000797954553107542
"Ex_DACH2_NR4A3",0.0182998518480252,0.0056617096452835,0.00132004370345301,0.012994819517856,0.00196702096687398,0.114065845485115,0.0313360331665309,0.00124767810695001,0.00424640832205503,0.0203816789284017,0.000769504400210668,0.00299878754890239,0,0.259745330565603,0,0.0164035598003163,0.00205229541252697,0.00581428670846036
"Ex_DACH2_RORB",0,0.102477474938454,0.00107715489737414,0.00479426851225752,0.00118083468085891,0.00265209586100702,0.00211908751837918,0.00047316886989874,0.00387408946291425,0,0.0717846088861029,0.00284692720247852,0.128757126760695,0,0,0.00263310211628654,0,0.210593170901883
"Ex_DACH2_SLIT2",0.00355476796885273,0.553821698465729,0.0941768958734358,0.00257373109333349,0.000525761828678405,0.000692277204006936,0.00974806659188576,0.00425401245413675,0.0277860852146427,0.00897603616629857,0.00877045939407498,0.00282996291087169,0.00052955628390869,0.0708818071160255,0.00183682930315714,0.000553842182982195,0,0
"Ex_DACH2_TAC1",0.00104621048514327,0.143713961455721,0,0.0175678629540369,0.00199886459192326,0.00266666804115769,0,0.0378736626735368,0.00313655988836045,0.00120573990643648,0.231706876337663,0.000405414294264767,0.0413982644731828,0.00243536077039162,0.0102444356152542,0.0751836473826926,0.000360658300005156,0
"Ex_DACH2_ZMAT4",0,0.230893270577471,0,0.000495217460766295,0.000561093945078499,0.0109229347181814,0,0.104647739017916,0.0230955512658752,0.000904707436198948,0.322897599858817,0,0.00197301934672587,0.00371141269194446,0,0.00296763633679813,0,0.00407243087683202
"Ex_Pre_KCNH7",0.000435392022927821,0.0128763632391374,0.00480126553523224,0.0855886238379487,0.0270215981974715,0.00396176229983513,0.00603511761450774,0.04213082049208,0.00246298168140231,0.00367611631449962,0.0186888440896514,0.0158428676176921,0.0155699530433198,0.046169446527155,0.0906899684412154,0.0385934286015181,0,0.0328542296116546
"Ex_Pre_SATB2",0,0,0.00857121371523718,0.214915314035945,0.0538281180354209,0.00360995092158483,0.00132288516326069,0.0182427984329288,0.00690581058658448,0.0254939376830537,0.0246210209899534,0.0217236764407018,0.00157512536514956,0.0527559227907668,0.00292371433499036,0.0142269731839769,0.00132881764462166,0.00754816521773175
"Ex_TSHZ2_NR4A2",0.46397364079097,0.00828302128657383,0.00459618236306297,0.108472631591866,0,0,0,0,0,0.013962101581285,0,0.00721421564014976,0,0,0,0.00286280923246218,0.00888510817838991,0
