"","Glut-Arco-1","Glut-NC-2","Glut-Arco-2","Glut-NR-5","Glut-HVC-1a","Glut-Arco-5","Glut-NC-1","Glut-Arco-4","Glut-LMAN-2","Glut-NR-1","Glut-NR-3","Glut-HVC-2","Glut-NR-2","Glut-HVC-1","Glut-NC-4","Glut-Arco-3","Glut-NC-3","Glut-NR-4","Glut-LMAN-1","Glut-RA"
"Ex_DACH2_LUZP2",0,0.086094260854677,0.0172639559369385,0.00270406290617621,0.00585798263757298,0.108642396565764,0.307838286504946,0.0076443208684007,0.000325679972777764,0.00547033218712442,0.00242427765126575,0,0,0,0,0,0.0148243877172132,0,0.0005387815168175,0
"Ex_DACH2_MGAT4C",0,0.0755504617769216,0,0.00499159653650379,0.0185853655725467,0.00162205582052422,0.353060266756383,0.00119010245067325,0,0.047106742364113,0.0481963985696826,0.000404797602674329,0.000914104099465053,0.000555165356001401,0.00451607298229371,0,0.00532713137202646,0.000930431666824779,0.00273115312716103,0
"Ex_DACH2_NR4A3",0,0.0278975114143049,0.000892039797578729,0.000814341139242536,0.00311029942175012,0.00311803423692123,0.384903112532028,0,0,0.033246872591556,0.0447530339185001,0,0.0011750691046902,0,0.0138629089070392,0.000784271383254281,0.0118742128511915,0.00174973641491365,0.0118327710035071,0
"Ex_DACH2_RORB",0,0.00938590158076091,0.000400389348016254,0.00962641772894756,0.000758347232388484,0,0.00138316954855378,0.00506456080537418,0.045220516337409,0.0023034789677906,0.00088683836320345,0,0,0.00034182675466377,0,0.00307962215305272,0.457753127737439,0.0372061393135228,0.00311751309306933,0
"Ex_DACH2_SLIT2",0.00060903945903824,0.00621675703390017,0.00413242982400732,0.00104110841459145,0.00396219819261176,0.0794542135681894,0.0631627268169971,0,0,0.000646307179083993,0.00455362575403863,0,0.00596925673856579,0,0.0235689573781913,0,0.539056579171556,0.000452540225601879,0,0
"Ex_DACH2_TAC1",0,0.000509890145431149,0.000750052664769357,0.0316565925688084,0.00229195168662581,0.00301222757036905,0.00767070939544917,0.00316828589401949,0.000919638400266216,0.00440204348776163,0.0127914918817793,0,0.0266025769899903,0,0.00536991005639235,0,0.256339269697408,0.223937559770617,0.00210176847314408,0
"Ex_DACH2_ZMAT4",0,0,0,0,0.000559590065760397,0,0.00481626041301917,0.00387724622941728,0.00056648298144793,0.00178734529643687,0.0057885499641007,0,0.0253708541009338,0,0.0139515520888869,0.000363415738918209,0.284644368434469,0.311920114803156,0.00294317785155971,0
"Ex_KIAA1217",0.00099204730685986,0,0.00507383780279749,0.766441865915584,0.000311203117184802,0.000442368081152211,0,0.00138413677568936,0,0,0,0.0244591737283272,0,0,0.00380860338934432,0.000429935188728747,0,0,0,0
"Ex_KIAA1217_BCL6",0.0160470415677485,0.00102810360725396,0.0489882643646494,0.344944392684216,0.00284790304501431,0.00870088876030175,0,0,0,0,0,0.123788578217589,0.00526362321618433,0,0.0478221826186019,0.00322797663145101,0,0.00344978174715644,0,0
"Ex_Pre_KCNH7",0.000953665811050825,0.0286782397911623,0.0289429579603532,0.122897031932186,0.00793980595607532,0.0248984998164122,0.0678606480777438,0.034381558232524,0.00514603824626786,0.0105313562693189,0.0333174990661812,0,0.0039436585162332,0.00170251945903739,0,0.0120366752152631,0.0103519936749402,0.000237119993321478,0.00832937542666652,0
"Ex_Pre_SATB2",0.00221796554085727,0.0106101906558905,0.0387179105760718,0.417972743859059,0.00592787448946081,0.00865082950420217,0.0240698920012169,0.0299634410487519,0.000862730055981228,0.0026996917695443,0.0132171034117664,0,0,0,0,0.00603297209401821,0.00403704768134951,0,0,0.000629304362286506
"Ex_SATB2_FOXP2",0.000795324210590042,0.000689403592667909,0.000578718044783701,0.896747483190754,0.000315222304517403,0,0.00057196871989179,0.00297489246102254,0,0,0.00103768872022989,0,0,0,0.00378940356240129,0.00102823979502082,0.000404174336617317,0,0,0
"Ex_SATB2_OVOA",0,0.0234732651928517,0.00715280904080817,0.241147985125969,0.00709722063181589,0.00505086977213351,0.132438860713615,0.010787128719226,0,0.0202566740207254,0.0640336967750402,0,0.000518223712516573,0.00077006737089391,0.00561220952798042,0.000924530771782738,0.00499437779226883,0.00218976027474267,0.00796499978894965,0
"Ex_SATB2_SOX6",0,0.000197272538683463,0,0.906914143618721,0.00037134841365937,0,0.00167028199970685,0.00913139521019513,0,0,0.00034596239229334,0.000437592869293495,0,0,0.00547822786468179,0.000614635688427779,0.000408325491096989,0,0,0
"Ex_SATB2_ZNF385B",0,0,0,0.982039893398665,0,0,0,0.00170554373936208,0,0,0,0,0,0,0,0,0,0,0,0
"Ex_TSHZ2_NR4A2",0.472348639072842,0.00298180029575223,0.106251896693069,0.0197571884550143,0,0.00901965558730013,0,0,0,0,0,0,0,0,0.00630012051642721,0.0198541216074398,0,0,0,0
