"","Ex_BCL6","Ex_KIAA1217_BCL6","Ex_CACNA1H_CPA6","Ex_TSHZ2_NR4A2","Ex_SATB2_FOXP2","Ex_CACNA1H_MCTP2","Ex_Pre_KCNH7","Ex_DACH2_SLIT2","Ex_KIAA1217","Ex_DACH2_ZMAT4","Ex_CACNA1H_PROX1","Ex_DACH2_NR4A3","Ex_SATB2_SOX6","Ex_SATB2_OVOA","Ex_CACNA1H_KIT","Ex_DACH2_GRIK4","Ex_DACH2_MGAT4C","Ex_DACH2_TAC1","Ex_DACH2_ITGA9","Ex_DACH2_RORB","Ex_DACH2_LUZP2","Ex_Pre_SATB2","Ex_CACNA1H_LHX9","Ex_DACH2_LHX2","Ex_SATB2_ZNF385B","Ex_DACH2_ADAMTS5","Ex_DACH2_CEMIP"
"Glut-NC-1",0.00377266928678846,0,0,0,0.000420667605290406,0.00113262735827887,0.0108729809187911,0.00385857045850789,0.00088025993954669,0.000723131499355407,0.00452652603975865,0.0953680490532907,0.00164605238380445,0.00583899800572893,0,0.130315500951561,0.110556346622048,0.00488448947345649,0.00670632563170397,0.00165646939458753,0.0953740509533099,0,0,0.0323589761155374,0,0.0148997607326531,0
"Glut-NC-2",0.0011182059357985,0,0.00025237697844637,0,0.00528533807920552,0,0.00440834431003126,0.00104587194316666,0.00410691280931392,0,0.000775153860130995,0.0607262857145347,0.00244407826291117,0.00528253255607213,0,0.0818286932977879,0.0536054975832997,0,0.00105014550199916,0.00191676571606186,0.10359457859966,0,0,0.106937553491105,0.00283953890243592,0.0174442998967339,0
"Glut-NC-3",0.0112905145231045,0,0,0,0,0.00393002420553288,0.00988909317000885,0.450677288802189,0.000531792726770689,0.0418370426039564,0,0.0132993461581669,0,0.000862740335411174,0,0.00225763031076326,0,0.0162415717681742,0.0208085817397237,0.0133462658733654,0.00496370420271205,0.000411170806509398,0,0.00114470740823813,0,0.000466915517113655,0.00443397654936945
"Glut-NC-4",0.0107765393517052,0.0147317932291715,0,0,0.0111405764330081,0,0.0126242480483998,0.0391988314997027,0.0307315931895982,0.0372365519774088,0,0.0266855191721854,0.012174836292842,0.00878880129506093,0,0.00416649400976567,0.00239516009195025,0.0101580578220551,0.205548122294543,0.00307633147885018,0,0,0,0.000708893189406633,0,0.00368298587656018,0
"Glut-NR-1",0.000915091083444225,0,0,0,0.000634530918991629,0.000587937453947552,0.0182030705635731,0,0.000456849243726659,0.000238338552448943,0.00293869040695131,0.0347722915466591,0,0.0068285627523959,0,0.0334189441953791,0.0603807376303353,0.00457821411078209,0.000727858025903337,0.00267596496386783,0.0122735476624538,0.000537062229023609,0,0.196109996329745,0.000530014708913474,0.0910316622924543,0
"Glut-NR-2",0.0405410702397732,0.0114029898658813,0,0,0.00745945303220529,0,0.004309495105834,0,0.00168187655143435,0.0863699214573148,0.000573619191619381,0.00298507428848557,0.00320919979494758,0.000325972666306995,0.000290119828915822,0.00292747167613962,0.00146981819981372,0.0157891393025039,0.0343135236902892,0.00136518230863834,0,0,0,0,0.000764587294885088,0.00338056455813533,0.372922030757123
"Glut-NR-3",0.00354406815168635,0.000648350098971619,0.000319917494704753,0,0.00110916719343182,0,0.0156414516928986,0,0.00539427537745325,0.00227723904466843,0.000599634208036936,0.0522905672067218,0.00589280982277027,0.0297173314282794,0,0.104962700569177,0.0907598183647698,0.0183036077490716,0.0175022778206466,0.00172866892878087,0.00171673658040034,0,0,0.00684598950445739,0.000857985618439389,0.0869043680971925,0.00087959895389224
"Glut-NR-4",0.00274000785933452,0,0,0,0,0.00349324061144488,0.00370382557887982,0,0.00339373370711838,0.549407007791599,0.000216199995007251,0,0,0,0,0.00256357620640725,0,0.00782047535542003,0.011318766165664,0.0175442557100494,0,0,0,0,0.00123849246814144,0.00297629999235982,0.0396776653994089
"Glut-NR-5",0,0,0,0,0.244807068944157,0,0.0032076542821707,0,0.00178123889308906,0,0,0,0.450249422811076,0.00154387116811145,0,0.00345467846472346,0,0,0,0,0,0.00261533752683023,0,0,0.118248989818756,0,0
"Glut-RA",0.0262918400733771,0.00482087973969498,0.0769485030826158,0.00190291974602273,0.0207308185659946,0.0010622717869666,0.0100107980747572,0.000260408025272817,0.17335329563321,0.000219296193730202,0.00590182822565258,0.000244977755948496,0.000752093238263692,0.00165718194715815,0.0890805165309452,0,0,0.0104950639465545,0.000599380297707828,0.0330210906677562,0.00386457091124831,0.00400759444796776,0.00077604529104713,0.000706461914443557,0.0256210928016564,0,0
