"","Glut-Arco-1","Glut-NR-5","Glut-NC-2","Glut-NC-4","Glut-Arco-5","Glut-NR-2","Glut-Arco-3","Glut-HVC-2","Glut-LMAN-2","Glut-Arco-2","Glut-HVC-1a","Glut-NR-3","Glut-NC-1","Glut-RA","Glut-NC-3","Glut-Arco-4","Glut-LMAN-1","Glut-HVC-1","Glut-NR-1","Glut-NR-4"
"Ex_DACH2_NR4A3",0.0150372947015445,0,0.0670106338247071,0.00577640901080639,0.000968995301277147,0.00563490578310823,0.00741033306838582,0.000257792765434201,0.00189904705168771,0.00842205540033597,0.017684133703357,0.0771055804679804,0.129738325198381,0.00191197146999886,0.00711898577798678,0.0144747610264252,0.0670487413829235,0.015411694906818,0.0552689801680728,0.00201281188562729
"Ex_DACH2_RORB",0.00130307133901158,0,0.00196411694510268,0,0,0.000822699879338077,0,0.00545125585296641,0.302796307201211,0,0,0.000958339832098616,0.00111727122167932,0.043900498419693,0.027150100407615,0.00934716053195048,0.137745924783299,0.0273026701303669,0.000708447992488734,0.0555164059604203
"Ex_DACH2_SLIT2",0.00620641217310635,0,0.013353269481024,0.0295145925401875,0.051301652407587,0.0129995698445683,0.000814757186997879,0.00634995614296462,0.00984394497556864,0.00235694016838766,0.00759753552265797,0.0046474448567981,0.0282975661089296,0.00191040607192162,0.572728988460226,0.00210733867416625,0.000713941692420511,0,0.00590605048140622,0.00343593553234895
"Ex_DACH2_TAC1",0.00100928184149903,0.000420739420909813,0,0.00508958355740846,0,0.066751030260586,0.00502782464815648,0.0328371979850627,0.0398811716217854,0.000379302039742727,0.00756166575965601,0.0495219045340516,0.00165590941018645,0.0218986036559697,0.107066691447116,0.00791039759684133,0.0220209956300859,0.0415039817811854,0.00400961159597722,0.102592427858436
"Ex_DACH2_ZMAT4",0.0015338294313023,0,0.00069794514676215,0.0174495090702621,0,0.113653233024238,0.00109401202814875,0.00141079113750603,0.0356798811733859,0,0,0.0086129792539268,0.000538040334176271,0.00264728763898585,0.111915736436347,0.0132896427382964,0.0409408963455421,0.00887339285374872,0.000497224905310347,0.337847661965447
"Ex_KIAA1217",0.0369641515651408,0.000494081586864835,0.00250250423378777,0.00735030475965908,0.00964327576880901,0.00766797448784468,0.0156318329052555,0.0782222988734361,0.0373921056649398,0.00185589784109053,0.00586943536451141,0.00539854825333287,0.000237235915502743,0.305441139271132,0.000564663621904991,0.0293891076141705,0,0.0150332679275801,0,0.00215325884641272
"Ex_KIAA1217_BCL6",0.036791320879215,0.00231563460596724,0,0.0177402851828851,0.00738681582371004,0.0931047109998425,0.00708221634266491,0.133076893837959,0.000762710352517741,0.0546316143132514,0.00886704218942052,0.0115505193721501,0.000869948072293347,0.0741185275357405,0.00428659698558814,0.0284895466736145,0,0.0476270082199879,0,0.0041156059482053
"Ex_Pre_KCNH7",0.0120794195892684,0.00227041654942873,0.00193913441106916,0.00095478001175319,0.00238387916115407,0.019816668683846,0.00789853506005911,0.00950357833940779,0.0289815973231725,0.00953191623292105,0.00715411749863298,0.0273564080496314,0.0248062729695329,0.0287016615575812,0.0159672044029238,0.0538911348307819,0.0741177538418936,0.128427156686984,0.00910680956043898,0.00364571631705532
"Ex_Pre_SATB2",0.00743440994719616,0.0235206274597134,0.0030288095861098,0.00304239526590507,0.00176639581650713,0.00572183424282401,0.0186179539580242,0.00202338153868967,0.0110136811797541,0.0340202623134305,0.0175554206967806,0.0300040245560129,0.0196783405924529,0.0433093720292866,0.00784633734157545,0.0635057791667974,0.0728974131088506,0.0938159918657634,0.0110908447544061,0.00500799870386881
"Ex_SATB2_FOXP2",0.011293211524119,0.473873304281698,0.00163325377569765,0.00801510010702348,0.00263926308158531,0.0152127692430435,0.00258327788704051,0.0233158687258096,0.00569322625319088,0.00406696348615299,0.0105978503847867,0.00375719676287024,0,0.0255374188605533,0.000308725515548599,0.0172217070943731,0.0220753770934119,0.018048737084149,0.000344070108982112,0.000521224785393791
