"","Astrocytes","Ex_CACNA1H_PROX1","Ex_DACH2_ADAMTS5","Vascular","Ex_DACH2_LUZP2","Microglia","Oligodendrocytes","Ex_BCL6","Ex_SATB2_OVOA","Inh_LGE_like_FOXP1_DGKH","Inh_LGE_like_FOXP2","Ex_DACH2_NR4A3","Inh_LGE_like_FOXP1_SGCG","Ex_DACH2_SLIT2","Inh_OB_CPA6","Inh_LGE_like_Pre","Ex_Pre_KCNH7","Ex_SATB2_SOX6","OPCs","Inh_MGE_like_SST_SLC24A2","Inh_MGE_like_ST18","Inh_MGE_like_SST_PVALB","Inh_MGE_like_SST_ABI3BP","Ex_DACH2_LHX2","Inh_MGE_like_ST18_PVALB","Inh_MGE_like_ANO1","Inh_CGE_like_MAN1A1","Inh_CGE_like_CACNA1B","Inh_CGE_like_CACNA2D3","Ex_DACH2_MGAT4C","Ex_DACH2_GRIK4","Inh_MGE_like_LHX8","Ex_CACNA1H_KIT","Ex_DACH2_CEMIP","Ex_SATB2_ZNF385B","Ex_CACNA1H_LHX9","Ex_CACNA1H_MCTP2","Ex_TSHZ2_NR4A2","Ex_CACNA1H_CPA6","Ex_KIAA1217_BCL6","Ex_DACH2_ITGA9","Ex_KIAA1217","Ex_SATB2_FOXP2","Ex_Pre_SATB2","Ex_DACH2_TAC1","Ex_DACH2_ZMAT4","Ex_TCF7L2","Ex_DACH2_RORB","Inh_OB_FGFRL1","COPs+NFOLs"
"Glut-Arco-4",0,0,0.026457757467128,0.00498661894800973,0,0,0,0.00969263901003222,0.0340812659331486,0.00481236381002311,0,0.00253131918114707,0.00183359447840973,0.000745345541759062,0,0,0,0.0114288954145259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103899062873503,0,0,0.00928822364193836,0.00340254862519964,0.0329800963543823,0.00213110005373491,0.0187756380011917,0.00407229733656229,0.00407453872307803,0.0422062666680469,0.00280589129098136,0,0,0,0,0,0
"Glut-Arco-5",0,0.0100635565009802,0,0.00372614855915398,0.0390879791432851,0.00366488994965313,0,0.00107372228885664,0,0,0,0.00334630347021314,0,0.019222838148977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246063684037453,0,0,0.0852975449664361,0.0226202442330443,0,0,0.00259019142017621,0,0,0.00128582274549528,0,0,0,0,0,0,0
"Glut-HVC-1",0,0,0.00254474741979273,0,0.000789639720842405,0.00454574169867554,0,0,0.0142856086814692,0.000304788548640617,0,0.00101963985062104,0.0193724709842323,0,0,0,0,0.0256208226387925,0,0,0,0,0,0,0,0,0,0,0,0.0206884408123776,0.000853763254060936,0,0.00045373944520703,0,0.200712276735688,0,0,0,0.00266473470456598,0.00176511665007204,0.000314250255165613,0,0,0,0.194473115332674,0.00108847147117281,0.000979257938121781,0,0,0
"Glut-HVC-1a",0,0.000973558923577423,0.00999996261755421,0,0.0393346494797821,0.00478086773494355,0,0.00044062653776949,0.00585212445809906,0.00061014164669023,0,0.0198775878344968,0.0123963876035362,0.00308362465277214,0,0,0,0.0307514099860401,0,0,0,0,0,0.0046832064731382,0,0,0,0,0,0.291466946086912,0.00461087603589204,0,0,0.000639654876202307,0.0217235136058193,0,0,0,0,0.000515443405853422,0.0195595198916462,0,0.00134048503067399,0,0.000646336693588702,0.00113163502328149,0,0,0,0
"Glut-HVC-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00199924621303488,0,0,0,0.0265208561005599,0,0,0,0,0,0,0,0,0,0,0,0.000723583426846271,0,0,0.000868839816578505,0,0,0,0,0,0.000846896799725675,0.130131918675998,0.00222649766698573,0.361011658138351,0.0138325868882923,0,0.0117297706089388,0,0,0,0,0
"Glut-LMAN-1",0,0,0.324578029446832,0,0,0.00310125932072224,0,0,0.0429409658258375,0,0,0.0175419873267316,0,0,0,0,0,0.000808850674207907,0,0,0,0,0,0.0449701075621081,0,0,0,0,0,0.000333354406621707,0.00228317133786915,0,0,0.00206132048903455,0,0,0.00110170396529394,0,0,0,0.000716728026365045,0,0.000433733120365921,0,0.00103925036857629,0.0116248039856031,0,0.0291990101244268,0,0
"Glut-LMAN-2",0,0,0,0.00455068243970335,0.000463893651109204,0.000728584916186273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118820180041904,0,0,0,0,0,0,0,0,0,0,0,0.0692144187320532,0.218338894864126,0.18896527148289,0,0
"Glut-NC-1",0,0,0.000516151661057138,0,0.0758658646399059,0.00476744552027913,0,0.00214550268242835,0.00340751234443661,0,0,0.119479539182102,0,0.0142630368281146,0,0,0,0,0,0,0,0,0,0.0272824830498722,0,0,0,0,0,0.202129373227287,0.0471263694174449,0,0,0,0,0,0.00134744366059395,0,0,0.000407740626511705,0.00910749354645738,0.000527739615694725,0.000778187541871184,0,0,0.00110911995404957,0,0,0,0
"Glut-NC-2",0,0,0.00570751926324394,0.00252643741486585,0.0774621130379903,0.00425990269808867,0,0,0.00968477935425648,0.000434698865416054,0,0.0710154648183383,0.00132890304317928,0,0,0,0,0.000961635318007934,0,0,0,0,0,0.0915638693184148,0,0,0,0,0,0.173458029287095,0.00353899866416652,0,0,0,0,0,0,0,0,0,0.00176780757013262,0.000518757928618318,0,0,0,0,0,0,0,0
"Glut-NC-3",0,0,0,0,0.00520188136979058,0.0043619656157138,0,0.0321777419680879,0,0.00123331695120231,0,0.00514358861543236,0,0.50490802970266,0,0,0,0,0,0,0,0,0,0.00182331357205246,0,0,0,0,0,0.000541013095947193,0,0,0,0.00484814555701121,0,0,0.00243868705158848,0,0,0,0.00210185777599716,0,0,0,0.00114361071812201,0.0373568069165574,0,0.00853557199314248,0,0
