"","Glut-Arco-1","Glut-NC-3","Glut-HVC-2","Glut-NR-5","Glut-HVC-1a","Glut-Arco-4","Glut-NR-1","Glut-HVC-1","Glut-LMAN-2","Glut-NR-2","Glut-LMAN-1","Glut-NC-2","Glut-RA","Glut-Arco-3","Glut-Arco-2","Glut-NR-3","Glut-NC-4","Glut-NC-1","Glut-Arco-5","Glut-NR-4"
"Ex_DACH2_LHX2",0,0.0111598511571952,0.00593187184922432,0,0.00440800914783405,0.00246815484261317,0.286982711496521,0.00457617113398778,0,0,0.00450614645098925,0.100209035954846,0.00181931713948599,0,0.00751938536246454,0.00738562246587309,0.00126095849855304,0.0625401325213598,0.00165286825025493,0.000398807400165045
"Ex_DACH2_LUZP2",0.000290857287789092,0.0110993049311671,0.0010179584438699,0.00039437548634501,0.0373805427625926,0,0.0154268111331587,0.00910466605839247,0.00211471776888131,0.000360830270596499,0.00209903026771916,0.149884889209736,0.00253224680165406,0.000432042149090369,0.00319067517630559,0.00115406590117323,0,0.217933515520369,0.0181642750985932,0
"Ex_DACH2_MGAT4C",0,0.00420979701518229,0.00276009434367004,0.000316049647883246,0.0443081078039231,0.00308696441843014,0.0928999729031941,0.00564423295970548,0,0.000288661596966976,0.00543677111994209,0.0841610922072049,0.000310917148559478,0.000408992607965008,0.000320098103619586,0.0872874087417937,0.00296400168636608,0.126736275734271,0.000686731277885545,0.00164417484060331
"Ex_DACH2_NR4A3",0.00694548763117004,0.0016968314530508,0,0.000254989997187954,0.0117326534280725,0.00353793688725746,0.0854084233088857,0.00826887193145097,0,0.00397480735803382,0.0474946155937902,0.0548965812758546,0.000405953910768841,0.0017667582589818,0.00406166992804393,0.0577746815882241,0.00229329564147571,0.122256079193532,0.00103799650427427,0.00140069717610136
"Ex_DACH2_RORB",0.00044054393040684,0.0059881178460169,0,0,0,0.00499240677210148,0.00108794454487027,0.00799501848331541,0.209904502523031,0,0.137179437104087,0.00171503947656822,0.012612403126624,0,0.000354106210661459,0.000757883225946976,0,0.000972444741391299,0,0.0456642384123368
"Ex_DACH2_SLIT2",0.00090370419672273,0.522604687367034,0.00189028659655002,0,0.00324677320691258,0.000639597004966339,0.0022500153911315,0,0.000484127028019767,0.00620675790363517,0.000401647248217072,0.0224130609157986,0,0.000414061766961951,0.0017257674438981,0.00480604861645266,0.020899447219183,0.0332110124404291,0.0286493905089301,0.00221270114511298
"Ex_DACH2_TAC1",0.00030900649716083,0.0963553433078675,0.00513262018211617,0,0.00339478044670789,0.00295154843358696,0.00322172941658183,0.0318068998192656,0.00537282054785381,0.0273164341096247,0.0091545711898082,0,0.00732739254120171,0.00145354859242089,0,0.0258242212906148,0.00351544694743564,0,0,0.147869060085669
"Ex_DACH2_ZMAT4",0.000857065562811462,0.10171341864223,0,0,0.000200254711471448,0.00229633133620398,0.000794288686304538,0.0039360757374692,0.0195322204754249,0.0736497318653749,0.0182944726745104,0.000805572453231426,0.000352254394985125,0.000209476799962453,0,0.00479825251172939,0.00965433718012141,0,0,0.338094898450637
"Ex_KIAA1217",0.0555369941721558,0.000488776206823343,0.0351967254837142,0.00027886971617995,0.00120423012881184,0.0081104340703126,0,0.00354650219592677,0.0219349265539376,0.00213483007178981,0,0.000678957506594234,0.231945292420372,0.00892124757931401,0.00139594187796616,0.00309785482254554,0.00198991525781709,0.000733581258234783,0,0.000649628657282619
"Ex_KIAA1217_BCL6",0.014215611246966,0.00461964554174456,0.0794399527955825,0.00113621275760417,0.00458082016723435,0.0135426623875728,0,0.0283781638456198,0,0.0623716500002408,0,0.000684860080301122,0.0418421310089642,0.0090580100589722,0.046253337017539,0.0102874130670893,0.0187387094469888,0,0.0014450546096327,0.00688197870108423
"Ex_Pre_KCNH7",0.00182331850651556,0.0048786605973047,0,0.00162539896177382,0.00377485162988552,0.0326702433922766,0.00770299895258113,0.136683387648776,0.0103064335173796,0.00240588047582045,0.0560793551492988,0.00345793944985598,0.0101366933486278,0.00906639470779189,0.00406084277575441,0.00595220755593966,0.000553466360256657,0.0237336014267774,0.00178007525537729,0.00031125434282482
"Ex_Pre_SATB2",0,0.00222905308496068,0,0.0131771184773583,0.0090332758907279,0.0414797047606306,0.00435063803047214,0.112130208651598,0.00372310357951498,0,0.0566915248460292,0.000777567678569985,0.0176188457948657,0.014075031091978,0.0246889631513815,0.0150350218026986,0,0.0256673583289799,0.0028120773556663,0
"Ex_SATB2_FOXP2",0.00246829848731204,0.000719945676897546,0.00563829982336141,0.538637122603925,0.00336497610205979,0.00606642537964591,0.000384517116133975,0.00931081823537533,0.00147458223878671,0.00481731404557853,0.00416231248792241,0.00146081477046511,0.00577971275206962,0.0018476597847452,0.00111840246311016,0.00244605581362438,0.00344643711369311,0.000912352979740259,0,0.000209962545683935
