"","Glut-DACH2-LMANsh","Glut-DACH2-6","Glut-DACH2-LMANco","Glut-Im","Oligo-2","Glut-DACH2-HVCra-Pre","Glut-SATB2-1","Glut-DACH2-1","Glut-DACH2-8","Glut-DACH2-HVCra","Glut-DACH2-5","Glut-DACH2-2","Glut-CACNA1H-2","GABA-8","Glut-CACNA1H-1","Glut-NB","Glut-CACNA1H-3","Glut-CACNA1H-4","OPC","Glut-CACNA1H-RA","GABA-7","Glut-DACH2-3","Glut-DACH2-7","Glut-DACH2-4","Glut-DACH2-HVCx","GABA-2-1","Astro-3","Astro-1","GABA-4-1","Glut-GABA","GABA-Im","GABA-1-1","GABA-2-2","GABA-6","Glut-NSC","GABA-5-2","GABA-5-1","Oligo-1","GABA-3","GABA-4-2","Epen","GABA-1-2","GABA-2-3","Astro-2","Endo","Oligo-3","Micro"
"0312 LSX Nkx2-1 Gaba_7",0,0,0.229924464463027,0.0898895520490709,0.00436246681265986,0.00190563697667294,0.000995769297854955,0.0205751155361761,0,0.0490348604996283,0,0.00146525339927825,0.00381014295828797,0,0,0,0.00547358221287887,0.00102332542103095,0,0,0.00109626106161567,0.00161599915834759,0.0137331592323704,0,0.0016725865131527,0.002026714382164,0,0.00333235512681214,0,0,0,0.00523307120836531,0,0,0.0341429221911457,0,0,0,0,0,0.00653368884415322,0.00128598242873771,0,0.00114973845851766,0,0,0
"0313 LSX Nkx2-1 Gaba_8",0,0,0,0.157531707220754,0,0.00352548002724301,0.00154823816222658,0.0028787194855617,0,0.00684268047067276,0.00253383979894411,0.00208289713893584,0.0205868240807891,0.00146473613365084,0,0,0.0103336511180121,0.000899550321831274,0,0.00194366493606387,0.00142311491699665,0,0.0111530228485479,0,0.0159032600357852,0.0229554179298884,0,0.00176477753102094,0,0.00244767446938867,0,0.0720950791276569,0,0,0.00844482097932318,0,0,0,0,0,0,0.0164854720548718,0,0,0.00123864625428281,0,0
"0314 LSX Nkx2-1 Gaba_9",0,0,0.0136483058115249,0,0.00447183074395506,0,0,0,0.372178300624261,0.00312627667781888,0,0,0.0433563260821461,0,0.00240309534915598,0,0.00178080328970227,0,0,0,0,0,0,0,0,0.00274139906859204,0,0,0,0,0,0.0103292401334502,0,0,0.00509355960606902,0,0,0,0,0,0,0.00112737138827311,0,0.0174072302693457,0,0,0
"0315 LSX Nkx2-1 Gaba_10",0,0,0.0189966885331148,0.0129571541489959,0.0242242504171422,0,0,0,0.074558454561464,0.00340169126730793,0.00221179954819409,0.000818016900121955,0.00209148087767214,0,0.0100329376843428,0.0024414472952734,0.000778784545310894,0,0,0.00302763043983723,0,0,0.00145411120571124,0,0.00414848448263676,0.0207947590586414,0,0.00311424809010608,0.000914700489898186,0,0.00404546376907715,0.0201063740930666,0,0,0.00417752912511945,0,0,0,0.00093201227155139,0,0,0,0.000845822545645573,0.0939030643096072,0,0,0
"0316 LSX Nkx2-1 Gaba_11",0,0,0.0535956218399523,0.0187934915412008,0.000900614550521683,0,0,0,0.0885829104731063,0.144028460626395,0.00193120152643783,0,0.00105166311104943,0,0,0.000713783438525657,0.000928896108581942,0,0,0.00580910036433134,0,0,0,0,0,0.000517361286962411,0,0,0,0,0.000905230351861939,0.00226059663211014,0,0.0122410163740761,0,0,0,0,0,0,0,0,0,0.0447021323120102,0,0,0
"0317 LSX Prdm12 Slit2 Gaba_1",0,0.00241387361914397,0.00541174521526469,0.0203529894207126,0.00126491901200062,0.00788306357770234,0,0.0111973513145667,0,0.0146762963970371,0.0020485356307274,0.00943335473309747,0.0073906172656628,0,0.00373210802956844,0.00179956011221923,0,0.00247901241744817,0,0.0303926204101326,0,0.00372793269142755,0.0103547462711494,0,0.0848112000662877,0.0336849608442594,0,0.0061718489138547,0,0.00311491791015772,0,0.058789986291047,0,0.000918026595563256,0.00347508834366732,0,0,0,0,0,0,0.0275739227314728,0,0,0,0,0
"0318 LSX Prdm12 Slit2 Gaba_2",0,0,0.000853769261268872,0.0661122922297647,0,0.00142728498987466,0,0.03773506000872,0,0.00364467914055641,0,0.011690540647073,0.000513183403553818,0,0,0,0,0,0,0.00318477656364039,0,0.015453636073284,0.00908406670766971,0.00204528682813918,0.0587497929022948,0.0229822890410395,0,0.016847512200296,0,0,0,0.0573215027912823,0,0.00136661914105318,0.00127588689201124,0,0,0,0,0,0,0.00949050053724415,0,0,0,0,0
"0319 LSX Prdm12 Slit2 Gaba_3",0,0,0.000884407261669726,0.1811488206028,0,0,0,0.00507390763521625,0.00247776965104873,0.00118652199274707,0,0.0153357941749074,0.0321302104629982,0,0.00467551631238862,0.000961432995064951,0,0,0,0.00126738027893661,0,0.000978852545716731,0,0.00142314133311548,0.0016984346647333,0.0290810483524315,0,0.000696604412290561,0,0,0,0.0923528181591926,0,0.0184268684669482,0,0,0,0,0,0,0,0,0,0.00098770727534983,0,0,0.0015046208970352
"0320 LSX Prdm12 Slit2 Gaba_4",0,0.000930278027032257,0.00471072135850136,0.288196083603704,0.00316990624272314,0.00388874039214995,0,0.0127175425305398,0,0,0,0.0217922373934708,0.00423330271534364,0,0.00538841313050233,0,0,0,0,0.00311211038728154,0,0,0,0,0,0.0520210975743899,0,0.00103376953437573,0,0,0,0.0389186257588215,0,0,0,0,0,0,0,0,0,0,0,0.00563993501606995,0,0.000997688947974311,0
"0321 LSX Prdm12 Slit2 Gaba_5",0,0,0.016441448423381,0.0618734522026433,0.00360173441625267,0.0168379277644122,0,0,0,0.0249456583338859,0,0.00483957820609121,0.0849770662419336,0,0.00396431521798113,0.00251428959242376,0.00325486074928393,0,0,0,0,0,0,0,0.00178175141352976,0.00694218957589431,0,0.00112755307638555,0,0,0,0.122810507369608,0.00107180430728371,0.000751229376897923,0.00094888078633141,0,0,0,0,0,0,0.00560382573640832,0,0,0,0,0
"0322 LSX Prdm12 Slit2 Gaba_6",0,0,0.125392036889926,0,0.010293163194447,0,0,0,0.0807315507530431,0.0122235129228871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158167926614114,0,0,0.00334276221505944,0.0620995235687901,0,0,0,0,0,0,0,0,0,0.0185175725330822,0,0.0111865714032252,0,0,0
"0323 LSX Prdm12 Slit2 Gaba_7",0,0,0.000739986362593498,0.0291043341854227,0.000770187833116706,0,0,0,0.00626973892191057,0.00382472218689032,0,0.0015453945946485,0.108235309871192,0,0,0,0,0,0,0.00598389018007398,0,0,0,0,0.000720871762889071,0.0235321681473971,0,0.000993054516651878,0,0.00399036981968415,0,0.0170225394960222,0,0.210299999288931,0.00274962123491333,0,0,0,0,0,0,0.00145711875123745,0,0.00182783038950441,0,0,0
"0324 LSX Prdm12 Slit2 Gaba_8",0,0.000909482883575325,0,0.00266043116429603,0.0118715027919829,0,0,0,0.136035536977189,0.00577022387662074,0,0.000717209882152725,0.00121824557247319,0,0.00240985580863412,0.00901378410862253,0.000788478508779164,0,0,0,0,0.00161238806674293,0.00158528714742425,0,0.0462562396955618,0.0151461844419284,0,0.0157386685649583,0,0,0,0.0462761065378294,0,0,0.00239720349225598,0,0,0,0,0,0,0.0313274091427392,0,0.00399631262082288,0,0,0
"0325 LSX Prdm12 Slit2 Gaba_9",0,0,0.00634182820469965,0.108331795306453,0,0,0,0,0.00594276102292885,0.00194668743021498,0,0.00143294733669106,0,0,0.00133981431835368,0,0,0,0,0,0,0,0,0,0.0676747921449371,0.0246101072439571,0,0.00645235826268625,0,0,0.00226457060017877,0.115185176263294,0,0.00331093910891427,0,0,0,0,0,0,0,0,0,0,0,0,0
"0326 LSX Prdm12 Zeb2 Gaba_1",0,0,0,0.0849447638873389,0,0.00191376309536196,0,0,0,0.00502386800077017,0,0,0.0506647521791585,0,0.00567676870704353,0,0,0,0,0.0686041735948103,0,0,0.00117924459336759,0,0.00417198644647333,0.00302127172596206,0,0,0,0.00189765565620036,0,0.011952141688725,0,0.158233532227786,0.0101582773903543,0,0,0,0,0,0,0,0,0,0,0,0
"0327 LSX Prdm12 Zeb2 Gaba_2",0,0.00115969201454392,0,0,0.00318663296219798,0.00158308338533881,0,0,0.000849766880267395,0.00121423695591654,0,0,0.147259391401942,0,0.00238142027062027,0,0.00479229766634551,0,0,0.100662715178873,0,0.000660921817260827,0.00212225377442118,0,0,0.0103509059510655,0,0,0,0,0,0.00562253187242262,0,0.104606357726673,0.00529265511554946,0,0,0,0,0,0,0.000962884389129257,0,0,0,0,0
"0328 LSX Prdm12 Zeb2 Gaba_3",0,0,0,0.00697684244551281,0.0106350093977141,0,0,0,0,0,0,0.00160088370449831,0.266957298975577,0,0.00220069690587625,0,0.00316059807612754,0,0,0,0,0,0.00072269877524663,0,0.0027840879564828,0.0012995477781961,0,0,0,0,0,0.0355045947996898,0,0.069518910038191,0.0732363378655472,0,0.000724244537419345,0,0,0,0,0.00587518861474663,0,0,0,0,0
"0329 LSX Prdm12 Zeb2 Gaba_4",0,0,0.00586129219865137,0.00426207158487618,0.0016750425822213,0,0,0,0.00794280226821718,0.00240750419190658,0,0,0.108872985363756,0,0,0,0.000959466642485227,0,0,0.0706161189484298,0,0,0,0,0,0.0020432479785214,0,0,0,0.00111114242482648,0,0,0,0.237789132926568,0,0,0,0,0,0,0,0,0,0.00213918859224957,0,0,0
"0330 LSX Prdm12 Zeb2 Gaba_5",0,0,0.00271554005005728,0.0650251974311696,0.00546392016216037,0.000504147094234095,0,0.00608137929506128,0.00707831886256944,0.0147651004583516,0,0.00330004601365412,0.00612858915822751,0,0.00516796415856723,0.0039897644378566,0.00116097315467726,0,0,0.00102154019982999,0,0,0.00303969285609061,0,0.058305625922051,0.0237610719431757,0,0.00802891286491762,0.000936068789037467,0,0.00228477122658151,0.0956099705923792,0,0.0017528213735971,0.00246294496457623,0,0,0,0.00105227040286384,0,0,0.00425311463258476,0,0.00239088412718047,0,0,0
"0331 LSX Sall3 Lmo1 Gaba_1",0,0.00140189817228125,0,0.00986026237111512,0.00291585693821801,0,0,0,0.304482110434096,0.00478568086366224,0,0,0.0368258995008829,0,0.0145668510101135,0,0.0129118605507963,0,0,0.00134240065355246,0,0,0.013097235272663,0,0.00464194958235427,0.00339561245347835,0,0,0,0,0,0.0106408912758559,0,0,0.00786177206845574,0,0,0,0,0,0.00280991788110768,0,0,0,0,0,0
"0332 LSX Sall3 Lmo1 Gaba_2",0,0,0.0143445453756106,0.0368236651910935,0.00153236712631205,0,0,0,0.110823639559412,0.0446221976716389,0,0,0.015414700427279,0,0.0323180289202254,0.000942726035565786,0.0486433061534381,0,0,0.00138470504855562,0,0,0.00734459172818608,0,0.00181289752609313,0.00136351611396109,0,0,0,0,0,0.00501147363320489,0.000750863546359019,0,0.00416219803573753,0,0,0,0,0,0,0,0,0.0074212817486619,0.00112345756426427,0,0
"0333 LSX Sall3 Lmo1 Gaba_3",0.00326167227520409,0,0.002773374414606,0.0118157561080931,0.000755049491436781,0,0,0,0.00738831353276541,0.278029300166135,0,0,0.00872225253043286,0,0.00102327149707161,0,0.00102834212345777,0,0,0.149928048731266,0,0,0,0,0,0.000876734929667512,0,0,0,0,0,0,0,0.0156844744988361,0,0,0,0,0,0,0,0,0,0.00417681426942383,0.00286850712461975,0,0
"0334 LSX Sall3 Lmo1 Gaba_4",0,0,0,0.0134941022796885,0,0,0,0,0,0.286250406086777,0,0,0.036228446952488,0,0.00454168462639586,0,0.0376812545224115,0,0,0.02278195633274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00457940410182894,0,0,0,0,0,0,0,0,0,0.00419683724705617,0,0,0
"0335 LSX Sall3 Lmo1 Gaba_5",0,0.00320622899091059,0,0.0029686554649121,0.00489071979128123,0,0,0,0.0448572145739449,0.00326280475537555,0,0,0.0135943529000504,0,0.118577069644888,0.000937129984061398,0.0171397071315622,0,0,0.0108713278904058,0.0101144044422053,0.00110156186544625,0.00416518479275342,0,0.00918532345567023,0.0158039719842458,0,0,0,0,0.00485818385612376,0.038797059727718,0.00273525561618453,0,0.00237412045906028,0,0,0,0,0,0,0.00623683575565124,0,0,0,0,0
"0336 LSX Sall3 Lmo1 Gaba_6",0.000898691971645772,0.0203587838208586,0,0.024952205442746,0.00396256223486647,0,0,0.00946776731871504,0.0139620512080976,0.000833491000591116,0.00161867705662662,0.00538164746016833,0.0018501430336849,0.000767664727583809,0.0159120035544013,0.00215769909809429,0.00239881364356206,0,0,0.00700154011248848,0.000644348095312894,0,0.0151139022929451,0,0,0.0311761693082128,0,0,0,0,0,0.170270245616742,0,0.00487332057370586,0,0,0,0,0,0,0,0.000926017388980219,0.000884299763313696,0,0,0,0
"0337 MEA-BST Sox6 Gaba_1",0,0,0,0.052897844012724,0,0,0,0.00676712900798676,0,0,0,0,0.019171067914379,0,0.014535525927212,0.0267459256334099,0.0129854380207204,0.000889230749623319,0,0.000992885194668614,0.0180177228409253,0.0441785824233351,0.0105070511366005,0,0,0,0,0,0,0,0,0,0.000785681785397089,0.117909663456249,0,0.0305759363417564,0.01474297558221,0,0.00373016884040168,0.000860156991685138,0,0,0,0,0,0,0
"0338 MEA-BST Sox6 Gaba_2",0.00183463422094288,0,0,0.00422539665527729,0.00195007789154552,0.00255650951659175,0,0.0279332470820181,0,0,0.0181034495666512,0.0134281275657005,0.0360614253201838,0,0.0105549404773863,0,0.0492964510677241,0.00169293918288183,0,0,0.00677976371562557,0.0198421250025979,0.0166285807603457,0,0,0,0,0.00115502885687645,0,0.00495568867022324,0.000836809876218677,0.0258980294218593,0.00110277831469097,0.00805551692421645,0,0.00170933949137442,0.00178862874567132,0,0.0156512162887582,0.000889457048513339,0,0.0419733123740158,0,0,0,0,0
"0339 MEA-BST Sox6 Gaba_3",0,0,0.00847731715802978,0.002698414339476,0.000690968833701565,0.00452015407761568,0,0.0212465905652877,0,0.00133503270055732,0.00370585397827117,0.00413371953331142,0.00468921891452474,0,0.00374129285529984,0.00291454857964424,0.00449009514093135,0,0,0,0.0575186914678312,0.0195752891400456,0.00110897931393839,0.00132894363999394,0,0.00085196499956716,0,0,0.000945584588468605,0.0077056228498919,0,0.0249084874052757,0.0109661877946145,0.0009408640462209,0,0.000896054280177552,0.00109744619198591,0,0.0101794620675352,0.0126649374786998,0,0.135093310954701,0,0,0,0,0
