"","Glut-Arco-1","Glut-HVC-1","Glut-HVC-1a","Glut-NC-3","Glut-Arco-4","Glut-NR-3","Glut-NR-1","Glut-Arco-5","Glut-Arco-2","Glut-Arco-3","Glut-NC-2","Glut-LMAN-1","Glut-HVC-2","Glut-NR-2","Glut-NC-1","Glut-RA","Glut-LMAN-2","Glut-NC-4","Glut-NR-4","Glut-NR-5"
"Ex_DACH2_RORB",0.00169618938390017,0.0290196415842751,0,0.0260178967729107,0.00969128692740946,0.00141349846190668,0.00261144898463285,0,0,0,0.00140988064076324,0.144551671110724,0.00580293131822879,0.000986663737296606,0.00110512672371959,0.0552070544424845,0.298504806372318,0,0.0488660693021923,0
"Ex_DACH2_SLIT2",0.00724601763602602,0.000879054309647736,0.00964016281550527,0.569601280356317,0.00347691674371423,0.00284173733872377,0.00741146184792299,0.0528097023456478,0.00308282309027423,0.00161973099431899,0.0118980813251909,0,0.00678445557541256,0.0144835751164809,0.0260684998401495,0.00328691108434797,0.0134769571909048,0.0266476101322634,0.00614232361037759,0
"Ex_DACH2_TAC1",0.000457561422541219,0.0427753975106443,0.00859946072972401,0.106722089685298,0.0112394999642619,0.0512399284395737,0.00265717491662698,0,0.00104752724902643,0.00594312664074244,0,0.0286122708053453,0.036620822178419,0.069842781231813,0.00215577206188954,0.0244591507999714,0.0444292490883213,0.00385606535779223,0.0961693849404956,0
"Ex_DACH2_ZMAT4",0.0014244733228927,0.0108837281369055,0.00101051946154607,0.108926577363891,0.0146003074198505,0.00634997176921677,0.00126595945091659,0,0,0.00111398922425631,0.000931430182679853,0.0433108003919227,0.00173052986013541,0.113489495278488,0.00125865626394141,0.00376035689566915,0.0422613058575629,0.0206260808657237,0.326757714729877,0
"Ex_KIAA1217",0.0357977757766011,0.0194293211753645,0.00759540747478663,0.000279493604094305,0.0368759763001113,0.00520017352883979,0,0.00903687558853967,0.00497587509212822,0.0139995680691201,0.00233375137202978,0,0.0764782339902052,0.0100776781455169,0.000443114322009623,0.301407704898345,0.037461442696085,0.0075032748099017,0.0024944743830134,0.00232114649156221
"Ex_KIAA1217_BCL6",0.0436052297642531,0.05557384216892,0.00944734977320687,0.00417884687649509,0.0266985931242325,0.0114323616639951,0,0.00945267697811056,0.0540815814201271,0.00921887176096728,0,0,0.12657928561139,0.102907101551838,0,0.08044967560161,0.00404344927192143,0.0173260374615388,0.00257539185842837,0.00170201157979611
"Ex_Pre_KCNH7",0.0125704557470599,0.124771204037387,0.0101435133992649,0.0192955031002829,0.0537692050483333,0.0261285238461047,0.00809874781996612,0.00214255981551368,0.010623540941751,0.00827131368140511,0.00137724373526334,0.0775987261133597,0.0109790484909471,0.0225167583221623,0.0246637628433411,0.0340964896348153,0.0327666875549242,0.000790038783090216,0.00287519868763904,0.00255763067045154
"Ex_Pre_SATB2",0.00567605580295536,0.0947747105203064,0.0170088661414869,0.0077533320800675,0.0641306554668358,0.0306048615195763,0.00730070553662733,0.00170653222320684,0.0374264216312808,0.0170267781022604,0.00139204378294754,0.0728558659073963,0.00224998709200192,0.00606504029736781,0.0246124064401196,0.0498665221380795,0.0142962298722994,0.000624102502012459,0.00463644340266788,0.0236273870092828
"Ex_SATB2_FOXP2",0.0130619149713817,0.0225385245760267,0.0158753762862261,0.000280871462941852,0.0207814802037622,0.00409724975894224,0,0.00325564452020914,0.00765705227990912,0.00226932104123795,0.00259271197955415,0.0309380619304713,0.0288759428377647,0.0160080625517171,0.000394388584137214,0.0327594291035354,0.00552245446491747,0.00966693357323267,0.000345969776092769,0.408479374738798
"Ex_SATB2_OVOA",0.00472530339166764,0.0604920969130427,0.034391495769298,0.00622709787588364,0.0575282135613316,0.0974114275214041,0.0199243169040038,0.00151253707662033,0.0499318071849859,0.00280079119916174,0.0214106583085165,0.0570021807982942,0.00819904766964959,0.00413339101692013,0.024405468463301,0.0226548862555851,0.00837043292277219,0.00164399216386859,0.00231992189243301,0.0361023040056723
"Ex_SATB2_SOX6",0.00150269836336796,0.0712672577471709,0.0296750295795601,0,0.0476420509310246,0.00101988076544144,0.000530408635973142,0.000524988089061702,0.00553525360676165,0.00107599385877035,0.00163920771264438,0.00450218062327461,0.00657526395261984,0.00481349863019558,0.00119120894863155,0.00877658818202699,0.026538955135395,0.00694823988239852,0.000744185148738679,0.505492597946631
"Ex_SATB2_ZNF385B",0,0.0933909302950756,0.0190826228105848,0,0.0124309781973646,0.00116840057553497,0.000666412250744858,0.00201837519334579,0.00737144615985321,0.00208831205853493,0.00151563342132174,0.00481500875592113,0.0034832860181469,0.000864982638352457,0.000541051468362712,0.0538078095086143,0.0260923126785186,0,0.00157036649212566,0.411347811203174
"Ex_TSHZ2_NR4A2",0.520960833558142,0.00669293976819709,0,0,0.0185282391444099,0.00587115786998522,0.00246534886194654,0,0.0159476742171754,0.0357691828258863,0,0,0,0,0,0.0439151371945265,0,0,0,0
