"","Glut-Arco-1","Glut-NR-5","Glut-RA","Glut-Arco-5","Glut-LMAN-1","Glut-NC-4","Glut-Arco-4","Glut-Arco-3","Glut-NC-2","Glut-NC-1","Glut-HVC-1a","Glut-HVC-1","Glut-NC-3","Glut-NR-3","Glut-Arco-2","Glut-NR-1","Glut-LMAN-2","Glut-NR-2","Glut-HVC-2","Glut-NR-4"
"Ex_DACH2_LHX2",0.000393736588019046,0,0.00402019739766491,0.00230700433683507,0.0126642176708159,0.00239255139196724,0.00589660740820493,0,0.120344033740874,0.0658187048047738,0.00644069012119027,0.00788067475714585,0.016474598777785,0.00987533951059678,0.0108643506382592,0.261735525540361,0.000464598240108038,0.000498222057891112,0.0155940626139034,0
"Ex_DACH2_LUZP2",0.00111589252616985,0.000783474139955646,0.00832087050287786,0.0358666253279954,0.00529916599811169,0,0.00227409419972012,0.000344741399365309,0.155471886650181,0.208825834604895,0.0460233533801795,0.0179260789857411,0.0146672453597308,0.00127315087917922,0.00503727072778683,0.0167880380684476,0.012009080743862,0.000668441849070193,0.00551993288363325,0
"Ex_DACH2_MGAT4C",0.00112856023763224,0,0.00138584724961765,0.000373518789931299,0.00648813597730562,0.00364895665347917,0.00898719225955681,0.00104809084993933,0.0659993869694123,0.138050905279175,0.0768117239029594,0.0117292712027023,0.00508184203509413,0.0951279501439087,0.000476776703919468,0.0997030811946043,0.00165034296863541,0.00220650274329287,0.00626912448807527,0.000497450614087434
"Ex_DACH2_NR4A3",0.0138691811593541,0,0.00132446001170703,0.00113720158850536,0.0608580331620144,0.00334433158735824,0.0101424719691247,0.00336971084770977,0.0613188995887328,0.139117166501685,0.0175438334684946,0.010393704607838,0.0068969369806919,0.068128191138201,0.00563999130618177,0.0616847790044801,0.00126713188129427,0.00529597918662617,0,0.00167714506930868
"Ex_DACH2_RORB",0.00148147493430954,0,0.0237929002855898,0,0.125991771174044,0,0.00588079499425614,0,0.00144791880735356,0,0,0.0246584840395487,0.0306754459519374,0.00103824905031329,0,0.000591333463020306,0.283082359842971,0,0.00326493696365578,0.0589092423690896
"Ex_DACH2_SLIT2",0.00394679771356108,0,0.000714908839368793,0.0453942315313662,0,0.0270001550855135,0.00137146783672198,0.00173362718208365,0.0134944308290577,0.0364396542358707,0.00722663455226596,0,0.557394796741546,0.00432089172562884,0.00189384016157272,0.00269320906014005,0.00492570949592139,0.00988405341248006,0.00364059247856388,0.00268568474079033
"Ex_DACH2_TAC1",0,0,0.0190887279075038,0.000276023790783175,0.0159311895279535,0.00241343112057547,0.00439274037544859,0.00350334804456632,0.000330457468143396,0.00205694842778484,0.00542600567441884,0.0383918867626173,0.0929270271931806,0.0442295390087325,0.000517250552815217,0.00442723936381354,0.0238829714840451,0.0565361800527653,0.0296676720993431,0.11157927955009
"Ex_DACH2_ZMAT4",0.00123435680952053,0,0.00132734783815175,0,0.0330954185642339,0.0165731645199711,0.0057575117294258,0.000887402523639399,0.000440009358059215,0.000260503787360814,0.000208096651510625,0.00682414895613127,0.104531719857781,0.00490713910526905,0.000351856587432611,0.000696475535511471,0.0275552830258052,0.103133574064484,0.00113748558202403,0.342540990900602
"Ex_KIAA1217",0.0436971165713752,0.000363262528250446,0.281614663596843,0.00220400408065916,0,0.0065573662856003,0.025286030666915,0.0139619259513633,0.00142618533790348,0.00161139747382424,0.00378768760741586,0.0101979420991151,0,0.00672393439988488,0.0016377220864579,0,0.0303733509886451,0.00816815558602567,0.061037994850746,0.00128722286398936
"Ex_KIAA1217_BCL6",0.0232070015608395,0.00187130336807656,0.0651150447907467,0.00159680497305483,0,0.0183701967379263,0.0245251317889599,0.00740280624121807,0,0,0.00447780818831383,0.0371832873045564,0.00306521924762642,0.00864391507241104,0.0460740380478439,0,0,0.089821330500936,0.13675784650274,0.0045364225973943
"Ex_Pre_KCNH7",0.00627707998638018,0.00273939169118754,0.0181292421599412,0.00248287495366771,0.0701885776435982,0.00228316043924352,0.04895123238984,0.00790518378791231,0.00408050134248259,0.0176229721916229,0.0068636986180785,0.117435827146827,0.0125716555210924,0.0322480439467897,0.00630366445508326,0.0110788985223243,0.0224831285200419,0.0106761494335284,0.00514480926942558,0.00157233696186468
"Ex_Pre_SATB2",0.00672932470023142,0.0199391576341226,0.0372793316495155,0.00235154182103508,0.0721006940398177,0.00156146374737442,0.0572912382092839,0.0135427064449626,0.00156534687031636,0.0211488361678623,0.0170208451854713,0.0934212885423279,0.00350617333355098,0.0366813524030176,0.0272030648595793,0.00213799974276366,0.00763701572670571,0.00294524569199341,0.0012066842929483,0.00283177984994384
"Ex_SATB2_FOXP2",0.00567546049889598,0.513578258508072,0.0211263119049418,0.000281794802649827,0.0124392944046252,0.00510285936737813,0.0144729539315699,0.00252500484969686,0.0012759533029151,0.000204213810746603,0.00746837925593917,0.0155983610871411,0,0.00299748371173589,0.00354755650251181,0,0.00378590495437494,0.0151545379788691,0.0136087814789386,0.000323395211440106
"Ex_SATB2_OVOA",0.00397274777146965,0.0473980274910552,0.0145188822707789,0.000701924419612582,0.0496747989648871,0.00222298516966038,0.0430169579956217,0.00153442929240587,0.0275850813603715,0.0226909735795459,0.0250693263236137,0.0425195911584331,0.00450685770554801,0.0947588743266301,0.0388930249164188,0.0218082040510464,0.00545119414860464,0.00308342130073137,0.00500882488433351,0.00215724085772653
"Ex_SATB2_SOX6",0,0.557934636671612,0.00335409023465956,0,0.00246257265156783,0.0065358461743885,0.0350805830169712,0.000366613384834256,0.00101320811165208,0.00195017594732282,0.0158296868523513,0.0499530646910295,0,0.00143595995071511,0.0036226785066174,0.00112984317195757,0.0125516692891588,0.00251389282830517,0.00278686845575666,0.00112194292611953
"Ex_SATB2_ZNF385B",0,0.605507224589503,0.0371510908500897,0.000449453548975195,0,0,0.00279872099536489,0.000459222895909503,0.000360023550577871,0,0.00964155779716438,0.0601698443748937,0,0.000320630725112608,0.000853490369729667,0.000486503652129596,0.0084742432903591,0,0.00134080361497756,0.000423857709467181
"Ex_TSHZ2_NR4A2",0.569722534575222,0,0.0220222139944585,0,0,0,0.0049897760712484,0.029367461225261,0,0,0.00298429817324401,0.00397465704959562,0,0.00369279349428573,0.0139381198841773,0.00312695584937123,0,0,0,0
